SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,TRADE_DATE
20MICRONS,EQ, 05-Jan-2023,91.45,91.95,92.55,90.15,91.1,90.85,91.06,69057,62.88,1145, 43309, 62.71,2023-01-05
21STCENMGM,EQ, 05-Jan-2023,22.35,22.75,22.75,22.05,22.65,22.6,22.42,20993,4.71,151, 4879, 23.24,2023-01-05
3IINFOLTD,EQ, 05-Jan-2023,41.05,41.3,41.95,40.55,40.85,40.85,40.91,259320,106.08,2058, 150880, 58.18,2023-01-05
3MINDIA,EQ, 05-Jan-2023,22050.4,22090.0,22400.0,22007.05,22365.15,22388.0,22244.15,3679,818.36,1814, 1892, 51.43,2023-01-05
3PLAND,EQ, 05-Jan-2023,17.45,17.45,20.9,17.45,20.9,20.9,19.68,69880,13.75,358, 57652, 82.50,2023-01-05
5PAISA,EQ, 05-Jan-2023,314.4,317.9,318.4,311.1,312.55,313.0,314.59,20137,63.35,1998, 6137, 30.48,2023-01-05
63MOONS,EQ, 05-Jan-2023,163.8,164.0,168.7,162.55,166.45,165.85,164.88,74042,122.08,2846, 25018, 33.79,2023-01-05
A2ZINFRA,EQ, 05-Jan-2023,9.9,10.1,10.25,9.9,10.05,10.05,10.1,243695,24.62,489, 188679, 77.42,2023-01-05
AAATECH,EQ, 05-Jan-2023,64.6,65.9,65.9,62.5,63.05,63.35,63.4,8440,5.35,153, 4234, 50.17,2023-01-05
AAKASH,EQ, 05-Jan-2023,6.8,6.8,6.85,6.65,6.8,6.8,6.75,286803,19.35,689, 215719, 75.22,2023-01-05
AAREYDRUGS,EQ, 05-Jan-2023,37.85,38.3,38.3,37.5,37.6,37.95,37.92,16977,6.44,212, 14115, 83.14,2023-01-05
AARON,EQ, 05-Jan-2023,171.95,175.9,175.9,169.05,170.0,170.95,171.02,3034,5.19,175, 2002, 65.99,2023-01-05
AARTIDRUGS,EQ, 05-Jan-2023,445.6,443.0,454.0,443.0,449.9,448.5,448.62,54398,244.04,4920, 23977, 44.08,2023-01-05
AARTIIND,EQ, 05-Jan-2023,607.9,603.0,609.4,599.1,609.0,606.4,604.2,536007,3238.54,22747, 244073, 45.54,2023-01-05
AARTISURF,EQ, 05-Jan-2023,664.35,668.0,670.0,641.0,644.9,645.45,655.09,9763,63.96,859, 6685, 68.47,2023-01-05
AARVEEDEN,EQ, 05-Jan-2023,27.1,28.0,28.0,26.0,26.7,26.35,26.92,39416,10.61,596, 14584, 37.00,2023-01-05
