SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,TRADE_DATE
20MICRONS,EQ, 24-Jul-2024,218.77,219.65,229.5,219.65,222.9,222.67,224.8,263738,592.88,9465, 121522, 46.08,2024-07-24
360ONE,EQ, 24-Jul-2024,1000.3,998.95,1039.0,998.0,1015.35,1021.2,1020.94,750738,7664.59,32466, 580595, 77.34,2024-07-24
3IINFOLTD,EQ, 24-Jul-2024,36.35,36.01,37.49,36.01,37.03,37.06,37.1,705444,261.74,5971, 322523, 45.72,2024-07-24
3MINDIA,EQ, 24-Jul-2024,38490.75,38406.1,38880.0,38250.2,38400.0,38406.0,38552.9,2484,957.65,1555, 966, 38.89,2024-07-24
3PLAND,EQ, 24-Jul-2024,34.78,34.5,38.2,34.49,38.2,37.34,35.94,98332,35.34,2671, 25178, 25.61,2024-07-24
5PAISA,EQ, 24-Jul-2024,464.95,467.7,478.8,467.7,474.9,472.15,473.83,84941,402.47,6427, 35419, 41.70,2024-07-24
63MOONS,EQ, 24-Jul-2024,324.9,325.0,339.85,321.6,334.75,337.15,331.71,111232,368.97,4167, 70754, 63.61,2024-07-24
AAATECH,EQ, 24-Jul-2024,105.93,109.54,109.54,104.0,104.99,105.79,106.3,38639,41.07,674, 10438, 27.01,2024-07-24
AADHARHFC,EQ, 24-Jul-2024,460.05,459.45,480.05,453.05,463.0,461.85,461.32,1195222,5513.75,20401, 708588, 59.29,2024-07-24
AAREYDRUGS,EQ, 24-Jul-2024,48.68,50.97,50.97,48.77,50.0,49.94,49.93,57662,28.79,2127, 13290, 23.05,2024-07-24
AARON,EQ, 24-Jul-2024,261.45,261.45,264.9,260.0,262.0,262.65,261.68,4706,12.31,293, 3489, 74.14,2024-07-24
AARTIDRUGS,EQ, 24-Jul-2024,527.6,525.95,536.25,525.05,528.2,530.35,531.21,78836,418.78,6344, 39945, 50.67,2024-07-24
AARTIIND,EQ, 24-Jul-2024,686.9,685.55,696.65,682.85,689.55,691.25,691.09,447717,3094.13,20838, 114774, 25.64,2024-07-24
AARTIPHARM,EQ, 24-Jul-2024,571.25,571.25,583.5,568.3,576.5,578.55,577.52,92606,534.82,8271, 47391, 51.17,2024-07-24
AARTISURF,EQ, 24-Jul-2024,647.05,651.6,656.55,628.0,641.7,640.0,643.1,32978,212.08,3307, 14924, 45.25,2024-07-24
AARVEEDEN,EQ, 24-Jul-2024,35.31,35.5,36.5,34.7,35.45,35.22,35.73,203143,72.58,1626, 137737, 67.80,2024-07-24
AARVI,EQ, 24-Jul-2024,129.54,130.5,132.8,129.58,131.45,131.38,130.55,24301,31.72,361, 18593, 76.51,2024-07-24
AAVAS,EQ, 24-Jul-2024,1777.2,1795.9,1803.55,1749.95,1762.35,1759.25,1771.52,96482,1709.19,13800, 43492, 45.08,2024-07-24
ABB,EQ, 24-Jul-2024,7503.05,7549.95,7637.95,7435.0,7506.3,7522.6,7516.53,388681,29215.33,64301, 182783, 47.03,2024-07-24
ABBOTINDIA,EQ, 24-Jul-2024,27728.8,27800.0,27890.9,27554.0,27724.0,27701.1,27659.24,6345,1754.98,3032, 2605, 41.06,2024-07-24
ABCAPITAL,EQ, 24-Jul-2024,215.2,214.95,217.79,214.21,215.97,215.51,215.75,2784305,6007.16,21051, 1498995, 53.84,2024-07-24
ABDL,EQ, 24-Jul-2024,296.75,300.0,314.9,297.5,309.9,309.85,308.57,2551603,7873.35,19823, 978470, 38.35,2024-07-24
ABFRL,EQ, 24-Jul-2024,314.4,314.0,324.5,313.55,322.0,322.2,320.61,3600277,11543.01,21226, 1769307, 49.14,2024-07-24
ABGSEC,EQ, 24-Jul-2024,100.99,100.9,100.9,100.36,100.45,100.67,100.75,20211,20.36,17, 20043, 99.17,2024-07-24
ABSLAMC,EQ, 24-Jul-2024,678.65,680.0,709.0,677.7,707.0,703.0,694.84,355498,2470.15,17069, 192516, 54.15,2024-07-24
ABSLBANETF,EQ, 24-Jul-2024,52.48,52.96,52.97,51.46,52.0,52.09,51.99,35136,18.27,683, 27782, 79.07,2024-07-24
ABSLLIQUID,EQ, 24-Jul-2024,1000.0,1000.0,1000.01,999.99,1000.01,1000.01,999.99,2540,25.4,14, 2255, 88.78,2024-07-24
ABSLNN50ET,EQ, 24-Jul-2024,74.34,75.07,75.07,74.18,74.55,74.42,74.5,9976,7.43,264, 8281, 83.01,2024-07-24
ABSLPSE,EQ, 24-Jul-2024,10.98,11.04,11.16,10.93,11.13,11.1,11.08,303147,33.6,555, 242813, 80.10,2024-07-24
ACC,EQ, 24-Jul-2024,2646.55,2647.0,2659.8,2612.9,2625.0,2619.35,2632.86,237514,6253.4,19311, 90396, 38.06,2024-07-24
ACCELYA,EQ, 24-Jul-2024,1830.85,1820.1,1899.95,1804.8,1857.0,1878.3,1854.43,18617,345.24,3689, 9000, 48.34,2024-07-24
ACE,EQ, 24-Jul-2024,1384.85,1385.0,1422.6,1380.55,1415.45,1414.95,1413.88,206518,2919.92,16970, 80436, 38.95,2024-07-24
ACEINTEG,EQ, 24-Jul-2024,32.62,32.6,33.41,32.01,32.9,32.17,32.6,7017,2.29,135, 5520, 78.67,2024-07-24
ACI,EQ, 24-Jul-2024,699.6,691.5,747.4,691.5,736.55,741.55,727.8,972433,7077.4,32433, 511194, 52.57,2024-07-24
ACL,EQ, 24-Jul-2024,99.01,102.4,103.85,99.0,100.04,99.52,101.79,341579,347.68,5695, 202577, 59.31,2024-07-24
ACLGATI,EQ, 24-Jul-2024,94.52,94.99,96.29,94.58,94.89,95.09,95.47,525807,501.99,6452, 268032, 50.98,2024-07-24
ADANIENSOL,EQ, 24-Jul-2024,1023.8,1025.9,1047.0,1022.0,1040.0,1036.2,1038.22,928518,9640.05,32632, 461539, 49.71,2024-07-24
ADANIENT,EQ, 24-Jul-2024,2995.35,2995.35,3007.5,2959.3,2968.8,2970.7,2980.98,693702,20679.11,54185, 226860, 32.70,2024-07-24
ADANIGREEN,EQ, 24-Jul-2024,1720.3,1748.0,1748.0,1711.3,1720.0,1716.0,1727.38,535197,9244.9,32256, 223774, 41.81,2024-07-24
ADANIPORTS,EQ, 24-Jul-2024,1507.35,1508.0,1513.55,1480.0,1487.5,1484.8,1492.56,2201442,32857.89,123454, 1060882, 48.19,2024-07-24
ADANIPOWER,EQ, 24-Jul-2024,697.4,697.7,709.7,692.55,696.0,694.7,699.58,2210803,15466.35,69705, 823675, 37.26,2024-07-24
ADFFOODS,EQ, 24-Jul-2024,221.18,222.5,238.83,221.3,232.4,231.1,231.68,614484,1423.63,24295, 199308, 32.44,2024-07-24
