SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,152.15,155.0,146.35,154.13,95795,2026-04-06
21STCENMGM,EQ,28.82,29.39,28.25,28.62,3604,2026-04-06
360ONE,EQ,931.0,940.25,918.55,929.45,2743646,2026-04-06
3IINFOLTD,EQ,14.83,15.7,14.83,15.36,639657,2026-04-06
3MINDIA,EQ,29750.0,29960.0,29215.0,29385.0,6077,2026-04-06
3PLAND,EQ,31.0,34.0,31.0,32.43,3936,2026-04-06
5PAISA,EQ,285.37,285.75,275.7,280.4,63286,2026-04-06
63MOONS,EQ,501.45,509.7,486.4,503.1,223675,2026-04-06
AAATECH,EQ,92.21,95.6,91.98,93.62,13409,2026-04-06
AADHARHFC,EQ,443.0,458.9,435.0,453.75,206262,2026-04-06
AAREYDRUGS,EQ,55.06,56.39,54.31,56.39,115134,2026-04-06
AARNAV,EQ,22.7,24.49,22.5,23.84,10371,2026-04-06
AARON,EQ,143.0,148.0,140.0,143.97,27210,2026-04-06
AARTECH,EQ,40.7,41.0,38.39,40.84,31490,2026-04-06
AARTIDRUGS,EQ,351.0,357.0,345.3,354.95,80931,2026-04-06
AARTIIND,EQ,408.7,411.25,394.6,404.2,1123512,2026-04-06
AARTIPHARM,EQ,655.0,660.95,631.8,649.75,140324,2026-04-06
AARTISURF,EQ,360.3,375.8,357.55,367.3,13354,2026-04-06
AARVI,EQ,123.0,127.0,123.0,126.26,4700,2026-04-06
AAVAS,EQ,1142.9,1153.0,1115.1,1149.4,71555,2026-04-06
ABB,EQ,6150.0,6247.5,6088.0,6193.5,259645,2026-04-06
ABBOTINDIA,EQ,26285.0,26440.0,25865.0,25895.0,8267,2026-04-06
ABCAPITAL,EQ,299.6,312.2,295.2,311.3,4034504,2026-04-06
ABCOTS,EQ,411.55,411.55,400.2,405.5,8848,2026-04-06
ABDL,EQ,423.8,431.65,413.1,427.5,356175,2026-04-06
ABFRL,EQ,57.66,59.69,56.62,58.94,11042999,2026-04-06
ABGSEC,EQ,110.75,110.75,109.55,110.3,2193,2026-04-06
ABINFRA,EQ,16.99,16.99,15.8,15.9,626193,2026-04-06
ABLBL,EQ,93.47,96.76,93.15,96.08,1259122,2026-04-06
ABREL,EQ,1143.0,1183.8,1125.5,1178.7,168445,2026-04-06
ABSL10BANK,EQ,154.95,157.56,153.72,156.91,370,2026-04-06
ABSLAMC,EQ,921.8,958.3,906.3,947.1,411948,2026-04-06
ABSLBANETF,EQ,52.61,53.9,52.2,53.68,193528,2026-04-06
ABSLLIQUID,EQ,999.56,1000.01,999.56,1000.0,3442,2026-04-06
ABSLMSCIN,EQ,27.11,27.28,26.86,27.27,918,2026-04-06
ABSLNN50ET,EQ,66.5,66.5,64.0,65.75,12529,2026-04-06
ABSLPSE,EQ,10.06,10.17,9.96,10.12,266561,2026-04-06
ACC,EQ,1325.9,1369.9,1310.1,1362.1,148242,2026-04-06
ACCELYA,EQ,1163.0,1163.0,1113.2,1128.3,19024,2026-04-06
ACCURACY,EQ,3.87,4.14,3.65,4.08,169019,2026-04-06
ACE,EQ,820.0,830.75,805.3,828.15,194091,2026-04-06
ACEINTEG,EQ,16.1,17.9,16.1,17.61,1744,2026-04-06
ACI,EQ,578.6,580.9,568.55,573.2,104986,2026-04-06
ACL,EQ,47.15,47.2,46.0,47.2,29187,2026-04-06
ACMESOLAR,EQ,275.0,283.7,271.65,280.25,2379961,2026-04-06
ACUTAAS,EQ,2107.0,2248.0,2073.0,2212.4,1184772,2026-04-06
ADANIENSOL,EQ,941.9,999.65,936.1,991.35,2083508,2026-04-06
ADANIENT,EQ,1836.9,1909.0,1802.1,1902.2,3153437,2026-04-06
ADANIGREEN,EQ,857.0,926.7,856.05,921.1,13113062,2026-04-06
ADANIPORTS,EQ,1379.8,1391.8,1348.1,1387.1,2519628,2026-04-06
ADANIPOWER,EQ,162.0,165.1,161.05,163.26,127464037,2026-04-06
ADFFOODS,EQ,178.0,180.75,173.82,176.03,69174,2026-04-06
ADL,EQ,60.76,62.0,60.51,61.65,960,2026-04-06
ADOR,EQ,851.55,878.8,851.55,859.55,22993,2026-04-06
ADROITINFO,EQ,9.45,9.45,8.6,9.34,28451,2026-04-06
ADSL,EQ,98.56,103.97,97.15,102.9,249931,2026-04-06
ADVAIT,EQ,1780.5,1829.0,1764.1,1794.1,50867,2026-04-06
ADVANCE,EQ,97.72,98.0,94.41,96.77,123662,2026-04-06
ADVANIHOTR,EQ,50.4,51.5,49.95,50.76,16831,2026-04-06
ADVENTHTL,EQ,139.21,148.5,138.27,147.62,212321,2026-04-06
ADVENZYMES,EQ,276.75,282.75,269.25,278.8,116706,2026-04-06
AEGISLOG,EQ,596.55,623.85,577.85,597.35,1783672,2026-04-06
AEGISVOPAK,EQ,169.4,175.99,163.25,170.12,1629025,2026-04-06
AEPL,EQ,16.7,16.7,15.01,16.14,13617,2026-04-06
AEQUS,EQ,124.89,124.89,123.13,123.85,359820,2026-04-06
AEROENTER,EQ,71.43,74.89,70.2,73.67,323349,2026-04-06
AEROFLEX,EQ,255.0,257.99,248.04,255.15,1060720,2026-04-06
AERONEU,EQ,79.59,80.11,76.43,76.98,37249,2026-04-06
AETHER,EQ,1101.3,1119.9,1078.1,1100.9,182907,2026-04-06
AFCONS,EQ,283.7,287.85,280.0,285.55,251972,2026-04-06
AFFLE,EQ,1421.8,1440.0,1407.6,1418.6,170091,2026-04-06
AFFORDABLE,EQ,147.77,159.89,144.66,158.71,113574,2026-04-06
AFSL,EQ,201.02,202.45,201.0,201.03,9021,2026-04-06
AGARIND,EQ,377.15,391.0,365.0,368.95,83512,2026-04-06
AGARWALEYE,EQ,418.95,434.05,407.7,430.0,115619,2026-04-06
AGI,EQ,505.5,506.35,489.25,498.7,240685,2026-04-06
AGIIL,EQ,299.7,318.0,299.7,310.65,6698381,2026-04-06
AGRITECH,EQ,107.9,111.0,104.1,104.59,1528,2026-04-06
AGROPHOS,EQ,28.85,32.37,27.98,30.89,77410,2026-04-06
AHCL,EQ,114.0,116.0,112.22,115.4,66582,2026-04-06
AHLADA,EQ,34.3,41.5,34.26,39.58,51648,2026-04-06
AHLEAST,EQ,154.6,161.0,152.8,158.94,10250,2026-04-06
AHLUCONT,EQ,704.8,719.5,679.55,716.4,76340,2026-04-06
AIAENG,EQ,3642.1,3707.8,3612.2,3680.5,36537,2026-04-06
AIIL,EQ,419.65,426.9,412.6,424.25,344749,2026-04-06
AIRAN,EQ,14.96,15.65,14.95,15.54,91742,2026-04-06
AIROLAM,EQ,87.0,87.0,81.0,83.49,2145,2026-04-06
AJANTPHARM,EQ,2810.0,2818.7,2726.2,2742.3,87129,2026-04-06
AJAXENGG,EQ,444.9,450.0,430.0,447.95,33485,2026-04-06
AJMERA,EQ,108.21,115.78,106.61,110.06,677712,2026-04-06
AJOONI,EQ,4.09,4.14,4.04,4.1,196447,2026-04-06
AKASH,EQ,24.08,25.97,24.08,25.25,5657,2026-04-06
AKG,EQ,10.33,10.7,10.16,10.21,10090,2026-04-06
AKI,EQ,4.63,4.91,4.4,4.66,271711,2026-04-06
AKSHAR,EQ,0.46,0.52,0.45,0.5,5309291,2026-04-06
AKSHARCHEM,EQ,165.89,168.3,163.87,166.74,5988,2026-04-06
AKSHOPTFBR,EQ,4.65,5.09,4.5,4.94,500493,2026-04-06
AKUMS,EQ,496.3,498.75,482.6,493.35,120418,2026-04-06
AKZOINDIA,EQ,2961.4,2999.0,2928.1,2987.4,13165,2026-04-06
ALANKIT,EQ,7.91,8.46,7.81,8.35,531495,2026-04-06
ALBERTDAVD,EQ,662.95,665.05,648.0,659.1,5240,2026-04-06
ALEMBICLTD,EQ,78.0,81.0,76.04,80.39,307414,2026-04-06
ALGOQUANT,EQ,52.15,52.5,50.28,52.05,1036217,2026-04-06
ALICON,EQ,617.95,629.9,596.5,613.15,17697,2026-04-06
ALIVUS,EQ,1009.95,1020.0,975.55,1005.6,276665,2026-04-06
