SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,171.01,172.59,162.05,165.18,176805,2026-05-19
21STCENMGM,EQ,31.95,31.95,30.9,30.92,180,2026-05-19
360ONE,EQ,1104.0,1121.5,1092.0,1098.4,442746,2026-05-19
3BBLACKBIO,EQ,1295.3,1341.8,1250.0,1269.6,7336,2026-05-19
3IINFOLTD,EQ,17.75,17.75,17.58,17.61,236113,2026-05-19
3MINDIA,EQ,31700.0,32275.0,31600.0,31810.0,3651,2026-05-19
3PLAND,EQ,33.8,34.0,32.01,32.49,8462,2026-05-19
5PAISA,EQ,307.25,317.0,294.0,313.1,60564,2026-05-19
63MOONS,EQ,694.85,710.9,659.7,697.4,315619,2026-05-19
A2ZINFRA,EQ,14.33,14.68,14.04,14.13,298401,2026-05-19
AAATECH,EQ,94.5,96.5,92.14,95.45,12380,2026-05-19
AADHARHFC,EQ,464.6,476.95,458.35,472.7,302300,2026-05-19
AARNAV,EQ,21.75,22.77,21.75,21.99,8951,2026-05-19
AARON,EQ,121.55,129.15,121.55,123.7,8478,2026-05-19
AARTECH,EQ,43.49,43.49,42.0,42.55,45711,2026-05-19
AARTIDRUGS,EQ,365.9,381.7,363.0,378.35,214964,2026-05-19
AARTIIND,EQ,460.0,471.6,458.0,469.25,432987,2026-05-19
AARTIPHARM,EQ,701.0,718.65,697.2,705.9,77871,2026-05-19
AARTISURF,EQ,387.0,395.0,384.75,389.4,9505,2026-05-19
AARVI,EQ,121.96,125.0,121.96,124.11,12572,2026-05-19
AAVAS,EQ,1339.6,1351.5,1324.2,1336.4,86179,2026-05-19
ABB,EQ,6430.5,6463.5,6310.0,6329.0,344676,2026-05-19
ABBOTINDIA,EQ,27945.0,28015.0,27685.0,27795.0,5009,2026-05-19
ABCAPITAL,EQ,351.85,353.85,346.35,351.2,3020769,2026-05-19
ABCOTS,EQ,218.7,221.85,213.58,219.75,62544,2026-05-19
ABDL,EQ,520.0,539.7,505.15,531.5,470772,2026-05-19
ABFRL,EQ,62.35,63.3,62.11,62.46,1234228,2026-05-19
ABGSEC,EQ,111.05,111.05,111.01,111.05,9,2026-05-19
ABINFRA,EQ,13.49,13.79,12.56,12.82,906629,2026-05-19
ABLBL,EQ,104.48,104.7,102.8,103.24,287877,2026-05-19
ABMINTLLTD,EQ,50.51,50.51,45.71,45.73,3924,2026-05-19
ABMKNO,EQ,232.0,238.0,228.0,230.0,1276,2026-05-19
ABREL,EQ,1235.0,1289.0,1235.0,1271.2,115165,2026-05-19
ABSL10BANK,EQ,160.0,160.35,159.22,159.38,858,2026-05-19
ABSLAMC,EQ,990.4,1042.0,981.1,1036.9,251387,2026-05-19
ABSLBANETF,EQ,56.17,56.17,54.59,54.67,255031,2026-05-19
ABSLLIQUID,EQ,1000.0,1000.01,999.99,1000.0,4200,2026-05-19
ABSLMSCIN,EQ,28.75,28.81,28.75,28.75,90,2026-05-19
ABSLNN50ET,EQ,72.3,72.76,71.85,72.26,8592,2026-05-19
ABSLPSE,EQ,10.74,11.01,10.71,10.76,43534,2026-05-19
ACC,EQ,1367.5,1373.1,1353.3,1359.3,111606,2026-05-19
ACCELYA,EQ,1104.0,1122.6,1104.0,1120.2,3312,2026-05-19
ACCURACY,EQ,5.44,5.49,5.2,5.24,146804,2026-05-19
ACE,EQ,883.0,893.0,876.2,881.95,155792,2026-05-19
ACEINTEG,EQ,19.69,19.69,19.09,19.09,1710,2026-05-19
ACI,EQ,543.95,544.85,534.15,538.8,70820,2026-05-19
ACL,EQ,56.0,56.0,54.73,55.12,6420,2026-05-19
ACMESOLAR,EQ,276.95,283.9,275.55,282.85,1414066,2026-05-19
ACSTECH,EQ,33.15,34.49,33.15,33.28,70243,2026-05-19
ACUTAAS,EQ,2809.1,2906.0,2809.0,2886.5,610355,2026-05-19
ADANIENSOL,EQ,1345.0,1361.1,1311.3,1329.5,3103779,2026-05-19
ADANIENT,EQ,2734.7,2774.5,2697.0,2725.0,4204144,2026-05-19
ADANIGREEN,EQ,1390.0,1443.0,1369.0,1377.8,8654467,2026-05-19
ADANIPORTS,EQ,1790.8,1805.0,1758.8,1762.8,2274987,2026-05-19
ADANIPOWER,EQ,223.8,225.0,218.3,219.09,35941457,2026-05-19
ADFFOODS,EQ,262.2,277.7,262.2,269.15,242712,2026-05-19
ADL,EQ,73.36,78.0,73.36,75.9,163,2026-05-19
ADOR,EQ,1055.2,1095.0,1050.0,1055.2,36314,2026-05-19
ADROITINFO,EQ,9.3,9.68,8.96,9.16,55414,2026-05-19
ADSL,EQ,122.56,127.99,122.56,124.56,146438,2026-05-19
ADVAIT,EQ,1870.5,1935.0,1870.0,1890.4,45471,2026-05-19
ADVANCE,EQ,102.24,103.15,100.0,100.62,58107,2026-05-19
ADVANIHOTR,EQ,53.3,53.65,52.1,52.71,25940,2026-05-19
ADVENTHTL,EQ,145.15,153.8,143.95,150.57,80415,2026-05-19
ADVENZYMES,EQ,363.5,389.9,359.0,386.3,536664,2026-05-19
AEGISLOG,EQ,687.0,708.7,687.0,700.5,483607,2026-05-19
AEGISVOPAK,EQ,198.49,201.0,195.0,199.1,225953,2026-05-19
AEPL,EQ,16.0,16.43,16.0,16.18,3717,2026-05-19
AEQUS,EQ,195.56,204.64,194.25,197.67,1427581,2026-05-19
AEROENTER,EQ,101.0,104.0,99.2,100.2,354161,2026-05-19
AEROFLEX,EQ,371.5,389.0,363.0,381.8,3721146,2026-05-19
