SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,166.1,169.38,166.1,166.87,33908,2026-03-06
21STCENMGM,EQ,34.45,34.94,33.61,33.79,8301,2026-03-06
360ONE,EQ,1074.0,1084.4,1061.3,1064.2,276113,2026-03-06
3IINFOLTD,EQ,13.48,13.55,13.3,13.36,210187,2026-03-06
3MINDIA,EQ,34450.0,34690.0,34100.0,34320.0,2187,2026-03-06
3PLAND,EQ,31.0,31.0,30.8,30.99,2938,2026-03-06
5PAISA,EQ,305.6,307.7,300.0,302.65,25151,2026-03-06
63MOONS,EQ,585.75,593.0,571.1,574.3,132826,2026-03-06
AAATECH,EQ,93.9,93.9,90.64,92.94,18860,2026-03-06
AADHARHFC,EQ,450.0,465.95,446.95,455.05,443973,2026-03-06
AAKASH,EQ,12.52,13.4,9.61,9.79,4725041,2026-03-06
AAREYDRUGS,EQ,72.41,74.59,70.02,71.65,176095,2026-03-06
AARNAV,EQ,25.25,26.18,24.91,25.31,12734,2026-03-06
AARON,EQ,152.0,155.0,146.55,150.68,21713,2026-03-06
AARTECH,EQ,41.0,42.5,40.4,42.03,17021,2026-03-06
AARTIDRUGS,EQ,360.8,362.7,356.1,357.1,52509,2026-03-06
AARTIIND,EQ,419.5,423.75,412.0,419.35,661199,2026-03-06
AARTIPHARM,EQ,701.75,707.9,688.5,700.15,96779,2026-03-06
AARTISURF,EQ,378.0,385.0,378.0,380.65,7172,2026-03-06
AARVI,EQ,131.5,135.9,129.02,130.06,41652,2026-03-06
AAVAS,EQ,1224.9,1239.8,1218.0,1227.9,435925,2026-03-06
ABB,EQ,5900.0,6118.0,5869.0,6062.0,377080,2026-03-06
ABBOTINDIA,EQ,27615.0,27630.0,27160.0,27325.0,6061,2026-03-06
ABCAPITAL,EQ,326.95,332.1,325.45,326.55,5030480,2026-03-06
ABCOTS,EQ,405.0,414.0,404.0,410.4,27757,2026-03-06
ABDL,EQ,451.45,479.65,448.95,474.6,1335217,2026-03-06
ABFRL,EQ,64.28,64.76,61.99,62.42,2407538,2026-03-06
ABGSEC,EQ,112.9,112.9,112.25,112.75,349,2026-03-06
ABINFRA,EQ,17.8,18.1,17.1,17.3,322518,2026-03-06
ABLBL,EQ,103.0,104.28,101.16,101.98,7019502,2026-03-06
ABREL,EQ,1231.0,1258.0,1219.7,1232.9,133024,2026-03-06
ABSL10BANK,EQ,177.01,177.01,172.75,173.02,2195,2026-03-06
ABSLAMC,EQ,892.5,926.5,881.0,924.4,449733,2026-03-06
ABSLBANETF,EQ,61.73,61.73,58.94,59.03,122180,2026-03-06
ABSLLIQUID,EQ,1000.0,1000.01,999.99,999.99,330,2026-03-06
ABSLMSCIN,EQ,29.31,29.45,29.01,29.07,151,2026-03-06
ABSLNN50ET,EQ,70.62,71.45,70.5,70.78,14212,2026-03-06
ABSLPSE,EQ,10.98,10.99,10.67,10.71,295814,2026-03-06
ACC,EQ,1514.0,1535.0,1499.0,1501.2,259409,2026-03-06
ACCELYA,EQ,1195.0,1240.0,1186.0,1218.6,14783,2026-03-06
ACCURACY,EQ,4.58,4.7,4.37,4.39,558559,2026-03-06
ACE,EQ,867.3,890.85,865.5,878.85,106536,2026-03-06
ACEINTEG,EQ,17.7,17.7,16.81,17.35,1170,2026-03-06
ACI,EQ,538.9,563.0,535.2,550.15,109768,2026-03-06
ACL,EQ,51.92,54.5,51.92,53.79,11031,2026-03-06
ACMESOLAR,EQ,230.97,235.49,227.0,228.4,212195,2026-03-06
ACUTAAS,EQ,2239.0,2297.3,2207.2,2250.7,364329,2026-03-06
ADANIENSOL,EQ,980.0,1007.7,979.8,992.5,1529030,2026-03-06
ADANIENT,EQ,2079.1,2090.0,2030.2,2039.9,1696027,2026-03-06
ADANIGREEN,EQ,879.6,894.55,855.15,858.4,5784124,2026-03-06
ADANIPORTS,EQ,1489.0,1497.8,1470.0,1477.5,2576061,2026-03-06
ADANIPOWER,EQ,139.6,142.59,138.5,138.99,11769177,2026-03-06
ADFFOODS,EQ,188.91,192.5,188.1,189.29,67835,2026-03-06
ADL,EQ,69.9,69.9,67.1,69.0,18,2026-03-06
ADOR,EQ,1031.3,1034.9,1005.0,1012.3,5375,2026-03-06
ADROITINFO,EQ,9.75,10.13,9.61,9.65,176667,2026-03-06
ADSL,EQ,107.0,109.89,106.1,106.93,123919,2026-03-06
ADVAIT,EQ,1567.0,1614.6,1542.2,1583.0,21140,2026-03-06
ADVANCE,EQ,109.25,113.7,108.5,110.06,177086,2026-03-06
ADVANIHOTR,EQ,54.93,54.93,52.73,52.94,42484,2026-03-06
ADVENTHTL,EQ,188.35,193.9,182.75,184.76,53325,2026-03-06
ADVENZYMES,EQ,294.95,301.9,291.0,297.35,108632,2026-03-06
AEGISLOG,EQ,663.0,682.55,660.05,664.1,302992,2026-03-06
AEGISVOPAK,EQ,185.05,202.0,184.8,199.62,2414363,2026-03-06
AEQUS,EQ,135.55,140.0,135.54,137.85,407659,2026-03-06
AEROENTER,EQ,76.9,76.9,74.05,74.11,156765,2026-03-06
AEROFLEX,EQ,222.6,228.4,218.66,220.24,1080105,2026-03-06
AERONEU,EQ,69.49,71.01,67.54,69.1,22811,2026-03-06
AETHER,EQ,962.05,1039.25,955.5,1011.95,808704,2026-03-06
AFCONS,EQ,284.5,292.65,282.0,283.05,231931,2026-03-06
AFFLE,EQ,1348.9,1376.4,1340.0,1350.6,89583,2026-03-06
AFFORDABLE,EQ,175.0,176.02,168.36,170.65,23999,2026-03-06
AFSL,EQ,201.11,204.18,201.0,203.23,19859,2026-03-06
AGARIND,EQ,474.7,492.1,456.55,461.65,118153,2026-03-06
AGARWALEYE,EQ,443.0,455.15,435.0,443.25,93803,2026-03-06
AGI,EQ,510.0,516.0,495.0,500.15,157984,2026-03-06
AGIIL,EQ,314.5,315.95,286.1,299.95,3042431,2026-03-06
AGROPHOS,EQ,32.3,32.93,31.15,32.33,6318,2026-03-06
AHCL,EQ,109.86,118.72,109.86,116.64,421757,2026-03-06
AHLADA,EQ,40.15,43.0,40.15,42.61,13281,2026-03-06
AHLEAST,EQ,157.59,161.51,157.59,160.03,8366,2026-03-06
AHLUCONT,EQ,753.05,785.0,745.15,768.8,44035,2026-03-06
AIAENG,EQ,3596.0,3687.0,3577.1,3674.5,43572,2026-03-06
AIIL,EQ,441.45,449.2,430.0,432.15,287206,2026-03-06
AIRAN,EQ,15.84,16.25,15.71,16.01,42217,2026-03-06
AIROLAM,EQ,89.99,92.0,89.1,89.53,359,2026-03-06
AJANTPHARM,EQ,2975.0,3033.9,2965.5,2992.0,85485,2026-03-06
AJAXENGG,EQ,502.0,504.25,490.0,491.3,103026,2026-03-06
AJMERA,EQ,122.6,125.88,122.6,123.26,335491,2026-03-06
AJOONI,EQ,4.23,4.75,4.21,4.65,947751,2026-03-06
AKASH,EQ,24.92,24.92,24.12,24.6,5408,2026-03-06
AKG,EQ,11.2,11.2,10.65,11.07,58021,2026-03-06
AKI,EQ,5.23,5.23,5.0,5.04,60561,2026-03-06
AKSHAR,EQ,0.38,0.39,0.37,0.38,1486296,2026-03-06
AKSHARCHEM,EQ,200.05,208.0,200.05,204.89,4231,2026-03-06
AKSHOPTFBR,EQ,4.5,4.56,4.46,4.51,178167,2026-03-06
AKUMS,EQ,485.25,485.45,472.2,474.35,56714,2026-03-06
AKZOINDIA,EQ,2840.8,2870.7,2756.5,2774.8,22812,2026-03-06
ALANKIT,EQ,8.24,8.24,7.88,7.95,190262,2026-03-06
ALBERTDAVD,EQ,680.8,687.0,673.55,680.05,1900,2026-03-06
ALEMBICLTD,EQ,88.66,88.66,86.92,87.15,184882,2026-03-06
ALGOQUANT,EQ,60.69,61.45,59.3,60.33,717092,2026-03-06
ALICON,EQ,737.3,743.6,722.9,727.85,3159,2026-03-06
ALIVUS,EQ,909.9,919.95,897.6,915.05,62652,2026-03-06
ALKALI,EQ,62.0,62.0,59.7,61.59,4597,2026-03-06
ALKEM,EQ,5580.0,5583.0,5497.0,5530.0,41269,2026-03-06
ALKYLAMINE,EQ,1400.6,1415.9,1380.0,1382.8,23364,2026-03-06
ALLCARGO,EQ,7.92,7.95,7.78,7.83,4007482,2026-03-06
ALLDIGI,EQ,788.2,800.0,780.0,784.5,2501,2026-03-06
ALLTIME,EQ,226.26,229.0,217.21,219.56,91397,2026-03-06
ALMONDZ,EQ,14.95,15.61,14.4,14.8,125256,2026-03-06
ALOKINDS,EQ,13.56,13.8,13.45,13.5,2968254,2026-03-06
ALPA,EQ,64.9,64.9,63.28,63.45,9317,2026-03-06
ALPHA,EQ,47.45,47.75,47.1,47.16,802469,2026-03-06
ALPHAETF,EQ,24.91,24.93,24.48,24.5,768453,2026-03-06
ALPHAGEO,EQ,209.5,209.5,198.0,202.75,4333,2026-03-06
ALPL30IETF,EQ,27.39,27.98,27.21,27.26,1432172,2026-03-06
AMAGI,EQ,381.0,389.5,377.6,386.3,95101,2026-03-06
AMANTA,EQ,100.05,101.5,99.55,100.72,29629,2026-03-06
AMBER,EQ,7839.5,7945.0,7777.5,7872.5,168706,2026-03-06
AMBICAAGAR,EQ,24.35,25.63,23.9,24.18,13546,2026-03-06
AMBIKCO,EQ,1412.0,1412.0,1363.1,1374.3,2682,2026-03-06
AMBUJACEM,EQ,475.7,480.75,463.35,466.75,1326098,2026-03-06
AMDIND,EQ,38.69,40.39,37.65,37.73,13036,2026-03-06
AMJLAND,EQ,41.0,41.0,38.15,38.42,14745,2026-03-06
AMNPLST,EQ,152.0,156.24,150.41,152.09,16639,2026-03-06
AMRUTANJAN,EQ,570.0,573.85,557.1,559.95,15978,2026-03-06
ANANDRATHI,EQ,3200.0,3234.9,3180.0,3198.7,146072,2026-03-06
ANANTRAJ,EQ,490.7,497.7,487.1,489.15,1049282,2026-03-06
ANDHRAPAP,EQ,65.62,67.07,65.3,65.85,61733,2026-03-06
ANDHRSUGAR,EQ,74.01,75.6,72.8,74.61,164728,2026-03-06
ANGELONE,EQ,226.5,230.51,218.2,219.56,9633447,2026-03-06
ANIKINDS,EQ,45.23,45.25,43.02,44.07,4916,2026-03-06
ANMOL,EQ,11.38,11.68,10.93,11.0,43889,2026-03-06
ANTELOPUS,EQ,540.0,593.3,540.0,593.3,740909,2026-03-06
ANTGRAPHIC,EQ,0.82,0.82,0.8,0.81,130814,2026-03-06
ANTHEM,EQ,663.8,672.7,650.0,663.2,107278,2026-03-06
ANUHPHR,EQ,77.76,77.97,77.21,77.61,16797,2026-03-06
ANUP,EQ,1460.0,1505.0,1455.1,1479.2,52388,2026-03-06
ANURAS,EQ,1251.5,1258.0,1215.1,1252.9,277351,2026-03-06
AONEGOLD,EQ,15.28,15.28,14.7,14.77,743606,2026-03-06
AONELIQUID,EQ,1049.83,1049.85,1049.83,1049.84,23747,2026-03-06
AONENIFTY,EQ,10.42,10.48,9.98,10.03,369983,2026-03-06
AONESILVER,EQ,10.0,10.2,9.82,9.88,779703,2026-03-06
AONETMMQ50,EQ,9.7,9.7,9.61,9.62,25332,2026-03-06
AONETOTAL,EQ,11.8,11.8,11.33,11.35,313469,2026-03-06
APARINDS,EQ,10426.0,10693.0,10305.0,10394.0,91181,2026-03-06
APCL,EQ,126.99,126.99,115.77,118.62,6183,2026-03-06
APCOTEXIND,EQ,362.15,369.0,359.25,367.6,35746,2026-03-06
APEX,EQ,363.8,366.4,348.0,351.25,252663,2026-03-06
APLAPOLLO,EQ,2160.0,2191.7,2143.4,2152.8,693422,2026-03-06
APLLTD,EQ,707.0,724.5,701.7,708.5,62638,2026-03-06
APOLLO,EQ,216.3,227.7,214.64,220.27,7726681,2026-03-06
APOLLOHOSP,EQ,7770.0,7781.0,7669.0,7724.5,225749,2026-03-06
APOLLOPIPE,EQ,348.0,359.0,344.4,350.1,128762,2026-03-06
APOLLOTYRE,EQ,441.95,445.45,437.65,439.75,969049,2026-03-06
APOLSINHOT,EQ,1199.9,1229.9,1180.7,1210.4,1181,2026-03-06
APTECHT,EQ,83.36,84.44,81.9,82.4,78871,2026-03-06
APTUS,EQ,229.82,231.34,225.8,228.21,1854854,2026-03-06
AQYLON,EQ,116.2,119.4,108.2,108.7,1120199,2026-03-06
ARCHIDPLY,EQ,80.5,81.94,78.5,79.26,32399,2026-03-06
ARCHIES,EQ,14.94,14.94,14.6,14.72,19657,2026-03-06
ARE&M,EQ,805.0,814.5,800.45,807.75,180324,2026-03-06
ARENTERP,EQ,37.71,43.0,37.71,41.45,5425,2026-03-06
ARFIN,EQ,76.18,78.49,74.8,76.96,1161511,2026-03-06
ARIES,EQ,344.0,354.95,338.55,341.8,14803,2026-03-06
ARIHANTCAP,EQ,74.98,76.1,73.62,73.95,210718,2026-03-06
ARIHANTSUP,EQ,246.0,253.8,245.8,252.05,14818,2026-03-06
ARIS,EQ,110.11,111.98,106.1,107.79,334208,2026-03-06
ARKADE,EQ,110.65,113.0,109.06,110.15,344100,2026-03-06
ARMANFIN,EQ,1411.0,1453.3,1380.1,1383.2,40295,2026-03-06
AROGRANITE,EQ,26.29,26.3,24.6,24.91,9481,2026-03-06
ARROWGREEN,EQ,371.0,385.45,371.0,377.65,18503,2026-03-06
ARSSBL,EQ,497.0,498.55,481.0,486.65,118794,2026-03-06
ARTEMISMED,EQ,233.01,235.78,230.12,232.71,98726,2026-03-06
ARTNIRMAN,EQ,40.19,41.0,39.5,39.66,746,2026-03-06
ARVIND,EQ,342.5,350.0,342.0,343.55,195724,2026-03-06
ARVINDFASN,EQ,424.8,432.5,423.3,427.7,77586,2026-03-06
ARVSMART,EQ,510.5,517.0,503.7,507.8,21304,2026-03-06
ASAHIINDIA,EQ,831.0,843.95,825.0,828.85,45217,2026-03-06
ASAHISONG,EQ,227.53,227.53,219.1,219.99,17502,2026-03-06
ASAL,EQ,451.9,469.3,441.5,445.7,63044,2026-03-06
ASALCBR,EQ,762.0,802.0,756.5,765.35,75307,2026-03-06
ASHAPURMIN,EQ,513.0,534.0,512.0,521.75,453062,2026-03-06
ASHIANA,EQ,309.05,320.0,304.0,307.0,79078,2026-03-06
ASHIMASYN,EQ,14.43,14.89,13.9,14.01,104029,2026-03-06
ASHOKA,EQ,122.21,124.38,120.2,120.45,1009869,2026-03-06
ASHOKAMET,EQ,14.39,14.97,13.72,14.03,31301,2026-03-06
ASHOKLEY,EQ,202.49,202.49,194.12,194.67,23585465,2026-03-06
ASIANENE,EQ,290.35,293.0,284.55,285.5,36440,2026-03-06
ASIANHOTNR,EQ,287.0,312.0,280.5,292.65,47324,2026-03-06
ASIANPAINT,EQ,2261.7,2307.9,2253.7,2279.5,979742,2026-03-06
ASIANTILES,EQ,68.99,68.99,66.0,66.67,2339476,2026-03-06
ASKAUTOLTD,EQ,388.4,394.4,384.05,391.85,121992,2026-03-06
ASMS,EQ,9.08,9.5,8.9,9.02,4608005,2026-03-06
ASPINWALL,EQ,213.44,220.0,210.5,211.29,2014,2026-03-06
ASTEC,EQ,633.5,641.5,625.0,627.6,17852,2026-03-06
ASTERDM,EQ,658.0,686.6,655.5,672.7,1434361,2026-03-06
ASTRAL,EQ,1669.0,1705.2,1664.1,1689.2,1096077,2026-03-06
ASTRAMICRO,EQ,1035.0,1055.0,1030.95,1038.05,634438,2026-03-06
ASTRAZEN,EQ,8560.0,8745.0,8509.0,8704.5,3424,2026-03-06
ASTRON,EQ,4.0,4.15,3.8,3.89,62494,2026-03-06
ATALREAL,EQ,23.5,24.15,22.34,23.49,5090265,2026-03-06
ATAM,EQ,60.01,60.78,56.5,58.45,10483,2026-03-06
ATGL,EQ,485.0,492.0,481.2,482.65,363825,2026-03-06
ATHERENERG,EQ,680.3,687.8,662.9,674.05,752277,2026-03-06
ATL,EQ,23.5,24.3,23.4,23.89,234927,2026-03-06
ATLANTAA,EQ,39.5,39.99,38.82,39.0,40030,2026-03-06
ATLANTAELE,EQ,939.0,967.0,905.1,918.2,129555,2026-03-06
ATLASCYCLE,EQ,89.84,89.84,87.0,89.28,2545,2026-03-06
ATUL,EQ,6500.0,6584.5,6370.0,6415.0,7485,2026-03-06
ATULAUTO,EQ,450.55,456.9,442.0,445.2,116167,2026-03-06
AUBANK,EQ,972.1,980.15,962.1,964.25,1174945,2026-03-06
AURIONPRO,EQ,865.0,884.35,855.0,858.7,80813,2026-03-06
AUROPHARMA,EQ,1224.9,1244.7,1215.1,1231.9,804367,2026-03-06
AURUM,EQ,173.02,174.32,166.5,167.47,25846,2026-03-06
AUTOAXLES,EQ,2003.3,2008.0,1975.5,1987.0,5772,2026-03-06
AUTOBEES,EQ,281.07,281.1,278.0,278.32,133560,2026-03-06
AUTOIETF,EQ,28.0,28.14,27.87,27.9,334957,2026-03-06
AUTOIND,EQ,71.87,72.25,69.15,70.42,134646,2026-03-06
AVADHSUGAR,EQ,405.0,407.5,376.5,384.2,115374,2026-03-06
AVALON,EQ,935.0,957.8,925.0,930.3,84159,2026-03-06
AVANTEL,EQ,143.19,149.85,141.99,145.11,1373327,2026-03-06
AVANTIFEED,EQ,1213.0,1220.3,1152.2,1165.1,422654,2026-03-06
AVG,EQ,138.69,142.98,136.5,138.01,21283,2026-03-06
AVL,EQ,468.0,472.0,460.0,463.15,142828,2026-03-06
AVONMORE,EQ,14.22,14.84,13.9,14.1,159398,2026-03-06
AVROIND,EQ,135.81,142.0,129.05,132.46,38878,2026-03-06
