SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,156.1,157.94,146.35,151.31,357805,2026-03-16
21STCENMGM,EQ,32.97,33.59,32.32,32.72,8718,2026-03-16
360ONE,EQ,1025.0,1038.9,1010.3,1022.9,331156,2026-03-16
3IINFOLTD,EQ,12.91,13.05,12.68,12.86,447673,2026-03-16
3MINDIA,EQ,32985.0,33100.0,32005.0,32970.0,7966,2026-03-16
3PLAND,EQ,29.15,30.98,28.51,29.51,28870,2026-03-16
5PAISA,EQ,300.75,300.75,288.35,292.55,57984,2026-03-16
63MOONS,EQ,555.0,570.55,538.9,545.7,199227,2026-03-16
AAATECH,EQ,92.1,94.85,92.1,93.1,10781,2026-03-16
AADHARHFC,EQ,457.95,481.8,451.25,478.75,429398,2026-03-16
AAREYDRUGS,EQ,67.16,67.19,60.99,62.81,57730,2026-03-16
AARNAV,EQ,24.5,27.0,23.09,24.27,14894,2026-03-16
AARON,EQ,138.85,144.92,138.6,140.27,14513,2026-03-16
AARTECH,EQ,40.35,42.06,39.01,40.54,33960,2026-03-16
AARTIDRUGS,EQ,349.0,349.0,335.5,339.1,143942,2026-03-16
AARTIIND,EQ,420.95,429.35,412.65,425.15,1349323,2026-03-16
AARTIPHARM,EQ,644.95,665.0,624.55,629.35,246146,2026-03-16
AARTISURF,EQ,372.5,372.5,341.0,348.95,19963,2026-03-16
AARVI,EQ,127.88,130.79,122.23,127.72,16184,2026-03-16
AAVAS,EQ,1159.5,1164.3,1121.0,1128.1,321137,2026-03-16
ABB,EQ,6400.0,6417.0,6162.5,6218.0,371084,2026-03-16
ABBOTINDIA,EQ,27045.0,27090.0,26605.0,26670.0,9442,2026-03-16
ABCAPITAL,EQ,309.0,317.1,307.5,314.6,3069058,2026-03-16
ABCOTS,EQ,409.8,409.8,335.0,399.55,44129,2026-03-16
ABDL,EQ,444.2,450.2,435.3,442.3,340551,2026-03-16
ABFRL,EQ,59.28,59.44,57.53,58.49,4086273,2026-03-16
ABGSEC,EQ,112.1,112.69,112.1,112.69,100,2026-03-16
ABINFRA,EQ,17.28,17.28,16.84,17.01,1029152,2026-03-16
ABLBL,EQ,97.41,98.0,94.26,95.75,3194505,2026-03-16
ABREL,EQ,1140.0,1142.0,1080.1,1094.9,332733,2026-03-16
ABSL10BANK,EQ,161.6,174.98,158.63,168.55,6824,2026-03-16
ABSLAMC,EQ,941.3,986.0,935.0,952.5,1436167,2026-03-16
ABSLBANETF,EQ,53.63,55.88,53.63,55.6,297938,2026-03-16
ABSLLIQUID,EQ,999.99,1000.01,999.99,1000.01,5054,2026-03-16
ABSLMSCIN,EQ,28.03,28.03,27.13,27.77,1186,2026-03-16
ABSLNN50ET,EQ,68.87,68.87,66.65,67.3,69123,2026-03-16
ABSLPSE,EQ,10.43,10.48,10.16,10.27,310461,2026-03-16
ACC,EQ,1377.0,1386.1,1361.8,1373.2,278403,2026-03-16
ACCELYA,EQ,1179.9,1180.8,1141.1,1164.3,12843,2026-03-16
ACCURACY,EQ,3.95,4.06,3.76,3.9,183653,2026-03-16
ACE,EQ,839.95,839.95,810.15,817.3,236767,2026-03-16
ACEINTEG,EQ,16.28,16.97,15.63,16.27,2950,2026-03-16
ACI,EQ,580.6,587.5,566.3,575.3,239808,2026-03-16
ACL,EQ,52.01,52.89,50.3,50.99,14602,2026-03-16
ACMESOLAR,EQ,255.45,260.0,242.0,244.89,2067998,2026-03-16
ACUTAAS,EQ,2062.2,2175.0,2062.0,2165.0,548411,2026-03-16
ADANIENSOL,EQ,987.5,1014.3,969.9,996.5,1628015,2026-03-16
ADANIENT,EQ,1961.0,1994.8,1946.6,1978.0,1465828,2026-03-16
ADANIGREEN,EQ,861.35,873.8,853.0,866.95,2609169,2026-03-16
ADANIPORTS,EQ,1356.6,1383.1,1347.0,1373.9,3322087,2026-03-16
ADANIPOWER,EQ,149.9,155.0,146.4,154.06,90227164,2026-03-16
ADFFOODS,EQ,181.55,184.71,178.02,180.21,85272,2026-03-16
ADL,EQ,70.8,70.8,65.0,65.12,1209,2026-03-16
ADOR,EQ,958.9,959.9,932.7,941.4,7346,2026-03-16
ADROITINFO,EQ,9.96,9.96,9.0,9.39,52825,2026-03-16
ADSL,EQ,97.9,99.48,95.1,96.78,264132,2026-03-16
