symbol,quarter_end_date,submission_date,window_label,promoter_pct,fii_pct,dii_pct,public_pct,source
AGI,30-JUN-2025,18-JUL-2025,Q1FY26,60.24,7.61,1.52,39.76,nse_xbrl
AGIIL,30-JUN-2025,17-JUL-2025,Q1FY26,72.94,0.12,0.03,27.06,nse_xbrl
AGROPHOS,30-JUN-2025,21-JUL-2025,Q1FY26,54.27,,0.0,45.73,screener
AHLADA,30-JUN-2025,21-JUL-2025,Q1FY26,49.3,0.0,0.0,50.7,screener
AHLEAST,30-JUN-2025,17-JUL-2025,Q1FY26,65.63,0.0,0.23,34.37,nse_xbrl
AHLUCONT,30-JUN-2025,10-JUL-2025,Q1FY26,55.32,12.44,24.26,44.68,nse_xbrl
AIAENG,30-JUN-2025,18-JUL-2025,Q1FY26,58.5,16.99,22.03,41.5,nse_xbrl
AIIL,30-JUN-2025,16-JUL-2025,Q1FY26,74.95,7.94,0.15,25.05,nse_xbrl
AIRAN,30-JUN-2025,15-JUL-2025,Q1FY26,72.34,0.01,0.0,27.66,nse_xbrl
AIROLAM,30-JUN-2025,19-JUL-2025,Q1FY26,53.41,,,46.86,screener
AJANTPHARM,30-JUN-2025,17-JUL-2025,Q1FY26,66.26,8.86,17.5,33.74,nse_xbrl
AJAXENGG,30-JUN-2025,21-JUL-2025,Q1FY26,80.0,6.46,8.95,20.0,nse_xbrl
AJMERA,30-JUN-2025,19-JUL-2025,Q1FY26,68.23,0.48,1.7399999999999998,31.77,nse_xbrl
AJOONI,30-JUN-2025,16-JUL-2025,Q1FY26,26.89,0.0,0.0,73.11,screener
AKASH,30-JUN-2025,19-JUL-2025,Q1FY26,74.59,,,25.41,screener
AKG,30-JUN-2025,18-JUL-2025,Q1FY26,37.6,1.49,,62.4,screener
AKSHAR,30-JUN-2025,18-JUL-2025,Q1FY26,0.27,0.0,,99.73,screener
AKSHARCHEM,30-JUN-2025,08-JUL-2025,Q1FY26,62.7,0.03,0.06,37.3,nse_xbrl
AKUMS,30-JUN-2025,17-JUL-2025,Q1FY26,75.26,4.24,8.85,22.01,nse_xbrl
ALANKIT,30-JUN-2025,21-JUL-2025,Q1FY26,54.15,0.38,0.01,45.85,nse_xbrl
ALBERTDAVD,30-JUN-2025,19-JUL-2025,Q1FY26,62.24,0.84,1.66,37.76,nse_xbrl
ALEMBICLTD,30-JUN-2025,16-JUL-2025,Q1FY26,70.88,1.5,0.05,29.12,nse_xbrl
ALICON,30-JUN-2025,16-JUL-2025,Q1FY26,54.01,0.16,11.89,45.99,nse_xbrl
ALIVUS,30-JUN-2025,21-JUL-2025,Q1FY26,74.94,6.42,5.61,25.06,nse_xbrl
ALKEM,30-JUN-2025,21-JUL-2025,Q1FY26,53.04,9.11,21.8,46.96,nse_xbrl
ALKYLAMINE,30-JUN-2025,19-JUL-2025,Q1FY26,72.03,3.25,2.61,27.97,nse_xbrl
ALLCARGO,30-JUN-2025,17-JUL-2025,Q1FY26,63.28,8.84,2.25,36.720000000000006,nse_xbrl
ALLDIGI,30-JUN-2025,11-JUL-2025,Q1FY26,73.39,1.33,1.36,26.61,nse_xbrl
ALMONDZ,30-JUN-2025,16-JUL-2025,Q1FY26,51.01,0.59,,48.99,nse_xbrl
ALOKINDS,30-JUN-2025,21-JUL-2025,Q1FY26,75.0,2.33,0.44,25.0,nse_xbrl
ALPA,30-JUN-2025,14-JUL-2025,Q1FY26,57.29,0.36,,42.71,nse_xbrl
ALPHAGEO,30-JUN-2025,18-JUL-2025,Q1FY26,45.99,1.84,0.03,54.01,nse_xbrl
AMBER,30-JUN-2025,19-JUL-2025,Q1FY26,39.65,28.59,17.82,60.35,nse_xbrl
AMBICAAGAR,30-JUN-2025,18-JUL-2025,Q1FY26,43.41,0.0,,56.59,screener
AMBIKCO,30-JUN-2025,08-JUL-2025,Q1FY26,50.35,0.37,1.58,49.65,nse_xbrl
AMBUJACEM,30-JUN-2025,21-JUL-2025,Q1FY26,67.57,7.44,18.7,32.43,nse_xbrl
AMDIND,30-JUN-2025,15-JUL-2025,Q1FY26,66.73,0.0,0.0,33.27,screener
AMJLAND,30-JUN-2025,16-JUL-2025,Q1FY26,65.94,0.04,0.0,34.06,nse_xbrl
AMNPLST,30-JUN-2025,21-JUL-2025,Q1FY26,73.17,0.0,0.0,26.83,nse_xbrl
AMRUTANJAN,30-JUN-2025,18-JUL-2025,Q1FY26,46.52,2.41,12.7,53.44,nse_xbrl
ANANDRATHI,30-JUN-2025,15-JUL-2025,Q1FY26,42.72,4.9,8.4,57.28,nse_xbrl
ANANTRAJ,30-JUN-2025,16-JUL-2025,Q1FY26,60.12,10.61,6.22,39.88,nse_xbrl
ANDHRAPAP,30-JUN-2025,18-JUL-2025,Q1FY26,72.45,0.84,4.68,27.55,nse_xbrl
ANDHRSUGAR,30-JUN-2025,12-JUL-2025,Q1FY26,47.28,2.62,0.0,52.72,nse_xbrl
ANGELONE,30-JUN-2025,17-JUL-2025,Q1FY26,28.97,14.66,16.43,71.03,nse_xbrl
ANMOL,30-JUN-2025,21-JUL-2025,Q1FY26,50.2,0.0,0.0,49.8,screener
