"THEME"
"23 WHEELERS"
"ABRASIVES AND BEARINGS"
"ADVERTISING AND MEDIA AGENCIES"
"AIRLINE"
"ALUMINIUM COPPER AND ZINC PRODUCTS"
"AMUSEMENT PARKS OTHER RECREATION"
"BUSINESS PROCESS OUTSOURCING BPO KNOWLEDGE PROCESS OUTSOURCING KPO"
"CARBON BLACK"
"CASTINGS AND FORGINGS"
"CERAMICS"
"CIGARETTES AND TOBACCO PRODUCTS"
"COAL"
"COMPRESSORS PUMPS AND DIESEL ENGINES"
"COMPUTERS HARDWARE AND EQUIPMENTS"
"CONSTRUCTION VEHICLES"
"CONSULTING SERVICES"
"DEALERS-COMMERCIAL VEHICLES TRACTORS CONSTRUCTION VEHICLES"
"DEPOSITORIES CLEARING HOUSES AND OTHER INTERMEDIARIES"
"DIGITAL ENTERTAINMENT"
"DISTRIBUTORS"
"DIVERSIFIED"
"DIVERSIFIED COMMERCIAL SERVICES"
"DIVERSIFIED CONSUMER PRODUCTS"
"DREDGING"
"ELECTRODES AND REFRACTORIES"
"EXCHANGE AND DATA PLATFORM"
"EXPLOSIVES"
"FERRO AND SILICA MANGANESE"
"FILM PRODUCTION DISTRIBUTION AND EXHIBITION"
"FINANCIAL PRODUCTS DISTRIBUTOR"
"FINANCIAL TECHNOLOGY FINTECH"
"FOOTWEAR"
"FOREST PRODUCTS"
"FURNITURE HOME FURNISHING"
"GAS TRANSMISSIONMARKETING"
"GEMS JEWELLERY AND WATCHES"
"GENERAL INSURANCE"
"GLASS - CONSUMER"
"GLASS - INDUSTRIAL"
"GRANITES AND MARBLES"
"HEALTHCARE RESEARCH ANALYTICS AND TECHNOLOGY"
"HOUSEWARE"
"INDUSTRIAL GASES"
"INDUSTRIAL MINERALS"
"INSURANCE DISTRIBUTORS"
"JUTE AND JUTE PRODUCTS"
"LEATHER AND LEATHER PRODUCTS"
"LEISURE PRODUCTS"
"LIFE INSURANCE"
"LPGCNGPNGLNG SUPPLIER"
"LUBRICANTS"
"MASTER SCREENER UNIVERSE.CSV"
"MEAT PRODUCTS INCLUDING POULTRY"
"MULTI UTILITIES"
"NON BANKING FINANCIAL COMPANY NBFC"
"OFFSHORE SUPPORT SOLUTION DRILLING"
"OIL EQUIPMENT AND SERVICES"
"OIL EXPLORATION AND PRODUCTION"
"OIL STORAGE AND TRANSPORTATION"
"OTHER BEVERAGES"
"OTHER CAPITAL MARKET RELATED SERVICES"
"OTHER CONSTRUCTION MATERIALS"
"OTHER CONSUMER SERVICES"
"OTHER TELECOM SERVICES"
"PAINTS"
"PIG IRON"
"PLASTIC PRODUCTS - CONSUMER"
"PLASTIC PRODUCTS - INDUSTRIAL"
"PLYWOOD BOARDS LAMINATES"
"PRINTING AND PUBLICATION"
"PRINTING INKS"
"REAL ESTATE INVESTMENT TRUSTS REITS"
"REFINERIES AND MARKETING"
"RESIDENTIAL COMMERCIAL PROJECTS"
"ROAD ASSETSTOLL ANNUITY HYBRID-ANNUITY"
"RUBBER"
"SANITARY WARE"
"SEAFOOD"
"SHIP BUILDING AND ALLIED SERVICES"
"SPONGE IRON"
"STATIONARY"
"SUGAR"
"TELECOM -  EQUIPMENT AND ACCESSORIES"
"TELECOM - CELLULAR AND FIXED LINE SERVICES"
"TELECOM - INFRASTRUCTURE"
"TOUR TRAVEL RELATED SERVICES"
"TRADING - CHEMICALS"
"TRADING - GAS"
"TRADING - METALS"
"TRADING - MINERALS"
"TRADING AND DISTRIBUTORS"
"TYRES AND RUBBER PRODUCTS"
"WASTE MANAGEMENT"
"WATER SUPPLY AND MANAGEMENT"
"WEB BASED MEDIA AND SERVICE"
