city_key,latitude,longitude,resolved_name,source,added_on
bokaro,23.699128,85.991069,"Bokaro, Jharkhand, India",nominatim,2026-07-09
barh,25.450977,85.700249,"Barh, Patna, Bihar, 803213, India",nominatim,2026-08-18
