SYMBOL,COMPANY_NAME,SECTOR,SOURCE,LAST_UPDATED
INDOBORAX,Indo Borax & Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
INDOTHAI,Indo Thai Securities Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
INDSWFTLAB,Ind-Swift Laboratories Limited,PHARMA,AUTO_V2,2026-06-06
INDUSINDBK,IndusInd Bank Limited,BANKING,AUTO_V2,2026-06-06
INFOBEAN,InfoBeans Technologies Limited,IT,AUTO_V2,2026-06-06
INFY,Infosys Limited,IT,AUTO_V2,2026-06-06
INOXGREEN,Inox Green Energy Services Limited,RENEWABLE_ENERGY,AUTO_V2,2026-06-06
INSECTICID,Insecticides (India) Limited,SPECIALTY_CHEMICALS,AUTO_V2,2026-06-06
INTELLECT,Intellect Design Arena Limited,IT,AUTO_V2,2026-06-06
INTENTECH,Intense Technologies Limited,IT,AUTO_V2,2026-06-06
INVENTURE,Inventure Growth & Securities Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
IOB,Indian Overseas Bank,BANKING,AUTO_V2,2026-06-06
IOC,Indian Oil Corporation Limited,OIL_GAS,AUTO_V2,2026-06-06
IOLCP,IOL Chemicals and Pharmaceuticals Limited,PHARMA,AUTO_V2,2026-06-06
IPCALAB,IPCA Laboratories Limited,PHARMA,AUTO_V2,2026-06-06
IPL,India Pesticides Limited,SPECIALTY_CHEMICALS,AUTO_V2,2026-06-06
IRCON,Ircon International Limited,RAILWAY,AUTO_V2,2026-06-06
IRCTC,Indian Railway Catering And Tourism Corporation Limited,RAILWAY,AUTO_V2,2026-06-06
IREDA,Indian Renewable Energy Development Agency Limited,RENEWABLE_ENERGY,AUTO_V2,2026-06-06
IRFC,Indian Railway Finance Corporation Limited,RAILWAY,AUTO_V2,2026-06-06
IRMENERGY,IRM Energy Limited,POWER,AUTO_V2,2026-06-06
ISFT,Intrasoft Technologies Limited,IT,AUTO_V2,2026-06-06
ISGEC,Isgec Heavy Engineering Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
ISHANCH,Ishan Dyes and Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
ITCHOTELS,ITC Hotels Limited,HOSPITALITY,AUTO_V2,2026-06-06
J&KBANK,The Jammu & Kashmir Bank Limited,BANKING,AUTO_V2,2026-06-06
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,PHARMA,AUTO_V2,2026-06-06
JAMNAAUTO,Jamna Auto Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
JASH,Jash Engineering Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
JAYAGROGN,Jayant Agro Organics Limited,CHEMICALS,AUTO_V2,2026-06-06
JAYNECOIND,Jayaswal Neco Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
JAYSREETEA,Jayshree Tea & Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,PHARMA,AUTO_V2,2026-06-06
JETFREIGHT,Jet Freight Logistics Limited,LOGISTICS,AUTO_V2,2026-06-06
JGCHEM,J.G.Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
JHS,JHS Svendgaard Laboratories Limited,PHARMA,AUTO_V2,2026-06-06
JINDALSTEL,JINDAL STEEL LIMITED,METALS,AUTO_V2,2026-06-06
JINDRILL,Jindal Drilling And Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
JIOFIN,Jio Financial Services Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
JITFINFRA,JITF Infralogistics Limited,LOGISTICS,AUTO_V2,2026-06-06
JKCEMENT,JK Cement Limited,CEMENT,AUTO_V2,2026-06-06
JKLAKSHMI,JK Lakshmi Cement Limited,CEMENT,AUTO_V2,2026-06-06
JKTYRE,JK Tyre & Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
JLHL,Jupiter Life Line Hospitals Limited,HEALTHCARE,AUTO_V2,2026-06-06
JSFB,Jana Small Finance Bank Limited,BANKING,AUTO_V2,2026-06-06
JSL,Jindal Stainless Limited,METALS,AUTO_V2,2026-06-06
JSWCEMENT,JSW Cement Limited,CEMENT,AUTO_V2,2026-06-06
JSWENERGY,JSW Energy Limited,POWER,AUTO_V2,2026-06-06
JSWINFRA,JSW Infrastructure Limited,INFRASTRUCTURE,AUTO_V2,2026-06-06
JSWSTEEL,JSW Steel Limited,METALS,AUTO_V2,2026-06-06
JTLIND,JTL INDUSTRIES LIMITED,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
JUNIPER,Juniper Hotels Limited,HOSPITALITY,AUTO_V2,2026-06-06
KANANIIND,Kanani Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
KARMAENG,Karma Energy Limited,POWER,AUTO_V2,2026-06-06
KARURVYSYA,Karur Vysya Bank Limited,BANKING,AUTO_V2,2026-06-06
