"THEME"
"23 WHEELERS"
"ABRASIVES AND BEARINGS"
"ADVERTISING AND MEDIA AGENCIES"
"AEROSPACE AND DEFENSE"
"AIRLINE"
"AIRPORT AND AIRPORT SERVICES"
"ALUMINIUM"
"ALUMINIUM, COPPER AND ZINC PRODUCTS"
"AMUSEMENT PARKS OTHER RECREATION"
"ANIMAL FEED"
"ASSET MANAGEMENT COMPANY"
"AUTO COMPONENTS AND EQUIPMENTS"
"AUTO DEALER"
"BIOTECHNOLOGY"
"BREWERIES AND DISTILLERIES"
"BUSINESS PROCESS OUTSOURCING (BPO) KNOWLEDGE PROCESS OUTSOURCING (KPO)"
"CABLES - ELECTRICALS"
"CARBON BLACK"
"CASTINGS AND FORGINGS"
"CEMENT AND CEMENT PRODUCTS"
"CERAMICS"
"CIGARETTES AND TOBACCO PRODUCTS"
"CIVIL CONSTRUCTION"
"COAL"
"COMMERCIAL VEHICLES"
"COMMODITY CHEMICALS"
"COMPRESSORS, PUMPS AND DIESEL ENGINES"
"COMPUTERS - SOFTWARE AND CONSULTING"
"COMPUTERS HARDWARE AND EQUIPMENTS"
"CONSTRUCTION VEHICLES"
"CONSULTING SERVICES"
"CONSUMER ELECTRONICS"
"COPPER"
"DAIRY PRODUCTS"
"DATA PROCESSING SERVICES"
"DEPOSITORIES, CLEARING HOUSES AND OTHER INTERMEDIARIES"
"DIGITAL ENTERTAINMENT"
"DIVERSIFIED"
"DIVERSIFIED COMMERCIAL SERVICES"
"DIVERSIFIED FMCG"
"DIVERSIFIED METALS"
"DIVERSIFIED RETAIL"
"DREDGING"
"DYES AND PIGMENTS"
"EDIBLE OIL"
"EDUCATION"
"E-LEARNING"
"ELECTRODES AND REFRACTORIES"
"ELECTRONIC MEDIA"
"E-RETAIL E-COMMERCE"
"EXCHANGE AND DATA PLATFORM"
"EXPLOSIVES"
"FERRO AND SILICA MANGANESE"
"FERTILIZERS"
"FILM PRODUCTION, DISTRIBUTION AND EXHIBITION"
"FINANCIAL INSTITUTION"
"FINANCIAL PRODUCTS DISTRIBUTOR"
"FINANCIAL TECHNOLOGY (FINTECH)"
"FOOTWEAR"
"FOREST PRODUCTS"
"FURNITURE, HOME FURNISHING"
"GARMENTS AND APPARELS"
"GAS TRANSMISSIONMARKETING"
"GEMS, JEWELLERY AND WATCHES"
"GENERAL INSURANCE"
"GLASS - CONSUMER"
"GLASS - INDUSTRIAL"
"GRANITES AND MARBLES"
"HEALTHCARE RESEARCH, ANALYTICS AND TECHNOLOGY"
"HEALTHCARE SERVICE PROVIDER"
"HEAVY ELECTRICAL EQUIPMENT"
"HOLDING COMPANY"
"HOSPITAL"
"HOTELS AND RESORTS"
"HOUSEHOLD APPLIANCES"
"HOUSEHOLD PRODUCTS"
"HOUSEWARE"
"HOUSING FINANCE COMPANY"
"INDUSTRIAL GASES"
"INDUSTRIAL MINERALS"
"INDUSTRIAL PRODUCTS"
"INTEGRATED POWER UTILITIES"
"INTERNET AND CATALOGUE RETAIL"
"INVESTMENT COMPANY"
"IRON AND STEEL"
"IRON AND STEEL PRODUCTS"
"IT ENABLED SERVICES"
"JUTE AND JUTE PRODUCTS"
"LEATHER AND LEATHER PRODUCTS"
"LEISURE PRODUCTS"
"LIFE INSURANCE"
"LOGISTICS SOLUTION PROVIDER"
"LPGCNGPNGLNG SUPPLIER"
"LUBRICANTS"
"MEAT PRODUCTS INCLUDING POULTRY"
"MEDIA AND ENTERTAINMENT"
"MEDICAL EQUIPMENT AND SUPPLIES"
"MICROFINANCE INSTITUTIONS"
"NON BANKING FINANCIAL COMPANY (NBFC)"
"OFFSHORE SUPPORT SOLUTION DRILLING"
"OIL EQUIPMENT AND SERVICES"
"OIL EXPLORATION AND PRODUCTION"
"OIL STORAGE AND TRANSPORTATION"
"OTHER AGRICULTURAL PRODUCTS"
"OTHER BANK"
"OTHER BEVERAGES"
"OTHER CAPITAL MARKET RELATED SERVICES"
"OTHER CONSTRUCTION MATERIALS"
"OTHER CONSUMER SERVICES"
"OTHER ELECTRICAL EQUIPMENT"
"OTHER FINANCIAL SERVICES"
"OTHER FOOD PRODUCTS"
"OTHER INDUSTRIAL PRODUCTS"
"OTHER TELECOM SERVICES"
"OTHER TEXTILE PRODUCTS"
"PACKAGED FOODS"
"PACKAGING"
"PAINTS"
"PAPER AND PAPER PRODUCTS"
"PASSENGER CARS AND UTILITY VEHICLES"
"PERSONAL CARE"
"PESTICIDES AND AGROCHEMICALS"
"PETROCHEMICALS"
"PHARMACEUTICALS"
"PHARMACY RETAIL"
"PLASTIC PRODUCTS - CONSUMER"
"PLASTIC PRODUCTS - INDUSTRIAL"
"PLYWOOD BOARDS LAMINATES"
"PORT AND PORT SERVICES"
"POWER - TRANSMISSION"
"POWER DISTRIBUTION"
"POWER GENERATION"
"POWER TRADING"
"PRECIOUS METALS"
"PRINT MEDIA"
"PRINTING AND PUBLICATION"
"PRINTING INKS"
"PRIVATE SECTOR BANK"
"PUBLIC SECTOR BANK"
"RAILWAY WAGONS"
"RATINGS"
"REAL ESTATE RELATED SERVICES"
"REFINERIES AND MARKETING"
"RESIDENTIAL, COMMERCIAL PROJECTS"
"RESTAURANTS"
"ROAD ASSETSTOLL, ANNUITY, HYBRID-ANNUITY"
"ROAD TRANSPORT"
"RUBBER"
"SANITARY WARE"
"SEAFOOD"
"SHIP BUILDING AND ALLIED SERVICES"
"SHIPPING"
"SOFTWARE PRODUCTS"
"SPECIALITY RETAIL"
"SPECIALTY CHEMICALS"
"SPONGE IRON"
"STATIONARY"
"STOCKBROKING AND ALLIED"
"SUGAR"
"TEA AND COFFEE"
"TELECOM -  EQUIPMENT AND ACCESSORIES"
"TELECOM - CELLULAR AND FIXED LINE SERVICES"
"TELECOM - INFRASTRUCTURE"
"TOUR, TRAVEL RELATED SERVICES"
"TRACTORS"
"TRADING - AUTO COMPONENTS"
"TRADING - CHEMICALS"
"TRADING - GAS"
"TRADING - METALS"
"TRADING - MINERALS"
"TRADING - TEXTILE PRODUCTS"
"TRADING AND DISTRIBUTORS"
"TRANSPORT RELATED SERVICES"
"TV BROADCASTING AND SOFTWARE PRODUCTION"
"TYRES AND RUBBER PRODUCTS"
"WASTE MANAGEMENT"
"WATER SUPPLY AND MANAGEMENT"
"WEB BASED MEDIA AND SERVICE"
"WELLNESS"
"ZINC"
