NSE_SYMBOL,NSE_COMPANY,BSE_SYMBOL,BSE_COMPANY,ISIN,MATCH_METHOD,MATCH_CONFIDENCE
MUKTAARTS,Mukta Arts Limited,,,,UNMATCHED,0
NBIFIN,N. B. I. Industrial Finance Company Limited,,,,UNMATCHED,0
NDGL,Naga Dhunseri Group Limited,,,,UNMATCHED,0
NIMBSPROJ,Nimbus Projects Limited,,,,UNMATCHED,0
NIRAJISPAT,Niraj Ispat Industries Limited,,,,UNMATCHED,0
NITIRAJ,Nitiraj Engineers Limited,,,,UNMATCHED,0
NKIND,NK Industries Limited,,,,UNMATCHED,0
NRL,Nupur Recyclers Limited,,,,UNMATCHED,0
OSIAHYPER,Osia Hyper Retail Limited,,,,UNMATCHED,0
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,,,,UNMATCHED,0
PANACHE,Panache Digilife Limited,,,,UNMATCHED,0
PANSARI,Pansari Developers Limited,,,,UNMATCHED,0
PAR,Par Drugs And Chemicals Limited,,,,UNMATCHED,0
PKTEA,The Peria Karamalai Tea & Produce Company Limited,,,,UNMATCHED,0
PODDARMENT,Poddar Pigments Limited,,,,UNMATCHED,0
PRECOT,Precot Limited,,,,UNMATCHED,0
PRITI,Priti International Limited,,,,UNMATCHED,0
RAJMET,Rajnandini Metal Limited,,,,UNMATCHED,0
REPL,Rudrabhishek Enterprises Limited,,,,UNMATCHED,0
RKEC,RKEC Projects Limited,,,,UNMATCHED,0
RPPL,Rajshree Polypack Limited,,,,UNMATCHED,0
SAGARDEEP,Sagardeep Alloys Limited,,,,UNMATCHED,0
SAKAR,Sakar Healthcare Limited,,,,UNMATCHED,0
SANDESH,The Sandesh Limited,,,,UNMATCHED,0
SANGINITA,Sanginita Chemicals Limited,,,,UNMATCHED,0
SECMARK,SecMark Consultancy Limited,,,,UNMATCHED,0
SERVOTECH,Servotech Renewable Power System Limited,,,,UNMATCHED,0
SHANTI,Shanti Overseas (India) Limited,,,,UNMATCHED,0
SHIVAUM,Shiv Aum Steels Limited,,,,UNMATCHED,0
SHRADHA,Shradha Realty Limited,,,,UNMATCHED,0
SHRENIK,Shrenik Limited,,,,UNMATCHED,0
SIKKO,Sikko Industries Limited,,,,UNMATCHED,0
SILGO,Silgo Retail Limited,,,,UNMATCHED,0
SILLYMONKS,Silly Monks Entertainment Limited,,,,UNMATCHED,0
SINTERCOM,Sintercom India Limited,,,,UNMATCHED,0
SOLEX,Solex Energy Limited,,,,UNMATCHED,0
SONAL,Sonal Mercantile Limited,,,,UNMATCHED,0
SONAMLTD,SONAM LIMITED,,,,UNMATCHED,0
SPCENET,Spacenet Enterprises India Limited,,,,UNMATCHED,0
STEELCITY,Steel City Securities Limited,,,,UNMATCHED,0
SUMIT,Sumit Woods Limited,,,,UNMATCHED,0
SUPREMEENG,Supreme Engineering Limited,,,,UNMATCHED,0
SURYALAXMI,Suryalakshmi Cotton Mills Limited,,,,UNMATCHED,0
SVLL,Shree Vasu Logistics Limited,,,,UNMATCHED,0
TARACHAND,Tara Chand InfraLogistic Solutions Limited,,,,UNMATCHED,0
TEMBO,Tembo Global Industries Limited,,,,UNMATCHED,0
THEJO,Thejo Engineering Limited,,,,UNMATCHED,0
TIRUPATIFL,Tirupati Forge Limited,,,,UNMATCHED,0
TOTAL,Total Transport Systems Limited,,,,UNMATCHED,0
TOUCHWOOD,Touchwood Entertainment Limited,,,,UNMATCHED,0
TSFINV,TSF INVESTMENTS LIMITED,,,,UNMATCHED,0
UNIINFO,Uniinfo Telecom Services Limited,,,,UNMATCHED,0
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,,,,UNMATCHED,0
UNIVASTU,Univastu India Limited,,,,UNMATCHED,0
UNIVPHOTO,Universus Photo Imagings Limited,,,,UNMATCHED,0
VAISHALI,Vaishali Pharma Limited,,,,UNMATCHED,0
VARDHACRLC,Vardhman Acrylics Limited,,,,UNMATCHED,0
VCL,Vaxtex Cotfab Limited,,,,UNMATCHED,0
VERTOZ,Vertoz Limited,,,,UNMATCHED,0
VHL,Vardhman Holdings Limited,,,,UNMATCHED,0
VITAL,Vital Chemtech Limited,,,,UNMATCHED,0
VIVIANA,Viviana Power Tech Limited,,,,UNMATCHED,0
WEIZMANIND,Weizmann Limited,,,,UNMATCHED,0
WINSOME,Winsome Yarns Limited,,,,UNMATCHED,0
WIPL,The Western India Plywoods Limited,,,,UNMATCHED,0
ZOTA,Zota Health Care LImited,,,,UNMATCHED,0
