YEAR,TOTAL_FILES
1995,221
1996,235
1997,242
1998,246
1999,249
2000,250
2001,248
2002,251
2003,251
2004,252
2005,249
2006,247
2007,249
2008,246
2009,242
2010,251
2011,247
2012,247
2013,248
2014,243
2015,247
2016,246
2017,248
2018,246
2019,244
2020,261
2021,261
2022,258
2023,260
2024,262
2025,251
2026,2
