SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,74.0,76.1,73.5,74.9,189445,2022-03-18
21STCENMGM,EQ,27.05,27.05,27.05,27.05,4104,2022-03-18
3IINFOLTD,EQ,58.45,58.5,56.1,56.6,856419,2022-03-18
3MINDIA,EQ,19900.0,20249.8,19738.75,20026.75,12906,2022-03-18
5PAISA,EQ,316.0,375.2,316.0,373.25,210102,2022-03-18
A2ZINFRA,EQ,10.65,10.65,10.25,10.35,250896,2022-03-18
AAREYDRUGS,EQ,44.6,45.0,40.15,41.9,78867,2022-03-18
AARON,EQ,113.5,115.0,112.5,114.7,2884,2022-03-18
AARTIDRUGS,EQ,450.0,463.6,450.0,454.85,137244,2022-03-18
AARTIIND,EQ,875.0,898.55,868.5,891.6,1550992,2022-03-18
AARTISURF,EQ,786.0,786.0,760.0,767.0,19398,2022-03-18
AARVEEDEN,EQ,25.8,25.8,24.95,25.4,8111,2022-03-18
AARVI,EQ,90.9,90.9,88.05,89.5,37983,2022-03-18
AAVAS,EQ,2475.0,2506.65,2400.05,2489.85,142815,2022-03-18
ABAN,EQ,46.0,50.4,46.0,50.4,187440,2022-03-18
ABB,EQ,2205.0,2208.0,2090.0,2101.35,603010,2022-03-18
ABBOTINDIA,EQ,17360.0,17498.35,17115.0,17257.9,14542,2022-03-18
ABCAPITAL,EQ,110.0,110.85,108.0,109.85,4259155,2022-03-18
ABFRL,EQ,282.0,289.7,280.65,285.25,3121789,2022-03-18
ABMINTLLTD,EQ,94.4,94.85,88.35,90.0,750,2022-03-18
ABSLAMC,EQ,503.0,503.0,494.9,498.0,457217,2022-03-18
ABSLBANETF,EQ,35.53,37.75,34.85,36.28,8943,2022-03-18
ABSLNN50ET,EQ,42.0,42.5,41.55,41.85,7100,2022-03-18
ACC,EQ,2166.0,2166.0,2118.0,2122.65,820627,2022-03-18
ACCELYA,EQ,1034.0,1036.65,1004.2,1009.35,27779,2022-03-18
ACCURACY,EQ,257.6,259.85,250.1,250.8,49662,2022-03-18
ACE,EQ,219.5,226.95,218.1,221.35,447551,2022-03-18
ACRYSIL,EQ,739.45,847.0,731.5,804.65,284928,2022-03-18
ADANIENT,EQ,1775.6,1823.6,1760.0,1819.65,2392329,2022-03-18
ADANIGREEN,EQ,1870.0,1950.0,1825.7,1901.2,1137281,2022-03-18
ADANIPORTS,EQ,730.5,743.8,729.55,740.1,4957379,2022-03-18
ADANIPOWER,EQ,125.3,127.65,123.7,125.1,28165037,2022-03-18
ADANITRANS,EQ,2319.5,2420.65,2317.0,2389.8,2006144,2022-03-18
ADFFOODS,EQ,728.2,739.2,717.5,723.8,9327,2022-03-18
ADORWELD,EQ,656.0,659.5,638.0,639.55,12927,2022-03-18
ADSL,EQ,126.4,129.85,122.0,123.25,173494,2022-03-18
ADVANIHOTR,EQ,89.4,90.9,88.45,90.2,92356,2022-03-18
ADVENZYMES,EQ,305.0,307.35,300.0,300.55,113022,2022-03-18
AEGISCHEM,EQ,199.7,200.0,192.0,193.45,634301,2022-03-18
AFFLE,EQ,1220.0,1224.95,1205.0,1210.7,280865,2022-03-18
AGARIND,EQ,494.9,554.0,485.0,543.75,198427,2022-03-18
AGRITECH,EQ,97.0,97.1,97.0,97.1,14712,2022-03-18
AGROPHOS,EQ,23.35,24.2,22.7,23.9,46386,2022-03-18
AGSTRA,EQ,103.7,106.0,103.7,104.05,446340,2022-03-18
AHLADA,EQ,116.0,119.85,116.0,116.7,11592,2022-03-18
AHLEAST,EQ,206.0,206.0,197.1,198.55,4628,2022-03-18
AHLUCONT,EQ,385.3,409.0,385.3,399.9,24724,2022-03-18
AIAENG,EQ,1752.95,1784.4,1717.0,1749.05,24106,2022-03-18
AIRAN,EQ,20.2,20.2,17.1,19.6,221620,2022-03-18
AIROLAM,EQ,71.0,72.9,67.1,69.35,31825,2022-03-18
AJANTPHARM,EQ,1855.0,1970.0,1833.05,1940.5,123303,2022-03-18
AJMERA,EQ,355.0,355.85,348.7,353.35,29670,2022-03-18
AJOONI,EQ,62.8,63.75,59.8,60.65,21199,2022-03-18
AKG,EQ,39.2,39.7,38.55,38.9,11208,2022-03-18
AKSHARCHEM,EQ,383.25,392.45,373.8,376.05,11738,2022-03-18
AKSHOPTFBR,EQ,10.9,11.4,10.9,11.25,544021,2022-03-18
AKZOINDIA,EQ,1956.15,1964.0,1920.0,1940.95,22015,2022-03-18
ALANKIT,EQ,14.15,14.25,13.9,14.15,306416,2022-03-18
ALBERTDAVD,EQ,533.75,550.0,533.75,541.5,8885,2022-03-18
ALEMBICLTD,EQ,81.95,82.55,81.6,82.05,168792,2022-03-18
ALICON,EQ,740.0,748.6,734.15,740.1,13890,2022-03-18
ALKEM,EQ,3435.0,3468.75,3415.35,3438.95,120404,2022-03-18
ALKYLAMINE,EQ,2959.0,2964.95,2877.45,2894.0,80369,2022-03-18
ALLCARGO,EQ,317.85,329.7,316.0,326.55,794489,2022-03-18
ALLSEC,EQ,570.5,582.0,555.5,558.45,20606,2022-03-18
ALMONDZ,EQ,106.3,107.3,101.0,102.2,10457,2022-03-18
ALOKINDS,EQ,24.85,24.85,24.45,24.6,8394059,2022-03-18
ALPA,EQ,74.2,74.9,71.7,72.35,33914,2022-03-18
ALPHAGEO,EQ,337.0,343.9,326.65,334.1,34680,2022-03-18
ALPSINDUS,EQ,2.3,2.3,2.3,2.3,2423,2022-03-18
AMARAJABAT,EQ,585.0,590.8,578.25,579.75,973110,2022-03-18
AMBER,EQ,3675.0,3823.05,3635.35,3698.3,211024,2022-03-18
AMBICAAGAR,EQ,29.35,29.5,27.9,28.55,49774,2022-03-18
AMBIKCO,EQ,2579.95,2590.0,2502.35,2536.55,28759,2022-03-18
AMBUJACEM,EQ,314.2,314.9,305.45,306.2,9901093,2022-03-18
AMDIND,EQ,47.2,51.5,47.0,49.7,166766,2022-03-18
AMIORG,EQ,898.0,913.5,887.85,893.05,90379,2022-03-18
AMJLAND,EQ,33.7,39.0,31.65,33.7,1534523,2022-03-18
AMRUTANJAN,EQ,839.8,850.0,835.9,840.65,17267,2022-03-18
ANANDRATHI,EQ,579.75,580.5,567.5,570.05,43670,2022-03-18
ANANTRAJ,EQ,67.9,68.25,65.8,66.4,460384,2022-03-18
ANDHRACEMT,EQ,14.3,14.65,14.1,14.45,168155,2022-03-18
ANDHRAPAP,EQ,288.85,298.8,277.0,285.5,399358,2022-03-18
ANDHRSUGAR,EQ,154.0,156.0,149.0,149.75,404644,2022-03-18
ANDREWYU,EQ,21.35,21.9,21.15,21.55,227866,2022-03-18
ANGELONE,EQ,1434.0,1671.8,1427.8,1619.05,6406427,2022-03-18
ANIKINDS,EQ,34.05,34.35,31.55,31.6,133715,2022-03-18
ANMOL,EQ,215.9,219.0,211.05,211.7,24413,2022-03-18
ANSALAPI,EQ,15.0,15.0,14.15,14.25,182234,2022-03-18
ANUP,EQ,869.95,869.95,848.75,852.0,11804,2022-03-18
ANURAS,EQ,894.0,906.0,876.05,882.25,70481,2022-03-18
APARINDS,EQ,661.0,688.95,661.0,666.45,58024,2022-03-18
APCL,EQ,273.6,275.85,269.8,271.35,24725,2022-03-18
APCOTEXIND,EQ,363.0,373.15,361.05,363.95,34159,2022-03-18
APEX,EQ,282.5,287.8,280.5,281.95,96426,2022-03-18
APLAPOLLO,EQ,949.8,955.0,896.95,911.6,421090,2022-03-18
APLLTD,EQ,737.95,742.45,724.6,726.4,261392,2022-03-18
APOLLOHOSP,EQ,4947.0,4998.0,4824.9,4839.9,852493,2022-03-18
APOLLOPIPE,EQ,478.0,495.05,471.0,481.5,55736,2022-03-18
APOLLOTYRE,EQ,190.0,194.9,189.05,193.75,5449690,2022-03-18
APOLSINHOT,EQ,809.9,810.0,773.35,787.35,950,2022-03-18
APTECHT,EQ,338.05,351.2,333.0,345.15,385301,2022-03-18
APTUS,EQ,372.0,389.0,367.05,382.2,378557,2022-03-18
ARCHIDPLY,EQ,44.0,44.6,40.5,40.5,53056,2022-03-18
ARCHIES,EQ,17.35,20.7,17.35,20.0,358471,2022-03-18
ARIES,EQ,137.05,138.65,132.05,135.0,35356,2022-03-18
ARIHANTCAP,EQ,447.05,459.0,427.65,434.15,75497,2022-03-18
ARIHANTSUP,EQ,124.45,130.0,123.25,129.85,181916,2022-03-18
ARMANFIN,EQ,938.0,955.0,921.1,947.1,17347,2022-03-18
AROGRANITE,EQ,59.3,66.0,58.25,61.85,440893,2022-03-18
ARROWGREEN,EQ,105.8,105.8,100.3,101.5,9482,2022-03-18
ARSHIYA,EQ,32.5,35.85,31.75,32.25,1192926,2022-03-18
ARTEMISMED,EQ,41.2,41.2,39.3,39.55,44236,2022-03-18
ARVEE,EQ,120.9,132.95,120.2,132.95,21405,2022-03-18
ARVIND,EQ,118.9,120.6,117.25,118.3,797021,2022-03-18
ARVINDFASN,EQ,266.5,272.9,266.45,268.5,271202,2022-03-18
ARVSMART,EQ,208.0,215.0,204.0,204.85,51071,2022-03-18
ASAHIINDIA,EQ,443.0,455.8,430.2,431.9,662994,2022-03-18
ASAHISONG,EQ,270.75,278.9,267.7,269.6,14594,2022-03-18
ASALCBR,EQ,471.0,484.0,466.75,472.65,54026,2022-03-18
ASHAPURMIN,EQ,103.5,104.05,100.1,100.95,116405,2022-03-18
ASHIANA,EQ,149.3,151.85,146.95,150.1,39530,2022-03-18
ASHIMASYN,EQ,17.7,17.95,16.4,16.6,94512,2022-03-18
ASHOKA,EQ,90.95,93.3,89.6,91.65,933492,2022-03-18
ASHOKLEY,EQ,117.0,117.2,113.45,114.45,29630619,2022-03-18
ASIANENE,EQ,114.15,114.95,112.55,113.1,54808,2022-03-18
ASIANHOTNR,EQ,78.8,81.5,78.1,78.85,24447,2022-03-18
ASIANPAINT,EQ,3113.5,3163.3,3076.5,3136.6,2867519,2022-03-18
ASIANTILES,EQ,104.9,111.5,104.55,107.95,608281,2022-03-18
ASPINWALL,EQ,185.0,193.7,183.25,184.8,5166,2022-03-18
ASTEC,EQ,1690.0,1696.2,1660.0,1667.45,9928,2022-03-18
ASTERDM,EQ,175.0,175.9,173.65,174.45,145495,2022-03-18
ASTRAL,EQ,2047.95,2098.8,2017.75,2029.95,476699,2022-03-18
ASTRAMICRO,EQ,227.0,228.05,218.35,221.3,198335,2022-03-18
ASTRAZEN,EQ,2670.0,2694.9,2670.0,2677.95,8719,2022-03-18
ASTRON,EQ,47.5,47.75,45.1,45.7,98640,2022-03-18
ATFL,EQ,838.2,858.0,828.0,833.55,3316,2022-03-18
ATGL,EQ,1701.25,1769.35,1682.25,1766.8,706012,2022-03-18
ATUL,EQ,9940.0,10049.5,9600.0,9738.9,91365,2022-03-18
ATULAUTO,EQ,175.0,175.0,169.35,171.25,150080,2022-03-18
AUBANK,EQ,1200.0,1205.0,1159.75,1163.4,1142117,2022-03-18
AURIONPRO,EQ,299.0,299.0,286.0,288.6,49914,2022-03-18
AUROPHARMA,EQ,643.0,655.0,638.45,640.35,3025169,2022-03-18
AURUM,EQ,122.7,122.7,119.1,119.8,73581,2022-03-18
AUSOMENT,EQ,67.95,67.95,63.35,64.35,16570,2022-03-18
AUTOAXLES,EQ,1494.05,1599.9,1494.0,1560.8,56850,2022-03-18
AVADHSUGAR,EQ,752.0,756.4,730.0,743.55,174073,2022-03-18
AVANTIFEED,EQ,435.0,436.3,426.2,430.25,440271,2022-03-18
AVTNPL,EQ,123.6,130.7,120.35,121.8,3609849,2022-03-18
AWHCL,EQ,281.9,287.95,279.95,282.4,112137,2022-03-18
AWL,EQ,350.0,380.85,348.1,379.8,31782591,2022-03-18
AXISBANK,EQ,737.0,746.75,736.45,739.25,13657428,2022-03-18
AXISBNKETF,EQ,372.1,377.7,362.37,364.22,1327,2022-03-18
AXISBPSETF,EQ,10.51,10.53,10.5,10.52,825474,2022-03-18
AXISCETF,EQ,68.2,71.0,68.2,69.15,8017,2022-03-18
AXISGOLD,EQ,44.44,44.53,43.76,44.09,161525,2022-03-18
AXISHCETF,EQ,84.25,87.5,82.45,83.4,4411,2022-03-18
AXISNIFTY,EQ,178.03,182.0,178.03,181.21,5063,2022-03-18
AXISTECETF,EQ,369.98,369.98,360.0,362.43,2273,2022-03-18
AYMSYNTEX,EQ,113.9,113.9,105.95,108.1,31606,2022-03-18
BAFNAPH,EQ,130.6,134.7,128.0,130.45,4453,2022-03-18
BAJAJ-AUTO,EQ,3580.0,3664.85,3575.65,3650.45,429272,2022-03-18
BAJAJCON,EQ,162.15,164.9,160.0,160.85,1139001,2022-03-18
BAJAJELEC,EQ,1028.9,1066.0,1025.0,1062.3,170245,2022-03-18
BAJAJFINSV,EQ,16399.0,16589.0,16255.0,16370.8,402068,2022-03-18
BAJAJHCARE,EQ,370.0,375.0,367.0,372.45,61522,2022-03-18
BAJAJHIND,EQ,15.95,16.0,15.5,15.55,3912553,2022-03-18
BAJAJHLDNG,EQ,5062.0,5100.0,4987.1,5008.7,56609,2022-03-18
BAJFINANCE,EQ,6947.7,7056.9,6930.1,6994.4,1670678,2022-03-18
BALAJITELE,EQ,74.6,76.35,74.0,74.3,278133,2022-03-18
BALAMINES,EQ,3139.0,3164.2,3080.15,3112.25,118961,2022-03-18
BALAXI,EQ,439.0,439.0,403.25,408.7,5604,2022-03-18
BALKRISIND,EQ,2084.8,2145.05,2071.4,2132.5,445339,2022-03-18
BALMLAWRIE,EQ,119.0,121.7,118.75,119.25,253269,2022-03-18
BALPHARMA,EQ,111.0,113.0,110.35,112.4,41788,2022-03-18
BALRAMCHIN,EQ,488.1,489.8,475.25,479.35,3851226,2022-03-18
BANARBEADS,EQ,93.0,95.6,92.2,92.85,30499,2022-03-18
BANARISUG,EQ,2399.0,2413.85,2361.3,2370.4,1432,2022-03-18
BANCOINDIA,EQ,140.3,146.95,140.0,146.25,187017,2022-03-18
BANDHANBNK,EQ,298.0,303.3,296.0,301.5,11616791,2022-03-18
BANG,EQ,33.5,34.05,33.2,33.7,5517,2022-03-18
BANKBARODA,EQ,109.75,109.8,107.45,107.95,32425892,2022-03-18
BANKBEES,EQ,368.0,368.0,362.9,366.07,1743409,2022-03-18
BANKINDIA,EQ,48.9,49.2,47.75,48.05,4434530,2022-03-18
BANSWRAS,EQ,242.8,242.8,229.5,231.8,40901,2022-03-18
BARBEQUE,EQ,1253.0,1299.0,1252.0,1291.75,62788,2022-03-18
BASF,EQ,2868.65,2919.95,2735.0,2874.45,326005,2022-03-18
BASML,EQ,75.4,76.0,73.55,73.9,143664,2022-03-18
BATAINDIA,EQ,1929.2,1972.05,1919.0,1941.4,574126,2022-03-18
BAYERCROP,EQ,4394.6,4495.0,4394.55,4465.45,17710,2022-03-18
BBETF0432,EQ,1004.09,1007.99,1004.03,1005.96,4273,2022-03-18
BBL,EQ,1857.8,1884.0,1840.0,1852.3,8365,2022-03-18
