symbol,opm_pct,roce_pct,book_value_per_share,total_equity_cr,equity_share_capital_cr,capital_employed_cr,ebitda_cr_latest,ebit_cr_latest,sales_growth_cagr_pct,sales_growth_years,as_of_date,data_quarters
VIKASLIFE,-2.47,-2.78,2.97,551.49,,602.01,-2.7623,-4.1835,3.23,2.8,2024-12-31,13
VIKASMCORP,13.34,,,,,,1.2579,1.1161,,,2020-12-31,2
VIMTALABS,37.92,19.19,102.28,456.87,,496.7,33.568,23.831,11.26,4.0,2024-12-31,18
VINATIORGA,28.57,15.07,304.99,3161.68,,3364.1,149.03,126.71,22.59,4.3,2024-12-31,19
VINCOFE,16.04,6.15,39.07,569.21,,633.32,11.4806,9.7305,,,2024-09-30,1
VINDHYATEL,6.55,4.56,3548.46,4205.28,,5441.56,67.8892,61.9815,31.11,4.3,2024-12-31,18
VINEETLAB,-22.67,-83.07,12.96,14.22,,22.74,-4.1033,-4.7224,-49.96,3.8,2024-12-31,16
VINNY,22.57,22.5,1.78,83.0,,92.18,6.2257,5.1854,17.16,2.0,2024-12-31,9
VINYLINDIA,4.54,20.02,71.03,130.25,,132.25,6.6434,6.6181,14.72,4.3,2024-12-31,18
VIPCLOTHNG,7.87,8.07,21.57,194.37,,209.86,4.9296,4.2323,9.74,4.3,2024-12-31,19
VIPIND,6.2,0.73,20.38,289.5,,571.7,31.08,1.05,45.52,4.3,2024-12-31,18
VIPULLTD,46.3,4.63,29.29,412.85,,416.26,4.9875,4.8198,-8.25,4.3,2024-12-31,19
VIRINCHI,32.49,6.18,45.28,492.62,,718.3,26.7739,11.105,3.22,1.8,2024-12-31,9
VISAKAIND,3.85,-0.94,95.7,826.86,,956.17,13.5221,-2.2483,10.87,4.3,2024-12-31,19
VISASTEEL,2.39,,,,,,2.834,-9.398,-16.03,4.3,2024-12-31,19
VISESHINFO,-318.19,,,,,,-0.3341,-0.9881,0.61,4.3,2024-12-31,19
VISHNU,15.27,10.23,158.83,1069.15,,1442.25,42.7447,36.8747,23.13,4.3,2024-12-31,18
VISHWARAJ,19.18,13.78,11.61,252.95,,407.99,17.8751,14.0598,6.97,4.3,2024-12-31,18
VISUINTL,,,,,,,,,,,2023-03-31,8
VIVIDHA,4.97,16.42,,,,5.88,0.4079,0.2414,72.02,3.2,2024-12-31,19
VIVIMEDLAB,-0.51,-5.35,,,,489.39,-0.176,-6.543,-34.86,4.3,2024-12-31,18
VLEGOV,6.28,8.48,4.11,44.57,,44.61,0.9554,0.9459,-25.52,1.3,2024-12-31,8
VLSFINANCE,83.04,11.85,673.48,2113.31,,2183.98,65.7502,64.7059,23.88,4.0,2024-12-31,19
VMART,17.02,28.33,119.7,951.1,,1583.86,174.75,112.17,51.51,4.3,2024-12-31,17
VMM,16.71,17.29,15.86,7413.26,,8867.97,524.051,383.388,,,2024-12-31,1
VOLTAMP,21.9,22.49,1771.08,1791.8,,1823.31,105.9031,102.5157,29.66,4.3,2024-12-31,19
VOLTAS,8.36,8.84,192.7,6376.21,,6955.65,170.2,153.71,16.66,4.3,2024-12-31,18
VPRPL,12.33,14.75,50.54,629.95,,698.04,29.718,25.742,-9.1,1.5,2024-12-31,7
VRAJ,10.25,9.03,130.31,429.8,,475.19,12.292,10.725,1.51,0.8,2024-12-31,5
VRLLOG,20.85,19.63,65.31,1142.44,,2191.22,172.0907,107.5275,15.99,4.3,2024-12-31,18
VSSL,9.85,10.3,132.11,1277.32,,1303.18,42.0542,33.5629,13.72,4.3,2024-12-31,19
VSTIND,37.56,45.04,85.27,1445.67,,1470.86,176.75,165.63,4.21,4.3,2024-12-31,20
VSTL,3.97,11.25,103.89,197.0,,251.15,9.8138,7.0628,-1.49,1.0,2024-12-31,5
VSTTILLERS,4.77,14.14,1264.44,1094.12,,1153.88,104.6,40.8,71.63,4.3,2024-12-31,18
VTL,15.46,9.2,363.44,10513.74,,12186.04,381.15,280.33,11.82,4.3,2024-12-31,20
WAAREEENER,23.42,16.56,501.9,14437.34,,17407.67,809.7048,720.6578,,,2024-12-31,2
WABAG,13.87,14.16,412.21,2568.5,,3140.5,112.5,111.2,7.0,4.3,2024-12-31,18
WABCOINDIA,10.35,,,,,,67.5617,43.6106,42.63,1.3,2021-12-31,7
WALCHANNAG,-4.0,-4.58,52.89,358.79,,440.33,-2.36,-5.04,-10.92,4.3,2024-12-31,18
WANBURY,11.08,14.48,41.34,144.45,,316.63,14.7826,11.4584,8.27,4.3,2024-12-31,18
WCIL,6.43,10.06,85.03,866.97,,887.46,28.497,22.32,9.75,0.5,2024-12-31,3
WEALTH,75.85,27.83,141.23,150.48,,170.77,11.9715,11.8794,25.97,4.0,2024-12-31,18
WEBELSOLAR,46.11,27.34,14.53,630.7,,778.06,67.93,53.19,57.21,4.5,2024-12-31,19
WEIZMANIND,14.98,20.72,42.62,66.03,,69.01,4.2809,3.5754,4.02,4.3,2024-12-31,18
WEL,5.4,31.74,6.63,88.83,,128.67,11.9663,10.2104,52.02,2.0,2024-12-31,9
WELCORP,13.22,12.83,347.19,9155.56,,12084.19,477.63,387.59,30.7,4.3,2024-12-31,18
WELENT,20.8,13.08,224.47,3044.11,,5095.33,180.28,166.59,24.0,4.3,2024-12-31,19
WELINV,42.35,0.04,1838.18,671.67,,752.7,0.0817,0.0817,-14.95,4.3,2024-12-31,18
WELSPUNIND,14.65,,,,,,294.27,238.9,0.59,3.0,2023-09-30,14
WELSPUNLIV,11.12,8.08,51.44,4917.19,,7184.08,219.16,145.17,-18.24,1.0,2024-12-31,6
WENDT,24.23,16.63,1269.35,253.87,,255.69,12.94,10.63,12.42,4.3,2024-12-31,19
WESTLIFE,13.93,6.11,39.89,619.09,,2577.83,91.0779,39.4063,4.19,1.5,2024-12-31,8
WEWIN,4.56,0.23,30.64,31.13,,36.24,0.878,0.0204,22.81,2.5,2024-12-31,11
WFL,-0.31,,,,,,-0.1723,-1.6335,-85.42,0.5,2022-09-30,3
WHEELS,7.56,15.93,426.25,1041.46,,1463.6,79.85,58.3,16.0,4.3,2024-12-31,20
WHIRLPOOL,5.78,3.67,327.94,4160.64,,4906.42,90.44,44.97,1.51,4.3,2024-12-31,19
WILLAMAGOR,1504.23,7.46,,,,396.95,7.4008,7.4004,-69.32,4.3,2024-12-31,18
WINDLAS,14.55,14.62,275.2,580.84,,586.42,28.369,21.43,17.46,3.5,2024-12-31,15
WINDMACHIN,44.15,27.55,55.73,493.3,,628.32,47.5298,43.2797,10.21,4.3,2024-12-31,19
WINSOME,-126.32,,,,,,-1.44,-3.9,-35.73,4.3,2024-12-31,19
WIPL,6.83,12.55,,44.75,,51.31,2.11,1.61,8.65,4.3,2024-12-31,18
WIPRO,24.84,19.16,84.51,88536.8,,101603.0,5543.9,4867.4,15.37,4.0,2024-12-31,18
WOCKPHARMA,18.86,4.63,304.01,4940.0,,6993.0,136.0,81.0,0.23,4.3,2024-12-31,19
WONDERLA,34.69,5.89,283.32,1796.9,,1870.42,42.1478,27.5388,362.0,4.3,2024-12-31,19
WORTH,12.18,,,,,,8.2886,6.613,5.97,4.3,2024-12-31,18
WSI,-1.44,-1.3,52.06,395.13,,461.85,-0.9467,-1.5038,880.03,2.5,2024-12-31,18
WSTCSTPAPR,14.96,8.4,546.23,3607.79,,4708.21,151.9622,98.8322,22.45,4.3,2024-12-31,18
XCHANGING,39.53,15.88,35.55,396.06,,453.32,18.04,18.0,-3.03,4.3,2024-12-31,17
XELPMOC,-188.37,-8.85,50.69,74.82,,83.5,-1.5623,-1.8471,-28.6,4.3,2024-12-31,18
XPROINDIA,14.87,4.63,323.69,759.71,,1101.79,15.5496,12.7642,1.62,4.3,2024-12-31,19
XTGLOBAL,17.01,3.52,15.19,203.72,,244.96,2.9525,2.1531,,,2024-12-31,2
YAARI,-408.33,,,,,,-0.98,-1.07,-96.96,1.5,2024-12-31,13
YAARII,-9.62,,,,,,-3.87,-9.52,-17.54,0.5,2021-09-30,5
YASHO,18.48,7.34,368.18,443.92,,791.09,27.519,14.5093,4.39,1.3,2024-12-31,6
YATHARTH,26.98,8.05,184.79,1780.56,,2097.65,59.127,42.214,26.13,1.5,2024-12-31,7
YATRA,8.34,5.58,52.91,830.21,,877.54,19.612,12.231,65.5,1.5,2024-12-31,7
YUKEN,13.17,8.86,274.68,373.12,,427.71,14.0703,9.4734,5.49,3.3,2024-12-31,14
ZAGGLE,9.8,8.2,104.43,1404.21,,1415.23,32.97,29.015,99.99,1.5,2024-12-31,8
ZEEL,13.86,6.91,122.12,11729.9,,12063.5,274.3,208.5,5.43,4.3,2024-12-31,19
ZEELEARN,20.67,3.76,7.19,235.03,,685.2,15.4499,6.4485,-2.22,4.5,2024-12-31,19
ZEEMEDIA,4.9,-28.2,3.58,223.77,,312.82,7.8207,-22.0562,4.26,4.5,2024-12-31,18
ZENITHEXPO,7.16,5.15,155.87,84.11,,87.0,1.33,1.12,7.68,4.3,2024-12-31,18
ZENITHSTL,2.66,,,,,,0.9501,0.4617,13.45,4.3,2024-12-31,17
ZENSARTECH,35.52,15.3,208.15,4719.1,,4933.5,198.6,188.7,7.38,4.3,2024-12-31,19
ZENTEC,41.47,11.3,210.06,1889.06,,1984.76,58.6876,56.0917,87.05,4.3,2024-12-31,20
ZFCVINDIA,20.12,17.18,1945.69,3690.58,,3766.61,193.5997,161.7566,7.83,2.8,2024-12-31,13
ZICOM,-191.2,,,,,,-11.7336,-10.4216,999.0,0.8,2020-12-31,4
ZIMLAB,14.18,10.04,55.36,296.15,,348.99,13.5291,8.7608,-2.48,2.0,2024-12-31,9
ZODIAC,10.33,,,,,,10.7825,10.239,74.33,3.0,2024-12-31,13
ZODIACLOTH,-4.75,-12.59,66.28,181.98,,227.76,-2.1672,-7.1675,13.45,4.3,2024-12-31,19
ZODJRDMKJ,28.32,,,,,,0.075,0.0695,-91.37,0.7,2021-06-30,4
ZOMATO,27.18,,,,,,605.0,578.0,31.86,3.5,2024-12-31,15
ZOTA,-7.72,-7.57,,693.49,,893.78,-5.5647,-16.91,24.75,4.3,2024-12-31,18
ZUARI,9.68,16.35,496.69,2088.98,,2354.33,122.39,96.22,29.19,4.3,2024-12-31,17
ZUARIGLOB,47.33,,,,,,121.291,118.0466,999.0,1.5,2022-03-31,7
ZUARIIND,15.29,1.99,1215.94,3621.2,,5060.77,31.3099,25.1238,-2.39,2.5,2024-12-31,11
ZYDUSLIFE,27.43,13.26,269.43,27111.4,,36694.7,1445.1,1216.1,41.66,2.8,2024-12-31,12
ZYDUSWELL,4.03,0.56,183.12,5826.0,,9579.3,18.6,13.4,7.32,4.3,2024-12-31,18
