symbol,opm_pct,roce_pct,book_value_per_share,total_equity_cr,equity_share_capital_cr,capital_employed_cr,ebitda_cr_latest,ebit_cr_latest,sales_growth_cagr_pct,sales_growth_years,as_of_date,data_quarters
TASTYBITE,15.35,21.06,1332.85,342.01,,380.79,27.429,20.053,17.27,4.3,2024-12-31,18
TATACHEM,10.92,1.39,832.4,21206.0,,32288.0,392.0,112.0,7.79,4.3,2024-12-31,17
TATACOFFEE,17.99,,,,,,125.17,103.08,8.6,3.0,2023-09-30,14
TATACOMM,26.91,6.81,120.95,3447.04,,14385.93,488.3,245.1,-19.04,4.0,2024-12-31,17
TATACONSUM,13.73,6.61,220.17,21787.53,,27847.33,610.17,459.85,11.65,4.3,2024-12-31,19
TATAELXSI,30.5,32.51,488.2,3041.34,,3205.55,286.4663,260.4991,18.45,4.0,2024-12-31,17
TATAINVEST,79.85,,577.55,29221.15,,,34.87,34.6,-13.13,4.3,2024-12-31,18
TATAMETALI,12.38,,,,,,93.47,71.32,14.03,2.7,2023-09-30,12
TATAMOTORS,13.07,,,,,,14845.0,9437.0,19.35,4.3,2024-12-31,19
TATAMTRDVR,16.11,,,,,,17403.0,10829.0,20.61,3.7,2024-06-30,17
TATAPOWER,24.4,8.01,123.51,39467.21,,135612.12,3754.97,2713.98,15.66,4.3,2024-12-31,17
TATASTEEL,11.18,6.71,81.92,102167.65,,204336.47,5998.33,3429.14,9.02,4.3,2024-12-31,19
TATASTLBSL,29.29,,,,,,2433.51,2034.06,58.78,0.7,2021-09-30,4
TATASTLLP,5.15,,,,,,151.71,-69.05,32.39,2.7,2023-09-30,12
TATATECH,21.75,11.07,96.64,3923.37,,5162.79,162.72,142.83,-41.91,1.0,2024-12-31,6
TATVA,8.27,0.09,334.2,781.76,,790.56,7.104,0.181,-6.24,3.5,2024-12-31,15
TBOTEK,15.86,3.02,145.21,1550.66,,2247.13,21.183,16.953,-4.03,0.8,2024-12-31,4
TBZ,6.57,23.02,125.6,838.15,,952.15,60.9457,54.797,33.32,4.3,2024-12-31,18
TCI,10.92,13.15,334.35,2565.9,,2884.2,125.3,94.8,12.44,4.3,2024-12-31,19
TCIDEVELOP,50.36,,,,,,1.5379,1.1166,11.74,2.0,2022-09-30,10
TCIEXP,10.62,11.77,213.12,818.8,,889.8,31.48,26.18,8.09,4.3,2024-12-31,18
TCIFINANCE,-59485.71,-26.07,,,,6.39,-0.4164,-0.4164,-89.3,3.5,2024-12-31,18
TCLCONS,7.94,,,,,,0.98,0.48,282.18,1.0,2024-09-30,5
TCNSBRANDS,-17.57,,,,,,-36.214,-63.444,10.02,3.7,2024-06-30,17
TCPLPACK,17.91,23.32,791.53,718.79,,1085.75,81.9459,63.3123,17.71,4.3,2024-12-31,19
TCS,31.26,51.77,296.4,107240.0,,121458.0,16845.0,15720.0,11.08,4.0,2024-12-31,19
TDPOWERSYS,18.53,22.12,68.61,1071.76,,1083.37,64.9118,59.9165,16.49,4.3,2024-12-31,18
TEAMLEASE,1.41,7.7,622.35,1043.3,,1484.67,37.98,28.59,27.83,4.3,2024-12-31,20
TECHIN,,,7.18,10.29,,10.32,,,,,2024-12-31,17
TECHM,13.79,15.75,334.41,29615.4,,34871.9,1832.1032,1373.3032,8.55,4.3,2024-12-31,19
TECHNOE,21.17,12.13,357.42,4156.85,,4646.09,143.0837,140.9039,25.52,4.3,2024-12-31,18
TECHNOFAB,-3.79,,,,,,-1.7971,-2.3158,171.72,2.2,2022-06-30,11
TECILCHEM,,,,,,,,,,,2024-12-31,18
TEGA,25.09,8.55,453.52,3407.18,,3593.23,102.673,76.829,16.65,3.0,2024-12-31,13
TEJASNET,14.57,30.01,165.11,2930.87,,3649.13,385.04,273.77,110.38,4.0,2024-12-31,20
