Sector,Return_%,Trend,Rank
NIFTY METAL,4.03,NEUTRAL,1
NIFTY AUTO,3.67,NEUTRAL,2
NIFTY PSU BANK,3.19,NEUTRAL,3
NIFTY BANK,2.41,NEUTRAL,4
NIFTY REALTY,2.28,NEUTRAL,5
NIFTY MEDIA,1.22,NEUTRAL,6
NIFTY PHARMA,-0.51,WEAKENING,7
NIFTY FMCG,-0.75,WEAKENING,8
NIFTY IT,-0.95,WEAKENING,9
