Theme,Return_%,Trend,Rank
NIFTY ENERGY,3.44,NEUTRAL,1
NIFTY MNC,2.95,NEUTRAL,2
NIFTY INFRA,1.53,NEUTRAL,3
NIFTY PSE,0.86,NEUTRAL,4
