Theme,Return_%,Trend,Rank
NIFTY ENERGY,4.31,NEUTRAL,1
NIFTY MNC,4.25,NEUTRAL,2
NIFTY INFRA,2.82,NEUTRAL,3
NIFTY PSE,-0.88,WEAKENING,4
