symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
INDUSTOWER,Indus Towers Ltd.,Telecommunication,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NAUKRI,Info Edge (India) Ltd.,Consumer Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
INOXWIND,Inox Wind Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
INTELLECT,Intellect Design Arena Ltd.,Information Technology,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
IGIL,International Gemological Institute Ltd.,Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
IPCALAB,Ipca Laboratories Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JKCEMENT,J.K. Cement Ltd.,Construction Materials,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JBMA,JBM Auto Ltd.,Automobile and Auto Components,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JMFINANCIL,JM Financial Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JSWCEMENT,JSW Cement Ltd.,Construction Materials,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JSWENERGY,JSW Energy Ltd.,Power,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JSWINFRA,JSW Infrastructure Ltd.,Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JINDALSAW,Jindal Saw Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JSL,Jindal Stainless Ltd.,Metals & Mining,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JWL,Jupiter Wagons Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KPRMILL,K.P.R. Mill Ltd.,Textiles,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KEI,KEI Industries Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KPITTECH,KPIT Technologies Ltd.,Information Technology,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KPIL,Kalpataru Projects International Ltd.,Construction,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KAYNES,Kaynes Technology India Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KEC,Kec International Ltd.,Construction,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KFINTECH,Kfin Technologies Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LTF,L&T Finance Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LTTS,L&T Technology Services Ltd.,Information Technology,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LAURUSLABS,Laurus Labs Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LENSKART,Lenskart Solutions Ltd.,Consumer Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LICI,Life Insurance Corporation of India,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LINDEINDIA,Linde India Ltd.,Chemicals,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
LUPIN,Lupin Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MMTC,MMTC Ltd.,Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MRF,MRF Ltd.,Automobile and Auto Components,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MANKIND,Mankind Pharma Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MARICO,Marico Ltd.,Fast Moving Consumer Goods,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MFSL,Max Financial Services Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MEESHO,Meesho Ltd.,Consumer Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MPHASIS,MphasiS Ltd.,Information Technology,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NBCC,NBCC (India) Ltd.,Construction,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NCC,NCC Ltd.,Construction,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NHPC,NHPC Ltd.,Power,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NLCINDIA,NLC India Ltd.,Power,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NMDC,NMDC Ltd.,Metals & Mining,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NSLNISP,NMDC Steel Ltd.,Metals & Mining,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NTPCGREEN,NTPC Green Energy Ltd.,Power,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NH,Narayana Hrudayalaya Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NAVA,Nava Ltd.,Power,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NETWEB,Netweb Technologies India Ltd.,Information Technology,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
OBEROIRLTY,Oberoi Realty Ltd.,Realty,NIFTY MIDSMALLCAP 400,nifty_midsmallcap_400,,2026-06-30
