symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
360ONE,360 ONE WAM Ltd.,Financial Services,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
3MINDIA,3M India Ltd.,Diversified,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ABB,ABB India Ltd.,Capital Goods,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ACC,ACC Ltd.,Construction Materials,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
AIAENG,AIA Engineering Ltd.,Capital Goods,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
AUBANK,AU Small Finance Bank Ltd.,Financial Services,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ABBOTINDIA,Abbott India Ltd.,Healthcare,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ADANIENSOL,Adani Energy Solutions Ltd.,Power,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ADANIGREEN,Adani Green Energy Ltd.,Power,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ADANIPOWER,Adani Power Ltd.,Power,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ALKEM,Alkem Laboratories Ltd.,Healthcare,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ANTHEM,Anthem Biosciences Ltd.,Healthcare,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
APARINDS,Apar Industries Ltd.,Capital Goods,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
ASTRAL,Astral Ltd.,Capital Goods,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
DMART,Avenue Supermarts Ltd.,Consumer Services,NIFTY LARGEMIDCAP 250,nifty_largemidcap_250,,2026-06-30
