symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
HBLENGINE,HBL Engineering Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
HFCL,HFCL Ltd.,Telecommunication,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IDBI,IDBI Bank Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IFCI,IFCI Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IIFL,IIFL Finance Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IRB,IRB Infrastructure Developers Ltd.,Construction,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IRCON,IRCON International Ltd.,Construction,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
ITI,ITI Ltd.,Telecommunication,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
INDGN,Indegene Ltd.,Healthcare,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
INDIACEM,India Cements Ltd.,Construction Materials,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IEX,Indian Energy Exchange Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IOB,Indian Overseas Bank,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
INOXWIND,Inox Wind Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
INTELLECT,Intellect Design Arena Ltd.,Information Technology,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IGIL,International Gemological Institute Ltd.,Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JBMA,JBM Auto Ltd.,Automobile and Auto Components,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JMFINANCIL,JM Financial Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JSWCEMENT,JSW Cement Ltd.,Construction Materials,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JINDALSAW,Jindal Saw Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JWL,Jupiter Wagons Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
KPIL,Kalpataru Projects International Ltd.,Construction,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
KAYNES,Kaynes Technology India Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
KEC,Kec International Ltd.,Construction,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
KFINTECH,Kfin Technologies Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
MMTC,MMTC Ltd.,Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
MEESHO,Meesho Ltd.,Consumer Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NBCC,NBCC (India) Ltd.,Construction,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NCC,NCC Ltd.,Construction,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NSLNISP,NMDC Steel Ltd.,Metals & Mining,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NH,Narayana Hrudayalaya Ltd.,Healthcare,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NAVA,Nava Ltd.,Power,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NETWEB,Netweb Technologies India Ltd.,Information Technology,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,NIFTY SMALLCAP 250,nifty_smallcap_250,,2026-06-30
