"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 29-May-2026","1W AGO 
 22-May-2026","1M AGO 
 29-Apr-2026","1Y AGO 
 29-May-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY PRIVATE BANK","26,299.25","0.23","26,288.25","26,427.65","26,137.55","-","26,238.50","26,299.25","26,326.40","26,070.50","27,368.95","29,748.45","23,957.45",0.88,-3.82
"NIFTY REALTY","768.90","0.56","767.60","779.05","766.30","-","764.60","768.90","782.55","801.25","976.00","1,038.70","638.65",-4.04,-22.58
"NIFTY HEALTHCARE INDEX","15,409.35","0.56","15,395.90","15,474.20","15,339.60","-","15,323.15","15,409.35","15,392.75","15,095.70","13,892.60","16,002.70","7,249.70",2.08,9.75
"NIFTY CONSUMER DURABLES","35,464.55","0.12","35,666.10","35,721.85","35,349.40","-","35,422.40","35,464.55","34,943.55","37,053.80","36,999.85","44,426.55","21,967.45",-4.29,-4.17
"NIFTY OIL & GAS","11,106.20","-0.48","11,172.80","11,188.75","11,080.05","-","11,159.40","11,106.20","11,200.25","11,700.15","11,352.75","13,607.20","6,645.90",-5.08,-2.43
"NIFTY MIDSMALL HEALTHCARE","47,987.50","0.45","47,999.45","48,296.35","47,760.30","-","47,772.55","47,987.50","47,781.60","46,077.10","41,453.90","49,130.40","31,279.60",4.15,14.86
"NIFTY FINANCIAL SERVICES EX-BANK","30,138.30","0.18","30,142.95","30,694.00","29,996.20","-","30,083.90","30,138.30","31,163.40","31,423.25","29,235.20","32,654.20","23,850.75",-4.09,2.24
"NIFTY MIDSMALL FINANCIAL SERVICES","21,389.75","-0.36","21,482.00","21,722.05","21,235.10","-","21,468.05","21,389.75","21,990.95","21,430.50","18,162.70","22,712.05","13,363.10",-0.19,16.64
"NIFTY MIDSMALL IT & TELECOM","9,556.85","-0.52","9,674.40","9,713.35","9,541.30","-","9,606.90","9,556.85","9,511.50","8,566.50","9,933.00","11,536.70","7,748.35",11.56,-4.58
"NIFTY CHEMICALS","29,126.95","0.25","29,208.30","29,280.20","29,008.90","-","29,055.50","29,126.95","29,240.55","28,756.20","30,916.04","31,895.45","24,851.65",1.29,-6.08
"NIFTY500 HEALTHCARE","19,963.85","0.58","19,932.75","20,027.10","19,854.50","-","19,848.20","19,963.85","19,906.40","19,317.95","-","20,529.60","16,294.60",3.34,0
"NIFTY REITS & REALTY","1,769.25","0.30","1,769.55","1,781.00","1,766.70","-","1,763.90","-","-","-","-","1,976.65","1,632.55",0,0
"NIFTY CEMENT","14,438.55","-0.89","14,655.95","14,666.05","14,372.20","-","14,568.50","14,438.55","15,000.90","14,991.54","-","18,188.60","13,534.80",-3.69,0
"NIFTY DIVIDEND OPPORTUNITIES 50","5,821.65","-0.43","5,864.80","5,873.60","5,794.40","-","5,846.95","5,821.65","5,880.90","6,061.75","5,969.75","6,584.65","5,614.00",-3.96,-2.7
"NIFTY GROWTH SECTORS 15","10,735.25","0.09","10,807.80","10,821.00","10,709.80","-","10,725.50","10,735.25","10,733.25","11,055.45","11,204.90","12,852.45","10,329.35",-2.9,-4.35
"NIFTY100 QUALITY 30","5,460.35","-0.32","5,494.60","5,497.40","5,442.15","-","5,478.00","5,460.35","5,522.95","5,588.25","5,544.15","-","-",-2.29,-1.86
"NIFTY50 VALUE 20","11,908.35","-0.29","11,983.95","12,004.90","11,864.30","-","11,942.40","11,908.35","11,979.05","12,158.90","12,659.05","13,684.40","11,528.60",-2.06,-6.37
