symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
GMRAIRPORT,GMR Airports Ltd.,Services,NIFTY 200,nifty_200,,2026-06-30
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
GODREJPROP,Godrej Properties Ltd.,Realty,NIFTY 200,nifty_200,,2026-06-30
GRASIM,Grasim Industries Ltd.,Construction Materials,NIFTY 200,nifty_200,,2026-06-30
HCLTECH,HCL Technologies Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
HDFCBANK,HDFC Bank Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
HAVELLS,Havells India Ltd.,Consumer Durables,NIFTY 200,nifty_200,,2026-06-30
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
HAL,Hindustan Aeronautics Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY 200,nifty_200,,2026-06-30
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
ICICIBANK,ICICI Bank Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
ITC,ITC Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
INDIANB,Indian Bank,Financial Services,NIFTY 200,nifty_200,,2026-06-30
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY 200,nifty_200,,2026-06-30
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
