SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,182.4,184.13,178.0,182.32,109136,2026-05-06
21STCENMGM,EQ,36.62,36.62,35.25,35.25,3164,2026-05-06
360ONE,EQ,1079.8,1097.6,1075.0,1084.1,2173450,2026-05-06
3BBLACKBIO,EQ,1296.7,1325.0,1269.0,1318.0,10341,2026-05-06
3IINFOLTD,EQ,17.12,17.58,17.12,17.43,221648,2026-05-06
3MINDIA,EQ,32505.0,32795.0,31995.0,32525.0,2929,2026-05-06
3PLAND,EQ,34.5,35.8,34.5,35.25,1079,2026-05-06
5PAISA,EQ,336.05,344.0,333.5,339.4,31529,2026-05-06
63MOONS,EQ,739.55,744.55,730.85,740.9,76749,2026-05-06
AAATECH,EQ,102.0,102.01,99.8,99.97,17767,2026-05-06
AADHARHFC,EQ,520.0,520.0,495.05,500.1,1217757,2026-05-06
AARNAV,EQ,23.05,23.48,23.05,23.22,7585,2026-05-06
AARON,EQ,139.23,139.23,131.95,135.26,16511,2026-05-06
AARTECH,EQ,48.46,48.46,45.48,46.88,123623,2026-05-06
AARTIDRUGS,EQ,394.85,402.45,390.5,400.45,206280,2026-05-06
AARTIIND,EQ,492.2,506.2,482.0,497.85,2449234,2026-05-06
AARTIPHARM,EQ,771.2,791.05,768.0,788.45,299171,2026-05-06
AARTISURF,EQ,424.5,442.0,421.0,439.0,11040,2026-05-06
AARVI,EQ,127.99,128.38,125.0,126.35,12818,2026-05-06
AAVAS,EQ,1494.9,1494.9,1417.8,1435.4,224157,2026-05-06
ABB,EQ,7389.0,7389.0,7135.0,7182.5,282411,2026-05-06
ABBOTINDIA,EQ,25440.0,26450.0,25430.0,26300.0,17912,2026-05-06
ABCAPITAL,EQ,365.0,372.5,364.5,369.3,8553660,2026-05-06
ABCOTS,EQ,220.0,225.49,216.15,221.77,94184,2026-05-06
ABDL,EQ,545.0,549.9,537.2,544.8,123192,2026-05-06
ABFRL,EQ,64.46,66.58,63.55,66.21,10580344,2026-05-06
ABGSEC,EQ,111.92,112.65,111.09,111.35,668,2026-05-06
ABINFRA,EQ,15.7,15.7,14.8,15.59,228608,2026-05-06
ABLBL,EQ,105.3,108.39,104.57,107.6,1032956,2026-05-06
ABMKNO,EQ,229.98,229.99,212.0,218.76,3139,2026-05-06
ABREL,EQ,1498.3,1555.0,1487.1,1549.7,480330,2026-05-06
ABSL10BANK,EQ,163.24,167.95,162.26,167.06,685,2026-05-06
ABSLAMC,EQ,1075.0,1075.0,1050.1,1066.7,390001,2026-05-06
ABSLBANETF,EQ,56.24,57.2,55.7,57.12,2109378,2026-05-06
ABSLLIQUID,EQ,1000.0,1000.01,999.99,1000.0,665,2026-05-06
ABSLMSCIN,EQ,29.77,29.77,29.18,29.32,270,2026-05-06
ABSLNN50ET,EQ,74.25,75.15,74.2,75.01,23626,2026-05-06
ABSLPSE,EQ,11.12,11.16,11.06,11.14,112634,2026-05-06
ACC,EQ,1397.6,1425.9,1392.1,1414.0,159515,2026-05-06
ACCELYA,EQ,1172.0,1172.0,1151.0,1160.0,5683,2026-05-06
ACE,EQ,885.0,891.85,883.2,887.55,324375,2026-05-06
ACEINTEG,EQ,21.98,21.98,20.3,20.53,12559,2026-05-06
ACI,EQ,628.0,628.0,619.05,621.25,61701,2026-05-06
ACL,EQ,55.99,56.9,54.52,55.56,18337,2026-05-06
ACMESOLAR,EQ,297.9,300.15,290.15,296.45,748789,2026-05-06
ACSTECH,EQ,38.0,38.58,37.35,37.97,89900,2026-05-06
ACUTAAS,EQ,2665.0,2745.0,2664.0,2685.8,523243,2026-05-06
ADANIENSOL,EQ,1411.0,1422.0,1389.1,1407.3,3076159,2026-05-06
ADANIENT,EQ,2475.5,2546.5,2472.2,2540.3,3169133,2026-05-06
ADANIGREEN,EQ,1340.0,1368.0,1318.2,1353.0,4273727,2026-05-06
ADANIPORTS,EQ,1750.0,1762.4,1718.6,1748.3,3001204,2026-05-06
ADANIPOWER,EQ,232.39,232.39,224.24,229.12,45243061,2026-05-06
ADFFOODS,EQ,261.05,273.0,261.05,268.8,240552,2026-05-06
ADL,EQ,80.99,80.99,73.1,74.09,2947,2026-05-06
ADOR,EQ,1080.0,1090.2,1059.4,1079.9,26199,2026-05-06
ADROITINFO,EQ,10.28,10.28,9.75,9.87,27269,2026-05-06
ADSL,EQ,136.42,140.0,131.06,132.61,1453411,2026-05-06
ADVAIT,EQ,2048.6,2060.5,1941.6,1975.3,68177,2026-05-06
ADVANCE,EQ,109.35,114.42,109.35,113.93,316433,2026-05-06
ADVANIHOTR,EQ,55.0,55.63,54.9,55.16,36950,2026-05-06
ADVENTHTL,EQ,158.4,167.7,153.0,163.51,395987,2026-05-06
ADVENZYMES,EQ,356.95,359.55,351.6,355.95,179060,2026-05-06
AEGISLOG,EQ,714.95,737.8,713.3,735.1,659559,2026-05-06
AEGISVOPAK,EQ,198.0,206.58,195.0,201.06,1838389,2026-05-06
AEQUS,EQ,194.99,194.99,185.05,187.57,1377801,2026-05-06
AEROENTER,EQ,94.48,105.0,94.48,98.49,994917,2026-05-06
AEROFLEX,EQ,320.0,350.05,320.0,344.7,10678433,2026-05-06
AERONEU,EQ,84.3,88.8,82.15,86.37,212039,2026-05-06
AETHER,EQ,1227.4,1240.0,1203.8,1232.7,237357,2026-05-06
AFCONS,EQ,350.8,350.8,333.7,336.3,966061,2026-05-06
AFFLE,EQ,1426.0,1449.9,1414.9,1434.3,159582,2026-05-06
AFSL,EQ,201.11,209.5,201.05,205.68,41210,2026-05-06
AGARIND,EQ,415.1,463.5,415.1,452.65,149172,2026-05-06
AGARWALEYE,EQ,458.45,464.4,455.35,458.25,33426,2026-05-06
AGI,EQ,629.95,646.0,627.45,638.25,345596,2026-05-06
AGIIL,EQ,371.95,379.7,362.3,372.6,2362865,2026-05-06
