SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,154.95,154.96,149.0,149.89,100166,2026-03-19
21STCENMGM,EQ,33.19,33.19,32.01,32.55,1675,2026-03-19
360ONE,EQ,1059.1,1065.0,1036.0,1040.5,563719,2026-03-19
3IINFOLTD,EQ,13.39,13.54,13.3,13.49,746345,2026-03-19
3MINDIA,EQ,32795.0,33195.0,32265.0,32980.0,2441,2026-03-19
3PLAND,EQ,32.2,32.6,31.59,32.15,4630,2026-03-19
5PAISA,EQ,293.0,294.7,286.05,288.05,56273,2026-03-19
63MOONS,EQ,547.0,552.1,526.8,530.35,183069,2026-03-19
AAATECH,EQ,94.08,94.27,91.62,92.42,16447,2026-03-19
AADHARHFC,EQ,472.3,472.3,452.0,462.75,741934,2026-03-19
AAREYDRUGS,EQ,69.11,71.8,66.01,66.95,43073,2026-03-19
AARNAV,EQ,25.0,27.0,24.65,25.72,624485,2026-03-19
AARON,EQ,140.28,143.0,136.73,138.95,5235,2026-03-19
AARTECH,EQ,46.79,47.5,44.5,45.37,86546,2026-03-19
AARTIDRUGS,EQ,336.0,357.0,334.1,337.6,297599,2026-03-19
AARTIIND,EQ,425.9,425.9,410.35,411.85,427752,2026-03-19
AARTIPHARM,EQ,650.0,658.2,642.05,647.15,235861,2026-03-19
AARTISURF,EQ,353.0,355.0,340.05,347.6,16021,2026-03-19
AARVI,EQ,129.11,129.53,125.0,125.74,6913,2026-03-19
AAVAS,EQ,1103.1,1117.9,1083.7,1105.8,221977,2026-03-19
ABB,EQ,6261.0,6322.0,6178.5,6214.0,212355,2026-03-19
ABBOTINDIA,EQ,26310.0,27095.0,26000.0,26515.0,9265,2026-03-19
ABCAPITAL,EQ,322.9,322.9,310.75,312.3,2253224,2026-03-19
ABCOTS,EQ,412.0,412.0,398.0,404.0,6646,2026-03-19
ABDL,EQ,418.5,422.9,411.2,412.9,285954,2026-03-19
ABFRL,EQ,58.5,58.79,56.52,56.85,2707556,2026-03-19
ABGSEC,EQ,112.31,113.31,110.77,112.99,218,2026-03-19
ABINFRA,EQ,17.28,17.28,16.86,16.98,257398,2026-03-19
ABLBL,EQ,97.0,97.37,92.1,93.34,1587898,2026-03-19
ABREL,EQ,1203.0,1217.0,1161.3,1178.3,409767,2026-03-19
ABSL10BANK,EQ,163.01,165.32,160.36,160.44,1601,2026-03-19
ABSLAMC,EQ,960.0,968.95,931.0,933.45,200816,2026-03-19
ABSLBANETF,EQ,55.31,55.33,54.41,54.56,248330,2026-03-19
ABSLLIQUID,EQ,999.99,1000.01,999.99,999.99,3121,2026-03-19
ABSLMSCIN,EQ,28.38,28.38,27.22,27.23,472,2026-03-19
ABSLNN50ET,EQ,67.5,68.9,66.21,66.9,29342,2026-03-19
ABSLPSE,EQ,10.4,10.4,10.11,10.13,662182,2026-03-19
ACC,EQ,1390.0,1396.5,1349.1,1352.9,294292,2026-03-19
ACCELYA,EQ,1189.2,1195.0,1179.9,1190.6,5999,2026-03-19
ACCURACY,EQ,4.0,4.05,3.9,3.93,90747,2026-03-19
ACE,EQ,833.05,855.3,830.0,834.7,246908,2026-03-19
ACEINTEG,EQ,17.09,17.09,15.6,15.86,54380,2026-03-19
ACI,EQ,568.0,579.3,561.75,574.5,136336,2026-03-19
ACL,EQ,53.01,54.25,52.9,53.86,17345,2026-03-19
ACMESOLAR,EQ,246.0,272.15,244.5,262.03,8294669,2026-03-19
ACUTAAS,EQ,2177.4,2294.8,2177.4,2241.3,314848,2026-03-19
ADANIENSOL,EQ,1014.5,1025.9,999.1,1005.3,719181,2026-03-19
ADANIENT,EQ,1984.0,1988.6,1930.0,1936.8,1510588,2026-03-19
ADANIGREEN,EQ,880.0,882.05,850.6,854.9,2219917,2026-03-19
ADANIPORTS,EQ,1377.0,1379.6,1350.5,1356.0,2160622,2026-03-19
ADANIPOWER,EQ,151.0,155.49,150.15,151.01,17635762,2026-03-19
ADFFOODS,EQ,180.6,183.96,176.99,177.46,56963,2026-03-19
ADL,EQ,67.84,69.0,66.0,67.5,203,2026-03-19
ADOR,EQ,965.0,965.0,932.0,937.3,11829,2026-03-19
ADROITINFO,EQ,9.37,9.46,8.45,8.62,294137,2026-03-19
ADSL,EQ,103.0,104.35,99.05,99.98,187360,2026-03-19
ADVAIT,EQ,1600.0,1658.0,1565.5,1574.8,28183,2026-03-19
ADVANCE,EQ,101.22,101.23,97.51,97.73,196915,2026-03-19
ADVANIHOTR,EQ,51.39,51.98,50.82,51.67,19607,2026-03-19
ADVENTHTL,EQ,150.0,154.79,149.11,152.0,126494,2026-03-19
ADVENZYMES,EQ,280.0,281.75,271.6,273.1,93343,2026-03-19
AEGISLOG,EQ,603.0,638.7,593.5,607.3,3250042,2026-03-19
AEGISVOPAK,EQ,185.56,186.76,171.67,176.24,809721,2026-03-19
AEPL,EQ,18.5,18.5,17.37,17.48,10240,2026-03-19
AEQUS,EQ,123.0,125.09,121.26,123.42,616082,2026-03-19
AEROENTER,EQ,67.0,78.0,67.0,74.06,993465,2026-03-19
AEROFLEX,EQ,242.0,244.6,229.01,230.66,1840315,2026-03-19
AERONEU,EQ,65.8,68.49,63.21,67.55,31622,2026-03-19
AETHER,EQ,1047.35,1077.9,1041.55,1068.55,201319,2026-03-19
AFCONS,EQ,284.9,286.0,277.0,277.8,207932,2026-03-19
AFFLE,EQ,1315.1,1327.8,1297.2,1300.6,155879,2026-03-19
AFFORDABLE,EQ,146.55,151.5,144.1,146.79,104474,2026-03-19
AFSL,EQ,201.0,201.89,201.0,201.08,37589,2026-03-19
AGARIND,EQ,428.4,428.4,410.0,411.05,41367,2026-03-19
AGARWALEYE,EQ,428.0,430.0,416.1,423.5,170268,2026-03-19
AGI,EQ,510.0,519.75,500.55,501.85,114121,2026-03-19
AGIIL,EQ,300.0,310.0,296.7,306.3,801125,2026-03-19
AGROPHOS,EQ,33.0,33.0,31.25,31.41,8750,2026-03-19
AHCL,EQ,111.01,114.4,111.01,112.77,63820,2026-03-19
AHLADA,EQ,40.36,40.69,39.0,39.07,8137,2026-03-19
AHLEAST,EQ,152.69,153.0,150.6,152.07,221,2026-03-19
AHLUCONT,EQ,749.95,765.2,729.7,737.95,281482,2026-03-19
AIAENG,EQ,3675.0,3692.9,3560.0,3573.1,36981,2026-03-19
AIIL,EQ,466.0,489.5,466.0,480.6,342390,2026-03-19
AIRAN,EQ,15.47,15.47,14.86,15.21,80251,2026-03-19
AIROLAM,EQ,88.0,88.0,84.32,85.78,2806,2026-03-19
AJANTPHARM,EQ,3009.0,3071.6,2931.0,2943.9,97655,2026-03-19
AJAXENGG,EQ,485.95,490.0,471.45,483.1,67927,2026-03-19
AJMERA,EQ,112.2,114.84,108.15,109.09,399972,2026-03-19
AJOONI,EQ,4.19,4.52,4.08,4.29,483387,2026-03-19
AKASH,EQ,24.02,24.43,24.0,24.0,4748,2026-03-19
AKG,EQ,10.91,11.29,10.61,10.69,28415,2026-03-19
AKI,EQ,4.74,4.74,4.46,4.51,654223,2026-03-19
AKSHAR,EQ,0.4,0.41,0.39,0.4,783194,2026-03-19
AKSHARCHEM,EQ,176.0,192.9,170.05,178.98,23812,2026-03-19
AKSHOPTFBR,EQ,4.54,4.68,4.5,4.62,316134,2026-03-19
AKUMS,EQ,477.0,477.0,464.85,468.2,86810,2026-03-19
AKZOINDIA,EQ,2880.0,2898.4,2780.1,2797.8,11636,2026-03-19
ALANKIT,EQ,7.63,7.8,7.5,7.68,330963,2026-03-19
ALBERTDAVD,EQ,669.9,679.35,667.0,671.35,1877,2026-03-19
ALEMBICLTD,EQ,80.0,80.9,78.0,78.38,247492,2026-03-19
ALGOQUANT,EQ,56.56,56.56,54.05,54.83,915162,2026-03-19
ALICON,EQ,669.1,669.1,649.05,651.55,7192,2026-03-19
ALIVUS,EQ,921.1,937.0,918.35,928.05,54877,2026-03-19
ALKALI,EQ,57.0,57.42,55.01,55.49,4102,2026-03-19
ALKEM,EQ,5309.0,5336.0,5222.5,5240.0,60008,2026-03-19
ALKYLAMINE,EQ,1330.0,1330.0,1280.0,1285.2,40670,2026-03-19
ALLCARGO,EQ,8.2,8.22,7.89,8.01,7259832,2026-03-19
ALLDIGI,EQ,727.0,784.5,727.0,748.4,9148,2026-03-19
ALLTIME,EQ,214.0,226.19,208.1,218.36,186790,2026-03-19
ALMONDZ,EQ,14.0,14.37,13.26,13.65,241638,2026-03-19
ALOKINDS,EQ,13.18,13.41,12.8,12.85,5190913,2026-03-19
ALPA,EQ,61.0,61.0,59.66,60.14,16334,2026-03-19
ALPHA,EQ,45.89,45.99,44.5,44.76,2911765,2026-03-19
ALPHAETF,EQ,23.61,23.64,22.99,23.08,706377,2026-03-19
ALPHAGEO,EQ,181.61,188.35,180.0,184.37,12801,2026-03-19
ALPL30IETF,EQ,26.24,26.27,25.5,25.58,1121388,2026-03-19
AMAGI,EQ,347.0,358.0,341.0,348.25,122911,2026-03-19
AMANTA,EQ,98.0,98.0,94.11,95.66,47811,2026-03-19
AMBER,EQ,6719.5,6742.0,6622.5,6677.0,241373,2026-03-19
AMBICAAGAR,EQ,24.0,24.0,23.1,23.66,1566,2026-03-19
AMBIKCO,EQ,1276.9,1293.9,1250.1,1257.9,10018,2026-03-19
AMBUJACEM,EQ,433.0,435.75,418.25,419.95,2679767,2026-03-19
AMDIND,EQ,37.5,38.5,36.5,37.15,12330,2026-03-19
AMJLAND,EQ,38.65,39.43,37.5,37.78,16515,2026-03-19
AMNPLST,EQ,151.0,152.9,147.0,148.89,10787,2026-03-19
AMRUTANJAN,EQ,514.0,523.95,505.0,513.1,27760,2026-03-19
ANANDRATHI,EQ,3040.0,3059.0,2993.6,3022.9,115357,2026-03-19
ANANTRAJ,EQ,458.0,462.0,446.05,447.8,1551358,2026-03-19
ANDHRAPAP,EQ,62.14,62.4,60.27,60.96,159917,2026-03-19
ANDHRSUGAR,EQ,69.8,70.53,68.12,68.63,159550,2026-03-19
ANGELONE,EQ,230.0,234.91,228.01,232.42,9785627,2026-03-19
ANIKINDS,EQ,39.1,40.74,38.5,38.74,14515,2026-03-19
ANMOL,EQ,10.95,10.95,10.1,10.51,52645,2026-03-19
ANTELOPUS,EQ,541.0,553.7,522.9,532.15,270658,2026-03-19
ANTGRAPHIC,EQ,0.82,0.82,0.78,0.79,241777,2026-03-19
ANTHEM,EQ,641.85,642.95,626.25,635.5,165633,2026-03-19
ANUHPHR,EQ,76.5,78.47,74.0,74.29,64165,2026-03-19
ANUP,EQ,1620.0,1689.9,1612.2,1632.6,66052,2026-03-19
ANURAS,EQ,1237.2,1260.0,1225.6,1243.5,122960,2026-03-19
AONEGOLD,EQ,14.3,14.3,13.57,13.72,1279219,2026-03-19
AONELIQUID,EQ,1051.31,1051.33,1051.31,1051.31,5417,2026-03-19
AONENIFTY,EQ,10.0,10.2,9.4,9.49,1382323,2026-03-19
AONESILVER,EQ,9.47,9.47,8.76,8.84,2019616,2026-03-19
AONETMMQ50,EQ,9.65,9.65,9.01,9.09,179301,2026-03-19
AONETOTAL,EQ,11.4,11.4,10.7,10.74,764450,2026-03-19
APARINDS,EQ,9400.0,9730.0,9372.0,9598.0,76956,2026-03-19
APCL,EQ,115.15,115.98,108.63,111.99,3667,2026-03-19
APCOTEXIND,EQ,337.9,346.0,333.05,343.6,12424,2026-03-19
APEX,EQ,355.4,365.4,353.0,357.85,314907,2026-03-19
APLAPOLLO,EQ,1950.0,1988.6,1922.0,1929.8,535700,2026-03-19
APLLTD,EQ,670.0,671.35,652.0,655.45,47930,2026-03-19
APOLLO,EQ,200.0,203.0,195.61,196.37,4431627,2026-03-19
APOLLOHOSP,EQ,7407.0,7407.0,7229.0,7252.0,264884,2026-03-19
APOLLOPIPE,EQ,399.0,419.9,385.15,391.5,934752,2026-03-19
APOLLOTYRE,EQ,415.0,424.75,412.75,419.45,929173,2026-03-19
APOLSINHOT,EQ,1091.2,1111.0,1085.0,1085.2,517,2026-03-19
APTECHT,EQ,78.5,79.72,76.82,77.8,113473,2026-03-19
APTUS,EQ,217.68,217.68,209.0,209.84,1860655,2026-03-19
AQYLON,EQ,68.7,68.7,68.7,68.7,27423,2026-03-19
ARCHIDPLY,EQ,72.5,72.5,68.1,70.92,75951,2026-03-19
ARCHIES,EQ,13.69,13.9,13.23,13.6,28929,2026-03-19
ARE&M,EQ,780.0,781.65,767.3,769.15,260313,2026-03-19
ARENTERP,EQ,40.12,41.1,38.45,38.92,343,2026-03-19
ARFIN,EQ,75.38,77.0,74.58,76.24,871405,2026-03-19
ARIES,EQ,330.0,336.95,325.65,331.05,14784,2026-03-19
ARIHANTCAP,EQ,69.4,69.4,67.1,67.96,154491,2026-03-19
ARIHANTSUP,EQ,226.9,226.9,214.05,216.6,126845,2026-03-19
ARIS,EQ,104.0,104.74,101.65,102.41,246522,2026-03-19
ARKADE,EQ,105.0,106.0,102.15,102.77,744334,2026-03-19
ARMANFIN,EQ,1464.1,1538.0,1456.8,1466.7,58017,2026-03-19
AROGRANITE,EQ,23.68,24.2,22.55,23.24,8620,2026-03-19
ARROWGREEN,EQ,392.0,397.8,381.0,388.35,44002,2026-03-19
ARSSBL,EQ,480.0,483.1,461.5,464.4,197975,2026-03-19
ARTEMISMED,EQ,226.04,230.0,222.73,229.18,85320,2026-03-19
ARTNIRMAN,EQ,37.13,37.13,33.45,34.92,242,2026-03-19
ARVIND,EQ,360.0,367.6,354.95,356.85,230188,2026-03-19
ARVINDFASN,EQ,400.25,409.65,397.2,404.75,165266,2026-03-19
ARVSMART,EQ,544.2,547.4,521.0,525.5,42582,2026-03-19
ASAHIINDIA,EQ,859.5,874.35,832.5,841.4,566173,2026-03-19
ASAHISONG,EQ,199.89,201.53,192.31,199.46,20118,2026-03-19
ASAL,EQ,403.5,422.85,403.5,417.9,22727,2026-03-19
ASALCBR,EQ,744.25,747.95,716.95,722.3,59604,2026-03-19
ASHAPURMIN,EQ,495.0,503.5,482.0,484.95,334856,2026-03-19
ASHIANA,EQ,306.2,312.0,298.5,301.2,56657,2026-03-19
ASHIMASYN,EQ,14.3,14.3,13.72,13.86,184133,2026-03-19
ASHOKA,EQ,115.54,115.63,112.7,112.94,956505,2026-03-19
ASHOKAMET,EQ,14.26,14.43,14.05,14.06,21604,2026-03-19
ASHOKLEY,EQ,175.95,175.95,167.89,168.57,19935868,2026-03-19
ASIANENE,EQ,287.0,290.7,278.25,282.7,83305,2026-03-19
ASIANHOTNR,EQ,301.05,307.45,286.0,291.7,891,2026-03-19
ASIANPAINT,EQ,2220.0,2239.0,2180.6,2186.0,889334,2026-03-19
ASIANTILES,EQ,58.85,61.94,58.18,59.21,2530616,2026-03-19
ASKAUTOLTD,EQ,413.3,424.7,410.15,418.55,173816,2026-03-19
ASMS,EQ,8.37,8.44,8.1,8.13,704404,2026-03-19
ASPINWALL,EQ,203.0,207.95,203.0,207.0,1657,2026-03-19
ASTEC,EQ,592.0,600.1,562.0,564.85,32901,2026-03-19
ASTERDM,EQ,652.0,654.45,634.0,636.2,501294,2026-03-19
ASTRAL,EQ,1653.4,1653.4,1625.5,1640.4,478035,2026-03-19
ASTRAMICRO,EQ,928.05,936.0,901.9,908.65,162000,2026-03-19
ASTRAZEN,EQ,8401.0,8544.5,8350.5,8370.5,3112,2026-03-19
ASTRON,EQ,4.04,4.04,3.76,3.87,40931,2026-03-19
ATALREAL,EQ,22.74,23.24,22.71,23.09,3470635,2026-03-19
ATAM,EQ,58.01,59.48,57.5,57.85,4962,2026-03-19
ATGL,EQ,535.65,580.0,517.7,556.15,50297135,2026-03-19
ATHERENERG,EQ,740.15,784.8,735.65,754.3,6981015,2026-03-19
ATL,EQ,22.22,22.98,22.22,22.5,180206,2026-03-19
ATLANTAA,EQ,37.9,37.96,36.2,36.6,105428,2026-03-19
ATLANTAELE,EQ,1054.0,1116.9,1039.45,1072.0,306743,2026-03-19
ATLASCYCLE,EQ,82.68,84.7,81.5,82.81,2249,2026-03-19
ATUL,EQ,6242.0,6331.0,6201.5,6221.5,9547,2026-03-19
ATULAUTO,EQ,419.25,423.6,412.6,415.9,112042,2026-03-19
AUBANK,EQ,919.8,919.8,896.2,901.55,2442610,2026-03-19
AURIONPRO,EQ,812.0,837.75,808.0,810.15,158004,2026-03-19
AUROPHARMA,EQ,1255.0,1269.0,1240.0,1247.5,816613,2026-03-19
AURUM,EQ,166.0,170.9,165.01,167.02,39036,2026-03-19
AUTOAXLES,EQ,1713.2,1727.2,1645.2,1665.2,9862,2026-03-19
AUTOBEES,EQ,258.79,258.79,251.11,253.25,476035,2026-03-19
AUTOIETF,EQ,26.37,26.37,25.12,25.4,1026257,2026-03-19
AUTOIND,EQ,61.6,61.6,57.91,59.1,86702,2026-03-19
AVADHSUGAR,EQ,415.0,439.75,409.3,426.1,134204,2026-03-19
AVALON,EQ,926.0,937.9,909.0,931.3,116384,2026-03-19
AVANTEL,EQ,130.0,131.0,126.0,126.97,1335525,2026-03-19
AVANTIFEED,EQ,1220.0,1227.0,1166.4,1174.4,312779,2026-03-19
AVG,EQ,169.0,181.09,166.05,172.93,146806,2026-03-19
AVL,EQ,448.7,463.0,445.7,452.15,313213,2026-03-19
AVONMORE,EQ,13.1,14.25,12.14,12.43,333383,2026-03-19
AVROIND,EQ,126.8,132.24,119.66,129.4,59160,2026-03-19
AVTNPL,EQ,60.03,61.72,59.01,59.28,99481,2026-03-19
AWFIS,EQ,275.0,275.0,265.3,268.65,280099,2026-03-19
AWHCL,EQ,444.0,449.2,435.0,436.25,117506,2026-03-19
AWL,EQ,175.0,178.75,174.31,176.28,2471187,2026-03-19
AXISBANK,EQ,1221.0,1241.5,1202.0,1207.0,8264698,2026-03-19
AXISBNKETF,EQ,555.03,556.9,547.21,549.34,3362,2026-03-19
AXISBPSETF,EQ,13.53,13.53,13.19,13.2,57561,2026-03-19
AXISCADES,EQ,1444.0,1494.4,1390.0,1410.3,188530,2026-03-19
AXISCETF,EQ,112.31,112.31,108.24,109.7,5391,2026-03-19
AXISGOLD,EQ,127.73,127.73,121.0,121.76,9720213,2026-03-19
AXISHCETF,EQ,146.94,146.94,140.29,143.0,9361,2026-03-19
AXISILVER,EQ,239.43,239.43,219.5,225.71,1292021,2026-03-19
AXISNIFTY,EQ,260.4,271.0,254.21,261.49,64924,2026-03-19
AXISTECETF,EQ,318.96,319.27,312.7,313.31,5696,2026-03-19
AXISVALUE,EQ,32.47,33.0,30.97,31.68,264406,2026-03-19
AXSENSEX,EQ,78.98,78.98,76.5,76.68,9882,2026-03-19
AYE,EQ,108.99,108.99,103.08,104.04,275658,2026-03-19
AYMSYNTEX,EQ,182.57,188.0,180.0,186.47,18206,2026-03-19
AZAD,EQ,1489.0,1503.2,1454.9,1460.5,175640,2026-03-19
BAFNAPH,EQ,119.99,120.5,115.01,120.5,15402,2026-03-19
BAGFILMS,EQ,4.34,4.42,4.26,4.28,128520,2026-03-19
BAIDFIN,EQ,11.0,11.18,10.6,10.86,204216,2026-03-19
BAJAJ-AUTO,EQ,9113.5,9150.0,8811.0,8868.5,288162,2026-03-19
BAJAJCON,EQ,349.0,352.3,340.05,344.0,380819,2026-03-19
BAJAJELEC,EQ,346.0,346.0,335.05,337.55,289243,2026-03-19
BAJAJFINSV,EQ,1776.0,1778.0,1702.1,1714.9,1354973,2026-03-19
BAJAJHCARE,EQ,303.0,320.45,297.25,302.25,466673,2026-03-19
BAJAJHFL,EQ,81.9,82.49,81.35,81.75,4665099,2026-03-19
BAJAJHIND,EQ,15.75,16.3,15.5,15.65,8437123,2026-03-19
BAJAJHLDNG,EQ,9781.0,9781.0,9630.0,9674.0,74131,2026-03-19
BAJAJINDEF,EQ,236.8,238.0,220.0,230.38,19159,2026-03-19
BAJEL,EQ,161.55,166.2,158.0,160.87,1031577,2026-03-19
BAJFINANCE,EQ,868.2,869.9,826.7,832.2,11585591,2026-03-19
BALAJEE,EQ,25.98,25.98,24.25,24.63,302942,2026-03-19
BALAJITELE,EQ,89.03,89.33,84.15,84.68,286378,2026-03-19
BALAMINES,EQ,1050.0,1054.1,1011.0,1018.4,60843,2026-03-19
BALAXI,EQ,17.94,18.24,17.5,18.02,66026,2026-03-19
BALKRISHNA,EQ,16.38,16.99,15.5,15.98,31176,2026-03-19
BALKRISIND,EQ,2145.0,2178.2,2098.5,2120.8,102348,2026-03-19
BALMLAWRIE,EQ,161.0,164.37,160.31,162.17,146019,2026-03-19
BALPHARMA,EQ,66.25,69.75,66.25,67.84,9154,2026-03-19
BALRAMCHIN,EQ,470.0,487.45,470.0,483.6,809032,2026-03-19
BALUFORGE,EQ,445.5,452.0,435.6,437.75,383058,2026-03-19
BANARBEADS,EQ,113.6,113.9,107.25,108.59,5575,2026-03-19
BANARISUG,EQ,3602.9,3611.9,3556.0,3603.0,483,2026-03-19
BANCOINDIA,EQ,567.0,567.0,548.1,550.35,183774,2026-03-19
BANDHANBNK,EQ,160.4,160.91,156.97,158.06,9761408,2026-03-19
BANG,EQ,33.0,34.5,32.66,33.49,22721,2026-03-19
BANK10ADD,EQ,16.61,16.61,16.0,16.21,28816,2026-03-19
BANKA,EQ,48.0,49.0,47.39,48.74,3395,2026-03-19
BANKADD,EQ,54.93,55.22,54.33,54.54,188463,2026-03-19
BANKBARODA,EQ,280.0,280.7,271.15,272.6,6659439,2026-03-19
BANKBEES,EQ,562.9,562.91,549.0,551.71,3357542,2026-03-19
BANKBETA,EQ,55.0,55.96,54.78,55.12,9623978,2026-03-19
BANKBETF,EQ,55.96,55.96,53.96,54.11,60924,2026-03-19
BANKETF,EQ,546.97,549.99,540.73,542.84,48603,2026-03-19
BANKIETF,EQ,56.05,56.05,54.48,54.75,7650418,2026-03-19
BANKINDIA,EQ,148.61,149.91,144.72,145.77,7145447,2026-03-19
BANKNIFTY1,EQ,57.13,57.13,55.0,55.3,9248498,2026-03-19
BANKPSU,EQ,85.05,85.56,83.94,84.44,19009,2026-03-19
BANSALWIRE,EQ,251.0,255.0,250.55,252.65,22928,2026-03-19
BANSWRAS,EQ,111.18,114.01,110.0,111.36,40485,2026-03-19
