SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,191.8,194.8,187.02,188.03,293155,2026-05-28
21STCENMGM,EQ,34.2,34.2,34.2,34.2,1008,2026-05-28
360ONE,EQ,1125.9,1129.5,1109.2,1112.1,274760,2026-05-28
3BBLACKBIO,EQ,1202.0,1235.6,1197.1,1221.7,8633,2026-05-28
3IINFOLTD,EQ,17.41,17.66,16.9,17.3,478339,2026-05-28
3MINDIA,EQ,33250.0,33610.0,33110.0,33225.0,2695,2026-05-28
3PLAND,EQ,30.5,32.16,30.5,31.71,2228,2026-05-28
5PAISA,EQ,337.95,341.5,330.15,335.1,32796,2026-05-28
63MOONS,EQ,628.5,635.0,621.8,631.7,207254,2026-05-28
A2ZINFRA,EQ,14.4,14.89,14.31,14.66,162016,2026-05-28
AAATECH,EQ,94.58,96.19,94.23,95.39,11135,2026-05-28
AADHARHFC,EQ,482.5,482.5,474.65,477.8,173436,2026-05-28
AARNAV,EQ,24.3,24.6,23.22,24.44,24179,2026-05-28
AARON,EQ,125.0,126.9,120.0,120.9,17222,2026-05-28
AARTECH,EQ,45.87,45.99,43.05,43.67,63217,2026-05-28
AARTIDRUGS,EQ,394.0,398.9,390.0,390.9,99307,2026-05-28
AARTIIND,EQ,491.95,501.4,490.0,500.75,736246,2026-05-28
AARTIPHARM,EQ,694.6,700.0,652.5,655.25,526788,2026-05-28
AARTISURF,EQ,394.0,396.9,383.55,390.6,5934,2026-05-28
AARVI,EQ,141.0,145.0,135.0,135.64,35337,2026-05-28
AAVAS,EQ,1390.0,1402.5,1364.3,1369.0,187307,2026-05-28
ABB,EQ,6841.5,7244.0,6808.0,7219.0,636096,2026-05-28
ABBOTINDIA,EQ,27800.0,27825.0,27455.0,27735.0,5170,2026-05-28
ABCAPITAL,EQ,363.05,367.9,362.35,364.9,2330771,2026-05-28
ABCOTS,EQ,226.9,229.85,212.0,215.61,75742,2026-05-28
ABDL,EQ,544.9,546.0,536.4,539.85,191536,2026-05-28
ABFRL,EQ,65.45,65.75,63.55,64.06,4935432,2026-05-28
ABGSEC,EQ,111.7,111.7,111.19,111.19,78,2026-05-28
ABINFRA,EQ,12.7,12.98,11.77,11.88,1434468,2026-05-28
ABLBL,EQ,102.23,102.89,101.32,102.0,319251,2026-05-28
ABMINTLLTD,EQ,46.0,46.6,44.54,45.61,54,2026-05-28
ABMKNO,EQ,233.0,233.0,225.5,228.0,2683,2026-05-28
ABREL,EQ,1270.0,1277.9,1246.1,1252.8,89183,2026-05-28
ABSL10BANK,EQ,163.64,163.64,161.9,162.11,6245,2026-05-28
ABSLAMC,EQ,1004.0,1034.6,998.0,1027.3,250892,2026-05-28
ABSLBANETF,EQ,56.31,56.5,56.0,56.15,59623,2026-05-28
ABSLLIQUID,EQ,1000.0,1000.01,999.99,1000.0,4459,2026-05-28
ABSLMSCIN,EQ,29.22,29.95,29.08,29.08,1485,2026-05-28
ABSLNN50ET,EQ,74.85,75.55,74.7,75.48,16669,2026-05-28
ABSLPSE,EQ,10.73,11.25,10.73,10.84,77806,2026-05-28
ACC,EQ,1415.0,1429.9,1397.8,1426.6,206555,2026-05-28
ACCELYA,EQ,1142.5,1144.0,1120.0,1130.1,7683,2026-05-28
ACCURACY,EQ,5.8,5.93,5.61,5.63,158886,2026-05-28
ACE,EQ,893.0,909.05,893.0,906.25,180016,2026-05-28
ACEINTEG,EQ,19.7,20.1,19.6,19.89,4436,2026-05-28
ACI,EQ,539.0,542.7,532.0,534.15,94406,2026-05-28
ACL,EQ,56.88,57.4,56.0,56.17,18178,2026-05-28
ACMESOLAR,EQ,304.4,309.65,302.5,305.6,1292446,2026-05-28
ACSTECH,EQ,35.28,35.45,34.21,34.36,436708,2026-05-28
ACUTAAS,EQ,3049.0,3075.3,2989.0,3000.6,206974,2026-05-28
ADANIENSOL,EQ,1485.0,1558.8,1475.1,1540.1,7841736,2026-05-28
ADANIENT,EQ,2982.0,3027.5,2944.0,2973.1,3826916,2026-05-28
ADANIGREEN,EQ,1472.0,1518.0,1467.0,1489.9,6509853,2026-05-28
ADANIPORTS,EQ,1810.0,1842.8,1809.9,1824.5,2102406,2026-05-28
ADANIPOWER,EQ,247.6,252.65,245.5,248.91,85859567,2026-05-28
ADFFOODS,EQ,275.85,280.7,268.15,270.3,186008,2026-05-28
ADL,EQ,76.5,77.61,74.55,75.04,1222,2026-05-28
ADOR,EQ,1160.0,1209.0,1145.2,1168.8,98109,2026-05-28
ADROITINFO,EQ,8.71,8.97,8.71,8.94,31232,2026-05-28
ADSL,EQ,123.94,123.94,122.0,122.38,87583,2026-05-28
ADVAIT,EQ,2088.0,2200.0,1997.0,2062.7,326898,2026-05-28
ADVANCE,EQ,105.58,105.81,103.0,103.57,46714,2026-05-28
ADVANIHOTR,EQ,53.9,54.68,53.3,53.92,36285,2026-05-28
ADVENTHTL,EQ,146.82,147.75,140.1,141.14,177257,2026-05-28
ADVENZYMES,EQ,378.0,378.25,364.6,371.75,178319,2026-05-28
AEGISLOG,EQ,715.95,718.25,705.0,714.0,261465,2026-05-28
AEGISVOPAK,EQ,209.9,209.99,204.12,205.76,398179,2026-05-28
AEPL,EQ,16.45,16.88,16.05,16.52,18757,2026-05-28
AEQUS,EQ,198.1,201.48,190.47,190.47,5882661,2026-05-28
AEROENTER,EQ,96.8,99.01,96.5,97.42,233156,2026-05-28
AEROFLEX,EQ,404.0,424.0,404.0,407.4,1840679,2026-05-28
AERONEU,EQ,87.01,89.95,87.01,89.0,59874,2026-05-28
AETHER,EQ,1097.5,1101.5,1074.7,1094.7,157409,2026-05-28
AFCONS,EQ,321.55,324.6,316.05,318.05,523641,2026-05-28
AFFLE,EQ,1496.0,1498.8,1453.0,1477.2,195589,2026-05-28
AFSL,EQ,201.89,202.0,201.0,201.01,6686,2026-05-28
