"INDEX_NAME"
"NIFTY50 DIVIDEND POINTS"
"NIFTY METAL"
"NIFTY MIDSMALL HEALTHCARE"
"NIFTY MIDSMALL IT & TELECOM"
"NIFTY PHARMA"
"NIFTY200 VALUE 30"
"NIFTY500 VALUE 50"
"NIFTY50 PR 1X INVERSE"
"NIFTY HIGH BETA 50"
"NIFTY MIDSMALL FINANCIAL SERVICES"
"NIFTY50 TR 1X INVERSE"
"NIFTY HEALTHCARE INDEX"
"NIFTY CAPITAL MARKETS"
"NIFTY COMMODITIES"
"NIFTY AUTO"
"NIFTY PSU BANK"
"NIFTY MIDCAP SELECT"
"NIFTY INDIA MANUFACTURING"
"NIFTY ENERGY"
"NIFTY MIDCAP LIQUID 15"
"NIFTY MIDCAP 50"
"NIFTY IPO"
"NIFTY EV & NEW AGE AUTOMOTIVE"
"NIFTY500 HEALTHCARE"
"NIFTY MNC"
"NIFTY MICROCAP 250"
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)"
"NIFTY MIDCAP 100"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20"
"NIFTY 4-8 YR G-SEC INDEX"
"NIFTY TRANSPORTATION & LOGISTICS"
"NIFTY MOBILITY"
"NIFTY200 ALPHA 30"
"NIFTY MIDCAP 150"
"NIFTY BHARAT BOND INDEX - APRIL 2030"
"NIFTY100 EQUAL WEIGHT"
"NIFTY 8-13 YR G-SEC"
"NIFTY MIDSMALLCAP 400"
"NIFTY NEXT 50"
"NIFTY COMPOSITE G-SEC INDEX"
"NIFTY BHARAT BOND INDEX - APRIL 2031"
"NIFTY 11-15 YR G-SEC INDEX"
"NIFTY50 EQUAL WEIGHT"
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50"
"NIFTY BHARAT BOND INDEX - APRIL 2032"
"NIFTY 10 YR BENCHMARK G-SEC"
"NIFTY ALPHA 50"
"NIFTY HOUSING"
"NIFTY MIDCAP150 MOMENTUM 50"
"NIFTY BHARAT BOND INDEX - APRIL 2033"
"NIFTY SMALLCAP 250"
"NIFTY SMALLCAP 50"
"NIFTY100 ALPHA 30"
"NIFTY REITS & REALTY"
"NIFTY SMALLCAP 500"
"NIFTY MIDSMALLCAP400 50:50"
"NIFTY500 EQUAL WEIGHT"
"NIFTY INDIA DEFENCE"
"NIFTY CONGLOMERATE 50"
"NIFTY 15 YR AND ABOVE G-SEC INDEX"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100"
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS"
"NIFTY PRIVATE BANK"
"NIFTY500 MOMENTUM 50"
"NIFTY BANK"
"NIFTY LARGEMIDCAP 250"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20"
"NIFTY500 SHARIAH"
"NIFTY SMALLCAP 100"
"NIFTY MIDCAP150 QUALITY 50"
"NIFTY500 QUALITY 50"
"NIFTY CHEMICALS"
"NIFTY500 MULTICAP 50:25:25"
"NIFTY500 LOW VOLATILITY 50"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100"
"NIFTY500 FLEXICAP QUALITY 30"
"NIFTY100 ESG"
"NIFTY100 ENHANCED ESG"
"NIFTY INDIA FPI 150"
"NIFTY100 LIQUID 15"
"NIFTY MEDIA"
"NIFTY INFRASTRUCTURE"
"NIFTY TOTAL MARKET"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30"
"NIFTY INDIA INTERNET"
"NIFTY 500"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)"
"NIFTY500 MULTICAP MOMENTUM QUALITY 50"
"NIFTY CORE HOUSING"
"NIFTY RURAL"
"NIFTY100 LOW VOLATILITY 30"
"NIFTY 200"
"NIFTY200 MOMENTUM 30"
"NIFTY INDIA NEW AGE CONSUMPTION"
"NIFTY500 MULTIFACTOR MQVLV 50"
"NIFTY100 QUALITY 30"
"NIFTY FINANCIAL SERVICES EX-BANK"
"NIFTY SHARIAH 25"
"NIFTY INDIA CONSUMPTION"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30"
"NIFTY ALPHA LOW-VOLATILITY 30"
"NIFTY CEMENT"
"NIFTY LOW VOLATILITY 50"
"NIFTY200 QUALITY 30"
"NIFTY SME EMERGE"
"NIFTY 100"
"NIFTY CPSE"
"NIFTY FINANCIAL SERVICES 25/50"
"NIFTY INDIA DIGITAL"
"NIFTY PSE"
"NIFTY FINANCIAL SERVICES"
"NIFTY GROWTH SECTORS 15"
"NIFTY WAVES"
"NIFTY50 VALUE 20"
"NIFTY100 ESG SECTOR LEADERS"
"NIFTY QUALITY LOW-VOLATILITY 30"
"NIFTY DIVIDEND OPPORTUNITIES 50"
"NIFTY 50"
"NIFTY50 SHARIAH"
"NIFTY NON-CYCLICAL CONSUMER"
"NIFTY SERVICES SECTOR"
"NIFTY CONSUMER DURABLES"
"NIFTY MIDSMALL INDIA CONSUMPTION"
"NIFTY OIL & GAS"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP"
"NIFTY TOP 20 EQUAL WEIGHT"
"NIFTY TOP 15 EQUAL WEIGHT"
"NIFTY SMALLCAP250 QUALITY 50"
"NIFTY50 USD"
"NIFTY TOP 10 EQUAL WEIGHT"
"NIFTY INDIA TOURISM"
"NIFTY IT"
"INDIA VIX"
"NIFTY FMCG"
"NIFTY50 TR 2X LEVERAGE"
"NIFTY50 PR 2X LEVERAGE"
"NIFTY REALTY"
"NIFTY INDIA RAILWAYS PSU"
