TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-05,2026-06-05,CM,BSE,STK,544736,INF336L01RX2,HSBCGOLD,E,,,,,HSBC Mutual Fund,137.14,137.14,135.05,135.10,135.10,134.45,,134.86,,,20,2711.00,6,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544737,INF769K01QV2,VALUE,B,,,,,Mirae Asset Mutual Fund,16.98,16.98,16.50,16.53,16.50,16.65,,16.57,,,1360,22671.00,10,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544738,INE0R0M01014,SPML,MT,,,,,SPECIALITY MEDICINES LIMITED,216.05,216.05,216.05,216.05,216.05,220.10,,216.05,,,1000,216050.00,1,F1,1000,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544739,INE05HV01027,CMPDI,B,,,,,Central Mine Planning & Design,234.50,244.00,231.50,237.40,237.40,231.70,,237.28,,,306054,73434540.00,4323,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544740,INE1U6D01014,TIPCO,MT,,,,,Tipco Engineering India Limite,159.80,164.30,154.85,156.60,155.50,163.00,,156.60,,,96000,15142880.00,56,F1,1600,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544741,INE1KI801019,HIGHNESS,M,,,,,Highness Microelectronics Limi,149.70,156.40,148.00,156.35,156.40,142.20,,156.35,,,100800,15378480.00,78,F1,1200,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544742,INE0H9F01037,SAIPARENT,B,,,,,Sai Parenteral's Limited,547.45,570.00,540.20,545.80,545.80,547.60,,545.20,,,20566,11382082.00,898,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544743,INE05TO01019,AMIRCHAND,B,,,,,Amir Chand Jagdish Kumar (Expo,122.15,123.15,120.30,120.70,120.70,121.35,,120.81,,,19433,2365214.00,377,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544744,INE921L01032,POWERICA,B,,,,,Powerica Ltd.,531.80,531.80,494.80,499.50,502.55,514.05,,499.80,,,175182,88356044.00,1209,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544745,INF200KB1AK8,SBINMID150,B,,,,,SBI Mutual Fund,22.52,22.58,22.16,22.22,22.22,22.41,,22.35,,,4252,94525.00,38,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544746,INE0UMH01018,SCDL,M,,,,,SAFETY CONTROLS & DEVICES LIMI,81.00,81.00,80.00,80.00,80.00,78.38,,80.00,,,4800,387200.00,3,F1,1600,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544747,INE1OSW01015,EMIAC,M,,,,,EMIAC TECHNOLOGIES LIMITED,100.00,101.80,100.00,100.90,101.80,100.25,,100.90,,,2400,242160.00,2,F1,1200,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544748,INE840Y01029,ONEPOINT,B,,,,,ONE POINT ONE SOLUTIONS LIMITE,57.62,59.72,57.51,58.64,58.50,57.89,,58.58,,,121268,7132658.00,361,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544750,INE25E901019,OMPOWER,B,,,,,OM POWER TRANSMISSION LIMITED,169.00,189.00,168.90,182.50,182.80,169.35,,182.55,,,125323,22830435.00,1326,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544753,INE2Q7823014,CITIUSINVT,IF,,,,,Citius TransNet Investment Tru,108.00,108.00,106.20,106.60,106.22,106.16,,106.59,,,805635,86201680.00,206,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544754,INE12F801023,KISSHT,B,,,,,OnEMI Technology Solutions Lim,269.30,273.35,252.50,269.80,269.80,269.35,,269.85,,,571871,150292762.00,9621,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544755,INE2B6701015,RECODE,M,,,,,RECODE STUDIOS LIMITED,189.25,189.25,178.55,179.70,179.70,189.55,,179.70,,,49600,9037720.00,55,F1,800,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544756,INE368U01029,UNITEDPOLY,T,,,,,United Polyfab Gujarat Limited,32.51,35.00,32.51,33.02,32.60,33.94,,33.10,,,1813,60203.00,37,F1,1,,,,,
2026-06-05,2026-06-05,CM,BSE,STK,544758,INE2OVN25015,BAGMANE,IF,,,,,Bagmane Prime Office REIT,103.34,103.87,103.31,103.35,103.33,103.32,,103.35,,,48594,5029229.00,514,F1,1,,,,,
