symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
AMITSPIN,EQ,-,10,Agm,18-Jan-2005,-,20-Jan-2005,03-Feb-2005,-,Amit Spinning Industries Limited,INE988A01018,-,
NEPCTEX,EQ,-,10,Agm,19-Jan-2005,-,24-Jan-2005,28-Jan-2005,-,Nepc Textiles Limited,INE574B01014,-,
AUTOAXLES,EQ,-,10,Dividend -65%,20-Jan-2005,-,25-Jan-2005,27-Jan-2005,-,Automotive Axles Limited,INE449A01011,-,
JKINDUSTRY,EQ,-,10,Agm/Int Div-Rs2/- Per Sh,17-Feb-2005,-,21-Feb-2005,26-Feb-2005,-,J.K.Industries Limited,INE573A01026,-,
THOMASCOOK,EQ,-,1,Agm/Dividend-37.5%,22-Feb-2005,-,24-Feb-2005,17-Mar-2005,-,Thomas Cook  (India)  Limited,INE332A01027,-,
HINDSPG,EQ,-,10,Agm,25-Feb-2005,-,01-Mar-2005,09-Mar-2005,-,Hindoostan Spinning and Weaving Mills Limited,INE066D01017,-,
VATSALTD,EQ,-,1,Agm,07-Mar-2005,-,15-Mar-2005,18-Mar-2005,07-Mar-2005,Vatsa Corporations Limited,INE522B01021,14-Mar-2005,
DENORA,EQ,-,10,Agm / Div - Rs.5/- Per Shpurpose Revised,11-Mar-2005,-,15-Mar-2005,17-Mar-2005,-,De Nora India Limited,INE244A01016,-,
VDOCONINTL,EQ,-,10,Agm/Dividend-10%,15-Mar-2005,-,17-Mar-2005,31-Mar-2005,-,Videocon International Limited,INE341A01010,-,
LYKALABS,EQ,-,10,Agm,17-Mar-2005,-,21-Mar-2005,31-Mar-2005,-,Lyka Labs Limited,INE933A01014,-,
BLUECOAST,EQ,-,10,Agm,17-Mar-2005,-,21-Mar-2005,28-Mar-2005,-,Blue Coast Hotels Limited,INE472B01011,-,
JDORGO,EQ,-,10,Agm,23-Mar-2005,-,25-Mar-2005,30-Mar-2005,-,JD Orgochem Limited,INE263B01014,-,
ALFALAVAL,EQ,-,10,Agm/Fin Div-100%,11-Apr-2005,-,13-Apr-2005,27-Apr-2005,-,Alfa Laval (India) Limited,INE427A01017,-,
GILLETTE,EQ,-,10,Agm/Div.-Rs.8.50 Per Shr,13-Apr-2005,-,19-Apr-2005,27-Apr-2005,-,Gillette India Limited,INE322A01010,-,
JSWSTEEL,EQ,-,1,Agm/ Dividend-50%,29-Apr-2005,-,03-May-2005,06-May-2005,-,JSW Steel Limited,INE019A01020,-,
ANDHRABANK,EQ,-,10,Dividend-15%             Purpose Revsied,11-May-2005,-,13-May-2005,25-May-2005,-,Andhra Bank,INE434A01013,-,
IOB,EQ,-,10,Dividend-10%,12-May-2005,-,14-May-2005,19-May-2005,-,Indian Overseas Bank,INE565A01014,-,
RELIANCE,EQ,-,10,Dividend-Rs.7.5/- Per Sh.,12-May-2005,-,14-May-2005,21-May-2005,-,Reliance Industries Limited,INE002A01018,-,
IPCL,EQ,-,10,Dividend-Rs.4.50 Pershare,12-May-2005,-,14-May-2005,21-May-2005,-,Indian Petrochemicals Corporation Limited,INE006A01019,-,
NEPCAGRO,EQ,-,10,Agm,16-May-2005,-,23-May-2005,27-May-2005,16-May-2005,NEPC  Agro Foods Limited,INE587A01018,20-May-2005,
PUNJABTRAC,EQ,-,10,Dividend-55%,18-May-2005,-,20-May-2005,25-May-2005,-,Punjab Tractors Limited,INE170A01013,-,
CANFINHOME,EQ,-,2,Dividend-25%,20-May-2005,-,25-May-2005,31-May-2005,-,Can Fin Homes Limited,INE477A01012,-,
SYNDIBANK,EQ,-,10,Dividend-14%,20-May-2005,-,25-May-2005,27-May-2005,-,Syndicate Bank,INE667A01018,-,
HCC,EQ,-,1,Agm/Dividend-Rs.6/ Per Shbc End Date Revised,24-May-2005,-,26-May-2005,08-Jun-2005,-,Hindustan Construction Company Limited,INE549A01026,-,
IGS,EQ,-,4,Agm/ Dividend-15%,25-May-2005,-,27-May-2005,03-Jun-2005,-,iGate Global Solutions Limited,INE177B01016,-,
SONATSOFTW,EQ,-,1,Agm/ Dividend-35%,25-May-2005,-,27-May-2005,10-Jun-2005,-,Sonata Software Limited,INE269A01021,-,
HDFCBANK,EQ,-,1,Agm/ Dividend-45%        Purpose Revised,26-May-2005,-,28-May-2005,17-Jun-2005,-,HDFC Bank Limited,INE040A01018,-,
J&KBANK,EQ,-,1,Agm/ Dividend-80%,26-May-2005,-,30-May-2005,08-Jun-2005,-,The Jammu & Kashmir Bank Limited,INE168A01017,-,
APTECHT,EQ,-,10,Annual Book Closure,27-May-2005,-,31-May-2005,10-Jun-2005,-,Aptech Limited,INE266F01018,-,
ASAL,EQ,-,10,Agm/ Dividend-12%,27-May-2005,-,31-May-2005,06-Jun-2005,-,Automotive Stampings and Assemblies Limited,INE900C01027,-,
RELCAPITAL,EQ,-,10,Dividend-30%,30-May-2005,-,01-Jun-2005,10-Jun-2005,-,Reliance Capital Limited,INE013A01015,-,
RAYMOND,EQ,-,10,Agm/Dividend-40%,30-May-2005,-,01-Jun-2005,16-Jun-2005,-,Raymond Limited,INE301A01014,-,
RELINFRA,EQ,-,10,Dividend-14%,30-May-2005,-,01-Jun-2005,08-Jun-2005,-,Reliance Infrastructure Limited,INE036A01016,-,
SANOFI,EQ,-,10,Agm/ Final Dividend -125%,31-May-2005,-,02-Jun-2005,22-Jun-2005,-,Sanofi India Limited,INE058A01010,-,
CHEMPLAST,EQ,-,1,Agm,31-May-2005,-,02-Jun-2005,08-Jun-2005,-,Chemplast Sanmar Limited,INE488A01027,-,
SBIHOMEFIN,EQ,-,10,Agm,01-Jun-2005,-,03-Jun-2005,08-Jun-2005,-,SBI Home Finance Limited,INE627A01012,-,
INFY,EQ,-,5,Agm/ Dividend-130%,01-Jun-2005,-,03-Jun-2005,11-Jun-2005,-,Infosys Limited,INE009A01021,-,
GRUH,EQ,-,2,Agm/ Dividend-21%,01-Jun-2005,-,03-Jun-2005,14-Jun-2005,-,Gruh Finance Limited,INE580B01011,-,
UCOBANK,EQ,-,10,Agm/Dividend-10%,01-Jun-2005,-,03-Jun-2005,10-Jun-2005,-,UCO Bank,INE691A01018,-,
ALBK,EQ,-,10,Agm/Egm/Fin Dividend-15%,02-Jun-2005,-,04-Jun-2005,15-Jun-2005,-,Allahabad Bank,INE428A01015,-,
JBFIND,EQ,-,10,Dividend-Rs.2/- Per Share,02-Jun-2005,-,06-Jun-2005,16-Jun-2005,-,JBF Industries Limited,INE187A01017,-,
BATAINDIA,EQ,-,5,Agm,03-Jun-2005,-,07-Jun-2005,27-Jun-2005,-,Bata India Limited,INE176A01010,-,
VARUNSHIP,EQ,-,10,Dividend-20%,03-Jun-2005,-,07-Jun-2005,16-Jun-2005,-,Varun Shipping Company Limited,INE702A01013,-,
TVSMOTOR,EQ,-,1,2nd Interim Dividend-60%,03-Jun-2005,-,07-Jun-2005,10-Jun-2005,-,TVS Motor Company Limited,INE494B01015,-,
NIPPOBATRY,EQ,-,5,Agm/Dividend-200%,03-Jun-2005,-,07-Jun-2005,15-Jun-2005,-,Indo-National Limited,INE567A01010,-,
TATASTEEL,EQ,-,1,Dividend-130%,07-Jun-2005,-,09-Jun-2005,29-Jun-2005,-,Tata Steel Limited,INE081A01012,-,
UNIONBANK,EQ,-,10,Agm/Final Dividend-15%,07-Jun-2005,-,09-Jun-2005,16-Jun-2005,-,Union Bank of India,INE692A01016,-,
PATNI,EQ,-,2,Agm/Dividend-100%,07-Jun-2005,-,09-Jun-2005,14-Jun-2005,-,Patni Computer Systems Limited,INE660F01012,-,
ABIRLANUVO,EQ,-,10,Agm/ Div-Rs.4/- Per Share,09-Jun-2005,-,11-Jun-2005,24-Jun-2005,-,Aditya Birla Nuvo Limited,INE069A01017,-,
ADOR,EQ,-,10,Div Fin-30% + Spl-50%,09-Jun-2005,-,11-Jun-2005,20-Jun-2005,-,Ador Welding Limited,INE045A01017,-,
TORNTPHARM,EQ,-,5,Dividend - Rs.8/- Per Sh,09-Jun-2005,-,13-Jun-2005,18-Jun-2005,-,Torrent Pharmaceuticals Limited,INE685A01028,-,
BANKRAJAS,EQ,-,10,Agm/Dividend-11%,09-Jun-2005,-,11-Jun-2005,17-Jun-2005,-,The Bank of Rajasthan Limited,INE320A01014,-,
GESHIPPING,EQ,-,10,Dividend-Rs.3/- Per Share,10-Jun-2005,-,14-Jun-2005,24-Jun-2005,-,Great Eastern Shipping Company Limited,INE017A01024,-,
CMC,EQ,-,10,Agm /Dividend-45%,10-Jun-2005,-,14-Jun-2005,17-Jun-2005,-,CMC Limited,INE314A01017,-,
WELLWININD,EQ,-,10,Agm,10-Jun-2005,-,14-Jun-2005,16-Jun-2005,-,Wellwin Industry Limited,INE752A01018,-,
GEOMETRIC,EQ,-,2,Agm/ Div-Rs.4/-Per Share,10-Jun-2005,-,14-Jun-2005,24-Jun-2005,-,Geometric Limited,INE797A01021,-,
STAR,EQ,-,10,Agm/ Dividend-15%        Bc Dates Revised,13-Jun-2005,-,15-Jun-2005,22-Jun-2005,-,Strides Pharma Science Limited,INE939A01011,-,
FINPIPE,EQ,-,2,Agm/ Dividend-30%,13-Jun-2005,-,15-Jun-2005,28-Jun-2005,-,Finolex Industries Limited,INE183A01016,-,
KESORAMIND,EQ,-,10,Agm/ Div-Rs.2.50 Persharepurpose Revised,13-Jun-2005,-,15-Jun-2005,30-Jun-2005,-,Kesoram Industries Limited,INE087A01019,-,
CENTENKA,EQ,-,10,Agm/ Divdend-60%,13-Jun-2005,-,15-Jun-2005,22-Jun-2005,-,Century Enka Limited,INE485A01015,-,
NOVAIRNSTL,EQ,-,10,Agm,14-Jun-2005,-,16-Jun-2005,27-Jun-2005,-,Nova Iron & Steel Limited,INE220001015,-,
XPROINDIA,EQ,-,10,Agm/ Div.-Rs. 2/-Pershare,14-Jun-2005,-,16-Jun-2005,24-Jun-2005,-,Xpro India Limited,INE445C01015,-,
RALLIS,EQ,-,1,Agm/Dividend-10%,15-Jun-2005,-,17-Jun-2005,30-Jun-2005,-,Rallis India Limited,INE613A01012,-,
