symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
GHCL,EQ,-,10,Dividend-Rs.2/- Per Share,22-Dec-2009,-,24-Dec-2009,31-Dec-2009,-,GHCL Limited,INE539A01019,-,
TRIVENI,EQ,-,1,Dividend-Re.0.70 Pr Share,22-Dec-2009,-,24-Dec-2009,28-Dec-2009,-,Triveni Engineering & Industries Limited,INE256C01024,-,
PIONEEREMB,EQ,-,10,Annual General Meeting,22-Dec-2009,-,24-Dec-2009,31-Dec-2009,-,Pioneer Embroideries Limited,INE156C01018,-,
ORGINFO,EQ,-,10,Annual General Meeting,22-Dec-2009,-,24-Dec-2009,28-Dec-2009,-,ORG Informatics Limited,INE686D01012,-,
PRITHVI,EQ,-,10,Annual General Meeting,22-Dec-2009,-,24-Dec-2009,31-Dec-2009,-,Prithvi Information Solutions Limited,INE700C01013,-,
CIMCOBIRLA,EQ,-,10,Annual General Meeting,22-Dec-2009,-,24-Dec-2009,31-Dec-2009,-,Cimmco Birla Limited,INE184C01010,-,
FEDDERELEC,EQ,-,10,Agm/Div-Re.1/- Per Share,22-Dec-2009,-,24-Dec-2009,29-Dec-2009,-,Fedders Electric and Engineering Limited,INE249C01011,-,
ONGC,EQ,-,5,Int Div-Rs.18/- Per Sharepurpose Revised,22-Dec-2009,23-Dec-2009,-,-,-,Oil & Natural Gas Corporation Limited,INE213A01011,-,
EMAMILTD,EQ,-,1,Div-Rs.4.50/Schm Of Arrng,22-Dec-2009,-,24-Dec-2009,31-Dec-2009,-,Emami Limited,INE548C01024,-,
METALFORGE,EQ,-,10,Agm/Div-Rs.1/- Per Share,23-Dec-2009,-,28-Dec-2009,31-Dec-2009,-,Metalyst Forgings Limited,INE425A01011,-,
AMTEKAUTO,EQ,-,2,Agm/Div-Re.0.50 Per Share,23-Dec-2009,-,28-Dec-2009,31-Dec-2009,-,Amtek Auto Limited,INE130C01021,-,
CASTEXTECH,EQ,-,2,Agm/Div-Re.0.20 Per Share,23-Dec-2009,-,28-Dec-2009,31-Dec-2009,-,Castex Technologies Limited,INE068D01021,-,
