symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
CAUVERSOFT,EQ,-,10,Agm,03-Feb-2004,-,05-Feb-2004,09-Feb-2004,-,Cauvery Software Engineering Systems Limited,INE466B01013,-,
BALAJIDIST,EQ,-,10,Agm,23-Feb-2004,-,25-Feb-2004,28-Feb-2004,-,Balaji Distilleries Limited,INE453A01013,-,
RAIN,EQ,-,2,Agm,26-Feb-2004,-,01-Mar-2004,11-Mar-2004,-,Rain Industries Limited,INE855B01025,-,
VATSALTD,EQ,-,1,Agm,09-Mar-2004,-,16-Mar-2004,19-Mar-2004,09-Mar-2004,Vatsa Corporations Limited,INE522B01021,15-Mar-2004,
VDOCONINTL,EQ,-,10,Dividend-10% / Agm,18-Mar-2004,-,20-Mar-2004,31-Mar-2004,-,Videocon International Limited,INE341A01010,-,
ATCOM,EQ,-,10,Agm,25-Mar-2004,-,27-Mar-2004,29-Mar-2004,-,Atcom Technologies Limited,INE834A01014,-,
SQRDSFWARE,EQ,-,10,Agm,26-Mar-2004,-,30-Mar-2004,05-Apr-2004,-,DSQ Software Limited,INE286A01017,-,
PHARMACIA,EQ,-,5,Agm,20-Apr-2004,-,22-Apr-2004,29-Apr-2004,-,Pharmacia Healthcare Limited,INE252B01025,-,
SHAMKNFAB,EQ,-,10,Agm,29-Apr-2004,-,03-May-2004,10-May-2004,-,Shamken Multifab Limited,INE565B01012,-,
VISAKAIND,EQ,-,2,Dividend-25%             Purpose Revised,28-May-2004,-,01-Jun-2004,04-Jun-2004,-,Visaka Industries Limited,INE392A01013,-,
HINDSPG,EQ,-,10,Agm,02-Jun-2004,-,04-Jun-2004,16-Jun-2004,-,Hindoostan Spinning and Weaving Mills Limited,INE066D01017,-,
GUJCYPROM,EQ,-,10,Agm,03-Jun-2004,-,10-Jun-2004,15-Jun-2004,03-Jun-2004,Gujarat Cypromet Limited,INE673B01014,09-Jun-2004,
FINCABLES,EQ,-,2,Agm/Dividend-40%,07-Jun-2004,-,09-Jun-2004,18-Jun-2004,-,Finolex Cables Limited,INE235A01022,-,
SQUAREDBIO,EQ,-,10,Agm,09-Jun-2004,-,11-Jun-2004,18-Jun-2004,-,Origin Agrostar Limited,INE964A01019,-,
INDGYPSUM,EQ,-,10,Agm,24-Jun-2004,-,28-Jun-2004,05-Jul-2004,-,India Gypsum Limited,INE561A01013,-,
BGFL,EQ,-,10,Agm / Dividend-10%,25-Jun-2004,-,29-Jun-2004,12-Jul-2004,-,Birla Global Finance Limited,INE097A01018,-,
