symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
RAMAPETRO,EQ,-,10,Agm,03-Jan-2000,-,24-Jan-2000,31-Jan-2000,03-Jan-2000,Rama Petrochemicals Limited,INE260701011,25-Jan-2000,
JAINIRRIG,EQ,-,10,Agm,12-Jan-2000,-,07-Feb-2000,14-Feb-2000,12-Jan-2000,Jain Irrigation Systems Limited,INE175A01012,08-Feb-2000,
KILBUNENGG,EQ,-,10,Agm,26-Jan-2000,-,17-Feb-2000,18-Feb-2000,26-Jan-2000,Kilburn Engineering Limited,INE126501019,15-Feb-2000,
JKPHARMA,EQ,-,10,Nil,26-Jan-2000,-,18-Feb-2000,24-Feb-2000,26-Jan-2000,JK Pharmachem Limited,INE335C01018,15-Feb-2000,
RAYMONDSYN,EQ,-,10,Agm,26-Jan-2000,-,22-Feb-2000,25-Feb-2000,26-Jan-2000,Recron Synthetics Limited,INE616A01015,22-Feb-2000,
TELEPHNCAB,EQ,-,10,Agm,26-Jan-2000,-,22-Feb-2000,29-Feb-2000,26-Jan-2000,Telephone Cables Limited,INE745C01018,22-Feb-2000,
NEPCPAPER,EQ,-,10,Agm,26-Jan-2000,-,17-Feb-2000,29-Feb-2000,26-Jan-2000,NEPC Paper & Board Limited,INE565801011,15-Feb-2000,
TUTICORALK,EQ,-,10,Agm/ Div-10%,02-Feb-2000,-,01-Mar-2000,30-Mar-2000,02-Feb-2000,Tuticorin Alkali Chemicals & Fertilizers Limited,INE400A01014,29-Feb-2000,
INDYESTUF,EQ,-,10,Agm,02-Feb-2000,-,01-Mar-2000,10-Mar-2000,02-Feb-2000,IDI Limited,INE888A01010,29-Feb-2000,
MAHAINTL,EQ,-,10,Agm,09-Feb-2000,-,08-Mar-2000,15-Mar-2000,09-Feb-2000,Electrolux Kelvinator Limited,INE820A01013,07-Mar-2000,
UNIWORTINT,EQ,-,10,Agm/Dividend-Nil,09-Feb-2000,-,02-Mar-2000,15-Mar-2000,09-Feb-2000,Uniworth International Limited,INE321101011,29-Feb-2000,
ALPICFIN,EQ,-,10,Dividend-15%             Purpose Revised,16-Feb-2000,-,15-Mar-2000,23-Mar-2000,16-Feb-2000,Alpic Finance Limited,INE429A01013,14-Mar-2000,
PRUDENTCM,EQ,-,10,Agm,23-Feb-2000,-,16-Mar-2000,25-Mar-2000,23-Feb-2000,Prudential Capital Markets Limited,INE250501017,14-Mar-2000,
SIEL,EQ,-,10,Agm,23-Feb-2000,-,21-Mar-2000,22-Mar-2000,23-Feb-2000,SIEL Limited,INE636A01013,21-Mar-2000,
JFLABS,EQ,-,10,Agm,01-Mar-2000,-,25-Mar-2000,31-Mar-2000,01-Mar-2000,JF Laboratories Limited,INE226C01019,28-Mar-2000,
ATLANTSPG,EQ,-,10,Agm,01-Mar-2000,-,23-Mar-2000,24-Mar-2000,01-Mar-2000,Atlantic Spinning & Weaving Mills Limited,INE014401017,21-Mar-2000,
SKUPOWER,EQ,-,10,Agm/Dividend - 1%        Purpose Modified,01-Mar-2000,-,29-Mar-2000,31-Mar-2000,01-Mar-2000,Induj Enertech Limited,INE826A01010,28-Mar-2000,
HINDALLOYS,EQ,-,10,Agm,08-Mar-2000,-,31-Mar-2000,31-Mar-2000,08-Mar-2000,Hamco Mining & Smelting Limited,INE495501012,28-Mar-2000,
MAFATLAIND,EQ,-,100,Agm                      Bc Date Revised,08-Mar-2000,-,28-Mar-2000,30-Mar-2000,08-Mar-2000,Mafatlal Industries Limited,INE270B01019,28-Mar-2000,
CAPRIHANS,EQ,-,10,Agm,15-Mar-2000,-,12-Apr-2000,03-May-2000,15-Mar-2000,Caprihans India Limited,INE479A01018,11-Apr-2000,
ALBRMORARJ,EQ,-,10,Dividend-50%             Purpose Revised,22-Mar-2000,-,17-Apr-2000,15-May-2000,22-Mar-2000,Albright & Wilson Chemicals Limited,INE255B01010,18-Apr-2000,
SMITHKLPHA,EQ,-,10,Interim Dividend-30%     Bc Start Date Revised,29-Mar-2000,-,18-Apr-2000,27-Apr-2000,29-Mar-2000,Smithkline Beecham Pharmaceuticals Limited,INE266A01019,11-Apr-2000,
MIDEASTSTL,EQ,-,10,Agm,29-Mar-2000,-,26-Apr-2000,27-Apr-2000,29-Mar-2000,Mideast Integrated Steel Limited,INE194501016,25-Apr-2000,
WESTERNBIO,EQ,-,10,Agm                      Purpose Revised,05-Apr-2000,-,01-May-2000,08-May-2000,05-Apr-2000,Western Bio Systems Limited,INE866A01016,02-May-2000,
STERLITE,EQ,-,10,Interim Dividend-110%,12-Apr-2000,-,04-May-2000,17-May-2000,12-Apr-2000,Sterlite Industries (India) Limited,INE268A01015,25-Apr-2000,
ZFSTEERING,EQ,-,10,Interim Dividend-25%     Purpose Revised,12-Apr-2000,-,06-May-2000,12-May-2000,12-Apr-2000,ZF Steering Gear (India) Limited,INE303401017,09-May-2000,
CHICAGPNUM,EQ,-,10,Agm/Int Dividend-20%     Purpose Revised,19-Apr-2000,-,16-May-2000,19-May-2000,19-Apr-2000,Chicago Pneumatic (I) Limited,INE489A01017,16-May-2000,
TIMESGUARN,EQ,-,10,Agm,19-Apr-2000,-,16-May-2000,23-May-2000,19-Apr-2000,Times Guaranty Limited,INE289C01017,16-May-2000,
SULZER,EQ,-,10,Dividend-18%             Purpose Revised,19-Apr-2000,-,13-May-2000,27-May-2000,19-Apr-2000,Sulzer India Limited,INE297C01010,16-May-2000,
INDIALEASE,EQ,-,10,Interim Dividend-15%,19-Apr-2000,-,15-May-2000,19-May-2000,19-Apr-2000,India Lease Development Limited,INE162101013,16-May-2000,
GODREJSOP,EQ,-,10,Interim Dividend-27%,19-Apr-2000,-,10-May-2000,15-May-2000,19-Apr-2000,Godrej Soaps Limited,INE233A01019,02-May-2000,
APTECH,EQ,-,10,Div-30%/Bonus 1:1        Bc Date Revised,26-Apr-2000,-,16-May-2000,16-May-2000,26-Apr-2000,Aptech Limited,INE093A01017,09-May-2000,
TOLANIBULK,EQ,-,10,Interim Dividend-6%,26-Apr-2000,-,23-May-2000,26-May-2000,26-Apr-2000,Tolani Bulk Carriers Limited,INE051C01011,23-May-2000,
CEPHAMILK,EQ,-,10,Agm,03-May-2000,-,30-May-2000,31-May-2000,03-May-2000,Cepham Milk Specialities Limited,INE359C01018,30-May-2000,
MALCO,EQ,-,2,Interim Dividend-70%     Bc Dates Revised,03-May-2000,-,29-May-2000,30-May-2000,03-May-2000,The Madras Aluminium Company Limited,INE223B01026,30-May-2000,
