INDEX_NAME,CATEGORY,FIRST_SEEN_DATE,LAST_SEEN_DATE,CURRENT_RANK,CURRENT_SCORE,DAYS_IN_TOP_3,DAYS_IN_TOP_5,DAYS_IN_TOP_10,LEADERSHIP_STREAK,TOTAL_SNAPSHOTS,CONVICTION_SCORE,SIGNAL
NIFTY REALTY,SECTOR,2026-06-06,2026-06-06,138,-9.6,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA MANUFACTURING,THEME,2026-06-06,2026-06-06,18,3.32,0,0,0,0,1,0.1,LAGGARD
NIFTY EV & NEW AGE AUTOMOTIVE,THEME,2026-06-06,2026-06-06,23,2.39,0,0,0,0,1,0.0,LAGGARD
NIFTY TRANSPORTATION & LOGISTICS,THEME,2026-06-06,2026-06-06,31,1.52,0,0,0,0,1,0.0,LAGGARD
NIFTY MOBILITY,THEME,2026-06-06,2026-06-06,32,1.47,0,0,0,0,1,0.0,LAGGARD
NIFTY HOUSING,THEME,2026-06-06,2026-06-06,48,0.48,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA DEFENCE,THEME,2026-06-06,2026-06-06,58,-0.16,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA INFRASTRUCTURE & LOGISTICS,THEME,2026-06-06,2026-06-06,63,-0.49,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA INTERNET,THEME,2026-06-06,2026-06-06,86,-1.64,0,0,0,0,1,0.0,LAGGARD
NIFTY CORE HOUSING,THEME,2026-06-06,2026-06-06,90,-1.85,0,0,0,0,1,0.0,LAGGARD
NIFTY RURAL,THEME,2026-06-06,2026-06-06,91,-1.86,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA NEW AGE CONSUMPTION,THEME,2026-06-06,2026-06-06,95,-1.99,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA CONSUMPTION,THEME,2026-06-06,2026-06-06,100,-2.38,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA DIGITAL,THEME,2026-06-06,2026-06-06,110,-3.14,0,0,0,0,1,0.0,LAGGARD
NIFTY GROWTH SECTORS 15,THEME,2026-06-06,2026-06-06,113,-3.34,0,0,0,0,1,0.0,LAGGARD
NIFTY WAVES,THEME,2026-06-06,2026-06-06,114,-3.34,0,0,0,0,1,0.0,LAGGARD
NIFTY MIDSMALL INDIA CONSUMPTION,THEME,2026-06-06,2026-06-06,124,-4.27,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA TOURISM,THEME,2026-06-06,2026-06-06,132,-6.13,0,0,0,0,1,0.0,LAGGARD
NIFTY INDIA RAILWAYS PSU,THEME,2026-06-06,2026-06-06,139,-15.6,0,0,0,0,1,0.0,LAGGARD
