symbol,forward_return_prob,forward_return_score
GODFRYPHLP,0.5276,52.8
GODHA,0.3639,36.4
GODIGIT,0.3858,38.6
GODREJAGRO,0.3855,38.6
GODREJCP,0.4387,43.9
GODREJIND,0.4614,46.1
GODREJPROP,0.5071,50.7
GOKEX,0.5639,56.4
GOKUL,0.2702,27.0
GOKULAGRO,0.5781,57.8
GOLD1,0.3469,34.7
GOLD360,0.3581,35.8
GOLDADD,0.5605,56.1
GOLDBEES,0.3444,34.4
GOLDBETA,0.4588,45.9
GOLDBND,0.5899,59.0
GOLDCASE,0.2984,29.8
GOLDETF,0.3025,30.3
GOLDETFADD,0.2867,28.7
GOLDIAM,0.5968,59.7
GOLDIETF,0.3504,35.0
GOLDSHARE,0.4248,42.5
GOLDTECH,0.54,54.0
GOODLUCK,0.6023,60.2
GOODYEAR,0.522,52.2
GOPAL,0.3595,35.9
GOYALALUM,0.6233,62.3
GPIL,0.5178,51.8
GPPL,0.3963,39.6
GPTHEALTH,0.4429,44.3
GPTINFRA,0.4967,49.7
GRADIENTE,0.2215,22.2
GRANDOAK,0.3291,32.9
GRANULES,0.5711,57.1
GRAPHITE,0.4244,42.4
GRASIM,0.5251,52.5
GRAUWEIL,0.3616,36.2
GRAVISSHO,0.3375,33.8
GRAVITA,0.4459,44.6
GREAVESCOT,0.4921,49.2
GREENLAM,0.2669,26.7
GREENPANEL,0.4525,45.3
GREENPLY,0.4472,44.7
GREENPOWER,0.3938,39.4
GRINDWELL,0.5431,54.3
GRINFRA,0.4254,42.5
GRMOVER,0.3172,31.7
GROBTEA,0.3073,30.7
GROWW,0.6395,63.9
GROWWCAPM,0.4882,48.8
GROWWCHEM,0.4504,45.0
GROWWDEFNC,0.5329,53.3
GROWWEV,0.2899,29.0
GROWWGOLD,0.6535,65.3
GROWWHOSPI,0.4686,46.9
GROWWLIQID,0.0207,2.1
GROWWLOVOL,0.1438,14.4
GROWWMC150,0.278,27.8
GROWWMETAL,0.6205,62.0
GROWWMOM50,0.2757,27.6
GROWWN200,0.2979,29.8
GROWWNET,0.2732,27.3
GROWWNIFTY,0.2903,29.0
GROWWNXT50,0.2823,28.2
GROWWPOWER,0.312,31.2
GROWWPSE,0.6149,61.5
GROWWPSUBK,0.6292,62.9
GROWWRAIL,0.3436,34.4
GROWWRLTY,0.3908,39.1
GROWWSC250,0.4404,44.0
GROWWSLVR,0.6522,65.2
GRPLTD,0.4927,49.3
GRSE,0.535,53.5
GRWRHITECH,0.4975,49.8
GSEC10ABSL,0.3571,35.7
GSEC10IETF,0.1889,18.9
GSEC10YEAR,0.0834,8.3
GSEC5IETF,0.142,14.2
GSFC,0.3146,31.5
GSLSU,0.3875,38.7
GSPCROP,0.5354,53.5
GSPL,0.1343,13.4
GSS,0.4166,41.7
GTECJAINX,0.5217,52.2
GTL,0.3186,31.9
GTLINFRA,0.377,37.7
GTPL,0.4054,40.5
GUFICBIO,0.2804,28.0
GUJALKALI,0.4367,43.7
GUJAPOLLO,0.619,61.9
GUJGASLTD,0.4502,45.0
GUJRAFFIA,0.5974,59.7
GUJTHEM,0.4607,46.1
GULFOILLUB,0.4793,47.9
GULFPETRO,0.244,24.4
GULPOLY,0.5076,50.8
GVPIL,0.5366,53.7
GVPTECH,0.2799,28.0
GVT&D,0.5977,59.8
HAL,0.4791,47.9
HALDER,0.6745,67.5
HALDYNGL,0.2089,20.9
HALEOSLABS,0.5822,58.2
HAPPSTMNDS,0.4617,46.2
HAPPYFORGE,0.4996,50.0
HARDWYN,0.6106,61.1
HARIOMPIPE,0.4532,45.3
HARRMALAYA,0.317,31.7
HARSHA,0.4935,49.4
HATHWAY,0.3124,31.2
HATSUN,0.4629,46.3
HAVELLS,0.5186,51.9
HAVISHA,0.3958,39.6
HAWKINCOOK,0.4075,40.8
HBESD,0.2377,23.8
HBLENGINE,0.4447,44.5
HBSL,0.3931,39.3
HCC,0.4135,41.3
HCG,0.5287,52.9
HCL-INSYS,0.3446,34.5
HCLTECH,0.5713,57.1
HDBFS,0.5004,50.0
HDFCAMC,0.5186,51.9
HDFCBANK,0.4757,47.6
HDFCBSE500,0.2131,21.3
HDFCGOLD,0.3519,35.2
HDFCGROWTH,0.3462,34.6
HDFCLIFE,0.5724,57.2
HDFCLIQUID,0.1037,10.4
HDFCLOWVOL,0.1887,18.9
HDFCMID150,0.2393,23.9
HDFCMOMENT,0.3399,34.0
HDFCNEXT50,0.1291,12.9
HDFCNIF100,0.2687,26.9
HDFCNIFBAN,0.226,22.6
HDFCNIFIT,0.4505,45.1
HDFCNIFTY,0.4261,42.6
HDFCPSUBK,0.3334,33.3
HDFCPVTBAN,0.1706,17.1
HDFCQUAL,0.3464,34.6
HDFCSENSEX,0.2842,28.4
HDFCSILVER,0.3943,39.4
HDFCSML250,0.429,42.9
HDFCVALUE,0.3252,32.5
HEADSUP,0.3817,38.2
HEALTHADD,0.3529,35.3
HEALTHCARE,0.4164,41.6
HEALTHIETF,0.379,37.9
HEALTHX,0.1491,14.9
HEALTHY,0.2106,21.1
HECPROJECT,0.3763,37.6
HEG,0.2952,29.5
HEIDELBERG,0.3889,38.9
HEMIPROP,0.4119,41.2
HERANBA,0.4598,46.0
HERCULES,0.4995,50.0
HERITGFOOD,0.4968,49.7
HEROMOTOCO,0.4815,48.1
HESTERBIO,0.2698,27.0
HEUBACHIND,0.5997,60.0
HEXAGON,0.152,15.2
HEXATRADEX,0.3565,35.7
HEXT,0.4546,45.5
HFCL,0.5234,52.3
HGINFRA,0.3813,38.1
HGM,0.3318,33.2
HGS,0.3143,31.4
HIKAL,0.4258,42.6
HILINFRA,0.4251,42.5
HILTON,0.4194,41.9
HIMATSEIDE,0.3758,37.6
HINDALCO,0.4362,43.6
HINDCOMPOS,0.4127,41.3
HINDCON,0.2507,25.1
HINDCOPPER,0.4162,41.6
HINDMOTORS,0.2089,20.9
HINDNATGLS,0.2089,20.9
HINDOILEXP,0.3621,36.2
HINDPETRO,0.3449,34.5
HINDUNILVR,0.4521,45.2
HINDWAREAP,0.2635,26.4
HINDZINC,0.4516,45.2
HIRECT,0.5951,59.5
HISARMETAL,0.3451,34.5
HITECH,0.3977,39.8
HITECHCORP,0.4825,48.2
HLEGLAS,0.2506,25.1
HLVLTD,0.4025,40.3
HMAAGRO,0.5125,51.2
HMVL,0.2634,26.3
HNDFDS,0.447,44.7
HNGSNGBEES,0.3643,36.4
HOMEFIRST,0.4382,43.8
HONASA,0.6165,61.6
HONAUT,0.4625,46.2
HONDAPOWER,0.4422,44.2
HPAL,0.3458,34.6
HPIL,0.1317,13.2
HPL,0.4579,45.8
HSBCGOLD,0.3212,32.1
HSCL,0.6014,60.1
HTMEDIA,0.6673,66.7
HUBTOWN,0.4963,49.6
HUDCO,0.3828,38.3
HUHTAMAKI,0.3952,39.5
HYBRIDFIN,0.3598,36.0
HYUNDAI,0.4931,49.3
IBULLSLTD,0.3722,37.2
ICDSLTD,0.6207,62.1
ICEMAKE,0.4759,47.6
ICICIAMC,0.6742,67.4
ICICIB22,0.3474,34.7
ICICIBANK,0.4563,45.6
ICICIGI,0.4483,44.8
ICICIPRULI,0.5651,56.5
ICIL,0.5892,58.9
ICRA,0.4578,45.8
IDBI,0.3294,32.9
IDEA,0.5106,51.1
IDEAFORGE,0.4124,41.2
IDFCFIRSTB,0.2317,23.2
IDFNIFTYET,0.4157,41.6
IEX,0.3933,39.3
IFBAGRO,0.4186,41.9
IFBIND,0.4335,43.3
IFCI,0.4804,48.0
IFGLEXPOR,0.3304,33.0
IGARASHI,0.3562,35.6
IGCL,0.4998,50.0
IGIL,0.4409,44.1
IGL,0.3996,40.0
IGPL,0.5389,53.9
IIFL,0.4702,47.0
IIFLCAPS,0.4444,44.4
IITL,0.4563,45.6
IKIO,0.4213,42.1
IKS,0.4535,45.3
IMAGICAA,0.4041,40.4
IMFA,0.4888,48.9
IMPAL,0.4171,41.7
INA,0.6395,63.9
INCREDIBLE,0.4929,49.3
INDBANK,0.2826,28.3
INDGN,0.3665,36.6
INDHOTEL,0.4531,45.3
INDIACEM,0.308,30.8
INDIAGLYCO,0.4271,42.7
INDIAMART,0.4816,48.2
INDIANB,0.4689,46.9
INDIANCARD,0.1078,10.8
INDIANHUME,0.3972,39.7
INDIASHLTR,0.4396,44.0
INDIGO,0.4223,42.2
INDIGOPNTS,0.2439,24.4
INDIQUBE,0.3634,36.3
INDNIPPON,0.4325,43.3
INDOAMIN,0.2928,29.3
INDOBORAX,0.237,23.7
INDOCO,0.2426,24.3
INDOFARM,0.4644,46.4
INDORAMA,0.1722,17.2
INDOSTAR,0.3781,37.8
INDOTECH,0.466,46.6
INDOTHAI,0.5514,55.1
INDOUS,0.6361,63.6
INDOWIND,0.2238,22.4
INDPRUD,0.1227,12.3
INDRAMEDCO,0.5141,51.4
INDSWFTLAB,0.44,44.0
INDSWFTLTD,0.4088,40.9
INDTERRAIN,0.3304,33.0
INDUSINDBK,0.5202,52.0
INDUSTOWER,0.3711,37.1
INFIBEAM,0.3396,34.0
INFOBEAN,0.2808,28.1
INFOMEDIA,0.596,59.6
INFRA,0.4244,42.4
INFRABEES,0.4048,40.5
INFRAIETF,0.3788,37.9
INFY,0.7009,70.1
INGERRAND,0.4296,43.0
INNOVACAP,0.5492,54.9
INNOVANA,0.5901,59.0
INNOVISION,0.3897,39.0
INOXGREEN,0.4148,41.5
INOXINDIA,0.6011,60.1
INOXWIND,0.6293,62.9
INSECTICID,0.4081,40.8
INSPIRISYS,0.3883,38.8
INTELLECT,0.5625,56.3
INTENTECH,0.5253,52.5
INTERARCH,0.5318,53.2
INTERNET,0.3097,31.0
INTLCONV,0.3311,33.1
INVENTURE,0.5441,54.4
INVPRECQ,0.5542,55.4
IOB,0.3146,31.5
IOC,0.3582,35.8
IOLCP,0.4009,40.1
IONEXCHANG,0.4867,48.7
IPCALAB,0.4331,43.3
IPL,0.3349,33.5
IRB,0.305,30.5
IRCON,0.4346,43.5
IRCTC,0.4778,47.8
IREDA,0.4093,40.9
IRFC,0.4452,44.5
IRIS,0.5335,53.4
IRISDOREME,0.443,44.3
IRMENERGY,0.2196,22.0
ISFT,0.2327,23.3
ISGEC,0.4599,46.0
ISHANCH,0.3822,38.2
IT,0.4739,47.4
ITADD,0.3342,33.4
ITBEES,0.4753,47.5
ITBETA,0.6067,60.7
ITC,0.5178,51.8
ITCHOTELS,0.4381,43.8
ITDC,0.3613,36.1
ITDCEM,0.5237,52.4
ITETF,0.4493,44.9
ITETFADD,0.2735,27.4
ITI,0.3737,37.4
ITIETF,0.4727,47.3
IVALUE,0.3737,37.4
IVC,0.2822,28.2
IVP,0.4447,44.5
IVZINGOLD,0.3723,37.2
IVZINNIFTY,0.3464,34.6
IWP,0.5429,54.3
IXIGO,0.3561,35.6
IZMO,0.573,57.3
J&KBANK,0.5805,58.0
JAGRAN,0.1677,16.8
JAGSNPHARM,0.3289,32.9
JAIBALAJI,0.168,16.8
JAICORPLTD,0.4098,41.0
JAINREC,0.5412,54.1
JAIPURKURT,0.2373,23.7
JAMNAAUTO,0.4813,48.1
JARO,0.6422,64.2
JASH,0.3299,33.0
JAYAGROGN,0.5125,51.2
JAYBARMARU,0.3857,38.6
JAYKAY,0.3775,37.8
JAYNECOIND,0.3209,32.1
JAYSREETEA,0.3557,35.6
JBCHEPHARM,0.5456,54.6
JBMA,0.5216,52.2
JCHAC,0.4356,43.6
JETFREIGHT,0.4193,41.9
JGCHEM,0.5088,50.9
JHS,0.448,44.8
JINDALPHOT,0.3442,34.4
JINDALPOLY,0.4458,44.6
JINDALSAW,0.584,58.4
JINDALSTEL,0.3302,33.0
JINDRILL,0.3127,31.3
JINDWORLD,0.1993,19.9
JIOFIN,0.4384,43.8
JISLDVREQS,0.261,26.1
JISLJALEQS,0.2931,29.3
JITFINFRA,0.6695,66.9
JKCEMENT,0.4772,47.7
JKIL,0.4335,43.4
JKIPL,0.4559,45.6
JKLAKSHMI,0.5782,57.8
JKPAPER,0.386,38.6
JKTYRE,0.4374,43.7
JLHL,0.411,41.1
JMA,0.4476,44.8
JMFINANCIL,0.4049,40.5
JNKINDIA,0.4691,46.9
JOCIL,0.2161,21.6
JPOLYINVST,0.275,27.5
JPPOWER,0.2734,27.3
JSFB,0.4284,42.8
JSL,0.4108,41.1
JSLL,0.3582,35.8
JSWCEMENT,0.4096,41.0
JSWDULUX,0.4907,49.1
JSWENERGY,0.5279,52.8
JSWHL,0.6345,63.5
JSWINFRA,0.5308,53.1
JSWSTEEL,0.45,45.0
JTEKTINDIA,0.4244,42.4
JTLIND,0.5074,50.7
JUBLCPL,0.5272,52.7
JUBLFOOD,0.5493,54.9
JUBLINGREA,0.3303,33.0
JUBLPHARMA,0.4822,48.2
JUNIORBEES,0.4451,44.5
JUNIPER,0.4242,42.4
JUSTDIAL,0.6371,63.7
JWL,0.466,46.6
JYOTHYLAB,0.6943,69.4
JYOTICNC,0.3958,39.6
JYOTISTRUC,0.1719,17.2
KABRAEXTRU,0.3879,38.8
KAJARIACER,0.5156,51.6
KAKATCEM,0.1736,17.4
KALAMANDIR,0.4313,43.1
KALPATARU,0.4607,46.1
KALYANIFRG,0.2555,25.6
KALYANKJIL,0.5185,51.8
KAMAHOLD,0.6979,69.8
KAMATHOTEL,0.5016,50.2
KAMDHENU,0.3345,33.4
KAMOPAINTS,0.6187,61.9
KANANIIND,0.3399,34.0
KANCHI,0.2089,20.9
KANORICHEM,0.2685,26.8
KANPRPLA,0.4221,42.2
KANSAINER,0.5233,52.3
KAPSTON,0.5641,56.4
KARMAENG,0.6056,60.6
KARURVYSYA,0.4733,47.3
KAUSHALYA,0.4799,48.0
KAVDEFENCE,0.6547,65.5
KAYA,0.4153,41.5
KAYNES,0.8135,81.3
KCP,0.392,39.2
KCPSUGIND,0.3673,36.7
KDDL,0.5522,55.2
KEC,0.4541,45.4
KECL,0.4544,45.4
KEEPLEARN,0.4053,40.5
KEI,0.587,58.7
KELLTONTEC,0.2836,28.4
KENNAMET,0.5825,58.2
KERNEX,0.3972,39.7
KESORAMIND,0.2892,28.9
KEYFINSERV,0.2823,28.2
KFINTECH,0.5329,53.3
KHADIM,0.5538,55.4
KHAICHEM,0.433,43.3
KHAITANLTD,0.3055,30.5
KHANDSE,0.2077,20.8
KICL,0.5076,50.8
KILITCH,0.3832,38.3
KIMS,0.407,40.7
KINGFA,0.6676,66.8
KIOCL,0.4206,42.1
KIRANVYPAR,0.1227,12.3
KIRIINDUS,0.5316,53.2
KIRLFER,0.4867,48.7
KIRLOSBROS,0.502,50.2
KIRLOSENG,0.534,53.4
KIRLOSIND,0.441,44.1
KIRLPNU,0.5563,55.6
KISSHT,0.1546,15.5
KITEX,0.3988,39.9
KKCL,0.4165,41.6
KLBRENG-B,0.5858,58.6
KMEW,0.5516,55.2
KMSUGAR,0.2794,27.9
KNAGRI,0.5018,50.2
KNRCON,0.31,31.0
KOHINOOR,0.3785,37.8
KOKUYOCMLN,0.3888,38.9
KOLTEPATIL,0.3312,33.1
KOPRAN,0.3966,39.7
KOTAKBANK,0.4549,45.5
KOTARISUG,0.3033,30.3
KOTHARIPET,0.319,31.9
KOTHARIPRO,0.3185,31.9
KOTIC,0.6945,69.4
KOTYARK,0.422,42.2
KOVAI,0.5511,55.1
KPEL,0.4529,45.3
KPIGREEN,0.4009,40.1
KPIL,0.3879,38.8
KPITTECH,0.5351,53.5
KPL,0.3948,39.5
KPRMILL,0.5212,52.1
KRBL,0.3961,39.6
KREBSBIO,0.7497,75.0
KRIDHANINF,0.3666,36.7
KRISHANA,0.5676,56.8
KRISHIVAL,0.4839,48.4
KRISHNADEF,0.4737,47.4
KRITI,0.3407,34.1
KRITIKA,0.3776,37.8
KRITINUT,0.3429,34.3
KRN,0.4807,48.1
KRONOX,0.4981,49.8
KROSS,0.3992,39.9
KRSNAA,0.6485,64.8
KRYSTAL,0.3497,35.0
KSB,0.4765,47.6
KSCL,0.3384,33.8
KSHINTL,0.5502,55.0
KSHITIJPOL,0.2359,23.6
KSL,0.4772,47.7
KSOLVES,0.3263,32.6
KSR,0.1414,14.1
KTKBANK,0.6004,60.0
KUANTUM,0.4367,43.7
KWIL,0.3582,35.8
LAGNAM,0.4177,41.8
LAHOTIOV,0.3461,34.6
LAL,0.3234,32.3
LALPATHLAB,0.4915,49.2
LAMBODHARA,0.2521,25.2
LANCORHOL,0.2653,26.5
LANDMARK,0.285,28.5
LANDSMILL,0.3749,37.5
LAOPALA,0.3397,34.0
LASA,0.5334,53.3
LATENTVIEW,0.7735,77.4
LATTEYS,0.3684,36.8
LAURUSLABS,0.5536,55.4
LAXMICOT,0.4835,48.4
LAXMIDENTL,0.4016,40.2
LAXMIINDIA,0.3002,30.0
LCCINFOTEC,0.5705,57.0
LEMERITE,0.5226,52.3
LEMONTREE,0.4818,48.2
LENSKART,0.6633,66.3
LEXUS,0.6393,63.9
LFIC,0.1787,17.9
LGBBROSLTD,0.4335,43.3
LGEINDIA,0.6351,63.5
LGHL,0.5486,54.9
LIBAS,0.2994,29.9
LIBERTSHOE,0.4021,40.2
LICHSGFIN,0.4857,48.6
LICI,0.431,43.1
LICMFGOLD,0.301,30.1
LICNETFGSC,0.166,16.6
LICNETFN50,0.3867,38.7
LICNETFSEN,0.2957,29.6
LICNFNHGP,0.3216,32.2
LICNMID100,0.1352,13.5
LIKHITHA,0.4198,42.0
LINC,0.5916,59.2
LINCOLN,0.357,35.7
LINDEINDIA,0.5518,55.2
LIQGRWBEES,0.011,1.1
LIQUID,0.0213,2.1
LIQUID1,0.0342,3.4
LIQUIDADD,0.0133,1.3
LIQUIDBEES,0.0247,2.5
LIQUIDBETF,0.0596,6.0
LIQUIDCASE,0.0115,1.1
LIQUIDETF,0.1086,10.9
LIQUIDIETF,0.0406,4.1
LIQUIDPLUS,0.0701,7.0
LIQUIDSBI,0.0229,2.3
LIQUIDSHRI,0.0063,0.6
LLOYDSENGG,0.5559,55.6
LLOYDSENT,0.6092,60.9
LLOYDSME,0.5729,57.3
LMW,0.474,47.4
LODHA,0.4769,47.7
LOKESHMACH,0.3482,34.8
LORDSCHLO,0.5295,52.9
LOTUSDEV,0.4851,48.5
LOTUSEYE,0.4111,41.1
LOVABLE,0.1585,15.9
LOWVOL,0.2507,25.1
LOWVOL1,0.3356,33.6
LOWVOLIETF,0.1962,19.6
LOYALTEX,0.5033,50.3
LPDC,0.3386,33.9
LT,0.4894,48.9
LTF,0.5352,53.5
LTFOODS,0.4498,45.0
LTGILTBEES,0.1334,13.3
LTGILTCASE,0.0315,3.1
LTIM,0.2768,27.7
LTM,0.5613,56.1
LTTS,0.5175,51.8
LUMAXIND,0.4814,48.1
LUMAXTECH,0.5288,52.9
LUPIN,0.5357,53.6
LUXIND,0.4147,41.5
LXCHEM,0.1723,17.2
LYKALABS,0.2734,27.3
LYPSAGEMS,0.5666,56.7
M&M,0.4859,48.6
M&MFIN,0.4563,45.6
MAANALU,0.6341,63.4
MACPOWER,0.633,63.3
MADHAV,0.3702,37.0
MADHAVIPL,0.6127,61.3
MADHUCON,0.286,28.6
MADRASFERT,0.2603,26.0
MAFANG,0.4218,42.2
MAFATIND,0.5774,57.7
MAGADSUGAR,0.3803,38.0
MAGNUM,0.2624,26.2
MAHABANK,0.5168,51.7
MAHAPEXLTD,0.3926,39.3
MAHASTEEL,0.4012,40.1
MAHEPC,0.4004,40.0
MAHESHWARI,0.4667,46.7
MAHKTECH,0.2114,21.1
MAHLIFE,0.4727,47.3
MAHLOG,0.4304,43.0
MAHSCOOTER,0.4941,49.4
MAHSEAMLES,0.3315,33.1
MAITHANALL,0.4664,46.6
MAJESAUT,0.5429,54.3
MAKEINDIA,0.2099,21.0
MALLCOM,0.3397,34.0
MALUPAPER,0.3656,36.6
MAMATA,0.4022,40.2
MANAKALUCO,0.5969,59.7
MANAKCOAT,0.2402,24.0
MANAKSIA,0.3228,32.3
MANAKSTEEL,0.3251,32.5
MANALIPETC,0.2591,25.9
MANAPPURAM,0.526,52.6
MANBA,0.434,43.4
MANCREDIT,0.5423,54.2
MANGALAM,0.5829,58.3
MANGCHEFER,0.4509,45.1
MANGLMCEM,0.4785,47.9
MANINDS,0.4394,43.9
MANINFRA,0.4521,45.2
MANKIND,0.5111,51.1
MANOMAY,0.4431,44.3
MANORAMA,0.5034,50.3
MANORG,0.4328,43.3
MANUFGBEES,0.2793,27.9
MANUGRAPH,0.3336,33.4
MANYAVAR,0.6953,69.5
MAPMYINDIA,0.7534,75.3
MARALOVER,0.3403,34.0
MARATHON,0.589,58.9
MARICO,0.5064,50.6
MARINE,0.5374,53.7
MARKOLINES,0.4634,46.3
MARKSANS,0.4121,41.2
MARSONS,0.5697,57.0
MARUTI,0.4317,43.2
MASFIN,0.4241,42.4
MASKINVEST,0.3435,34.3
MASPTOP50,0.2549,25.5
MASTEK,0.5921,59.2
MASTERTR,0.3121,31.2
MATRIMONY,0.4075,40.7
MAWANASUG,0.3136,31.4
MAXESTATES,0.4815,48.2
MAXHEALTH,0.4791,47.9
MAXIND,0.3632,36.3
MAYURUNIQ,0.466,46.6
MAZDA,0.4462,44.6
MAZDOCK,0.4645,46.4
MBAPL,0.4766,47.7
MBEL,0.4358,43.6
MBLINFRA,0.4284,42.8
MCCHRLS-B,0.5045,50.5
MCL,0.6179,61.8
MCLEODRUSS,0.4223,42.2
MCLOUD,0.328,32.8
MCX,0.6128,61.3
MEDANTA,0.4634,46.3
MEDIASSIST,0.415,41.5
MEDICAMEQ,0.4605,46.0
MEDICO,0.2824,28.2
MEDPLUS,0.4452,44.5
MEESHO,0.5521,55.2
MEGASOFT,0.2089,20.9
MEGASTAR,0.4554,45.5
MEIL,0.5343,53.4
MENNPIS,0.5529,55.3
MENONBE,0.3287,32.9
MERCANTILE,0.3586,35.9
METAL,0.4051,40.5
METALIETF,0.3641,36.4
METROBRAND,0.1964,19.6
METROGLOBL,0.5354,53.5
METROPOLIS,0.5325,53.3
MFML,0.321,32.1
MFSL,0.4977,49.8
MGEL,0.2099,21.0
MGL,0.4138,41.4
MHLXMIRU,0.7479,74.8
MHRIL,0.3495,34.9
MICEL,0.349,34.9
MID150,0.1488,14.9
MID150BEES,0.3792,37.9
MID150CASE,0.1816,18.2
MIDCAP,0.5753,57.5
MIDCAPADD,0.3155,31.6
MIDCAPBETA,0.6462,64.6
MIDCAPETF,0.2828,28.3
MIDCAPIETF,0.2641,26.4
MIDHANI,0.5211,52.1
MIDQ50ADD,0.3589,35.9
MIDSELIETF,0.1646,16.5
MIDSMALL,0.368,36.8
MIDWESTLTD,0.5421,54.2
MINDACORP,0.334,33.4
MINDTECK,0.562,56.2
MIRCELECTR,0.4011,40.1
MIRZAINT,0.3608,36.1
MITCON,0.3838,38.4
MITTAL,0.4077,40.8
MKPL,0.2956,29.6
MMFL,0.416,41.6
MMP,0.4313,43.1
MMTC,0.4607,46.1
MMWL,0.2089,20.9
MNC,0.2954,29.5
MOALPHA50,0.1791,17.9
MOBANK10,0.4669,46.7
MOBIKWIK,0.3959,39.6
MOCAPITAL,0.4482,44.8
MODEFENCE,0.5369,53.7
MODINATUR,0.4806,48.1
MODIRUBBER,0.3757,37.6
MODIS,0.6445,64.4
MODISONLTD,0.3988,39.9
MODTHREAD,0.2639,26.4
MOENERGY,0.5786,57.9
MOGOLD,0.2094,20.9
MOGSEC,0.0676,6.8
MOHEALTH,0.3119,31.2
MOHITIND,0.4602,46.0
MOIL,0.3353,33.5
MOINFRA,0.1782,17.8
MOIPO,0.4836,48.4
MOKSH,0.1984,19.8
MOL,0.453,45.3
MOLDTECH,0.3862,38.6
MOLDTKPAC,0.4587,45.9
MOLOWVOL,0.1622,16.2
MOM100,0.2276,22.8
MOM30IETF,0.3414,34.1
MOM50,0.2035,20.3
MOMENTUM,0.3325,33.3
MOMENTUM30,0.6015,60.1
MOMENTUM50,0.3603,36.0
MOMGF,0.3357,33.6
MOMIDMTM,0.3396,34.0
MOMNC,0.2138,21.4
MOMOMENTUM,0.4047,40.5
MON100,0.4067,40.7
MON50EQUAL,0.1164,11.6
MONARCH,0.3883,38.8
MONEXT50,0.131,13.1
MONEYBOXX,0.4211,42.1
MONIFTY100,0.5597,56.0
MONIFTY500,0.0881,8.8
MONQ50,0.2633,26.3
MONTECARLO,0.4081,40.8
MOPSE,0.3775,37.8
MOQUALITY,0.1825,18.2
MOREALTY,0.3636,36.4
MOREPENLAB,0.3642,36.4
MOSCHIP,0.4163,41.6
MOSERVICE,0.4154,41.5
MOSILVER,0.4572,45.7
MOSMALL250,0.2669,26.7
MOTHERSON,0.4107,41.1
MOTILALOFS,0.4758,47.6
MOTISONS,0.286,28.6
MOTOGENFIN,0.1947,19.5
MOTOUR,0.3379,33.8
MOVALUE,0.4207,42.1
MPHASIS,0.6679,66.8
MPSLTD,0.2667,26.7
MRF,0.5212,52.1
MRPL,0.3811,38.1
MSCI360,0.11,11.0
MSCIADD,0.2578,25.8
MSCIINDIA,0.1314,13.1
MSPL,0.384,38.4
MSTCLTD,0.5928,59.3
MSUMI,0.3429,34.3
MTARTECH,0.5613,56.1
MTNL,0.3845,38.4
MUFIN,0.4697,47.0
MUFTI,0.4038,40.4
MUKANDLTD,0.3976,39.8
MUKKA,0.3228,32.3
MUKTAARTS,0.2069,20.7
MULTICAP,0.1781,17.8
MUNJALAU,0.3062,30.6
MUNJALSHOW,0.2393,23.9
MURUDCERA,0.1719,17.2
MUTHOOTCAP,0.5124,51.2
MUTHOOTFIN,0.4283,42.8
MUTHOOTMF,0.5535,55.4
MVGJL,0.3752,37.5
MWL,0.5942,59.4
NACLIND,0.3507,35.1
NAGAFERT,0.2398,24.0
NAGREEKCAP,0.4761,47.6
NAGREEKEXP,0.3792,37.9
NAHARCAP,0.6354,63.5
NAHARINDUS,0.2186,21.9
NAHARPOLY,0.3159,31.6
NAHARSPING,0.3053,30.5
NAM-INDIA,0.5541,55.4
NARMADA,0.5192,51.9
NATCAPSUQ,0.5004,50.0
NATCOPHARM,0.3782,37.8
NATHBIOGEN,0.4218,42.2
NATIONALUM,0.4586,45.9
NATIONSTD,0.6157,61.6
NAUKRI,0.5782,57.8
NAVA,0.4159,41.6
NAVINFLUOR,0.5545,55.5
NAVKARCORP,0.3247,32.5
NAVKARURB,0.231,23.1
NAVNETEDUL,0.4193,41.9
NAZARA,0.4968,49.7
NBCC,0.4261,42.6
NBIFIN,0.5156,51.6
NCC,0.3681,36.8
NCLIND,0.1474,14.7
NDGL,0.4427,44.3
NDL,0.4334,43.3
NDLVENTURE,0.4752,47.5
NDRAUTO,0.461,46.1
NDTV,0.2788,27.9
NEAGI,0.1288,12.9
NECCLTD,0.2541,25.4
NECLIFE,0.3274,32.7
NELCAST,0.5384,53.8
NELCO,0.5396,54.0
NEOGEN,0.4339,43.4
NEPHROPLUS,0.5988,59.9
NESCO,0.3575,35.7
NESTLEIND,0.5402,54.0
NETF,0.3684,36.8
NETWEB,0.5623,56.2
NETWORK18,0.2873,28.7
NEULANDLAB,0.5385,53.8
NEWGEN,0.4536,45.4
NEXT30ADD,0.2458,24.6
NEXT50,0.3584,35.8
NEXT50ADD,0.4014,40.1
NEXT50BETA,0.2301,23.0
NEXT50ETF,0.2236,22.4
NEXT50IETF,0.2534,25.3
NEXTMEDIA,0.5781,57.8
NFL,0.3096,31.0
NGIL,0.2134,21.3
NGLFINE,0.5351,53.5
NH,0.5323,53.2
NHPC,0.3221,32.2
NIACL,0.364,36.4
NIBE,0.5476,54.8
NIBL,0.2959,29.6
NIF100BEES,0.3963,39.6
NIF100IETF,0.3142,31.4
NIF10GETF,0.443,44.3
NIF5GETF,0.3774,37.7
NIFITETF,0.38,38.0
NIFMID150,0.4154,41.5
NIFTY1,0.2788,27.9
NIFTY100EW,0.134,13.4
