symbol,sector,bull_run_score,label,accumulation_score,ml_bull_run_score
RKFORGE,AUTO,57.56,EMERGING,98.10005,79.75
THELEELA,HOSPITALITY,57.54,EMERGING,99.34266,79.78
CENTENKA,TEXTILES,57.5,EMERGING,99.58593,79.95
SGFIN,FINANCIAL_SERVICES,57.46,EMERGING,98.195305,79.71
PRUDENT,FINANCIAL_SERVICES,57.45,EMERGING,99.39811,79.87
AEGISVOPAK,ENERGY,57.43,EMERGING,99.57771,79.92
METROPOLIS,HEALTHCARE,57.42,EMERGING,76.1227,77.27
MAHASTEEL,OTHER,57.39,EMERGING,70.21711,71.96
SUPRAJIT,AUTO,57.38,EMERGING,98.09206,79.88
VARROC,AUTO,57.36,EMERGING,98.67675,79.71
TATVA,CHEMICALS,57.33,EMERGING,99.30943,80.12
CHOLAFIN,FINANCIAL_SERVICES,57.32,EMERGING,98.59437,79.87
OMNI,CAPITAL_GOODS,57.27,EMERGING,98.83732,79.86
KARURVYSYA,BANKING,57.24,EMERGING,98.20533,79.78
ZYDUSLIFE,PHARMA,57.22,EMERGING,56.863056,75.05
EMCURE,PHARMA,57.2,EMERGING,99.62902,79.83
RADICO,FMCG,57.2,EMERGING,99.7436,79.94
ADOR,CAPITAL_GOODS,57.2,EMERGING,99.85722,79.98
NILE,METAL,57.2,EMERGING,90.294945,78.53
SHREEJISPG,LOGISTICS,57.13,EMERGING,98.39616,79.84
KDDL,FMCG,57.11,EMERGING,98.12111,79.75
UTLSOLAR,CAPITAL_GOODS,57.1,EMERGING,84.50717,78.03
CMLL,OTHER,57.07,EMERGING,1.5259781,59.16
MMFL,AUTO,57.04,EMERGING,98.74385,79.73
TAALTECH,AVIATION,57.02,EMERGING,88.19226,77.96
EICHERMOT,AUTO,56.99,EMERGING,95.57074,79.56
AETHER,CHEMICALS,56.93,EMERGING,99.84772,79.96
AARVI,OTHER,56.92,EMERGING,96.563385,79.38
PPLPHARMA,PHARMA,56.9,EMERGING,98.1502,79.84
HIRECT,CAPITAL_GOODS,56.87,EMERGING,42.161945,66.46
RATEGAIN,IT,56.83,EMERGING,93.73997,79.43
SOTL,ENERGY,56.83,EMERGING,98.62411,79.83
MANCREDIT,FINANCIAL_SERVICES,56.83,EMERGING,98.49401,79.8
GLAND,PHARMA,56.81,EMERGING,99.49189,79.95
MINDACORP,AUTO,56.77,EMERGING,95.83232,79.52
SHALPAINTS,CHEMICALS,56.75,EMERGING,93.77313,79.68
KNACK,OTHER,56.71,EMERGING,0.7763853,59.34
JGCHEM,CHEMICALS,56.66,EMERGING,91.07104,79.07
VISAKAIND,TEXTILES,56.66,EMERGING,98.44648,79.81
PICCADIL,FMCG,56.56,EMERGING,96.34187,79.54
PGIL,TEXTILES,56.56,EMERGING,81.4447,76.84
ELPROINTL,REALTY,56.56,EMERGING,94.747284,79.14
FERMENTA,PHARMA,56.53,EMERGING,96.524765,79.75
BLSE,IT,56.52,EMERGING,93.80583,79.62
THYROCARE,HEALTHCARE,56.52,EMERGING,57.57286,71.83
HEG,CAPITAL_GOODS,56.51,EMERGING,93.036674,79.53
INDNIPPON,CAPITAL_GOODS,56.48,EMERGING,99.77179,80.02
ACE,AUTO,56.47,EMERGING,97.73522,79.74
CHOICEIN,INFRASTRUCTURE,56.43,EMERGING,86.1792,78.78
SAKAR,PHARMA,56.42,EMERGING,98.61579,79.68
AMBALALSA,PHARMA,56.38,EMERGING,95.65631,79.63
SGMART,METAL,56.37,EMERGING,81.029076,76.81
TORNTPHARM,PHARMA,56.34,EMERGING,99.66259,79.94
TFCILTD,FINANCIAL_SERVICES,56.3,EMERGING,40.7533,62.76
BALRAMCHIN,FMCG,56.3,EMERGING,99.773636,79.97
TITAN,FMCG,56.29,EMERGING,98.90291,79.81
INDIANHUME,CAPITAL_GOODS,56.28,EMERGING,96.3869,79.5
TBOTEK,HOSPITALITY,56.25,EMERGING,96.993614,79.73
UNITDSPR,FMCG,56.22,EMERGING,96.0539,79.01
AJANTPHARM,PHARMA,56.22,EMERGING,98.91076,79.86
GODREJIND,REALTY,56.22,EMERGING,99.556595,79.86
SHILPAMED,PHARMA,56.22,EMERGING,96.06887,79.06
NELCO,IT,56.21,EMERGING,98.32048,79.79
BAJAJFINSV,FINANCIAL_SERVICES,56.21,EMERGING,98.31172,79.84
LODHA,REALTY,56.17,EMERGING,98.55393,80.34
LLOYDSENT,CAPITAL_GOODS,56.17,EMERGING,95.98583,79.41
RAINBOW,HEALTHCARE,56.16,EMERGING,98.374214,79.79
HNDFDS,FMCG,56.12,EMERGING,95.47575,78.85
SHRIRAMFIN,FINANCIAL_SERVICES,56.12,EMERGING,84.196976,75.44
IIFL,FINANCIAL_SERVICES,56.11,EMERGING,98.41168,80.14
LENSKART,RETAIL,55.96,EMERGING,76.00831,75.34
KTKBANK,BANKING,55.95,EMERGING,97.490395,79.84
AEGISLOG,ENERGY,55.94,EMERGING,97.25125,79.67
IGPL,CHEMICALS,55.92,EMERGING,97.09556,79.73
ARIHANT,REALTY,55.91,EMERGING,90.77837,78.74
RBLBANK,BANKING,55.87,EMERGING,96.04501,79.54
KMEW,INFRASTRUCTURE,55.86,EMERGING,99.64927,79.88
APCOTEXIND,FINANCIAL_SERVICES,55.84,EMERGING,99.42994,79.92
RSL,METAL,55.83,EMERGING,45.00617,67.63
BHARATFORG,AUTO,55.83,EMERGING,91.054276,79.2
TMB,REALTY,55.83,EMERGING,99.29479,79.87
LTM,IT,55.81,EMERGING,89.388176,79.27
VERANDA,HEALTHCARE,55.8,EMERGING,95.01111,79.17
RAJRATAN,AUTO,55.79,EMERGING,96.38647,79.7
BEPL,CAPITAL_GOODS,55.78,EMERGING,95.336,79.28
UNIMECH,DEFENCE,55.77,EMERGING,94.221245,78.9
FLUOROCHEM,CHEMICALS,55.77,EMERGING,99.83864,79.95
DALMIASUG,FMCG,55.76,EMERGING,88.20263,78.56
ABB,CAPITAL_GOODS,55.76,EMERGING,96.22378,79.77
ALIVUS,PHARMA,55.73,EMERGING,98.05966,79.69
GARFIBRES,TEXTILES,55.67,EMERGING,25.591587,66.08
NEULANDLAB,PHARMA,55.64,EMERGING,98.03397,79.82
ADANIENSOL,POWER,55.63,EMERGING,97.51394,79.78
COFORGE,IT,55.6,EMERGING,97.60366,79.78
BELRISE,CAPITAL_GOODS,55.59,EMERGING,90.42289,77.84
PGEL,CAPITAL_GOODS,55.58,EMERGING,82.80763,76.74
CNL,RETAIL,55.56,EMERGING,84.451004,78.42
GRASIM,CEMENT,55.54,EMERGING,75.47842,78.41
IDFCFIRSTB,BANKING,55.52,EMERGING,97.39571,79.77
MONARCH,FINANCIAL_SERVICES,55.51,EMERGING,82.11319,77.47
SIEMENS,CAPITAL_GOODS,55.51,EMERGING,86.06268,78.0
OAL,CHEMICALS,55.48,EMERGING,97.788795,79.69
NAZARA,IT,55.44,EMERGING,28.750631,61.32
BLUESTONE,FMCG,55.43,EMERGING,97.0009,79.75
MUTHOOTMF,FINANCIAL_SERVICES,55.41,EMERGING,97.916916,79.65
MEDICO,PHARMA,55.4,EMERGING,94.68232,79.39
ASTERDM,HEALTHCARE,55.39,EMERGING,96.75328,79.35
NESTLEIND,FMCG,55.37,EMERGING,91.248856,78.58
APOLLOPIPE,CAPITAL_GOODS,55.36,EMERGING,98.49269,79.79
ROSSTECH,DEFENCE,55.35,EMERGING,94.74299,79.53
WSTCSTPAPR,CHEMICALS,55.32,EMERGING,98.26423,79.16
GHCLTEXTIL,TEXTILES,55.28,EMERGING,99.74313,79.94
AMBIKCO,TEXTILES,55.23,EMERGING,73.48664,76.09
RHETAN,METAL,55.22,EMERGING,23.986992,68.0
KALYANKJIL,FMCG,55.19,EMERGING,99.11486,79.83
SANGAMIND,TEXTILES,55.15,EMERGING,96.770256,79.55
AZAD,CAPITAL_GOODS,55.15,EMERGING,90.80581,78.83
SOUTHBANK,BANKING,55.12,EMERGING,94.16835,78.56
HUHTAMAKI,CHEMICALS,55.11,EMERGING,98.983406,80.24
ASTRAMICRO,DEFENCE,55.1,EMERGING,95.83216,79.68
