symbol,sector,bull_run_score,label,accumulation_score,ml_bull_run_score
TVSHLTD,FINANCIAL_SERVICES,51.25,WATCHLIST,8.545264,61.1
BHEL,FMCG,51.24,WATCHLIST,51.36026,75.99
JETFREIGHT,LOGISTICS,51.23,WATCHLIST,38.416054,56.81
JUSTDIAL,RETAIL,51.22,WATCHLIST,3.5247393,60.26
SUYOG,TELECOM,51.22,WATCHLIST,1.7804539,59.97
CREST,FINANCIAL_SERVICES,51.21,WATCHLIST,2.6160781,60.05
PAR,PHARMA,51.2,WATCHLIST,4.2795005,60.88
CORDELIA,OTHER,51.19,WATCHLIST,27.355385,63.17
VIJAYA,HEALTHCARE,51.17,WATCHLIST,4.870637,60.21
TCPLPACK,CHEMICALS,51.17,WATCHLIST,20.284765,61.95
DPABHUSHAN,FMCG,51.15,WATCHLIST,5.247375,60.26
HFCL,TELECOM,51.14,WATCHLIST,33.436306,63.91
RPSGVENT,IT,51.12,WATCHLIST,89.52553,78.94
SBILIFE,FINANCIAL_SERVICES,51.1,WATCHLIST,11.586526,60.29
SOLARINDS,CHEMICALS,51.06,WATCHLIST,3.1036882,60.28
DIFFNKG,CAPITAL_GOODS,51.06,WATCHLIST,3.2633047,60.17
AEROPLANE,OTHER,51.05,WATCHLIST,0.6342614,59.68
TIMETECHNO,CAPITAL_GOODS,51.04,WATCHLIST,8.469597,60.16
KUSUMGAR,OTHER,51.03,WATCHLIST,0.36388588,59.54
LMW,CAPITAL_GOODS,51.02,WATCHLIST,9.652285,61.13
ONWARDTEC,TEXTILES,51.01,WATCHLIST,11.753966,60.81
MERCURYEV,OTHER,50.96,WATCHLIST,0.3206073,59.45
PNGSREVA,FMCG,50.96,WATCHLIST,12.834978,60.19
CCAVENUE,FINANCIAL_SERVICES,50.96,WATCHLIST,6.0038214,59.56
AFIL,OTHER,50.94,WATCHLIST,1.9833086,59.66
GODREJPROP,REALTY,50.92,WATCHLIST,50.40525,74.24
TIIL,METAL,50.88,WATCHLIST,1.4298458,60.05
BHARTIARTL,TELECOM,50.87,WATCHLIST,4.679388,60.25
INDPRUD,AUTO,50.87,WATCHLIST,8.3481045,61.46
CSM,OTHER,50.86,WATCHLIST,21.582188,65.24
SUNDARMFIN,FINANCIAL_SERVICES,50.84,WATCHLIST,33.351643,61.36
MANOMAY,TEXTILES,50.81,WATCHLIST,47.22849,75.92
NDLVENTURE,FINANCIAL_SERVICES,50.8,WATCHLIST,9.452059,59.5
PONNIERODE,FMCG,50.8,WATCHLIST,26.963408,62.77
JYOTICNC,CAPITAL_GOODS,50.8,WATCHLIST,5.407264,61.26
SUPREMEINF,INFRASTRUCTURE,50.78,WATCHLIST,2.1614113,58.67
CARYSIL,FMCG,50.77,WATCHLIST,12.478125,61.0
HONASA,FMCG,50.76,WATCHLIST,11.352241,60.27
ANTELOPUS,ENERGY,50.69,WATCHLIST,13.63821,60.73
DIAMONDYD,FMCG,50.69,WATCHLIST,4.551935,60.17
CPPLUS,CAPITAL_GOODS,50.69,WATCHLIST,26.411173,66.04
BORANA,TEXTILES,50.66,WATCHLIST,5.3659444,59.65
SPECIALITY,HOSPITALITY,50.66,WATCHLIST,13.181088,60.62
NEOGEN,CHEMICALS,50.65,WATCHLIST,68.64261,77.86
HEALTHX,HEALTHCARE,50.6,WATCHLIST,5.4064984,59.3
JAGSNPHARM,PHARMA,50.59,WATCHLIST,1.2356567,60.07
WELSPUNLIV,TEXTILES,50.58,WATCHLIST,1.0455121,59.49
DREDGECORP,INFRASTRUCTURE,50.57,WATCHLIST,21.5748,60.85
AVL,RETAIL,50.52,WATCHLIST,4.520932,60.34
ULTRACEMCO,CEMENT,50.43,WATCHLIST,2.8089893,60.14
IKIO,CHEMICALS,50.41,WATCHLIST,43.434498,64.54
PLASTIBLEN,CHEMICALS,50.41,WATCHLIST,64.148575,63.28
PGHL,PHARMA,50.4,WATCHLIST,1.8461211,60.19
KICL,FINANCIAL_SERVICES,50.36,WATCHLIST,27.77974,62.26
GATECHDVR,FINANCIAL_SERVICES,50.36,WATCHLIST,25.524193,64.32
VIDHIING,CHEMICALS,50.35,WATCHLIST,2.7662554,60.28
CLEANMAX,POWER,50.33,WATCHLIST,31.777254,62.28
TASTYBITE,FMCG,50.32,WATCHLIST,7.375847,60.55
RECLTD,FINANCIAL_SERVICES,50.32,WATCHLIST,0.1582046,59.92
RELIABLE,FINANCIAL_SERVICES,50.32,WATCHLIST,14.97453,59.61
KECL,OTHER,50.3,WATCHLIST,3.8289845,59.25
ICEMAKE,CAPITAL_GOODS,50.27,WATCHLIST,4.2778435,60.33
SANSTAR,AGRICULTURE,50.27,WATCHLIST,11.7457075,61.48
SANGHVIMOV,CAPITAL_GOODS,50.26,WATCHLIST,1.4429288,60.01
EQUITASBNK,BANKING,50.26,WATCHLIST,6.2887616,60.25
SUVEN,HEALTHCARE,50.25,WATCHLIST,54.124153,74.96
ASHOKLEY,AUTO,50.24,WATCHLIST,32.53414,67.2
NEAGI,FMCG,50.22,WATCHLIST,11.179606,61.01
NAVINFLUOR,CHEMICALS,50.21,WATCHLIST,5.401207,60.52
RIR,OTHER,50.19,WATCHLIST,0.9041463,59.85
NIRLON,REALTY,50.14,WATCHLIST,1.6593311,60.11
VENKEYS,FMCG,50.13,WATCHLIST,15.6178875,61.09
JINDALSAW,METAL,50.13,WATCHLIST,6.8772306,60.64
ANANDRATHI,FINANCIAL_SERVICES,50.12,WATCHLIST,4.8605676,55.17
MANKIND,PHARMA,50.12,WATCHLIST,10.401601,60.35
LUMAXTECH,AUTO,50.12,WATCHLIST,13.40487,61.74
AUTOAXLES,AUTO,50.12,WATCHLIST,8.828468,60.59
DIGJAMLMTD,TEXTILES,50.1,WATCHLIST,13.913311,60.19
AUTOBEES,OTHER,50.06,WATCHLIST,84.00284,78.57
NRAIL,CHEMICALS,50.02,WATCHLIST,1.0730324,60.03
SHIVAUM,METAL,50.02,WATCHLIST,1.6954621,60.05
IPCALAB,PHARMA,50.01,WATCHLIST,7.1259117,60.64
HCLTECH,IT,50.0,WATCHLIST,4.185196,60.5
KIRLFER,METAL,50.0,WATCHLIST,3.4222074,60.32
INDOBORAX,CHEMICALS,49.95,WATCHLIST,60.189365,76.46
SIKKO,CHEMICALS,49.94,WATCHLIST,9.215921,58.82
RELIGARE,ENERGY,49.93,WATCHLIST,8.387339,60.14
SIGMA,IT,49.92,WATCHLIST,76.166985,77.82
CPL,OTHER,49.92,WATCHLIST,0.80342823,59.82
SYRMA,CAPITAL_GOODS,49.9,WATCHLIST,9.759322,60.61
RPEL,CAPITAL_GOODS,49.9,WATCHLIST,0.9675474,59.99
CUMMINSIND,CAPITAL_GOODS,49.9,WATCHLIST,7.508918,60.35
INDIAGLYCO,FMCG,49.89,WATCHLIST,0.7284962,58.25
SEDEMAC,AUTO,49.88,WATCHLIST,2.2966325,59.74
KOTHARIPET,CHEMICALS,49.88,WATCHLIST,4.375099,60.58
BOSCHLTD,AUTO,49.85,WATCHLIST,0.55646765,59.96
DENTA,IT,49.85,WATCHLIST,69.33922,73.3
MAGADSUGAR,FMCG,49.85,WATCHLIST,27.128696,66.43
AUTOIETF,OTHER,49.82,WATCHLIST,80.744835,78.42
POONAWALLA,FINANCIAL_SERVICES,49.8,WATCHLIST,78.89474,77.38
IFCI,FINANCIAL_SERVICES,49.79,WATCHLIST,10.898815,60.74
AEQUS,DEFENCE,49.73,WATCHLIST,4.7327805,60.29
SURYALAXMI,TEXTILES,49.73,WATCHLIST,0.14399531,59.94
SBIFUNDS,OTHER,49.72,WATCHLIST,0.4330721,59.65
AGARWALEYE,HEALTHCARE,49.7,WATCHLIST,8.066356,60.48
ADANIENT,INFRASTRUCTURE,49.68,WATCHLIST,6.193722,60.41
RBZJEWEL,FMCG,49.65,WATCHLIST,33.30947,74.84
AKCAPIT,FINANCIAL_SERVICES,49.64,WATCHLIST,0.7574481,59.95
ENTERO,PHARMA,49.64,WATCHLIST,3.7068021,60.26
3BBLACKBIO,HEALTHCARE,49.64,WATCHLIST,3.264094,60.62
TNIDETF,OTHER,49.57,WATCHLIST,72.62054,76.0
PATELRMART,RETAIL,49.54,WATCHLIST,2.4219418,60.28
ASHAPURMIN,METAL,49.53,WATCHLIST,39.938213,64.24
GYFTR,OTHER,49.52,WATCHLIST,0.29940397,59.58
AIAENG,CAPITAL_GOODS,49.52,WATCHLIST,2.3761678,60.2
AURUS,OTHER,49.5,WATCHLIST,0.35176453,59.75
SKIPPER,CAPITAL_GOODS,49.5,WATCHLIST,0.27763507,59.86
SOUTHWEST,ENERGY,49.48,WATCHLIST,1.0955118,58.37
HARRMALAYA,CHEMICALS,49.47,WATCHLIST,0.3667362,59.58
PANSARI,REALTY,49.47,WATCHLIST,26.674334,68.47
MUTHOOTCAP,FINANCIAL_SERVICES,49.47,WATCHLIST,0.3900736,60.0
CAPITALSFB,BANKING,49.44,WATCHLIST,0.17662191,60.0
CAMS,FINANCIAL_SERVICES,49.43,WATCHLIST,0.21875645,58.31
BOSCH-HCIL,FMCG,49.43,WATCHLIST,2.4810646,58.55
LUPIN,PHARMA,49.42,WATCHLIST,6.795863,60.23
TANLA,IT,49.41,WATCHLIST,82.66825,77.81
STYRENIX,CHEMICALS,49.39,WATCHLIST,2.6220658,60.09
BHARTIHEXA,TELECOM,49.39,WATCHLIST,0.67127186,60.07
GREAVESCOT,CAPITAL_GOODS,49.38,WATCHLIST,11.794377,60.57
VRLLOG,LOGISTICS,49.37,WATCHLIST,0.4525664,59.19
GOKULAGRO,FMCG,49.37,WATCHLIST,0.30894718,59.83
STEL,FINANCIAL_SERVICES,49.34,WATCHLIST,0.54270595,59.87
TVSSCS,LOGISTICS,49.33,WATCHLIST,0.6878235,55.42
MARKSANS,PHARMA,49.32,WATCHLIST,1.1404461,60.04
GANDHITUBE,METAL,49.28,WATCHLIST,0.7590944,60.23
HDFCGROWTH,OTHER,49.28,WATCHLIST,77.33249,78.5
SIS,OTHER,49.28,WATCHLIST,1.137441,60.11
SAMBHV,METAL,49.28,WATCHLIST,3.3627472,60.71
ATUL,CHEMICALS,49.27,WATCHLIST,2.1802354,60.1
HONAUT,CAPITAL_GOODS,49.24,WATCHLIST,1.87277,60.09
AGL,OTHER,49.24,WATCHLIST,0.23738399,59.61
IGIL,FMCG,49.23,WATCHLIST,4.6977053,60.26
ARIS,INFRASTRUCTURE,49.23,WATCHLIST,42.901085,72.4
TMCV,AUTO,49.23,WATCHLIST,11.99281,60.67
AJAXENGG,AUTO,49.21,WATCHLIST,1.0356723,60.07
BLUSPRING,POWER,49.18,WATCHLIST,7.686248,60.43
JMA,AUTO,49.16,WATCHLIST,0.20208652,59.82
DISAQ,CAPITAL_GOODS,49.14,WATCHLIST,0.18788216,59.2
PHARMABEES,OTHER,49.13,WATCHLIST,82.28688,79.06
ITADD,OTHER,49.13,WATCHLIST,48.255196,76.57
ADVANCE,CHEMICALS,49.12,WATCHLIST,7.8056455,61.13
ASHIKAG,OTHER,49.12,WATCHLIST,0.6214283,59.8
AARTIIND,CHEMICALS,49.11,WATCHLIST,1.7205551,59.84
GULFOILLUB,ENERGY,49.11,WATCHLIST,7.5246515,61.01
IVC,FINANCIAL_SERVICES,49.11,WATCHLIST,1.1773477,60.17
ITBETA,OTHER,49.1,WATCHLIST,57.413136,76.54
ASHIANA,REALTY,49.1,WATCHLIST,0.8071447,60.08
EXICOM,CAPITAL_GOODS,49.09,WATCHLIST,0.4275995,59.62
IONEXCHANG,INFRASTRUCTURE,49.09,WATCHLIST,0.77502185,59.97
SUMICHEM,CHEMICALS,49.07,WATCHLIST,1.9021875,60.14
COROMANDEL,INFRASTRUCTURE,49.07,WATCHLIST,0.48445034,59.85
SHREECEM,CEMENT,49.05,WATCHLIST,2.3017216,60.07
NAHARCAP,FINANCIAL_SERVICES,49.05,WATCHLIST,2.6675785,60.43
SAYAJIHOTL,HOSPITALITY,49.03,WATCHLIST,0.29672718,59.51
GROWWEV,OTHER,49.03,WATCHLIST,74.86775,77.21
TECH,OTHER,49.0,WATCHLIST,17.49826,62.58
ITETF,OTHER,48.98,WATCHLIST,11.812722,61.13
BPCL,CHEMICALS,48.97,WATCHLIST,5.141496,60.08
LTFOODS,AGRICULTURE,48.97,WATCHLIST,1.2691444,59.96
SBIETFIT,OTHER,48.94,WATCHLIST,17.08334,61.18
ICIL,TEXTILES,48.92,WATCHLIST,1.0700712,59.97
EVINDIA,OTHER,48.92,WATCHLIST,82.3781,78.36
RAJPALAYAM,TEXTILES,48.91,WATCHLIST,0.11254375,59.86
ITBEES,OTHER,48.9,WATCHLIST,14.715422,61.25
MANBA,FINANCIAL_SERVICES,48.9,WATCHLIST,2.2460074,59.96
JSWENERGY,POWER,48.89,WATCHLIST,11.663885,60.52
JINDALSTEL,METAL,48.88,WATCHLIST,1.6840682,59.18
PRESTIGE,REALTY,48.86,WATCHLIST,1.9746546,60.37
EVIETF,OTHER,48.86,WATCHLIST,80.715805,77.74
HINDALCO,METAL,48.84,WATCHLIST,5.004949,60.77
BBTCL,CHEMICALS,48.8,WATCHLIST,11.931779,60.73
MANALIPETC,CHEMICALS,48.8,WATCHLIST,2.7219641,60.36
ITIETF,OTHER,48.79,WATCHLIST,12.561806,60.68
GUFICBIO,PHARMA,48.78,WATCHLIST,9.450703,60.45
IT,OTHER,48.78,WATCHLIST,14.339453,60.88
HYUNDAI,AUTO,48.77,WATCHLIST,60.686745,74.85
GROWWNET,OTHER,48.76,WATCHLIST,70.47991,75.13
ARVIND,TEXTILES,48.76,WATCHLIST,4.6461115,60.13
KKCL,TEXTILES,48.75,WATCHLIST,0.28929764,59.97
INTERNET,OTHER,48.74,WATCHLIST,73.1168,76.32
MRPL,CHEMICALS,48.74,WATCHLIST,2.6522748,60.28
INDIGO,AVIATION,48.74,WATCHLIST,2.8346922,59.97
CRISIL,FINANCIAL_SERVICES,48.71,WATCHLIST,1.9890169,60.09
VAML,OTHER,48.64,WATCHLIST,0.08684363,59.53
CONCORDBIO,PHARMA,48.64,WATCHLIST,4.1913657,60.72
WORTHPERI,CHEMICALS,48.63,WATCHLIST,1.192703,60.06
IOLCP,PHARMA,48.62,WATCHLIST,12.002078,61.14
BFINVEST,FINANCIAL_SERVICES,48.62,WATCHLIST,46.86051,73.6
MOREPENLAB,PHARMA,48.59,WATCHLIST,0.39625657,59.84
FEDDERSHOL,FINANCIAL_SERVICES,48.58,WATCHLIST,77.84611,77.15
KERNEX,LOGISTICS,48.58,WATCHLIST,0.15651956,59.42
HEALTHIETF,OTHER,48.58,WATCHLIST,84.24921,78.87
CLSEL,AGRICULTURE,48.57,WATCHLIST,0.23920201,59.79
DEEPAKNTR,CHEMICALS,48.56,WATCHLIST,1.0329669,59.94
HDFCNIFIT,OTHER,48.5,WATCHLIST,8.679611,60.37
YATHARTH,HEALTHCARE,48.45,WATCHLIST,0.20974912,59.66
PFIZER,PHARMA,48.44,WATCHLIST,0.59904945,60.14
SUDARCOLOR,CHEMICALS,48.43,WATCHLIST,2.0568848,59.47
OMAXE,REALTY,48.39,WATCHLIST,0.5101043,60.0
ACMESOLAR,POWER,48.38,WATCHLIST,4.405128,60.17
DYNAMATECH,CAPITAL_GOODS,48.37,WATCHLIST,5.9300494,63.33
CENTURYPLY,REALTY,48.35,WATCHLIST,0.6895954,58.72
MOLOWVOL,OTHER,48.33,WATCHLIST,73.20892,77.66
GEOJITFSL,FINANCIAL_SERVICES,48.32,WATCHLIST,0.67028093,59.93
STOVEKRAFT,FMCG,48.28,WATCHLIST,1.4955443,59.99
HEALTHY,OTHER,48.28,WATCHLIST,77.87889,78.28
SAMHI,HOSPITALITY,48.28,WATCHLIST,0.69878787,60.04
COSMOFIRST,CHEMICALS,48.27,WATCHLIST,8.7467575,60.96
ADROITINFO,CAPITAL_GOODS,48.26,WATCHLIST,0.2273837,59.97
RAMCOIND,METAL,48.25,WATCHLIST,0.8035061,59.89
ELGIEQUIP,CAPITAL_GOODS,48.23,WATCHLIST,1.1678642,59.99
JIOFIN,FINANCIAL_SERVICES,48.2,WATCHLIST,0.22828314,59.82
SIL,CHEMICALS,48.2,WATCHLIST,0.48858696,60.0
COCKERILL,CAPITAL_GOODS,48.19,WATCHLIST,3.3051062,60.4
GUJALKALI,CHEMICALS,48.18,WATCHLIST,40.386627,76.81
METROGLOBL,OTHER,48.17,WATCHLIST,5.354855,60.51
MOHEALTH,OTHER,48.16,WATCHLIST,82.55873,78.35
PARASPETRO,FINANCIAL_SERVICES,48.16,WATCHLIST,25.153706,60.65
APARINDS,CHEMICALS,48.12,WATCHLIST,13.961082,60.79
DCBBANK,BANKING,48.11,WATCHLIST,0.413452,59.93
OIL,ENERGY,48.09,WATCHLIST,0.79054505,59.53
CGCL,FINANCIAL_SERVICES,48.06,WATCHLIST,7.346487,60.61
MIDSELIETF,OTHER,48.05,WATCHLIST,79.62613,77.2
PETRONET,ENERGY,48.03,WATCHLIST,0.87601787,60.08
AFFLE,IT,48.02,WATCHLIST,0.8778665,60.02
GANECOS,TEXTILES,48.01,WATCHLIST,5.5297933,60.29
MATRIMONY,RETAIL,47.99,WATCHLIST,0.5136065,58.95
JASH,CAPITAL_GOODS,47.98,WATCHLIST,0.22720571,59.94
FUSION,FINANCIAL_SERVICES,47.96,WATCHLIST,0.98663557,59.97
GAIL,ENERGY,47.95,WATCHLIST,2.4912167,59.98
KOLTEPATIL,REALTY,47.94,WATCHLIST,0.8952442,60.02
BAJAJHLDNG,FINANCIAL_SERVICES,47.93,WATCHLIST,4.3186765,60.15
SHRINGARMS,FMCG,47.93,WATCHLIST,0.35501096,59.48
PARACABLES,CAPITAL_GOODS,47.9,WATCHLIST,0.5584081,59.68
VLSFINANCE,FINANCIAL_SERVICES,47.9,WATCHLIST,0.9854512,59.17
VMART,RETAIL,47.88,WATCHLIST,1.0745326,60.11
NH,HEALTHCARE,47.87,WATCHLIST,0.48926,59.88
NEXT50,OTHER,47.84,WATCHLIST,81.603,77.96
TITAGARH,INFRASTRUCTURE,47.84,WATCHLIST,2.1415527,59.79
PREMIERPOL,OTHER,47.83,WATCHLIST,6.6541,60.05
CONSUMER,OTHER,47.83,WATCHLIST,70.20134,77.27
PNB,BANKING,47.77,WATCHLIST,3.3020537,59.75
GROWWNXT50,OTHER,47.74,WATCHLIST,66.23926,77.13
RAMRAT,CAPITAL_GOODS,47.74,WATCHLIST,1.0874078,59.43
MANAKSTEEL,OTHER,47.72,WATCHLIST,0.4875924,56.02
KSL,METAL,47.71,WATCHLIST,0.362028,59.97
KRISHNADEF,DEFENCE,47.71,WATCHLIST,0.23366739,58.03
SRGHFL,FINANCIAL_SERVICES,47.71,WATCHLIST,0.039013553,59.72
GMRAIRPORT,INFRASTRUCTURE,47.7,WATCHLIST,0.30836028,59.22
INNOVACAP,PHARMA,47.69,WATCHLIST,0.1475447,59.94
GREENLAM,INFRASTRUCTURE,47.69,WATCHLIST,0.08298837,59.87
SETL,CAPITAL_GOODS,47.67,WATCHLIST,0.15288784,56.07
DHANBANK,BANKING,47.66,WATCHLIST,0.271848,59.84
GLENMARK,PHARMA,47.66,WATCHLIST,1.8107414,59.98
MOREALTY,OTHER,47.65,WATCHLIST,63.04179,76.17
SOMANYCERA,CAPITAL_GOODS,47.65,WATCHLIST,0.2659678,59.46
TNPL,CHEMICALS,47.65,WATCHLIST,2.2291033,60.13
BI,HEALTHCARE,47.61,WATCHLIST,5.982875,60.53
LT,INFRASTRUCTURE,47.57,WATCHLIST,0.2415157,59.84
PRIVISCL,CHEMICALS,47.57,WATCHLIST,0.24685852,59.7
INDTERRAIN,TEXTILES,47.53,WATCHLIST,0.47680396,59.92
GRPLTD,CHEMICALS,47.52,WATCHLIST,12.057746,60.92
AIIL,CAPITAL_GOODS,47.47,WATCHLIST,1.004349,59.76
DATAPATTNS,DEFENCE,47.46,WATCHLIST,2.1291935,60.05
NEXT30ADD,OTHER,47.44,WATCHLIST,54.59566,75.45
NBIFIN,FINANCIAL_SERVICES,47.43,WATCHLIST,2.8766139,60.07
METALIETF,OTHER,47.43,WATCHLIST,45.7756,72.78
INDUSTOWER,TELECOM,47.43,WATCHLIST,1.1187147,59.48
UDS,OTHER,47.42,WATCHLIST,4.837952,60.39
CIPLA,PHARMA,47.4,WATCHLIST,6.369321,60.26
ARVSMART,REALTY,47.39,WATCHLIST,0.048424404,59.49
MOMGF,OTHER,47.38,WATCHLIST,55.739998,73.01
NAHARINDUS,CHEMICALS,47.37,WATCHLIST,0.109168604,59.48
FINIETF,OTHER,47.37,WATCHLIST,56.385315,75.13
HCG,HEALTHCARE,47.34,WATCHLIST,10.878913,60.7
MARKOLINES,INFRASTRUCTURE,47.34,WATCHLIST,0.14946665,56.36
KOVAI,HEALTHCARE,47.33,WATCHLIST,0.08536449,59.34
FCL,CHEMICALS,47.31,WATCHLIST,0.15169328,58.89
CERA,REALTY,47.31,WATCHLIST,0.052149087,59.52
IMPAL,AUTO,47.3,WATCHLIST,0.38058734,59.94
INDIANB,BANKING,47.3,WATCHLIST,0.95925266,59.71
CONSUMBEES,OTHER,47.29,WATCHLIST,76.55269,77.39
AFSL,FINANCIAL_SERVICES,47.29,WATCHLIST,0.032387868,59.63
RPPL,CHEMICALS,47.28,WATCHLIST,0.2160915,59.81
ORIENTBELL,CAPITAL_GOODS,47.28,WATCHLIST,0.3608042,59.85
MAKEINDIA,OTHER,47.27,WATCHLIST,59.3098,74.34
NAHARPOLY,CHEMICALS,47.27,WATCHLIST,1.358045,60.27
MAHSCOOTER,FINANCIAL_SERVICES,47.26,WATCHLIST,4.8566113,61.07
SNXT30BEES,OTHER,47.25,WATCHLIST,59.49423,73.96
MONEXT50,OTHER,47.25,WATCHLIST,62.263523,70.56
LOWVOL1,OTHER,47.23,WATCHLIST,50.82618,65.45
JUNIORBEES,OTHER,47.22,WATCHLIST,81.87067,77.48
UGARSUGAR,FMCG,47.22,WATCHLIST,0.67879355,59.76
BLIL,FINANCIAL_SERVICES,47.21,WATCHLIST,0.09309971,59.54
EQUAL50ADD,OTHER,47.21,WATCHLIST,63.87773,75.91
BERGEPAINT,CHEMICALS,47.21,WATCHLIST,0.310694,59.87
HDFCQUAL,OTHER,47.2,WATCHLIST,61.77653,74.11
DOLPHIN,ENERGY,47.2,WATCHLIST,1.1573434,59.04
QUAL30IETF,OTHER,47.19,WATCHLIST,49.993454,72.68
ABSLNN50ET,OTHER,47.16,WATCHLIST,79.517044,77.62
PDSL,TEXTILES,47.15,WATCHLIST,0.3173218,59.93
JSL,METAL,47.14,WATCHLIST,0.51322633,59.28
GROWWRLTY,OTHER,47.14,WATCHLIST,63.156574,74.73
SETFNN50,OTHER,47.14,WATCHLIST,51.7986,67.98
NEXT50IETF,OTHER,47.12,WATCHLIST,80.725624,77.41
FLEXIADD,OTHER,47.12,WATCHLIST,41.98402,68.67
SEAMECLTD,LOGISTICS,47.11,WATCHLIST,1.6711762,59.2
HEALTHCARE,OTHER,47.11,WATCHLIST,80.62812,77.49
ABBOTINDIA,PHARMA,47.1,WATCHLIST,0.7832906,60.05
UNICHEMLAB,PHARMA,47.1,WATCHLIST,61.07148,74.11
AYMSYNTEX,TEXTILES,47.1,WATCHLIST,0.16561048,59.8
MID150,OTHER,47.09,WATCHLIST,59.466022,64.58
PHOENIXLTD,REALTY,47.04,WATCHLIST,1.3353446,59.95
LOWVOLIETF,OTHER,47.03,WATCHLIST,72.627556,72.11
METAL,OTHER,47.02,WATCHLIST,43.25215,66.82
LOWVOL,OTHER,47.02,WATCHLIST,62.318577,75.13
SHBAJRG,METAL,47.0,WATCHLIST,0.17034432,59.4
ALPL30IETF,OTHER,47.0,WATCHLIST,73.40681,75.79
HDFCNEXT50,OTHER,46.99,WATCHLIST,41.229206,62.8
KANPRPLA,CHEMICALS,46.99,WATCHLIST,0.48331103,59.82
YESBANK,BANKING,46.98,WATCHLIST,0.0995439,59.58
HAVELLS,CAPITAL_GOODS,46.95,WATCHLIST,0.46427646,59.9
SBINEQWETF,OTHER,46.95,WATCHLIST,49.841946,69.87
DIXON,REALTY,46.94,WATCHLIST,2.5379467,60.19
MOIPO,OTHER,46.91,WATCHLIST,41.297676,64.37
LIKHITHA,OTHER,46.9,WATCHLIST,0.15577978,58.32
PFOCUS,OTHER,46.89,WATCHLIST,2.747683,59.86
EQUAL50,OTHER,46.88,WATCHLIST,48.28722,69.36
GALAPREC,CAPITAL_GOODS,46.87,WATCHLIST,0.10643455,59.81
MID150BEES,OTHER,46.86,WATCHLIST,62.798244,66.18
DDEVPLSTIK,CHEMICALS,46.86,WATCHLIST,11.42562,61.73
NIFTY100EW,OTHER,46.85,WATCHLIST,32.464252,63.7
GROWWLOVOL,OTHER,46.85,WATCHLIST,30.033546,63.7
NIFTYQLITY,OTHER,46.85,WATCHLIST,52.416832,68.12
HIKAL,PHARMA,46.84,WATCHLIST,0.43477723,59.95
MOALPHA50,OTHER,46.84,WATCHLIST,48.823,64.33
MID150CASE,OTHER,46.82,WATCHLIST,33.458145,61.44
HDFCLOWVOL,OTHER,46.81,WATCHLIST,65.53305,72.98
BLUEDART,LOGISTICS,46.81,WATCHLIST,1.6613498,60.03
SBIETFQLTY,OTHER,46.8,WATCHLIST,30.266935,65.4
ORIENTHOT,HOSPITALITY,46.79,WATCHLIST,0.124711476,59.67
SELECTIPO,OTHER,46.79,WATCHLIST,17.206678,62.47
SBIETFCON,OTHER,46.79,WATCHLIST,73.28145,69.92
SML100CASE,OTHER,46.79,WATCHLIST,75.99013,75.31
NITTAGELA,CHEMICALS,46.76,WATCHLIST,30.04507,61.61
EXCELINDUS,CHEMICALS,46.76,WATCHLIST,0.40212348,60.01
HDFCMID150,OTHER,46.74,WATCHLIST,50.81268,63.34
FEDFINA,FINANCIAL_SERVICES,46.71,WATCHLIST,0.1916531,59.81
SREEL,FMCG,46.7,WATCHLIST,1.6219282,60.01
CONSUMIETF,OTHER,46.68,WATCHLIST,60.380108,65.72
INDIACEM,CEMENT,46.67,WATCHLIST,0.6284185,59.27
MON50EQUAL,OTHER,46.67,WATCHLIST,62.82836,72.97
SHOPERSTOP,RETAIL,46.66,WATCHLIST,1.7480625,60.08
SHILCTECH,CAPITAL_GOODS,46.66,WATCHLIST,0.34981456,56.66
INDIGOPNTS,CHEMICALS,46.65,WATCHLIST,1.8463777,60.05
DYCL,CAPITAL_GOODS,46.64,WATCHLIST,22.30559,61.5
LICNMID100,OTHER,46.64,WATCHLIST,20.942293,60.88
IMAGICAA,HOSPITALITY,46.62,WATCHLIST,0.21987338,59.88
HDFCSML250,OTHER,46.6,WATCHLIST,48.51293,62.25
MSCIINDIA,OTHER,46.59,WATCHLIST,58.95073,72.77
KMSUGAR,FMCG,46.59,WATCHLIST,0.17041115,59.55
SCODATUBES,METAL,46.59,WATCHLIST,0.16787922,59.9
KIRLOSENG,CAPITAL_GOODS,46.58,WATCHLIST,3.8297408,60.14
TOP20,OTHER,46.58,WATCHLIST,59.567406,74.27
SHARIABEES,OTHER,46.57,WATCHLIST,8.309228,60.56
NEXT50ETF,OTHER,46.55,WATCHLIST,70.81058,73.79
EQUAL200,OTHER,46.54,WATCHLIST,28.674337,62.61
GRAPHITE,CAPITAL_GOODS,46.54,WATCHLIST,1.9167817,59.85
MIDCAPETF,OTHER,46.54,WATCHLIST,49.94295,63.01
SECMARK,IT,46.54,WATCHLIST,0.34743223,59.65
MOM100,OTHER,46.53,WATCHLIST,47.196396,61.82
CARBORUNIV,CAPITAL_GOODS,46.51,WATCHLIST,3.7526913,60.24
BLUESTARCO,FMCG,46.51,WATCHLIST,0.21325855,59.74
LGEINDIA,FMCG,46.49,WATCHLIST,0.07874243,59.53
NUVOCO,CEMENT,46.49,WATCHLIST,1.0675666,59.99
