symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
AMBICAAGAR,4.66,-2.11,89.2,-3.92,20260817
AMBIKCO,0.3,-4.02,51.3,-4.86,20260817
AMBUJACEM,1.42,-1.46,57.4,-3.02,20260817
AMDIND,1.47,17.76,58.2,9.38,20260817
AMJLAND,0.49,4.62,79.3,1.36,20260817
AMNPLST,0.9,-4.92,54.2,-5.17,20260817
AMRUTANJAN,0.83,-5.24,54.5,-7.67,20260817
ANANDRATHI,0.87,7.41,53.3,8.59,20260817
ANANTRAJ,0.4,12.11,42.4,9.53,20260817
ANDHRAPAP,0.46,-0.71,74.0,-2.84,20260817
ANDHRSUGAR,0.76,23.4,35.4,18.69,20260817
ANGELONE,0.81,-9.57,36.8,-9.28,20260817
ANIKINDS,1.38,,83.6,4.7,20260817
ANMOL,1.19,-4.37,75.2,-7.05,20260817
ANTELOPUS,1.34,0.35,54.9,-2.69,20260817
ANTGRAPHIC,1.54,-1.13,83.4,-3.9,20260817
ANTHEM,0.84,21.09,52.3,13.42,20260817
ANUHPHR,0.87,-2.75,82.5,-4.12,20260817
ANUP,0.45,-12.04,51.5,-13.02,20260817
ANURAS,1.71,-2.91,58.2,-4.3,20260817
APARINDS,0.75,19.1,39.0,10.13,20260817
APCL,6.54,7.13,57.0,0.57,20260817
APCOTEXIND,0.22,14.54,49.3,9.01,20260817
APEX,1.57,6.58,33.5,6.42,20260817
APLAPOLLO,0.62,18.88,48.7,11.97,20260817
APLLTD,0.78,0.71,62.2,2.43,20260817
APOLLO,0.73,-0.08,34.8,-4.11,20260817
APOLLOHOSP,0.96,2.07,51.4,0.96,20260817
APOLLOPIPE,2.08,10.92,45.0,9.47,20260817
APOLLOTYRE,0.34,3.85,50.5,1.8,20260817
APOLSINHOT,0.88,-3.78,70.4,-3.32,20260817
APTUS,0.68,-12.15,62.8,-6.8,20260817
AQYLON,0.13,-35.33,56.5,-41.36,20260817
ARCHIDPLY,0.8,21.85,74.3,15.97,20260817
ARCHIES,0.84,-1.56,76.4,-4.12,20260817
ARE&M,0.26,7.68,32.9,7.57,20260817
ARENTERP,0.0,8.13,57.5,1.56,20260817
ARFIN,0.98,-2.33,17.7,-5.62,20260817
ARIES,3.11,29.07,51.4,26.13,20260817
ARIHANT,0.51,32.84,62.5,10.86,20260817
ARIHANTCAP,0.45,6.67,56.2,0.69,20260817
ARIHANTSUP,0.21,1.89,57.9,-1.06,20260817
ARIS,0.53,22.91,43.7,13.48,20260817
ARKADE,0.49,-2.75,42.6,0.6,20260817
ARMANFIN,0.67,2.83,48.5,7.28,20260817
AROGRANITE,2.34,0.62,75.0,-3.04,20260817
ARSSBL,1.23,-3.77,47.7,-4.65,20260817
