symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
DHRUV,1.16,,85.2,-20.64,20260817
DHUNINV,1.08,8.29,70.8,13.4,20260817
DIAMINESQ,0.71,-8.05,57.9,-6.07,20260817
DIAMONDYD,0.19,3.25,56.7,3.05,20260817
DICIND,2.99,19.35,59.7,14.62,20260817
DIFFNKG,0.43,4.83,35.5,1.98,20260817
DIGIDRIVE,0.96,-3.84,80.3,-4.11,20260817
DIGISPICE,0.84,,68.7,-5.78,20260817
DIGITIDE,1.01,-4.42,45.2,-0.09,20260817
DIGJAMLMTD,0.23,15.99,82.4,10.62,20260817
DISAQ,0.54,-0.91,52.1,-2.78,20260817
DISHTV,0.06,,80.0,2.93,20260817
DIVGIITTS,1.41,39.12,36.7,34.64,20260817
DIVISLAB,0.47,18.7,61.1,16.24,20260817
DIXON,0.55,-0.55,40.2,6.32,20260817
DJML,0.61,4.89,24.5,-3.7,20260817
DLF,0.95,6.3,42.3,4.49,20260817
DLINKINDIA,0.92,-5.83,62.2,-12.72,20260817
DMART,0.48,3.89,58.8,-1.92,20260817
DMCC,0.36,11.67,51.6,10.57,20260817
DNAMEDIA,1.55,-2.84,77.6,-4.61,20260817
DODLA,0.85,5.31,52.9,1.32,20260817
DOLATALGO,2.31,4.81,61.3,-0.45,20260817
DOLLAR,0.59,3.82,56.0,1.52,20260817
DOLPHIN,2.83,53.23,60.9,45.23,20260817
DOMS,0.5,1.1,57.0,-2.12,20260817
DONEAR,1.77,7.93,62.2,1.24,20260817
DPABHUSHAN,0.33,8.47,48.6,19.12,20260817
DRAGARWQ,0.89,9.67,66.5,4.55,20260817
DRCSYSTEMS,0.66,-1.97,66.7,-4.74,20260817
DREAMFOLKS,0.83,-1.64,56.3,-4.51,20260817
DREDGECORP,0.62,15.92,36.9,7.28,20260817
DRREDDY,0.95,0.12,59.0,-4.2,20260817
DSSL,1.95,-1.58,66.2,-9.7,20260817
DTIL,0.44,0.47,71.2,-1.89,20260817
DUCON,2.37,9.0,79.2,7.28,20260817
DVL,0.38,13.94,47.7,8.23,20260817
DWARKESH,2.04,6.29,36.3,4.95,20260817
DYCL,0.61,21.09,36.6,22.12,20260817
DYNAMATECH,0.89,8.33,42.5,5.46,20260817
DYNPRO,0.5,2.2,72.4,-3.45,20260817
EASEMYTRIP,2.38,-7.35,40.8,-13.54,20260817
EBGNG,0.94,6.52,46.7,8.26,20260817
ECLERX,0.63,7.84,47.7,12.24,20260817
EDELWEISS,0.93,6.84,53.0,3.01,20260817
EFCIL,1.12,-6.72,57.5,-8.27,20260817
EICHERMOT,0.78,11.28,57.6,5.88,20260817
EIDPARRY,0.92,5.57,50.4,5.05,20260817
EIEL,0.59,-8.98,44.1,-6.88,20260817
EIHAHOTELS,0.85,-6.84,60.1,-6.8,20260817
EIHOTEL,0.93,-9.12,56.1,-7.6,20260817
EIMCOELECO,6.06,19.68,49.4,23.22,20260817
EKC,0.82,-2.18,52.9,-3.07,20260817
ELANTAS,0.4,29.96,38.9,15.09,20260817
ELCIDIN,1.12,2.52,59.2,-2.2,20260817
ELDEHSG,0.11,-0.6,58.9,-2.92,20260817
ELECON,0.52,-2.16,47.5,-9.7,20260817
ELECTCAST,0.72,-1.74,52.8,-3.96,20260817
ELECTHERM,0.68,-5.4,67.6,-8.73,20260817
ELGIEQUIP,2.28,10.09,43.4,5.64,20260817
ELGIRUBCO,0.39,-2.15,40.4,7.55,20260817
ELIN,0.99,-3.75,51.7,-0.14,20260817
ELITECON,1.06,-1.63,46.5,-24.3,20260817
ELLEN,0.43,14.06,40.5,16.78,20260817
ELPROINTL,0.28,2.97,69.8,0.98,20260817
EMAMILTD,0.61,2.17,56.8,-0.37,20260817
EMAMIREAL,0.03,,70.4,12.99,20260817
EMBDL,0.79,0.92,51.4,1.2,20260817
EMCURE,1.38,6.72,63.0,1.18,20260817
EMIL,0.22,48.74,20.6,43.39,20260817
EMKAY,0.55,-5.01,58.8,-9.33,20260817
EMMVEE,0.85,-9.44,47.8,-3.38,20260817
EMPOWER,2.02,,,,20260817
EMSLIMITED,1.87,-11.99,40.1,-5.9,20260817
EMUDHRA,0.33,18.03,48.9,10.61,20260817
ENDURANCE,1.84,10.54,54.4,9.42,20260817
ENERGYDEV,0.86,-0.57,72.8,-1.84,20260817
ENGINERSIN,0.62,6.47,43.2,1.45,20260817
ENIL,1.21,-1.59,82.4,-5.66,20260817
ENRIN,0.37,8.65,41.8,3.68,20260817
ENTERO,0.31,19.05,47.1,15.37,20260817
EPACK,0.97,-11.28,50.2,-9.12,20260817
EPACKPEB,0.61,-8.36,42.0,-10.94,20260817
EPIGRAL,0.34,5.55,62.2,0.01,20260817
EPL,1.33,6.33,48.3,4.71,20260817
EQUITASBNK,0.42,-0.46,50.9,-2.47,20260817
ERIS,0.67,-6.6,62.8,-4.5,20260817
ESABINDIA,0.96,13.78,44.9,9.45,20260817
ESCORTS,0.44,9.18,52.3,6.05,20260817
ESSARSHPNG,4.8,-19.65,72.5,-25.87,20260817
ESSENTIA,0.08,,56.6,-2.22,20260817
ESTER,0.2,13.27,48.1,9.0,20260817
ETERNAL,0.58,13.78,51.2,12.01,20260817
ETHOSLTD,0.1,8.67,47.1,8.39,20260817
EUREKAFORB,1.91,-5.08,52.2,-4.99,20260817
EUROBOND,1.25,-3.59,85.8,-7.18,20260817
EUROPRATIK,0.64,-5.55,28.2,-3.79,20260817
EVEREADY,0.27,3.0,54.6,-0.26,20260817
EXCELINDUS,1.11,12.37,65.8,4.73,20260817
EXCELSOFT,0.96,-4.78,57.4,-6.82,20260817
EXICOM,0.32,-7.46,41.6,-8.02,20260817
EXIDEIND,0.46,15.68,50.3,11.77,20260817
EXPLEOSOL,14.14,18.33,55.6,12.65,20260817
EXXARO,2.0,-1.99,67.5,-7.69,20260817
FABTECH,0.47,-4.08,50.0,-4.57,20260817
FACT,1.09,-3.43,37.7,-7.65,20260817
FAZE3Q,0.63,-11.54,53.9,-14.21,20260817
FCL,0.57,15.96,36.8,8.34,20260817
FCSSOFT,1.31,,52.4,2.03,20260817
FDC,0.33,-13.21,52.9,-11.74,20260817
FEDDERSHOL,0.23,-7.34,32.0,-3.4,20260817
FEDERALBNK,0.8,11.19,64.1,4.83,20260817
FEDFINA,0.67,-3.05,55.6,-1.01,20260817
FERMENTA,0.57,2.25,43.4,10.25,20260817
FIBERWEB,4.87,-11.23,75.5,-9.98,20260817
FIEMIND,0.85,1.49,48.5,-1.78,20260817
FILATEX,0.31,15.93,44.5,26.74,20260817
FILATFASH,1.23,,60.1,-10.0,20260817
FINCABLES,1.23,28.81,21.5,22.83,20260817
FINEORG,0.58,3.41,58.7,2.02,20260817
FINKURVE,7.69,16.9,50.4,13.09,20260817
FINOPB,0.54,-4.36,28.4,-3.55,20260817
FINPIPE,0.73,-2.02,52.2,-5.53,20260817
FIRSTCRY,1.04,0.53,40.2,-3.08,20260817
FISCHER,0.29,-0.65,65.4,-0.45,20260817
FIVESTAR,0.51,0.11,45.7,2.57,20260817
FLAIR,2.82,2.07,65.2,-2.54,20260817
FLUOROCHEM,1.06,16.92,37.1,13.63,20260817
FMGOETZE,0.49,-4.6,55.3,-2.19,20260817
FOODSIN,1.39,-6.92,73.0,-4.65,20260817
FORCEMOT,0.51,3.31,31.2,2.46,20260817
FORTIS,0.88,-2.87,56.3,-4.91,20260817
FOSECOIND,0.87,13.23,55.3,8.83,20260817
FRACTAL,1.34,-4.84,47.1,-6.07,20260817
FRONTSP,0.89,-6.13,45.7,-9.1,20260817
FSL,0.09,3.64,37.2,2.16,20260817
FUSION,0.57,-10.5,50.1,-4.05,20260817
GABRIEL,0.25,8.59,44.9,10.16,20260817
GAEL,0.22,19.31,46.0,7.62,20260817
GAIL,0.33,3.0,64.9,-0.8,20260817
GALAPREC,0.63,-12.17,51.4,-6.76,20260817
GALAXYSURF,9.02,26.83,41.0,22.53,20260817
GALLANTT,0.19,-12.25,54.2,-9.34,20260817
GANDHAR,0.14,19.71,43.3,19.76,20260817
GANDHITUBE,0.39,3.88,66.0,0.98,20260817
GANECOS,0.61,-4.56,48.4,4.35,20260817
GANESHCP,1.31,-7.22,57.3,-10.93,20260817
GANESHHOU,0.49,3.2,51.8,5.87,20260817
GANGAFORGE,0.34,,75.2,2.05,20260817
GANGESSECU,2.73,3.87,73.1,1.24,20260817
GARFIBRES,0.54,0.4,57.4,0.73,20260817
GARUDA,0.3,4.86,33.9,3.61,20260817
GATEWAY,0.56,-3.58,66.5,-5.61,20260817
GAYAHWS,0.91,-0.8,78.0,-5.97,20260817
GCSL,0.84,-1.28,32.6,2.58,20260817
GEEKAYWIRE,1.82,0.21,47.5,-2.8,20260817
GEMAROMA,1.05,-6.84,57.8,-9.01,20260817
GENCON,0.93,-0.4,10.3,-2.93,20260817
GENESYS,2.4,-45.59,48.5,-43.46,20260817
GENUSPAPER,0.55,0.18,72.8,-5.75,20260817
GENUSPOWER,2.25,-0.1,50.5,0.88,20260817
GEOJITFSL,1.38,-1.09,53.1,1.58,20260817
GESHIP,0.68,-4.67,52.4,-8.84,20260817
GFLLIMITED,1.21,13.02,46.9,5.45,20260817
GHCL,0.75,1.98,68.5,-0.67,20260817
GHCLTEXTIL,0.59,7.38,55.6,11.66,20260817
GICHSGFIN,0.93,-4.6,60.5,-8.4,20260817
GICL,1.24,44.38,60.1,20.64,20260817
GICRE,0.78,0.22,54.6,-1.96,20260817
GILLANDERS,0.42,2.76,87.7,-1.25,20260817
GILLETTE,0.6,-0.04,57.6,-2.22,20260817
GIPCL,0.54,9.45,53.7,7.26,20260817
GKENERGY,0.81,-7.17,49.9,-10.31,20260817
GKSL,7.7,20.3,49.6,16.16,20260817
GKWLIMITED,1.0,-1.44,90.7,-6.52,20260817
GLAND,0.41,17.82,37.0,17.93,20260817
GLAXO,1.23,10.61,63.4,10.36,20260817
GLENMARK,0.6,4.61,44.1,4.66,20260817
GLFL,0.39,,86.8,-8.14,20260817
GLOBAL,4.02,7.91,66.6,4.1,20260817
GLOBALE,0.35,,93.6,-4.23,20260817
GLOBALVECT,0.36,-1.41,65.0,-6.54,20260817
GLOBE,0.65,-2.89,77.5,-7.41,20260817
GLOBECIVIL,0.62,,46.7,5.26,20260817
GLOBUSSPR,0.33,-8.03,56.4,-1.02,20260817
GLOSTERLTD,1.16,-6.14,74.0,-8.55,20260817
GMBREW,1.02,0.65,59.1,-2.8,20260817
GMDCLTD,0.71,0.61,40.2,-2.65,20260817
GMMPFAUDLR,0.68,33.71,48.9,27.39,20260817
GMRAIRPORT,0.81,-6.73,50.5,-6.24,20260817
GMRP&UI,0.92,1.2,50.2,-2.97,20260817
GNA,1.22,-2.37,51.0,17.26,20260817
GNFC,3.65,19.86,49.3,14.14,20260817
GNRL,1.05,9.17,58.6,6.22,20260817
GOACARBON,0.39,-3.78,69.8,-7.98,20260817
GOCLCORP,0.47,4.02,53.1,0.25,20260817
GOCOLORS,0.86,0.35,40.3,-1.34,20260817
GODAVARIB,0.25,-2.46,37.7,-9.56,20260817
GODFRYPHLP,0.15,3.21,37.5,-2.37,20260817
GODIGIT,0.38,-7.78,57.1,-11.67,20260817
GODREJAGRO,2.38,7.18,51.4,5.67,20260817
GODREJCP,0.43,-9.49,50.2,-10.84,20260817
GODREJIND,2.15,-5.91,36.1,-0.72,20260817
GODREJPROP,1.1,1.03,50.4,4.21,20260817
GOKEX,1.33,-1.14,46.4,0.21,20260817
GOKUL,1.04,-1.11,22.8,-4.47,20260817
GOKULAGRO,0.33,12.05,42.4,5.23,20260817
GOLDIAM,0.93,8.89,50.5,6.18,20260817
GOODLUCK,0.49,-13.4,49.3,-9.92,20260817
GOODYEAR,0.21,-3.65,56.5,-2.78,20260817
GOPAL,0.97,4.27,38.5,-0.9,20260817
GOYALALUM,1.49,-1.71,71.8,-4.48,20260817
GPIL,2.36,4.67,43.7,-1.42,20260817
GPPL,1.43,9.15,55.1,4.73,20260817
GPTHEALTH,0.36,2.47,58.3,-0.99,20260817
GPTINFRA,0.55,-0.44,60.7,-4.68,20260817
GRADIENTE,0.82,,76.1,,20260817
GRANDOAK,0.73,-6.63,47.6,-8.16,20260817
GRANULES,0.47,-1.85,50.6,3.8,20260817
GRAPHITE,0.29,14.13,38.7,11.61,20260817
GRASIM,1.76,8.55,47.3,2.83,20260817
GRAUWEIL,0.6,-9.9,67.8,-9.31,20260817
GRAVISSHO,0.51,-4.42,97.0,-3.94,20260817
GRAVITA,1.07,2.34,51.3,5.85,20260817
GREAVESCOT,0.36,-21.18,43.3,-10.67,20260817
GREENLAM,0.15,3.73,52.0,-0.22,20260817
GREENPANEL,2.03,-13.29,69.0,-11.5,20260817
GREENPLY,0.4,-7.82,55.5,-4.23,20260817
GREENPOWER,1.14,-1.92,58.1,-7.46,20260817
GRINDWELL,0.47,-6.41,54.9,3.98,20260817
GRINFRA,0.37,-0.44,58.4,-2.55,20260817
GRMOVER,1.05,-2.08,23.7,-4.95,20260817
GROBTEA,3.95,2.59,66.7,4.6,20260817
GROWW,0.83,-0.61,53.2,-0.1,20260817
GRPLTD,0.94,12.83,71.0,7.64,20260817
GRSE,0.59,3.13,35.8,-1.89,20260817
GRWRHITECH,0.5,4.19,50.1,2.68,20260817
GSFC,3.19,2.56,54.7,-0.84,20260817
GSLSU,0.49,22.22,84.6,-8.4,20260817
GSPCROP,0.45,22.39,22.1,21.01,20260817
GSS,0.67,,71.3,4.67,20260817
GTL,1.7,6.26,60.5,-3.26,20260817
GTLINFRA,0.73,-1.95,49.7,-9.02,20260817
GTPL,0.89,-12.03,63.6,-11.13,20260817
GUFICBIO,3.14,10.47,50.2,7.82,20260817
GUJALKALI,0.62,18.22,49.3,6.31,20260817
GUJAPOLLO,1.28,1.55,76.4,-2.9,20260817
GUJENERGY,0.83,-1.47,53.2,,20260817
GUJRAFFIA,1.17,6.54,67.2,2.2,20260817
GUJTHEM,0.89,-2.4,58.1,-5.86,20260817
GULFOILLUB,0.29,16.85,52.4,11.24,20260817
GULPOLY,0.22,8.89,50.4,-2.01,20260817
GVPIL,2.06,-8.17,56.0,-14.39,20260817
GVPTECH,0.5,6.77,72.5,2.18,20260817
GVT&D,0.4,-3.65,54.3,-7.16,20260817
GYFTR,0.75,2.43,22.7,,20260817
HAL,1.53,16.87,44.2,11.63,20260817
HALDER,1.08,31.01,28.0,21.51,20260817
HALEOSLABS,0.72,-6.21,74.1,-4.03,20260817
HAPPSTMNDS,1.95,14.67,39.0,15.12,20260817
HAPPYFORGE,1.74,39.39,53.6,36.24,20260817
HARDWYN,0.89,-24.95,50.7,-24.17,20260817
HARIOMPIPE,1.14,-10.9,51.2,-12.7,20260817
HARRMALAYA,1.22,-10.35,71.3,-8.24,20260817
HARSHA,1.74,2.34,49.4,2.11,20260817
HATHWAY,1.26,-1.65,50.0,-4.16,20260817
HATSUN,0.81,7.28,56.7,6.02,20260817
HAVELLS,0.89,13.74,57.8,7.26,20260817
HAVISHA,0.82,19.44,77.9,8.53,20260817
HAWKINCOOK,0.21,-4.1,65.9,-0.91,20260817
HBESD,2.96,3.99,92.7,-0.5,20260817
HBLENGINE,0.92,-6.23,51.0,-10.56,20260817
HBSL,0.88,,88.2,6.91,20260817
HCC,1.24,-8.65,43.0,-12.33,20260817
HCG,0.99,10.69,57.3,8.45,20260817
HCL-INSYS,0.66,-1.81,64.5,-5.55,20260817
HCLTECH,0.36,14.36,53.2,9.0,20260817
HDBFS,0.45,-6.32,59.5,-2.9,20260817
HDFCAMC,0.82,-0.27,67.2,-3.3,20260817
HDFCBANK,0.52,-7.04,64.4,-5.48,20260817
HDFCLIFE,0.92,-1.56,60.9,-3.28,20260817
HEADSUP,1.95,4.75,67.7,-4.02,20260817
HEALTHX,0.5,-7.29,64.4,-6.28,20260817
HECPROJECT,1.64,2.07,63.1,-8.13,20260817
HEG,0.39,17.54,35.8,18.41,20260817
HEIDELBERG,2.18,3.28,63.5,3.16,20260817
HEMIPROP,0.92,1.3,57.7,-2.34,20260817
HERANBA,3.34,-5.51,63.9,-8.09,20260817
HERITGFOOD,0.47,11.11,54.9,8.71,20260817
HEROMOTOCO,0.45,20.06,59.3,11.88,20260817
HESTERBIO,0.1,1.95,50.3,5.8,20260817
HEXATRADEX,0.2,2.26,82.7,-1.48,20260817
HEXT,0.06,2.64,43.2,3.48,20260817
HFCL,0.36,0.6,40.2,7.07,20260817
HGINFRA,1.27,-4.74,46.4,-7.52,20260817
HGM,1.11,-7.54,76.5,-11.14,20260817
HGS,1.08,-2.74,59.8,-2.09,20260817
HIKAL,0.42,-6.44,49.7,-1.55,20260817
HILINFRA,0.45,,57.1,-7.78,20260817
HIMATSEIDE,2.25,-14.67,61.3,-14.14,20260817
HINDALCO,0.59,12.21,48.7,5.88,20260817
HINDCOMPOS,0.55,-5.9,62.9,-4.19,20260817
HINDCON,0.43,,71.1,7.95,20260817
HINDCOPPER,2.99,21.0,29.3,13.55,20260817
HINDOILEXP,0.86,1.21,50.1,-3.62,20260817
HINDPETRO,0.52,-4.34,57.8,-5.56,20260817
HINDUNILVR,0.56,0.7,59.4,-3.85,20260817
HINDWAREAP,3.27,-16.17,63.3,-14.66,20260817
HINDZINC,0.99,11.5,38.2,3.45,20260817
HIRECT,0.36,0.46,33.9,5.19,20260817
HISARMETAL,0.71,2.39,66.4,-0.18,20260817
HITECH,0.67,-6.73,54.8,-9.64,20260817
HLEGLAS,0.6,-25.31,52.2,-20.98,20260817
HLVLTD,3.11,-6.28,75.7,-9.91,20260817
HMAAGRO,4.3,7.42,41.0,4.46,20260817
HNDFDS,1.46,10.64,62.7,8.17,20260817
HOMEFIRST,0.24,-0.9,60.0,0.28,20260817
HONASA,1.25,5.23,44.3,7.14,20260817
HONAUT,0.37,-3.93,57.3,-4.03,20260817
HONDAPOWER,1.78,3.97,63.8,-0.35,20260817
HPAL,0.5,7.69,55.9,1.71,20260817
HPIL,0.22,3.84,73.5,0.98,20260817
HPL,1.29,-7.33,55.1,-10.6,20260817
HSCL,0.51,11.78,41.9,10.32,20260817
HTMEDIA,0.27,0.02,58.6,4.5,20260817
HUBTOWN,0.34,-6.83,63.5,-7.12,20260817
HUDCO,1.0,-3.97,58.4,-7.17,20260817
HUHTAMAKI,0.04,22.71,54.0,18.31,20260817
HYUNDAI,0.72,10.92,51.5,8.23,20260817
IBULLSLTD,0.59,,67.2,72.75,20260817
ICDSLTD,0.77,2.7,77.8,-2.2,20260817
ICEMAKE,1.46,-7.45,64.6,-8.96,20260817
ICICIAMC,1.43,3.61,65.8,-1.92,20260817
ICICIBANK,0.49,2.57,57.4,1.3,20260817
ICICIGI,0.34,2.92,63.6,-5.37,20260817
ICICIPRULI,0.96,2.41,61.2,1.61,20260817
ICIL,0.78,0.91,36.0,-2.48,20260817
ICRA,1.46,-0.64,62.2,-1.79,20260817
IDBI,0.47,-1.16,47.4,-1.19,20260817
IDEA,0.84,1.47,26.5,-0.87,20260817
IDEAFORGE,0.14,,51.0,40.6,20260817
IDFCFIRSTB,0.31,10.05,55.9,5.25,20260817
IEX,0.25,3.22,48.1,0.88,20260817
IFBAGRO,0.12,,,21.02,20260817
IFBIND,0.38,4.66,48.1,4.97,20260817
IFCI,1.9,10.08,26.8,3.3,20260817
IFGLEXPOR,0.34,2.71,49.6,6.18,20260817
IGARASHI,0.17,-0.03,43.0,1.53,20260817
IGCL,0.39,1.88,50.7,3.92,20260817
IGIL,1.38,4.11,53.5,0.74,20260817
IGL,1.22,0.82,43.5,-3.93,20260817
IGPL,1.61,12.33,56.8,4.52,20260817
IIFL,0.36,13.87,54.2,13.17,20260817
IIFLCAPS,0.33,2.0,73.1,-1.3,20260817
IITL,0.99,19.0,16.3,11.07,20260817
IKIO,0.37,-2.42,42.5,7.03,20260817
IKS,0.7,1.0,52.6,2.6,20260817
IMAGICAA,0.48,1.32,52.4,0.68,20260817
IMFA,0.37,5.48,47.3,0.13,20260817
IMPAL,0.67,-0.2,63.1,-1.57,20260817
INA,0.56,-12.34,43.0,-13.55,20260817
INCREDIBLE,0.2,-1.15,84.3,-4.5,20260817
INDBANK,0.7,0.07,68.1,-2.53,20260817
INDGN,0.25,12.71,60.7,7.64,20260817
INDHOTEL,0.37,1.2,63.1,-0.2,20260817
INDIACEM,0.47,-2.68,50.9,-2.88,20260817
INDIAGLYCO,1.04,-4.64,51.6,0.56,20260817
INDIAMART,0.65,-6.32,69.5,-6.6,20260817
INDIANB,0.69,10.25,39.0,4.51,20260817
INDIANCARD,1.33,0.58,75.6,-2.58,20260817
INDIANHUME,0.45,-7.65,55.9,1.15,20260817
INDIASHLTR,0.4,-14.45,50.9,-10.51,20260817
INDIGO,0.4,2.96,45.7,2.28,20260817
INDIGOPNTS,1.46,11.8,45.6,9.7,20260817
INDIQUBE,0.24,7.23,64.0,4.28,20260817
INDNIPPON,0.53,-2.83,47.5,6.25,20260817
INDOBORAX,0.08,-3.32,33.0,3.97,20260817
INDOCO,0.12,-10.4,47.4,-6.35,20260817
INDOFARM,0.56,-9.32,43.2,-4.08,20260817
INDOMIM,0.19,,31.7,,20260817
INDORAMA,0.21,9.85,54.7,8.85,20260817
INDOSTAR,1.72,-6.4,63.7,-2.47,20260817
INDOTECH,0.17,,61.5,75.17,20260817
INDOTHAI,0.02,-63.82,100.0,-63.32,20260817
INDOUS,1.94,1.66,70.7,-2.37,20260817
INDOWIND,0.35,,75.3,-4.59,20260817
INDPRUD,0.54,-2.53,76.6,-3.88,20260817
INDRAMEDCO,0.2,1.57,61.2,-2.14,20260817
INDSWFTLAB,1.75,36.6,27.0,43.08,20260817
INDTERRAIN,0.13,6.27,77.4,-1.21,20260817
INDUSINDBK,0.55,2.48,51.5,2.9,20260817
INDUSTOWER,0.29,-3.55,55.6,-4.2,20260817
INFOBEAN,0.28,-2.16,47.7,-2.61,20260817
INFOMEDIA,1.83,-2.46,82.1,-6.07,20260817
INFY,0.44,8.08,55.8,3.18,20260817
INGERRAND,3.11,-1.5,47.4,1.82,20260817
INNOVACAP,0.58,5.45,39.3,7.37,20260817
INNOVANA,2.86,-7.18,72.9,-5.28,20260817
INNOVISION,0.89,-2.29,68.6,-3.71,20260817
INOXGREEN,0.52,-1.93,,-3.81,20260817
INOXINDIA,0.38,0.58,47.9,1.78,20260817
INOXWIND,2.58,1.93,36.4,-5.04,20260817
INSECTICID,0.53,-3.47,44.8,-6.12,20260817
INTELLECT,0.36,-5.72,55.4,-6.14,20260817
INTENTECH,0.2,-9.2,66.2,-14.19,20260817
INTERARCH,0.85,-3.21,56.1,-4.59,20260817
INTLCONV,1.6,5.27,67.0,1.16,20260817
INVENTURE,0.58,1.67,66.4,-2.17,20260817
IOB,0.7,2.39,48.0,-1.32,20260817
IOC,0.9,0.52,57.1,-1.77,20260817
IOLCP,0.67,1.07,40.3,8.16,20260817
IONEXCHANG,0.4,-11.34,50.2,-6.53,20260817
IPCALAB,11.25,2.47,35.3,9.29,20260817
IPL,0.78,-7.75,59.4,-8.91,20260817
IRB,0.53,-1.86,53.2,-5.89,20260817
IRCON,0.67,-1.72,44.8,-5.16,20260817
IRCTC,0.67,2.78,46.9,-1.5,20260817
IREDA,0.65,-0.52,36.9,-4.81,20260817
IRFC,1.05,1.23,45.1,-4.4,20260817
IRIS,1.33,0.65,69.0,-1.54,20260817
IRISDOREME,1.03,27.29,32.7,27.4,20260817
IRMENERGY,0.45,13.9,44.5,8.54,20260817
ISFT,1.9,8.5,25.7,3.63,20260817
ISGEC,4.96,-13.49,61.1,-14.74,20260817
ISHANCH,0.75,-8.31,71.4,-13.46,20260817
ITC,0.82,0.51,60.5,-4.0,20260817
ITCHOTELS,0.56,-1.69,59.1,-1.52,20260817
ITDC,0.24,-4.77,20.0,3.91,20260817
ITI,0.37,-0.24,38.8,-4.42,20260817
IVALUE,0.59,-6.86,67.3,0.98,20260817
IVC,0.6,1.7,77.9,0.36,20260817
IWP,1.14,7.45,82.2,3.26,20260817
IXIGO,0.3,-10.49,41.9,-9.97,20260817
IZMO,1.38,-15.39,48.8,-9.95,20260817
J&KBANK,0.93,-13.97,42.7,-9.93,20260817
JAGRAN,1.14,0.93,66.9,-2.69,20260817
JAGSNPHARM,0.11,5.71,52.4,3.49,20260817
JAIBALAJI,0.34,,70.7,0.63,20260817
JAICORPLTD,0.84,-3.37,45.9,-7.32,20260817
JAINREC,0.5,-9.35,39.0,-11.0,20260817
JAIPURKURT,0.07,1.94,81.2,-1.26,20260817
JAMNAAUTO,0.39,-5.21,47.6,-6.28,20260817
JARO,1.9,-6.97,46.1,-10.08,20260817
JASH,0.54,-5.75,50.1,-4.51,20260817
JAYAGROGN,0.31,1.01,70.4,-0.29,20260817
JAYBARMARU,0.36,-26.18,49.2,-20.78,20260817
JAYKAY,1.74,-8.85,50.9,-10.95,20260817
JAYNECOIND,0.58,-1.23,45.1,-0.76,20260817
JAYSREETEA,2.84,11.3,64.2,3.39,20260817
JBMA,0.81,-5.73,43.9,-7.8,20260817
JETFREIGHT,0.28,-5.58,70.1,1.61,20260817
JGCHEM,0.43,38.24,32.4,26.0,20260817
JHS,0.56,16.96,61.2,8.61,20260817
JINDALPHOT,0.96,-3.41,66.4,-4.24,20260817
JINDALPOLY,2.79,0.47,39.1,1.33,20260817
JINDALSAW,0.38,3.65,46.1,4.28,20260817
JINDALSTEL,0.71,11.34,42.1,3.03,20260817
JINDRILL,0.49,1.2,42.8,-0.95,20260817
JINDWORLD,0.07,13.91,18.8,7.58,20260817
JIOFIN,0.58,8.75,41.7,2.88,20260817
JISLDVREQS,0.33,-2.82,55.5,-6.87,20260817
JISLJALEQS,1.27,-7.75,58.2,-11.91,20260817
JITFINFRA,1.7,-12.09,61.4,-6.66,20260817
JKCEMENT,0.92,1.14,52.6,-1.06,20260817
JKIL,1.91,6.88,61.4,3.71,20260817
JKIPL,0.15,,71.7,51.65,20260817
JKLAKSHMI,0.36,-0.57,58.1,-3.46,20260817
JKPAPER,0.19,5.76,49.5,3.28,20260817
JKTYRE,0.43,-6.32,53.0,-3.71,20260817
JLHL,0.53,-76.95,55.0,6.0,20260817
JMA,1.78,2.87,70.9,-0.83,20260817
JMFINANCIL,0.57,4.4,49.7,2.38,20260817
JNKINDIA,1.3,-1.36,43.1,1.28,20260817
JNPR,0.1,,30.1,,20260817
JPOLYINVST,0.21,-4.95,76.2,-6.33,20260817
JPPOWER,0.43,5.12,38.7,-1.58,20260817
JSFB,0.87,13.05,49.3,8.59,20260817
JSL,0.94,3.65,60.5,4.23,20260817
JSLL,0.94,-7.75,46.5,-9.89,20260817
JSWCEMENT,0.87,-7.55,53.6,-4.2,20260817
JSWDULUX,1.0,4.7,48.5,1.44,20260817
JSWENERGY,0.71,5.0,47.7,-0.87,20260817
JSWHL,0.37,8.14,51.3,0.03,20260817
JSWINFRA,0.71,1.62,60.9,4.1,20260817
JSWSTEEL,0.84,7.42,60.5,1.3,20260817
JTEKTINDIA,0.58,-3.64,44.6,-4.71,20260817
JTLIND,0.38,1.23,48.8,-1.59,20260817
JUBLCPL,0.6,19.77,35.3,19.63,20260817
JUBLFOOD,0.54,23.65,39.0,16.4,20260817
JUBLINGREA,0.29,-0.61,57.0,5.33,20260817
JUBLPHARMA,1.44,-12.29,44.4,-10.03,20260817
JUNIPER,0.5,1.29,49.7,-2.36,20260817
JUSTDIAL,0.21,-11.48,42.8,7.15,20260817
JWL,0.65,1.89,36.2,-3.45,20260817
JYOTHYLAB,5.5,9.72,42.1,6.72,20260817
JYOTICNC,0.96,10.14,49.8,10.99,20260817
JYOTISTRUC,0.71,-3.15,54.2,-7.79,20260817
KABRAEXTRU,0.39,60.38,41.2,55.41,20260817
KAJARIACER,1.14,3.56,61.4,4.87,20260817
KAKATCEM,0.05,,87.3,1.1,20260817
