run_date,universe_size,n_factors,common_days,mean_daily_r2,portfolio_value,n_positions_modeled,total_vol_annualized_pct,systematic_vol_pct,idiosyncratic_vol_pct,systematic_share_pct
2026-07-09,473,29,250,0.1399,,0,,,,
2026-07-10,474,29,250,0.1405,,0,,,,
2026-07-12,474,29,250,0.1405,,0,,,,
2026-07-13,474,29,250,0.1409,,0,,,,
2026-07-15,474,29,250,0.1414,,0,,,,
2026-07-24,473,29,250,0.1393,,0,,,,
2026-07-31,474,29,250,0.1397,,0,,,,
2026-08-03,474,29,250,0.1405,,0,,,,
