order_id,fill_date,symbol,action,filled_qty,avg_fill_price,order_type,paper,arrival_price,vwap_hlc3,day_close,slip_arrival_bps,slip_vwap_bps,slip_close_bps,cost_arrival_inr,cost_vwap_inr,benchmark_status
5F7D3CB2,2026-07-02,GOKEX,BUY,5,873.25,MARKET,True,,881.65,876.85,,-95.3,-41.1,,-42.0,NO_ARRIVAL
3EF06CA1,2026-07-02,RELIANCE,BUY,2,1293.9,MARKET,True,,1305.23,1303.5,,-86.8,-73.6,,-22.67,NO_ARRIVAL
B7856B50,2026-07-02,GOKEX,BUY,3,873.25,MARKET,True,,881.65,876.85,,-95.3,-41.1,,-25.2,NO_ARRIVAL
