symbol,close_now,high_52w,low_52w,prox_52w_high,prox_52w_low,dma_20,dma_50,dma_200,vs_dma_20,vs_dma_50,vs_dma_200,trend_signal,vol_20d_avg,rsi,rsi_signal,macd_line,macd_signal,macd_hist,macd_cross,atr_14,atr_pct,bb_upper,bb_lower,bb_mid,bb_pct,bb_width,bb_signal,bb_squeeze,obv_signal,adx,adx_plus_di,adx_minus_di,adx_strength,adx_direction,as_of_date
ARIHANTSUP,257.6,465.0,188.8,-44.6,36.44,259.51,260.35,276.16,-0.74,-1.06,-6.72,DOWNTREND,12538.0,48.0,NEUTRAL,-1.5424,-0.5779,-0.9645,BEARISH,9.2022,3.57,267.93,251.09,259.51,38.66,6.49,MID_BAND,False,DISTRIBUTING,16.28,16.22,20.57,RANGING,BEARISH,2026-08-17
ARIS,136.25,159.0,82.18,-14.31,65.79,129.46,120.07,,5.24,13.48,,INSUFFICIENT_DATA,1508673.0,66.61,BULLISH,4.9964,4.6108,0.3857,BULLISH,5.411,3.97,140.79,118.13,129.46,79.95,17.51,MID_BAND,False,ACCUMULATING,44.52,20.35,8.65,STRONG_TREND,BULLISH,2026-08-17
ARKADE,129.99,188.25,92.62,-30.95,40.35,136.93,129.21,126.17,-5.07,0.6,3.03,UPTREND,425557.0,43.57,BEARISH,0.5162,1.9861,-1.4699,BEARISH,4.8802,3.75,144.27,129.59,136.93,2.74,10.72,NEAR_LOWER,False,DISTRIBUTING,30.37,21.19,25.6,STRONG_TREND,BEARISH,2026-08-17
ARMANFIN,1962.9,2158.6,1301.0,-9.07,50.88,1974.31,1829.72,1635.58,-0.58,7.28,20.01,UPTREND,57318.0,53.38,NEUTRAL,41.8812,53.3952,-11.5141,BEARISH,83.4755,4.25,2063.68,1884.93,1974.3,43.62,9.05,MID_BAND,False,ACCUMULATING,33.0,26.69,17.99,STRONG_TREND,BULLISH,2026-08-17
AROGRANITE,24.57,45.63,18.67,-46.15,31.6,25.23,25.34,27.12,-2.62,-3.04,-9.4,DOWNTREND,12117.0,43.22,BEARISH,-0.0958,-0.0442,-0.0516,BEARISH,1.1844,4.82,26.0,24.47,25.23,6.84,6.08,NEAR_LOWER,False,DISTRIBUTING,11.89,9.9,18.93,RANGING,BEARISH,2026-08-17
ARSSBL,509.2,794.85,416.0,-35.94,22.4,509.69,534.05,563.82,-0.1,-4.65,-9.69,DOWNTREND,121024.0,43.93,BEARISH,-9.0953,-10.0705,0.9752,BULLISH,14.2521,2.8,520.98,498.39,509.69,47.84,4.43,SQUEEZE,True,DISTRIBUTING,29.64,14.25,28.6,MODERATE_TREND,BEARISH,2026-08-17
ARTEMISMED,314.4,325.9,203.35,-3.53,54.61,299.99,279.33,258.57,4.8,12.56,21.59,STRONG_UPTREND,478994.0,64.69,BULLISH,11.5544,11.1104,0.4441,BULLISH,11.1652,3.55,335.36,264.61,299.99,70.37,23.59,MID_BAND,False,ACCUMULATING,43.2,25.23,11.27,STRONG_TREND,BULLISH,2026-08-17
ARTNIRMAN,42.23,66.97,29.39,-36.94,43.69,40.25,40.41,,4.92,4.5,,INSUFFICIENT_DATA,1930.0,56.92,BULLISH,0.4664,0.2232,0.2432,BULLISH,2.3843,5.65,43.41,37.09,40.25,81.34,15.71,MID_BAND,False,ACCUMULATING,19.87,23.0,11.65,RANGING,BULLISH,2026-08-17
ARVEE,165.55,290.78,129.11,-43.07,28.22,159.97,162.4,,3.49,1.94,,INSUFFICIENT_DATA,5948.0,54.04,NEUTRAL,1.992,0.5563,1.4357,BULLISH,9.2767,5.6,174.26,145.68,159.97,69.51,17.87,MID_BAND,False,ACCUMULATING,29.08,28.31,17.35,MODERATE_TREND,BULLISH,2026-08-17
ARVIND,552.3,600.0,274.8,-7.95,100.98,537.93,532.39,406.43,2.67,3.74,35.89,STRONG_UPTREND,623897.0,54.15,NEUTRAL,9.923,7.6117,2.3113,BULLISH,22.3169,4.04,579.71,496.15,537.93,67.2,15.53,MID_BAND,False,ACCUMULATING,19.36,19.92,16.5,RANGING,BULLISH,2026-08-17
ARVINDFASN,444.15,579.0,366.2,-23.29,21.29,456.02,463.15,462.97,-2.6,-4.1,-4.07,DOWNTREND,368091.0,39.85,BEARISH,-4.8688,-3.9433,-0.9254,BEARISH,13.0698,2.94,476.57,435.47,456.02,21.11,9.01,MID_BAND,False,DISTRIBUTING,19.14,11.35,21.62,RANGING,BEARISH,2026-08-17
ARVSMART,670.35,693.8,486.8,-3.38,37.71,618.68,607.47,583.45,8.35,10.35,14.89,STRONG_UPTREND,460421.0,66.23,BULLISH,16.4351,9.8532,6.582,BULLISH,22.9129,3.42,678.8,558.57,618.68,92.97,19.43,NEAR_UPPER,False,ACCUMULATING,34.22,35.02,10.28,STRONG_TREND,BULLISH,2026-08-17
ASAHIINDIA,931.2,1074.0,775.1,-13.3,20.14,895.81,886.29,910.01,3.95,5.07,2.33,STRONG_UPTREND,194056.0,60.1,BULLISH,9.5576,6.1812,3.3764,BULLISH,26.3546,2.83,935.73,855.9,895.81,94.33,8.91,NEAR_UPPER,False,ACCUMULATING,18.61,30.47,14.77,RANGING,BULLISH,2026-08-17
ASAL,505.95,654.65,374.5,-22.71,35.1,510.93,512.05,481.94,-0.97,-1.19,4.98,CONSOLIDATING,31937.0,48.25,NEUTRAL,-3.7312,-2.8773,-0.8539,BEARISH,18.1356,3.58,544.63,477.23,510.93,42.61,13.19,MID_BAND,False,DISTRIBUTING,14.12,21.58,14.49,RANGING,BULLISH,2026-08-17
ASALCBR,733.25,1277.0,660.65,-42.58,10.99,761.73,806.98,850.09,-3.74,-9.14,-13.74,DOWNTREND,42288.0,38.26,BEARISH,-25.4148,-23.1038,-2.3111,BEARISH,28.3958,3.87,821.56,701.89,761.73,26.2,15.71,MID_BAND,False,DISTRIBUTING,16.92,19.85,21.77,RANGING,BEARISH,2026-08-17
ASHAPURMIN,612.2,924.9,455.1,-33.81,34.52,682.76,680.14,662.38,-10.33,-9.99,-7.58,DOWNTREND,643106.0,35.46,BEARISH,-15.7763,-2.8165,-12.9598,BEARISH,28.3788,4.64,767.09,598.43,682.76,8.17,24.7,NEAR_LOWER,False,DISTRIBUTING,20.77,15.54,32.41,MODERATE_TREND,BEARISH,2026-08-17
ASHIANA,365.0,435.9,269.45,-16.27,35.46,381.43,378.98,330.67,-4.31,-3.69,10.38,CONSOLIDATING,450978.0,39.27,BEARISH,-2.9743,-0.1536,-2.8207,BEARISH,13.5259,3.71,399.28,363.58,381.43,3.97,9.36,NEAR_LOWER,False,DISTRIBUTING,26.3,20.59,19.75,MODERATE_TREND,BULLISH,2026-08-17
