symbol,close_now,high_52w,low_52w,prox_52w_high,prox_52w_low,dma_20,dma_50,dma_200,vs_dma_20,vs_dma_50,vs_dma_200,trend_signal,vol_20d_avg,rsi,rsi_signal,macd_line,macd_signal,macd_hist,macd_cross,atr_14,atr_pct,bb_upper,bb_lower,bb_mid,bb_pct,bb_width,bb_signal,bb_squeeze,obv_signal,adx,adx_plus_di,adx_minus_di,adx_strength,adx_direction,as_of_date
CENTENKA,572.6,671.65,371.2,-14.75,54.26,592.92,549.53,467.09,-3.43,4.2,22.59,UPTREND,339130.0,47.41,NEUTRAL,11.3258,18.3041,-6.9783,BEARISH,22.1627,3.87,638.3,547.54,592.92,27.61,15.31,MID_BAND,False,ACCUMULATING,54.24,26.43,18.17,STRONG_TREND,BULLISH,2026-08-17
CENTEXT,21.93,34.75,15.67,-36.89,39.95,20.65,19.92,,6.2,10.09,,INSUFFICIENT_DATA,511771.0,58.5,BULLISH,0.7003,0.6491,0.0512,BULLISH,1.2154,5.54,24.33,16.96,20.65,67.39,35.69,MID_BAND,False,ACCUMULATING,26.18,20.67,17.45,MODERATE_TREND,BULLISH,2026-08-17
CENTRALBK,31.27,40.92,29.32,-23.58,6.65,31.24,31.81,35.06,0.1,-1.7,-10.81,DOWNTREND,5785699.0,46.58,NEUTRAL,-0.1728,-0.2231,0.0503,BULLISH,0.5203,1.66,31.75,30.74,31.24,52.62,3.24,SQUEEZE,True,ACCUMULATING,11.05,19.06,21.79,RANGING,BEARISH,2026-08-17
CENTRUM,24.3,38.5,19.66,-36.88,23.6,24.27,23.72,25.66,0.12,2.45,-5.3,DOWNTREND,443007.0,49.2,NEUTRAL,0.4318,0.3724,0.0594,BULLISH,1.3706,5.64,26.55,21.98,24.27,50.73,18.85,MID_BAND,False,ACCUMULATING,31.95,25.46,16.34,STRONG_TREND,BULLISH,2026-08-17
CENTUM,3362.6,3968.8,2044.2,-15.27,64.49,3649.53,3619.36,2872.02,-7.86,-7.09,17.08,CONSOLIDATING,46537.0,35.65,BEARISH,11.5793,40.3281,-28.7487,BEARISH,159.2362,4.74,3948.55,3350.51,3649.53,2.02,16.39,NEAR_LOWER,False,ACCUMULATING,22.14,15.15,25.98,MODERATE_TREND,BEARISH,2026-08-17
CENTURYPLY,750.7,859.0,618.5,-12.61,21.37,778.44,769.32,766.76,-3.56,-2.42,-2.09,DOWNTREND,93030.0,37.17,BEARISH,-4.3429,-0.1409,-4.202,BEARISH,20.5818,2.74,805.33,751.56,778.44,-1.59,6.91,NEAR_LOWER,False,ACCUMULATING,19.27,18.02,18.29,RANGING,BEARISH,2026-08-17
CERA,5787.0,6740.0,4461.1,-14.14,29.72,6099.0,6181.1,5458.27,-5.12,-6.38,6.02,CONSOLIDATING,13108.0,34.61,BEARISH,-76.6525,-32.2297,-44.4228,BEARISH,165.1666,2.85,6416.16,5781.84,6099.0,0.81,10.4,NEAR_LOWER,False,DISTRIBUTING,17.85,18.37,27.85,RANGING,BEARISH,2026-08-17
CESC,170.22,204.5,138.12,-16.76,23.24,164.39,166.45,165.58,3.55,2.26,2.8,STRONG_UPTREND,1298883.0,61.04,BULLISH,-0.0883,-0.8926,0.8044,BULLISH,3.7491,2.2,168.49,160.29,164.39,121.17,4.98,NEAR_UPPER,False,ACCUMULATING,14.71,27.54,14.48,RANGING,BULLISH,2026-08-17
CEWATER,275.0,556.4,235.0,-50.58,17.02,282.86,303.96,340.55,-2.78,-9.53,-19.25,DOWNTREND,93501.0,41.23,BEARISH,-11.3644,-10.5094,-0.8551,BEARISH,12.5175,4.55,308.74,256.97,282.86,34.82,18.3,SQUEEZE,True,DISTRIBUTING,12.36,23.82,23.75,RANGING,BULLISH,2026-08-17
CGCL,226.24,264.53,151.1,-14.47,49.73,233.7,230.76,192.95,-3.19,-1.96,17.25,CONSOLIDATING,3759681.0,44.46,BEARISH,-1.4211,0.0542,-1.4753,BEARISH,8.9175,3.94,249.17,218.23,233.7,25.88,13.24,MID_BAND,False,DISTRIBUTING,34.45,20.68,20.01,STRONG_TREND,BULLISH,2026-08-17
CGPOWER,898.8,980.9,525.5,-8.37,71.04,875.01,907.35,762.79,2.72,-0.94,17.83,CONSOLIDATING,3753816.0,53.71,NEUTRAL,-3.2101,-8.2162,5.0062,BULLISH,23.4687,2.61,925.08,824.94,875.01,73.75,11.44,MID_BAND,False,ACCUMULATING,19.17,21.47,24.18,RANGING,BEARISH,2026-08-17
CHALET,844.7,1070.1,691.35,-21.06,22.18,831.21,817.12,820.04,1.62,3.38,3.01,STRONG_UPTREND,102302.0,55.01,BULLISH,2.5492,3.837,-1.2878,BEARISH,23.5734,2.79,862.29,800.12,831.21,71.7,7.48,MID_BAND,False,DISTRIBUTING,13.89,24.09,22.27,RANGING,BULLISH,2026-08-17
CHAMBLFERT,439.05,580.7,399.75,-24.39,9.83,444.71,458.61,450.33,-1.27,-4.27,-2.5,DOWNTREND,407976.0,41.22,BEARISH,-3.3323,-3.1021,-0.2302,BEARISH_CROSS,8.9085,2.03,461.62,427.79,444.7,33.29,7.61,MID_BAND,False,ACCUMULATING,15.35,18.59,26.07,RANGING,BEARISH,2026-08-17
CHEMBOND,172.41,209.99,105.15,-17.9,63.97,161.66,144.74,,6.65,19.12,,INSUFFICIENT_DATA,18953.0,57.18,BULLISH,11.681,9.272,2.409,BULLISH,12.4157,7.2,197.75,125.57,161.66,64.9,44.65,MID_BAND,False,ACCUMULATING,34.83,28.3,16.07,STRONG_TREND,BULLISH,2026-08-17
CHEMFAB,366.95,703.0,290.35,-47.8,26.38,412.39,379.74,,-11.02,-3.37,,INSUFFICIENT_DATA,14022.0,39.25,BEARISH,10.0552,14.2156,-4.1604,BEARISH_CROSS,26.7015,7.28,457.51,367.27,412.39,-0.35,21.88,NEAR_LOWER,False,ACCUMULATING,33.48,25.65,26.38,STRONG_TREND,BEARISH,2026-08-17
CHEMPLASTS,181.73,451.3,170.02,-59.73,6.89,192.78,199.29,244.55,-5.73,-8.81,-25.69,DOWNTREND,635571.0,40.43,BEARISH,-6.1896,-5.2135,-0.9761,BEARISH,8.1945,4.51,213.83,171.74,192.78,23.74,21.83,MID_BAND,False,ACCUMULATING,15.89,20.22,22.54,RANGING,BEARISH,2026-08-17
CHENNPETRO,1382.4,1449.0,639.8,-4.6,116.07,1286.27,1204.93,1019.2,7.47,14.73,35.64,STRONG_UPTREND,2844306.0,60.68,BULLISH,48.2474,42.8534,5.3941,BULLISH,71.6885,5.19,1422.07,1150.46,1286.26,85.4,21.12,MID_BAND,False,ACCUMULATING,25.23,30.36,16.88,MODERATE_TREND,BULLISH,2026-08-17
CHEVIOT,1161.5,1370.5,898.0,-15.25,29.34,1153.4,1129.42,1084.45,0.7,2.84,7.1,STRONG_UPTREND,8485.0,53.17,NEUTRAL,8.6579,9.0087,-0.3508,BEARISH,39.7109,3.42,1201.43,1105.37,1153.4,58.43,8.33,MID_BAND,False,ACCUMULATING,19.57,29.99,17.61,RANGING,BULLISH,2026-08-17
CHOICEIN,803.8,860.5,568.7,-6.59,41.34,814.92,774.44,742.06,-1.36,3.79,8.32,UPTREND,530015.0,49.22,NEUTRAL,9.2299,14.5837,-5.3538,BEARISH,16.4684,2.05,844.44,785.4,814.92,31.16,7.24,MID_BAND,False,ACCUMULATING,23.55,21.14,20.85,MODERATE_TREND,BULLISH,2026-08-17
CHOLAFIN,1884.7,1952.5,1299.4,-3.47,45.04,1840.08,1769.25,1660.61,2.42,6.53,13.49,STRONG_UPTREND,1623955.0,56.28,BULLISH,42.3459,42.2558,0.09,BULLISH,50.6152,2.69,1992.58,1687.59,1840.08,64.63,16.57,MID_BAND,False,ACCUMULATING,20.31,23.53,17.2,MODERATE_TREND,BULLISH,2026-08-17
CHOLAHLDNG,1576.4,2064.0,1305.0,-23.62,20.8,1562.44,1581.65,1661.56,0.89,-0.33,-5.13,DOWNTREND,234942.0,49.14,NEUTRAL,2.3101,-0.8214,3.1315,BULLISH,59.3672,3.77,1650.85,1474.02,1562.43,57.9,11.32,MID_BAND,False,ACCUMULATING,21.8,18.97,31.15,MODERATE_TREND,BEARISH,2026-08-17
CIEINDIA,411.3,526.0,381.1,-21.81,7.92,418.14,444.04,442.14,-1.64,-7.37,-6.98,DOWNTREND,804393.0,38.83,BEARISH,-11.2214,-12.0056,0.7842,BULLISH,11.1323,2.71,455.95,380.34,418.14,40.95,18.08,MID_BAND,False,DISTRIBUTING,31.6,12.19,23.71,STRONG_TREND,BEARISH,2026-08-17
CIFL,20.94,39.69,19.56,-47.24,7.06,21.06,22.46,28.36,-0.57,-6.77,-26.16,DOWNTREND,101185.0,40.11,BEARISH,-0.2405,-0.3667,0.1262,BULLISH,1.1482,5.48,22.31,19.81,21.06,45.34,11.88,SQUEEZE,True,ACCUMULATING,25.79,16.21,12.74,MODERATE_TREND,BULLISH,2026-08-17
CINELINE,88.49,97.4,73.35,-9.15,20.64,85.98,81.85,84.28,2.92,8.11,5.0,STRONG_UPTREND,31178.0,58.64,BULLISH,2.48,2.3871,0.0929,BULLISH,3.3491,3.78,95.16,76.8,85.98,63.68,21.34,MID_BAND,False,ACCUMULATING,47.8,25.41,9.7,STRONG_TREND,BULLISH,2026-08-17
CINEVISTA,14.8,22.8,12.16,-35.09,21.71,15.01,15.47,15.55,-1.4,-4.33,-4.82,DOWNTREND,12643.0,42.73,BEARISH,-0.1972,-0.2032,0.006,BULLISH,0.665,4.49,15.45,14.56,15.0,26.71,5.87,MID_BAND,False,DISTRIBUTING,15.08,11.71,12.97,RANGING,BEARISH,2026-08-17
CIPLA,1431.5,1673.0,1165.7,-14.44,22.8,1449.35,1431.2,1390.54,-1.23,0.02,2.95,UPTREND,1322377.0,44.47,BEARISH,6.3656,9.9419,-3.5763,BEARISH,25.1933,1.76,1499.94,1398.77,1449.36,32.35,6.98,MID_BAND,False,ACCUMULATING,21.56,23.62,20.03,MODERATE_TREND,BULLISH,2026-08-17
CLEAN,840.0,1217.9,652.0,-31.03,28.83,769.69,771.65,800.2,9.13,8.86,4.97,STRONG_UPTREND,555254.0,67.41,BULLISH,17.9085,8.2178,9.6908,BULLISH,25.3951,3.02,848.18,691.2,769.69,94.79,20.4,NEAR_UPPER,False,ACCUMULATING,25.56,29.55,10.96,MODERATE_TREND,BULLISH,2026-08-17
CLEANMAX,1239.9,1536.0,727.1,-19.28,70.53,1333.14,1322.31,,-6.99,-6.23,,INSUFFICIENT_DATA,181040.0,40.35,BEARISH,-16.7227,-2.0902,-14.6324,BEARISH,60.5595,4.88,1457.07,1209.22,1333.14,12.38,18.59,MID_BAND,False,ACCUMULATING,12.68,17.93,21.98,RANGING,BEARISH,2026-08-17
CLSEL,281.6,321.0,203.75,-12.27,38.21,282.55,284.37,267.23,-0.34,-0.97,5.38,CONSOLIDATING,70227.0,48.82,NEUTRAL,-0.5829,-0.1796,-0.4032,BEARISH,9.9141,3.52,293.83,271.27,282.55,45.8,7.98,SQUEEZE,True,DISTRIBUTING,13.58,19.67,23.47,RANGING,BEARISH,2026-08-17
CMLL,515.35,624.4,463.35,-17.46,11.22,,,,,,,INSUFFICIENT_DATA,5385726.0,,,,,,,,,,,,,,,False,,,,,,,2026-08-17
CMPDI,235.18,283.69,150.16,-17.1,56.62,246.71,251.42,,-4.67,-6.46,,INSUFFICIENT_DATA,2247989.0,39.63,BEARISH,-3.4661,-2.2796,-1.1865,BEARISH,9.3088,3.96,261.22,232.21,246.71,10.24,11.76,MID_BAND,False,DISTRIBUTING,12.16,16.2,24.57,RANGING,BEARISH,2026-08-17
CMRGREEN,214.92,268.96,212.0,-20.09,1.38,219.66,,,-2.16,,,INSUFFICIENT_DATA,821998.0,41.23,BEARISH,-3.3664,-3.3042,-0.0622,BEARISH_CROSS,8.561,3.98,229.84,209.48,219.66,26.72,9.27,MID_BAND,False,ACCUMULATING,11.2,16.27,19.84,RANGING,BEARISH,2026-08-17
CMSINFO,254.35,432.85,252.3,-41.24,0.81,270.58,278.33,308.12,-6.0,-8.62,-17.45,DOWNTREND,664077.0,39.09,BEARISH,-4.3995,-3.1748,-1.2247,BEARISH,10.0413,3.95,284.86,256.31,270.58,-6.86,10.55,NEAR_LOWER,False,DISTRIBUTING,17.72,14.57,27.78,RANGING,BEARISH,2026-08-17
CNL,1252.1,1260.0,525.0,-0.63,138.5,1064.8,892.67,,17.59,40.26,,INSUFFICIENT_DATA,504760.0,76.99,OVERBOUGHT,97.6896,84.383,13.3066,BULLISH,58.9438,4.71,1281.29,848.32,1064.8,93.26,40.66,NEAR_UPPER,False,ACCUMULATING,64.88,35.07,5.09,STRONG_TREND,BULLISH,2026-08-17
COALINDIA,408.45,491.25,368.65,-16.85,10.8,416.6,430.95,430.01,-1.96,-5.22,-5.01,DOWNTREND,6937821.0,33.54,BEARISH,-6.4669,-6.541,0.0741,BULLISH,5.9212,1.45,431.75,401.46,416.6,23.08,7.27,MID_BAND,False,ACCUMULATING,30.28,10.22,24.96,STRONG_TREND,BEARISH,2026-08-17
COASTCORP,41.75,66.7,30.01,-37.41,39.12,46.95,49.0,,-11.08,-14.8,,INSUFFICIENT_DATA,202887.0,26.86,OVERSOLD,-2.5156,-1.8847,-0.6309,BEARISH,2.9283,7.01,54.68,39.21,46.95,16.4,32.94,MID_BAND,False,DISTRIBUTING,18.17,16.9,26.42,RANGING,BEARISH,2026-08-17
COCHINSHIP,1457.8,1979.9,1187.0,-26.37,22.81,1442.33,1443.65,1517.36,1.07,0.98,-3.93,DOWNTREND,1060681.0,50.28,NEUTRAL,15.9364,9.5712,6.3652,BULLISH,36.699,2.52,1541.62,1343.04,1442.33,57.79,13.77,MID_BAND,False,ACCUMULATING,19.49,22.48,25.06,RANGING,BEARISH,2026-08-17
COCKERILL,8419.0,10871.5,4955.0,-22.56,69.91,9073.88,9166.89,,-7.22,-8.16,,INSUFFICIENT_DATA,13742.0,40.66,BEARISH,68.3488,123.6085,-55.2598,BEARISH_CROSS,523.5968,6.22,9995.3,8152.45,9073.88,14.46,20.31,MID_BAND,False,ACCUMULATING,21.68,26.2,27.21,MODERATE_TREND,BEARISH,2026-08-17
COFORGE,1806.0,1989.7,1008.1,-9.23,79.15,1700.42,1560.91,1499.96,6.21,15.7,20.4,STRONG_UPTREND,3208777.0,68.62,BULLISH,82.3276,80.0695,2.2581,BULLISH,48.3807,2.68,1968.87,1431.97,1700.42,69.66,31.57,MID_BAND,False,ACCUMULATING,32.19,31.52,13.72,STRONG_TREND,BULLISH,2026-08-17
COHANCE,444.75,1038.9,266.7,-57.19,66.76,435.38,437.45,427.12,2.15,1.67,4.13,STRONG_UPTREND,943903.0,53.52,NEUTRAL,2.5564,1.1015,1.4549,BULLISH,17.4944,3.93,458.71,412.05,435.38,70.08,10.72,MID_BAND,False,ACCUMULATING,31.07,32.02,10.82,STRONG_TREND,BULLISH,2026-08-17
COLPAL,1964.0,2504.0,1782.0,-21.57,10.21,2056.62,2042.63,2081.75,-4.5,-3.85,-5.66,DOWNTREND,373260.0,35.93,BEARISH,-20.7722,-8.9014,-11.8708,BEARISH,40.8628,2.08,2169.62,1943.61,2056.62,9.02,10.99,NEAR_LOWER,False,ACCUMULATING,14.15,15.0,22.02,RANGING,BEARISH,2026-08-17
COMFINTE,6.53,9.19,5.21,-28.94,25.34,6.22,5.99,,4.98,9.02,,INSUFFICIENT_DATA,573903.0,57.36,BULLISH,0.197,0.1703,0.0267,BULLISH,0.3763,5.76,7.32,5.11,6.22,64.2,35.51,MID_BAND,False,ACCUMULATING,25.02,26.07,13.01,MODERATE_TREND,BULLISH,2026-08-17
COMPUSOFT,13.29,20.75,12.0,-35.95,10.75,13.23,13.32,14.35,0.45,-0.23,-7.39,DOWNTREND,26215.0,51.67,NEUTRAL,-0.0301,-0.0403,0.0102,BULLISH,0.4009,3.02,13.5,12.97,13.23,60.93,3.98,MID_BAND,False,DISTRIBUTING,12.54,13.42,11.29,RANGING,BULLISH,2026-08-17
COMSYN,281.69,298.0,133.57,-5.47,110.89,222.07,194.96,,26.85,44.49,,INSUFFICIENT_DATA,1609976.0,77.48,OVERBOUGHT,25.7313,18.4353,7.296,BULLISH,18.2176,6.47,300.96,143.19,222.07,87.79,71.05,MID_BAND,False,ACCUMULATING,60.78,39.83,5.35,STRONG_TREND,BULLISH,2026-08-17
CONCOR,524.5,569.8,421.45,-7.95,24.45,511.26,486.59,494.02,2.59,7.79,6.17,STRONG_UPTREND,2458150.0,60.26,BULLISH,9.8216,9.5662,0.2554,BULLISH,13.4184,2.56,544.88,477.63,511.26,69.69,13.15,MID_BAND,False,ACCUMULATING,22.04,32.48,20.08,MODERATE_TREND,BULLISH,2026-08-17
CONCORDBIO,1515.0,1730.0,987.0,-12.43,53.5,1369.81,1334.81,1247.99,10.6,13.5,21.4,STRONG_UPTREND,189012.0,73.53,OVERBOUGHT,45.4129,34.091,11.3219,BULLISH,52.4539,3.46,1526.62,1213.0,1369.81,96.29,22.9,NEAR_UPPER,False,ACCUMULATING,27.15,33.54,11.51,MODERATE_TREND,BULLISH,2026-08-17
CONFIPET,72.55,86.4,28.06,-16.03,158.55,77.98,74.87,50.49,-6.96,-3.1,43.69,CONSOLIDATING,3494781.0,42.37,BEARISH,0.0234,1.2842,-1.2607,BEARISH,4.2629,5.88,85.11,70.84,77.98,11.96,18.3,MID_BAND,False,DISTRIBUTING,18.16,18.22,21.67,RANGING,BEARISH,2026-08-17
CONTROLPR,569.7,899.0,517.0,-36.63,10.19,583.77,615.86,649.72,-2.41,-7.5,-12.32,DOWNTREND,82008.0,40.61,BEARISH,-14.5499,-15.7286,1.1787,BULLISH,18.5906,3.26,631.09,536.44,583.76,35.14,16.21,MID_BAND,False,DISTRIBUTING,23.12,18.0,19.06,MODERATE_TREND,BEARISH,2026-08-17
CORALFINAC,34.28,50.9,25.01,-32.65,37.07,33.01,32.69,34.58,3.85,4.86,-0.87,DOWNTREND,138483.0,59.09,BULLISH,0.2178,0.161,0.0568,BULLISH_CROSS,2.0918,6.1,34.59,31.43,33.01,90.17,9.57,NEAR_UPPER,True,ACCUMULATING,32.52,16.94,8.56,STRONG_TREND,BULLISH,2026-08-17
CORDELIA,823.2,925.65,623.1,-11.07,32.11,831.94,,,-1.05,,,INSUFFICIENT_DATA,367962.0,52.09,NEUTRAL,,,,,36.9746,4.49,893.24,770.64,831.94,42.87,14.74,MID_BAND,False,DISTRIBUTING,13.13,20.97,20.55,RANGING,BULLISH,2026-08-17
COROMANDEL,2097.9,2499.0,1706.5,-16.05,22.94,2065.09,2021.82,2108.57,1.59,3.76,-0.51,DOWNTREND,121304.0,58.08,BULLISH,21.7327,22.574,-0.8413,BEARISH,46.846,2.23,2138.81,1991.36,2065.09,72.25,7.14,MID_BAND,False,ACCUMULATING,14.16,21.61,15.09,RANGING,BULLISH,2026-08-17
CORONA,2113.1,2270.1,1336.6,-6.92,58.1,2094.47,1988.89,,0.89,6.25,,INSUFFICIENT_DATA,46130.0,56.35,BULLISH,33.6815,38.5986,-4.9171,BEARISH,70.6224,3.34,2160.29,2028.66,2094.47,64.15,6.28,MID_BAND,False,ACCUMULATING,41.84,26.86,10.89,STRONG_TREND,BULLISH,2026-08-17
COSMOFIRST,964.85,1013.3,560.8,-4.78,72.05,900.64,836.89,724.86,7.13,15.29,33.11,STRONG_UPTREND,172864.0,68.03,BULLISH,28.4139,26.4192,1.9947,BULLISH_CROSS,35.7235,3.7,960.42,840.87,900.65,103.7,13.27,NEAR_UPPER,False,ACCUMULATING,34.13,28.44,13.01,STRONG_TREND,BULLISH,2026-08-17
CPCAP,130.32,160.9,73.51,-19.01,77.28,105.76,93.53,,23.22,39.33,,INSUFFICIENT_DATA,46098.0,68.65,BULLISH,10.3266,6.8697,3.457,BULLISH,8.9598,6.88,136.04,75.49,105.76,90.55,57.26,NEAR_UPPER,False,ACCUMULATING,38.22,35.73,10.17,STRONG_TREND,BULLISH,2026-08-17
CPEDU,208.11,338.75,141.0,-38.57,47.6,204.1,197.94,212.32,1.96,5.14,-1.98,DOWNTREND,27019.0,54.96,NEUTRAL,3.7697,4.0108,-0.241,BEARISH,9.5769,4.6,223.4,184.8,204.1,60.39,18.91,MID_BAND,False,ACCUMULATING,27.07,19.45,13.57,MODERATE_TREND,BULLISH,2026-08-17
CPL,68.46,75.74,68.0,-9.61,0.68,,,,,,,INSUFFICIENT_DATA,49510.0,,,,,,,,,,,,,,,False,,,,,,,2026-08-17
CPPLUS,3343.1,4094.0,1200.8,-18.34,178.41,3552.07,3554.09,2255.03,-5.88,-5.94,48.25,CONSOLIDATING,220677.0,41.21,BEARISH,30.2047,45.8904,-15.6857,BEARISH_CROSS,169.0242,5.06,3880.39,3223.76,3552.07,18.17,18.49,MID_BAND,False,ACCUMULATING,23.3,26.11,23.83,MODERATE_TREND,BULLISH,2026-08-17
CRAFTSMAN,10480.0,10762.0,6324.0,-2.62,65.72,10000.4,9554.17,8057.43,4.8,9.69,30.07,STRONG_UPTREND,67028.0,63.68,BULLISH,298.4671,288.4805,9.9865,BULLISH,334.0625,3.19,10963.28,9037.52,10000.4,74.9,19.26,MID_BAND,False,ACCUMULATING,41.3,27.09,8.75,STRONG_TREND,BULLISH,2026-08-17
CRAMC,253.95,353.4,214.2,-28.14,18.56,260.7,255.68,263.26,-2.59,-0.68,-3.54,DOWNTREND,1975098.0,43.07,BEARISH,0.0005,1.3204,-1.3199,BEARISH,6.8388,2.69,268.92,252.49,260.7,8.91,6.3,NEAR_LOWER,False,ACCUMULATING,13.37,18.41,24.44,RANGING,BEARISH,2026-08-17
CREATIVEYE,6.21,8.83,5.41,-29.67,14.79,6.16,6.26,6.7,0.81,-0.8,-7.31,DOWNTREND,39148.0,50.51,NEUTRAL,-0.0231,-0.0357,0.0125,BULLISH,0.5155,8.3,6.5,5.82,6.16,56.9,11.06,MID_BAND,False,ACCUMULATING,17.44,19.27,11.99,RANGING,BULLISH,2026-08-17
CREDITACC,1538.6,1634.0,1113.0,-5.84,38.24,1548.51,1486.81,1334.15,-0.64,3.48,15.32,UPTREND,445837.0,52.05,NEUTRAL,13.2968,19.7257,-6.4289,BEARISH,42.755,2.78,1611.94,1485.08,1548.51,42.19,8.19,SQUEEZE,True,ACCUMULATING,22.98,18.5,14.0,MODERATE_TREND,BULLISH,2026-08-17
CREST,355.3,418.0,298.15,-15.0,19.17,373.48,377.39,363.87,-4.87,-5.85,-2.36,DOWNTREND,4385.0,35.36,BEARISH,-3.7406,-1.2819,-2.4586,BEARISH,14.3287,4.03,390.42,356.54,373.48,-3.65,9.07,NEAR_LOWER,False,DISTRIBUTING,19.01,8.35,19.62,RANGING,BEARISH,2026-08-17
CRISIL,4488.3,5115.0,3686.0,-12.25,21.77,4460.25,4218.35,4300.56,0.63,6.4,4.37,STRONG_UPTREND,74882.0,56.86,BULLISH,82.7457,95.0409,-12.2952,BEARISH,113.7017,2.53,4627.84,4292.67,4460.25,58.37,7.51,SQUEEZE,True,ACCUMULATING,29.78,23.39,14.3,MODERATE_TREND,BULLISH,2026-08-17
CRIZAC,176.19,387.95,173.35,-54.58,1.64,187.23,196.59,228.04,-5.9,-10.38,-22.74,DOWNTREND,373468.0,32.45,BEARISH,-4.6162,-3.8752,-0.7409,BEARISH,6.5726,3.73,198.16,176.3,187.23,-0.51,11.67,NEAR_LOWER,False,ACCUMULATING,11.53,15.88,21.77,RANGING,BEARISH,2026-08-17
CROMPTON,246.5,337.5,217.4,-26.96,13.39,254.86,261.62,258.73,-3.28,-5.78,-4.73,DOWNTREND,3506470.0,39.45,BEARISH,-4.1787,-3.2482,-0.9306,BEARISH,7.3001,2.96,270.78,238.93,254.86,23.76,12.5,MID_BAND,False,DISTRIBUTING,21.49,15.53,28.35,MODERATE_TREND,BEARISH,2026-08-17
CROWN,107.04,191.0,100.62,-43.96,6.38,112.33,112.49,122.96,-4.71,-4.84,-12.95,DOWNTREND,14565.0,38.02,BEARISH,-1.6466,-0.9854,-0.6612,BEARISH,4.4547,4.16,119.55,105.11,112.33,13.38,12.85,MID_BAND,False,DISTRIBUTING,16.5,14.23,20.19,RANGING,BEARISH,2026-08-17
CSBBANK,319.95,574.4,315.0,-44.3,1.57,331.16,346.01,389.28,-3.39,-7.53,-17.81,DOWNTREND,544078.0,38.26,BEARISH,-8.3626,-7.9748,-0.3878,BEARISH,9.1254,2.85,355.39,306.93,331.16,26.87,14.63,MID_BAND,False,DISTRIBUTING,29.87,9.51,24.7,MODERATE_TREND,BEARISH,2026-08-17
CSLFINANCE,219.55,324.7,209.7,-32.38,4.7,216.73,221.17,251.87,1.3,-0.73,-12.83,DOWNTREND,26502.0,50.81,NEUTRAL,-0.0616,-0.8944,0.8328,BULLISH,7.8782,3.59,224.4,209.06,216.73,68.37,7.08,MID_BAND,False,ACCUMULATING,13.16,17.57,15.36,RANGING,BULLISH,2026-08-17
CSM,100.37,109.8,94.27,-8.59,6.47,101.04,,,-0.66,,,INSUFFICIENT_DATA,437742.0,45.22,NEUTRAL,,,,,4.8229,4.81,,,,,,,False,ACCUMULATING,,,,,,2026-08-17
CTE,40.77,59.93,20.51,-31.97,98.78,35.52,32.9,36.03,14.78,23.92,13.16,STRONG_UPTREND,24385.0,73.46,OVERBOUGHT,2.0138,1.693,0.3208,BULLISH,2.0946,5.14,42.13,28.91,35.52,89.73,37.2,MID_BAND,False,ACCUMULATING,41.38,31.03,10.27,STRONG_TREND,BULLISH,2026-08-17
CUB,215.2,245.38,145.12,-12.3,48.29,215.74,212.11,203.81,-0.25,1.46,5.59,UPTREND,4065616.0,51.13,NEUTRAL,-0.8854,-0.3565,-0.5288,BEARISH,7.9496,3.69,234.59,196.9,215.74,48.56,17.47,MID_BAND,False,ACCUMULATING,18.84,26.71,20.13,RANGING,BULLISH,2026-08-17
CUBEXTUB,83.22,143.69,73.1,-42.08,13.84,79.0,81.24,93.79,5.34,2.44,-11.27,DOWNTREND,45400.0,60.06,BULLISH,0.3053,-0.4911,0.7963,BULLISH,3.3989,4.08,83.32,74.67,79.0,98.83,10.95,NEAR_UPPER,False,ACCUMULATING,24.55,30.58,9.38,MODERATE_TREND,BULLISH,2026-08-17
CUMMINSIND,5450.0,6100.0,3777.3,-10.66,44.28,5473.8,5560.15,4910.47,-0.43,-1.98,10.99,CONSOLIDATING,443877.0,48.33,NEUTRAL,-45.0805,-41.1812,-3.8994,BEARISH,131.557,2.41,5663.08,5284.52,5473.8,43.71,6.92,MID_BAND,False,DISTRIBUTING,22.84,15.33,23.97,MODERATE_TREND,BEARISH,2026-08-17
CUPID,267.32,299.0,32.87,-10.6,713.31,245.89,210.6,121.27,8.72,26.93,120.43,STRONG_UPTREND,32344984.0,63.09,BULLISH,22.2818,19.9859,2.2959,BULLISH,15.1524,5.67,303.61,188.17,245.89,68.56,46.95,MID_BAND,False,ACCUMULATING,31.31,27.42,33.63,STRONG_TREND,BEARISH,2026-08-17
CURAA,71.0,93.95,64.06,-24.43,10.83,72.86,77.53,,-2.55,-8.42,,INSUFFICIENT_DATA,542.0,43.19,BEARISH,-1.394,-1.4434,0.0493,BULLISH,4.5989,6.48,76.81,68.9,72.86,26.52,10.85,MID_BAND,False,DISTRIBUTING,22.06,14.83,13.76,MODERATE_TREND,BULLISH,2026-08-17
CYBERMEDIA,16.62,22.81,11.3,-27.14,47.08,16.92,14.96,,-1.77,11.1,,INSUFFICIENT_DATA,72884.0,51.56,NEUTRAL,0.6349,0.7013,-0.0664,BEARISH_CROSS,1.4781,8.89,18.87,14.96,16.92,42.42,23.15,MID_BAND,False,DISTRIBUTING,50.35,28.82,10.84,STRONG_TREND,BULLISH,2026-08-17
