sector,count
CHEMICALS,231
CAPITAL_GOODS,228
FINANCIAL_SERVICES,219
FMCG,186
TEXTILES,125
AUTO,120
REALTY,115
PHARMA,115
METAL,114
IT,112
INFRASTRUCTURE,91
HEALTHCARE,59
HOSPITALITY,53
MEDIA,49
RETAIL,42
BANKING,39
LOGISTICS,38
ENERGY,37
POWER,32
CEMENT,27
AGRICULTURE,25
DEFENCE,23
TELECOM,18
OTHER,10
DIVERSIFIED,9
AVIATION,3
AMC,3
