SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TRADE_DATE
20MICRONS,EQ,61.65,62.7,59.0,60.25,99195,2021-11-19
21STCENMGM,EQ,62.8,62.8,60.4,62.75,99566,2021-11-19
3IINFOLTD,EQ,85.1,85.1,85.1,85.1,1596988,2021-11-19
3MINDIA,EQ,25458.0,25587.65,24872.15,25194.15,1859,2021-11-19
3PLAND,EQ,13.75,13.75,13.0,13.4,4616,2021-11-19
5PAISA,EQ,411.05,417.5,406.1,408.45,13168,2021-11-19
63MOONS,EQ,135.8,135.8,122.9,122.9,1651230,2021-11-19
AAKASH,EQ,218.65,219.7,210.4,217.4,77254,2021-11-19
AAREYDRUGS,EQ,35.9,35.95,34.5,34.95,30760,2021-11-19
AARON,EQ,111.9,114.95,108.25,113.7,2890,2021-11-19
AARTIDRUGS,EQ,539.0,553.6,530.2,531.45,162062,2021-11-19
AARTIIND,EQ,993.2,993.9,955.0,972.7,757909,2021-11-19
AARTISURF,EQ,1199.0,1207.95,1153.5,1157.45,16979,2021-11-19
AARVEEDEN,EQ,22.8,23.55,22.3,23.25,21155,2021-11-19
AARVI,EQ,59.4,60.1,58.0,58.1,9482,2021-11-19
AAVAS,EQ,2783.0,2800.0,2734.0,2776.9,88348,2021-11-19
ABB,EQ,2200.0,2222.9,2124.0,2149.55,110299,2021-11-19
ABBOTINDIA,EQ,19775.0,19775.0,19251.25,19602.5,11976,2021-11-19
ABCAPITAL,EQ,104.0,105.0,102.25,102.7,1718998,2021-11-19
ABFRL,EQ,282.5,286.8,277.1,284.65,2959021,2021-11-19
ABMINTLLTD,EQ,109.95,110.0,104.0,105.25,1756,2021-11-19
ABSLAMC,EQ,602.0,604.35,583.8,584.9,628805,2021-11-19
ABSLBANETF,EQ,380.1,380.1,376.44,378.22,1038,2021-11-19
ABSLNN50ET,EQ,452.0,454.98,443.3,445.0,588,2021-11-19
ACC,EQ,2474.8,2502.3,2415.1,2440.5,237386,2021-11-19
ACCELYA,EQ,1175.0,1181.25,1125.05,1138.5,29183,2021-11-19
ACCURACY,EQ,188.5,191.35,181.55,183.1,26981,2021-11-19
ACE,EQ,243.8,244.4,228.0,232.3,856196,2021-11-19
ACRYSIL,EQ,890.0,890.0,820.35,835.45,155114,2021-11-19
ADANIENT,EQ,1708.0,1714.0,1640.0,1688.75,2255988,2021-11-19
ADANIGREEN,EQ,1299.8,1355.0,1292.4,1345.75,2032876,2021-11-19
ADANIPORTS,EQ,739.45,741.3,716.15,726.05,2202581,2021-11-19
ADANIPOWER,EQ,105.0,105.8,101.4,102.9,3970297,2021-11-19
ADFFOODS,EQ,838.4,855.0,820.0,838.6,9577,2021-11-19
ADORWELD,EQ,718.8,718.85,687.3,706.0,15978,2021-11-19
ADROITINFO,EQ,11.15,11.15,10.5,10.8,7186,2021-11-19
ADSL,EQ,117.0,118.65,104.45,106.55,540160,2021-11-19
ADVANIHOTR,EQ,78.1,79.65,76.0,76.45,9945,2021-11-19
ADVENZYMES,EQ,345.0,347.95,334.85,336.5,116435,2021-11-19
AEGISCHEM,EQ,205.0,210.55,197.0,197.65,966625,2021-11-19
AFFLE,EQ,1204.0,1204.0,1150.0,1156.85,310061,2021-11-19
AGARIND,EQ,375.1,383.95,370.0,375.5,53910,2021-11-19
AGROPHOS,EQ,17.75,17.75,16.75,17.6,58676,2021-11-19
AHLADA,EQ,145.0,152.0,144.25,149.15,30616,2021-11-19
AHLEAST,EQ,186.5,187.5,178.1,180.85,3410,2021-11-19
AHLUCONT,EQ,431.3,445.75,420.75,434.5,73297,2021-11-19
AIAENG,EQ,1886.75,1905.0,1861.0,1889.75,11278,2021-11-19
AIRAN,EQ,21.8,21.8,21.0,21.35,92184,2021-11-19
AIROLAM,EQ,61.6,61.6,57.2,58.0,24049,2021-11-19
AJANTPHARM,EQ,2163.6,2174.9,2095.0,2119.55,62203,2021-11-19
AJOONI,EQ,61.9,61.9,60.45,60.95,17275,2021-11-19
AJRINFRA,EQ,1.45,1.45,1.4,1.4,2639007,2021-11-19
AKASH,EQ,192.35,196.7,180.55,183.5,19448,2021-11-19
AKG,EQ,38.95,38.95,35.0,35.8,45035,2021-11-19
AKSHARCHEM,EQ,460.1,462.0,445.65,449.35,14371,2021-11-19
AKSHOPTFBR,EQ,9.0,9.2,8.7,8.75,344344,2021-11-19
AKZOINDIA,EQ,2215.65,2222.0,2175.0,2203.5,27485,2021-11-19
ALANKIT,EQ,16.35,16.5,15.8,16.0,657779,2021-11-19
ALBERTDAVD,EQ,602.0,610.95,594.8,596.8,8401,2021-11-19
ALEMBICLTD,EQ,108.85,109.5,105.05,105.35,201356,2021-11-19
ALICON,EQ,806.0,823.15,777.0,782.05,21141,2021-11-19
ALKALI,EQ,89.4,90.2,86.55,87.0,22961,2021-11-19
ALKEM,EQ,3470.5,3520.7,3441.15,3481.85,59548,2021-11-19
ALKYLAMINE,EQ,3358.2,3375.9,3270.0,3276.15,41460,2021-11-19
ALLCARGO,EQ,368.5,370.0,346.4,354.4,593235,2021-11-19
ALLSEC,EQ,518.0,518.0,492.35,498.15,9440,2021-11-19
ALMONDZ,EQ,118.0,118.0,111.05,111.05,24992,2021-11-19
ALOKINDS,EQ,22.45,22.6,21.8,21.95,6168989,2021-11-19
ALPA,EQ,53.65,53.65,51.55,52.8,35521,2021-11-19
ALPHAGEO,EQ,340.0,349.6,335.0,337.7,17679,2021-11-19
AMARAJABAT,EQ,666.0,668.2,646.25,648.45,1297025,2021-11-19
AMBER,EQ,3429.0,3482.35,3357.4,3401.0,66136,2021-11-19
AMBICAAGAR,EQ,18.5,18.5,17.65,17.75,30638,2021-11-19
AMBIKCO,EQ,2078.0,2127.0,2010.0,2023.3,31628,2021-11-19
AMBUJACEM,EQ,408.0,411.85,396.5,400.85,1868114,2021-11-19
AMDIND,EQ,31.95,33.0,31.3,32.2,30711,2021-11-19
AMIORG,EQ,1001.95,1001.95,958.8,966.75,175179,2021-11-19
AMJLAND,EQ,32.0,32.5,30.65,31.4,34965,2021-11-19
AMRUTANJAN,EQ,940.35,940.35,906.2,914.5,41586,2021-11-19
ANDHRACEMT,EQ,16.85,16.85,15.8,16.25,499798,2021-11-19
ANDHRAPAP,EQ,231.75,232.0,229.55,230.75,36881,2021-11-19
ANDHRSUGAR,EQ,633.0,637.5,616.0,621.55,39077,2021-11-19
ANDREWYU,EQ,24.3,24.3,23.15,23.3,103648,2021-11-19
ANGELONE,EQ,1217.9,1221.6,1150.0,1165.75,404737,2021-11-19
ANIKINDS,EQ,20.9,20.9,19.9,20.15,17626,2021-11-19
ANMOL,EQ,182.0,182.65,175.0,176.15,46052,2021-11-19
ANSALHSG,EQ,6.6,6.65,6.35,6.45,79764,2021-11-19
ANUP,EQ,1056.0,1084.8,992.35,1013.55,33560,2021-11-19
ANURAS,EQ,824.0,829.8,784.8,815.05,74198,2021-11-19
APARINDS,EQ,698.0,704.7,670.0,675.75,60335,2021-11-19
APCL,EQ,348.4,354.8,329.0,331.45,55104,2021-11-19
APCOTEXIND,EQ,392.0,398.5,385.15,394.9,76990,2021-11-19
APEX,EQ,289.4,304.0,288.0,290.6,193659,2021-11-19
APLAPOLLO,EQ,914.8,917.65,882.15,910.45,512713,2021-11-19
APLLTD,EQ,785.7,790.35,753.6,760.0,241425,2021-11-19
APOLLO,EQ,116.8,118.15,114.85,115.05,88916,2021-11-19
APOLLOHOSP,EQ,5733.95,5843.8,5546.15,5588.6,2165157,2021-11-19
APOLLOPIPE,EQ,1774.0,1789.0,1720.0,1729.0,33406,2021-11-19
APOLLOTYRE,EQ,230.9,231.3,222.05,224.0,3721820,2021-11-19
APOLSINHOT,EQ,1009.7,1050.0,890.0,911.85,25633,2021-11-19
APTECHT,EQ,381.0,386.25,368.95,370.3,164992,2021-11-19
APTUS,EQ,354.0,355.0,347.1,350.1,752145,2021-11-19
ARCHIDPLY,EQ,40.0,41.6,38.9,41.3,71540,2021-11-19
ARCHIES,EQ,18.05,18.4,17.4,17.55,55350,2021-11-19
ARENTERP,EQ,28.0,28.9,27.5,28.4,4368,2021-11-19
ARIES,EQ,145.2,146.85,137.95,140.55,53003,2021-11-19
ARIHANTCAP,EQ,156.8,157.55,152.1,153.55,24419,2021-11-19
ARIHANTSUP,EQ,179.0,179.8,174.0,176.15,342747,2021-11-19
ARMANFIN,EQ,1009.85,1015.0,957.7,991.7,22803,2021-11-19
AROGRANITE,EQ,67.0,67.4,65.05,65.7,31120,2021-11-19
ARROWGREEN,EQ,126.0,137.0,121.7,130.1,212112,2021-11-19
ARSHIYA,EQ,31.8,32.65,29.8,30.05,154964,2021-11-19
ARSSINFRA,EQ,27.45,28.5,27.45,28.1,9963,2021-11-19
ARTEMISMED,EQ,36.9,36.9,34.6,35.25,31676,2021-11-19
ARVEE,EQ,75.45,75.55,72.15,73.95,310,2021-11-19
ARVIND,EQ,133.5,134.3,122.0,124.4,3840469,2021-11-19
ARVINDFASN,EQ,325.9,327.2,311.0,313.0,143164,2021-11-19
ASAHIINDIA,EQ,509.95,514.75,479.25,490.9,228256,2021-11-19
ASAHISONG,EQ,292.0,292.0,273.05,274.45,25575,2021-11-19
ASALCBR,EQ,559.8,574.5,539.2,568.15,178152,2021-11-19
ASHAPURMIN,EQ,105.0,107.45,99.65,103.25,82243,2021-11-19
ASHIANA,EQ,188.55,194.8,188.55,192.0,107590,2021-11-19
ASHIMASYN,EQ,17.6,17.6,17.0,17.1,25537,2021-11-19
ASHOKA,EQ,105.85,105.95,102.6,103.8,1003877,2021-11-19
ASHOKLEY,EQ,146.5,147.65,138.6,139.4,20797964,2021-11-19
ASIANHOTNR,EQ,80.75,81.95,80.05,80.35,2725,2021-11-19
ASIANPAINT,EQ,3249.85,3260.0,3214.0,3226.85,1609821,2021-11-19
ASIANTILES,EQ,137.25,137.65,134.4,135.3,344450,2021-11-19
ASPINWALL,EQ,164.9,165.0,157.9,158.75,12259,2021-11-19
ASTEC,EQ,1392.0,1392.0,1332.85,1367.45,16605,2021-11-19
ASTERDM,EQ,203.0,204.75,195.25,196.4,433811,2021-11-19
ASTRAL,EQ,2291.85,2312.0,2252.0,2304.85,260251,2021-11-19
ASTRAMICRO,EQ,274.95,274.95,259.5,262.9,521640,2021-11-19
ASTRAZEN,EQ,3100.0,3119.1,3059.05,3098.75,20261,2021-11-19
ASTRON,EQ,52.0,52.0,50.2,50.6,66034,2021-11-19
ATFL,EQ,988.95,989.0,944.35,963.95,8633,2021-11-19
ATUL,EQ,9001.0,9096.05,8650.0,8704.8,41321,2021-11-19
ATULAUTO,EQ,238.85,239.8,226.05,226.9,157788,2021-11-19
AUBANK,EQ,1251.45,1251.45,1203.05,1214.25,739772,2021-11-19
AURIONPRO,EQ,224.1,227.75,213.9,217.8,47463,2021-11-19
AUROPHARMA,EQ,668.0,668.7,634.05,639.55,4597685,2021-11-19
AURUM,EQ,164.9,166.45,148.7,152.85,1895411,2021-11-19
AUSOMENT,EQ,60.45,61.7,59.5,60.15,1043,2021-11-19
AUTOAXLES,EQ,1332.3,1349.55,1260.0,1274.75,42287,2021-11-19
AUTOIND,EQ,64.6,65.2,61.85,62.3,29077,2021-11-19
AVADHSUGAR,EQ,450.9,453.0,430.05,434.35,81502,2021-11-19
AVANTIFEED,EQ,557.0,557.7,545.1,547.2,86207,2021-11-19
AVTNPL,EQ,77.5,78.2,75.0,76.3,94661,2021-11-19
AWHCL,EQ,312.6,314.65,303.0,305.5,101175,2021-11-19
AXISBANK,EQ,715.0,716.0,701.9,706.35,13458109,2021-11-19
AXISBNKETF,EQ,382.53,382.53,377.53,381.26,807,2021-11-19
AXISBPSETF,EQ,10.41,10.41,10.4,10.4,23745,2021-11-19
AXISCADES,EQ,84.35,85.8,81.0,82.05,59611,2021-11-19
AXISCETF,EQ,70.1,70.1,67.25,67.8,53119,2021-11-19
AXISGOLD,EQ,42.92,42.92,42.42,42.49,157031,2021-11-19
AXISHCETF,EQ,85.52,86.5,84.61,85.07,5234,2021-11-19
AXISNIFTY,EQ,188.5,188.5,186.0,187.0,4787,2021-11-19
AXISTECETF,EQ,370.74,374.99,360.6,364.45,12054,2021-11-19
AYMSYNTEX,EQ,113.4,113.45,105.1,106.5,66220,2021-11-19
BAFNAPH,EQ,136.4,138.0,129.6,129.6,10713,2021-11-19
BAJAJ-AUTO,EQ,3590.5,3594.9,3525.0,3547.55,384426,2021-11-19
BAJAJCON,EQ,201.35,202.4,199.15,200.2,589401,2021-11-19
BAJAJELEC,EQ,1120.95,1124.95,1060.55,1073.35,266920,2021-11-19
BAJAJFINSV,EQ,18256.0,18472.0,17811.2,17921.25,274556,2021-11-19
BAJAJHLDNG,EQ,4929.7,4967.45,4805.0,4890.15,11522,2021-11-19
BAJFINANCE,EQ,7620.0,7697.7,7440.0,7484.95,772539,2021-11-19
BALAJITELE,EQ,63.0,63.1,61.0,61.7,110473,2021-11-19
BALAMINES,EQ,3289.9,3289.9,3125.0,3158.9,77185,2021-11-19
BALAXI,EQ,512.0,564.9,512.0,555.0,1492,2021-11-19
BALKRISHNA,EQ,27.8,27.8,25.2,26.45,35101,2021-11-19
BALKRISIND,EQ,2325.0,2336.75,2300.05,2311.15,207450,2021-11-19
BALMLAWRIE,EQ,125.2,127.1,123.8,124.2,214020,2021-11-19
BALPHARMA,EQ,95.95,96.45,91.1,93.35,42879,2021-11-19
BALRAMCHIN,EQ,329.0,330.0,314.15,315.6,843702,2021-11-19
BANARBEADS,EQ,75.4,76.25,72.0,72.15,15220,2021-11-19
BANARISUG,EQ,2397.95,2397.95,2254.9,2270.4,2119,2021-11-19
BANCOINDIA,EQ,187.4,187.85,181.6,185.05,72710,2021-11-19
BANDHANBNK,EQ,311.2,312.65,303.25,305.45,3442584,2021-11-19
BANG,EQ,34.75,36.45,34.6,34.85,4073,2021-11-19
BANKA,EQ,78.0,78.0,74.35,75.45,6759,2021-11-19
BANKBARODA,EQ,97.9,98.7,95.65,96.25,33211505,2021-11-19
BANKBEES,EQ,386.8,386.8,380.65,382.82,448081,2021-11-19
BANKINDIA,EQ,59.8,60.4,58.75,59.05,4595163,2021-11-19
BANSWRAS,EQ,195.7,195.7,189.25,194.0,8823,2021-11-19
BARBEQUE,EQ,1640.75,1678.0,1529.75,1529.75,164402,2021-11-19
BASF,EQ,2907.95,2918.6,2812.45,2834.75,20124,2021-11-19
BASML,EQ,69.0,69.0,65.1,65.55,111726,2021-11-19
BATAINDIA,EQ,2180.8,2207.7,2126.05,2144.35,349180,2021-11-19
BAYERCROP,EQ,4625.0,4790.0,4575.0,4743.0,99819,2021-11-19
BBL,EQ,1920.0,1985.6,1865.0,1876.3,101191,2021-11-19
BBTC,EQ,1094.05,1102.2,1075.0,1078.4,29479,2021-11-19
BCG,EQ,105.0,108.05,100.05,108.05,13085682,2021-11-19
BCLIND,EQ,234.4,234.4,226.0,227.45,35556,2021-11-19
BCP,EQ,3.9,4.0,3.75,3.9,189044,2021-11-19
BDL,EQ,429.95,429.95,410.8,412.0,160452,2021-11-19
BEARDSELL,EQ,14.85,14.85,14.15,14.2,5106,2021-11-19
BECTORFOOD,EQ,412.0,413.0,394.55,400.05,220461,2021-11-19
BEDMUTHA,EQ,53.1,53.8,50.5,50.75,20013,2021-11-19
BEL,EQ,215.55,217.5,208.4,208.85,9588714,2021-11-19
BEML,EQ,1678.9,1678.9,1611.3,1622.5,420040,2021-11-19
BEPL,EQ,176.55,178.3,172.0,172.65,548786,2021-11-19
BERGEPAINT,EQ,796.95,802.7,782.8,788.15,735953,2021-11-19
BESTAGRO,EQ,1318.0,1318.0,1221.3,1252.25,58675,2021-11-19
BFINVEST,EQ,336.9,342.7,332.0,338.15,10360,2021-11-19
BFUTILITIE,EQ,410.0,422.2,408.2,410.4,231878,2021-11-19
BGRENERGY,EQ,63.5,65.4,62.85,63.15,172788,2021-11-19
BHAGCHEM,EQ,865.0,879.8,815.25,825.1,1700,2021-11-19
BHAGERIA,EQ,263.5,264.75,257.0,259.0,36566,2021-11-19
BHAGYANGR,EQ,47.2,47.45,45.0,45.2,51392,2021-11-19
BHAGYAPROP,EQ,32.25,32.25,30.65,30.95,71689,2021-11-19
BHANDARI,EQ,3.95,4.0,3.9,3.95,2149278,2021-11-19
BHARATFORG,EQ,802.0,802.3,768.25,778.75,2535600,2021-11-19
BHARATGEAR,EQ,154.75,154.9,140.0,143.9,54343,2021-11-19
