Date,Sector,Open,High,Low,Close,Volume,Daily_Change
2016-05-30,NIFTY AUTO,8404.900390625,8515.2001953125,8393.2998046875,8497.0,409600,1.1
2016-05-31,NIFTY AUTO,8669.75,8741.400390625,8616.650390625,8720.400390625,1527000,0.58
2016-06-01,NIFTY AUTO,8733.4501953125,8764.150390625,8646.5498046875,8670.7998046875,544700,-0.72
2016-06-02,NIFTY AUTO,8638.9501953125,8730.5498046875,8638.9501953125,8713.7001953125,365100,0.87
2016-06-03,NIFTY AUTO,8752.099609375,8814.2998046875,8720.7998046875,8749.25,353200,-0.03
2016-06-06,NIFTY AUTO,8763.0,8792.75,8698.75,8763.5498046875,271300,0.01
2016-06-07,NIFTY AUTO,8819.900390625,8833.9501953125,8768.75,8799.0,303900,-0.24
2016-06-08,NIFTY AUTO,8816.0,8862.5,8806.2998046875,8841.849609375,265600,0.29
2016-06-09,NIFTY AUTO,8849.599609375,8854.900390625,8769.2998046875,8784.2001953125,217300,-0.74
2016-06-10,NIFTY AUTO,8765.650390625,8834.400390625,8677.599609375,8688.2998046875,288300,-0.88
2016-06-13,NIFTY AUTO,8600.900390625,8612.2001953125,8536.900390625,8599.099609375,271500,-0.02
2016-06-14,NIFTY AUTO,8622.099609375,8641.5498046875,8560.25,8613.150390625,236800,-0.1
2016-06-15,NIFTY AUTO,8646.0498046875,8703.7001953125,8634.9501953125,8689.650390625,273500,0.5
2016-06-16,NIFTY AUTO,8649.0498046875,8655.599609375,8555.5498046875,8612.7998046875,362700,-0.42
2016-06-17,NIFTY AUTO,8670.7001953125,8695.0498046875,8647.2001953125,8675.2001953125,356100,0.05
2016-06-20,NIFTY AUTO,8635.150390625,8809.400390625,8607.349609375,8799.0498046875,344500,1.9
2016-06-21,NIFTY AUTO,8827.650390625,8865.599609375,8803.349609375,8858.4501953125,376100,0.35
2016-06-22,NIFTY AUTO,8847.75,8850.25,8733.349609375,8778.2001953125,276000,-0.79
