SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,TRADE_DATE
ULTRACEMCO,EQ, 21-Jun-2021,6693.9,6631.0,6790.0,6522.2, 6763.00,6775.5,6714.39,361652,24282.72,45638, 132754, 36.71,2021-06-21
UMANGDAIRY,EQ, 21-Jun-2021,78.4,77.05,79.2,75.65, 78.50,78.15,77.69,31869,24.76,1251, 14596, 45.80,2021-06-21
UNICHEMLAB,EQ, 21-Jun-2021,320.3,315.0,325.65,315.0, 322.35,321.65,320.94,40433,129.76,1832, 23165, 57.29,2021-06-21
UNIDT,EQ, 21-Jun-2021,332.8,325.05,338.35,322.0, 333.00,332.15,333.66,33482,111.72,1498, 21792, 65.09,2021-06-21
UNIENTER,EQ, 21-Jun-2021,131.05,129.95,134.0,127.75, 129.50,130.25,131.11,27774,36.41,548, 15568, 56.05,2021-06-21
UNIONBANK,EQ, 21-Jun-2021,37.8,36.7,40.75,36.55, 39.80,39.8,39.27,83537904,32804.21,101389, 26822354, 32.11,2021-06-21
UNITEDTEA,EQ, 21-Jun-2021,326.7,333.0,333.0,326.75, 328.30,329.75,330.05,833,2.75,62, 461, 55.34,2021-06-21
UNIVASTU,EQ, 21-Jun-2021,40.55,42.3,42.45,39.3, 42.45,41.85,41.47,3435,1.42,70, 1261, 36.71,2021-06-21
UNIVCABLES,EQ, 21-Jun-2021,180.85,174.55,202.0,174.55, 194.00,193.5,194.24,306017,594.4,8128, 125289, 40.94,2021-06-21
UNIVPHOTO,EQ, 21-Jun-2021,244.1,248.5,292.9,248.0, 292.90,292.9,285.38,47126,134.49,1352, 23566, 50.01,2021-06-21
UPL,EQ, 21-Jun-2021,808.0,800.0,800.0,768.3, 772.60,772.2,776.19,10319132,80096.43,146255, 3622425, 35.10,2021-06-21
URJA,EQ, 21-Jun-2021,7.9,7.95,8.25,7.7, 8.05,8.05,8.01,5444834,436.17,10708, 2743031, 50.38,2021-06-21
USHAMART,EQ, 21-Jun-2021,53.0,52.3,53.1,51.1, 52.70,52.7,52.42,1011877,530.38,5014, 537348, 53.10,2021-06-21
UTIAMC,EQ, 21-Jun-2021,781.3,779.0,801.8,771.05, 774.20,775.55,787.61,117198,923.06,7795, 52557, 44.84,2021-06-21
UTIBANKETF,EQ, 21-Jun-2021,34.42,34.42,35.05,33.74, 35.05,34.84,34.54,5793,2.0,168, 4348, 75.06,2021-06-21
UTINEXT50,EQ, 21-Jun-2021,39.58,40.0,40.0,38.57, 39.65,39.67,39.28,8929,3.51,225, 5597, 62.68,2021-06-21
UTINIFTETF,EQ, 21-Jun-2021,1641.43,1603.6,1651.9,1603.6, 1640.50,1644.37,1638.54,417,6.83,104, 363, 87.05,2021-06-21
UTISENSETF,EQ, 21-Jun-2021,546.72,547.0,550.18,544.42, 549.99,549.99,546.79,983,5.37,78, 825, 83.93,2021-06-21
UTISXN50,EQ, 21-Jun-2021,45.36,45.36,46.0,44.6, 45.47,45.37,45.24,760,0.34,65, 498, 65.53,2021-06-21
UTTAMSTL,EQ, 21-Jun-2021,6.35,6.3,6.5,6.1, 6.45,6.4,6.34,2129999,135.04,1795, 1114268, 52.31,2021-06-21
UTTAMSUGAR,EQ, 21-Jun-2021,165.45,160.2,173.1,158.7, 169.45,169.6,169.11,300196,507.65,7398, 56802, 18.92,2021-06-21
V2RETAIL,EQ, 21-Jun-2021,129.6,130.65,130.65,126.7, 128.00,128.25,128.56,24742,31.81,543, 17175, 69.42,2021-06-21
VADILALIND,EQ, 21-Jun-2021,990.65,982.0,1019.4,970.25, 988.05,990.85,1000.36,36253,362.66,11271, 12750, 35.17,2021-06-21
VAIBHAVGBL,EQ, 21-Jun-2021,799.55,792.5,842.3,792.5, 838.00,835.8,828.21,575747,4768.42,36319, 365012, 63.40,2021-06-21
VAISHALI,EQ, 21-Jun-2021,39.0,36.85,42.9,36.85, 41.70,41.55,41.67,443553,184.85,2715, 267041, 60.20,2021-06-21
VAKRANGEE,EQ, 21-Jun-2021,47.8,48.6,48.6,46.25, 46.45,46.55,47.0,3809465,1790.6,12582, 2008947, 52.74,2021-06-21
VALIANTORG,EQ, 21-Jun-2021,1501.55,1497.25,1533.55,1491.0, 1500.00,1502.05,1507.56,21213,319.8,2826, 12318, 58.07,2021-06-21
VARDHACRLC,EQ, 21-Jun-2021,46.7,46.45,50.0,45.3, 49.35,49.4,49.07,1106833,543.07,4789, 818182, 73.92,2021-06-21
VARDMNPOLY,EQ, 21-Jun-2021,20.35,20.05,21.95,19.55, 21.50,21.6,20.99,101368,21.28,902, 38200, 37.68,2021-06-21
VARROC,EQ, 21-Jun-2021,374.15,372.0,376.45,366.35, 371.95,371.9,372.41,59237,220.61,2929, 27826, 46.97,2021-06-21
VASCONEQ,EQ, 21-Jun-2021,21.75,21.3,22.8,21.0, 22.20,22.15,22.21,983208,218.41,2360, 597536, 60.77,2021-06-21
VASWANI,EQ, 21-Jun-2021,13.5,13.5,13.95,13.3, 13.95,13.9,13.65,16488,2.25,137, 10688, 64.82,2021-06-21
VBL,EQ, 21-Jun-2021,796.45,795.0,797.9,785.0, 787.00,786.6,788.48,254807,2009.09,13276, 137467, 53.95,2021-06-21
VEDL,EQ, 21-Jun-2021,251.65,246.0,255.7,244.1, 253.80,254.35,250.82,10259127,25731.46,68370, 3418761, 33.32,2021-06-21
VENKEYS,EQ, 21-Jun-2021,2664.0,2606.6,2973.3,2599.9, 2970.00,2886.9,2825.69,679458,19199.35,57510, 146633, 21.58,2021-06-21
VENUSREM,EQ, 21-Jun-2021,340.95,339.8,348.5,331.75, 338.00,339.7,343.05,166920,572.62,4017, 91325, 54.71,2021-06-21
VERTOZ,EQ, 21-Jun-2021,204.75,204.75,215.75,190.5, 196.00,197.75,203.15,476039,967.08,9515, 193117, 40.57,2021-06-21
