S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Vedanta,315.60,14.29,123411.85,13.78,9352.00,70.89,24609.00,47.48,16.49
2.,Jain Resource,344.00,33.70,11870.95,0.00,66.03,21.78,3104.98,76.42,25.49
3.,Pondy Oxides,1286.40,28.16,3924.97,0.27,38.05,114.10,931.68,80.34,23.87
4.,Innomet Advanced,90.00,74.18,116.46,0.00,-0.44,-375.00,30.33,69.63,5.68
5.,Bonlon Industrie,42.78,23.06,70.09,0.00,0.99,130.23,100.64,-31.11,5.76
