S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,Timken India,3643.60,68.80,27406.70,0.99,154.79,-17.15,1073.14,14.19,18.26
2.,Grindwell Norton,1958.20,52.16,21681.19,0.97,119.34,28.31,842.21,18.70,22.71
3.,Carborundum Uni.,1039.80,77.35,19807.51,0.38,-40.01,-17.82,1398.35,14.89,10.47
4.,SKF India Indus.,2416.40,32.16,11946.19,0.41,118.97,-1.93,945.72,31.24,56.38
5.,SKF India,1616.40,50.49,7991.15,2.47,-20.23,-128.78,594.54,20.68,13.32
6.,Wendt India,6801.00,93.48,1360.20,0.44,5.09,-60.51,66.78,-11.67,9.16
7.,SKP Bearing,151.10,285.03,250.83,0.73,-0.95,,37.99,,11.38
8.,Galaxy Bearings,547.85,52.63,174.22,0.00,1.08,-73.91,20.83,-30.45,5.20
9.,NRB Indl Bearing,29.69,,72.00,0.00,-6.82,2.29,20.58,27.75,-16.17
