S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
114.,Disha Resources,21.69,,15.87,0.00,0.08,500.00,0.48,,-0.13
115.,S I Cap. & Fin.,28.50,43.61,14.39,0.00,0.13,-50.00,1.02,30.77,8.68
116.,Vishvprabha Ven.,42.30,,13.19,0.00,-0.35,-6.06,1.69,64.08,-0.77
117.,Shangar Decor,0.24,7.99,11.75,0.00,0.51,132.08,12.99,100.46,3.47
118.,N2N Technologies,36.24,7.70,11.70,0.00,0.01,120.00,0.50,47.06,-4.04
119.,Samyak Internati,14.58,,11.66,0.00,-2.49,52.39,10.41,-22.72,1.53
120.,Frontier Capital,6.51,218.20,10.91,0.00,-0.09,-190.00,0.17,54.55,5.38
121.,Transwind Infra.,13.85,12.31,10.59,0.00,0.29,26.09,10.09,-35.20,7.39
122.,Arihant's Secur.,19.42,42.22,9.71,0.00,-0.29,78.36,-0.19,80.21,0.83
123.,Ganesh Holdings,106.00,36.31,9.44,0.00,0.34,254.55,0.39,1200.00,3.87
124.,Mercury Trade Li,6.61,900.00,9.00,0.00,5.32,1464.10,96.64,12.59,0.58
125.,Frontline Fin.,15.18,42.67,8.96,0.00,-0.01,50.00,0.41,1950.00,1.69
126.,Explicit Finance,9.60,,8.90,0.00,-0.15,-400.00,0.67,-71.61,-0.13
127.,SW Investments,95.48,35.79,8.59,0.00,0.08,,0.13,62.50,3.98
128.,Millen. Online,1.57,785.00,7.85,0.00,0.04,150.00,0.65,62.50,0.89
129.,Vikalp Securitie,22.96,,7.00,0.00,-0.03,95.24,0.00,,-4.72
130.,Multipurpose Trd,12.49,,6.18,0.00,0.04,-20.00,0.08,-11.11,4.00
131.,Global Infratech,41.99,,5.94,0.00,-0.45,81.71,1.20,-93.67,-3.95
132.,Wagend Infra,1.11,174.33,5.23,0.00,0.02,118.18,0.78,,0.50
133.,R R Securities,15.75,,4.75,0.00,-0.15,-1600.00,0.00,,-1.23
134.,Peoples Invest,218.40,,4.37,0.00,-0.01,50.00,0.00,,0.00
135.,Ekam Leasing,6.86,,4.12,0.00,-3.49,-453.97,0.00,-100.00,-52.83
136.,Oswal Leasing,74.90,,3.75,0.00,-0.02,,0.03,-25.00,-1.81
137.,Olympic Managem,9.62,,2.90,0.00,-0.09,100.00,0.05,400.00,-1.80
138.,Swadha Nature,6.30,,2.58,0.00,-0.06,-20.00,0.00,,-17.61
139.,Hem Holdings & T,106.40,4.18,2.55,0.00,0.06,104.72,0.08,-57.89,24.75
