S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
64.,Cybele Industrie,54.93,1.67,58.75,0.00,18.50,4504.76,5.55,-11.34,45.26
65.,Electro Force,24.25,90.08,56.75,0.00,-0.23,-119.49,9.65,-73.78,1.31
66.,Gujarat Poly,56.34,1.72,48.17,0.00,0.12,-80.00,4.23,2.92,104.50
67.,ATC Energies,23.50,,47.91,0.00,-2.09,-137.25,17.85,-38.06,0.63
68.,Alfa Transformer,49.66,,45.44,0.00,1.00,150.00,11.84,-5.28,-0.31
69.,Sungarner Energ.,195.00,11.81,45.22,0.00,2.81,234.52,48.95,124.85,23.45
70.,Relicab Cable,43.79,23.26,44.20,0.00,0.75,108.33,25.97,63.23,17.82
71.,Incap,83.52,126.03,42.85,1.20,-0.32,-288.24,8.19,65.79,4.36
72.,Integra Switch,143.05,,41.22,0.00,-0.08,-366.67,0.01,-85.71,-15.98
73.,Equilateral Ent.,22.23,114.21,27.41,0.00,-0.10,-225.00,8.00,49.25,2.03
74.,Switching Tech.,83.46,,20.45,0.00,12.09,-192.70,2.09,11.76,
75.,Premier Cap Serv,4.46,63.58,16.53,0.00,0.28,800.00,0.10,-37.50,3.42
76.,Galada Power,8.85,,7.84,0.00,-0.16,5.88,0.00,,-18.37
77.,Perfect Infraeng,2.70,5.76,4.72,0.00,0.71,-49.29,2.66,-41.41,0.92
78.,Cont. Controls,7.61,,4.68,0.00,-0.04,-300.00,0.00,,-5.76
79.,SGN Telecoms,0.55,,4.44,0.00,-0.04,-300.00,0.00,,-115.00
