S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
71.,Markolines Pavem,163.90,13.81,363.92,0.92,11.36,-7.57,92.73,-19.06,15.70
72.,IL&FS Engg.,27.64,91.52,362.42,0.00,10.09,154.23,29.81,-70.79,
73.,Giriraj Civil,150.00,23.78,358.81,0.00,8.48,-43.35,162.38,-27.19,15.07
74.,Ganesh Infra.,82.85,4.65,353.95,0.00,24.46,110.50,229.58,44.72,18.87
75.,Mold-Tek Technol,118.04,33.70,340.02,0.85,2.28,246.15,55.49,85.71,10.61
76.,Twamev Constr.,21.73,48.60,336.82,0.00,1.61,-98.30,22.51,-54.74,1.17
77.,Atlantaa,40.89,,333.25,0.00,21.61,131.62,30.52,21.21,1.95
78.,B.R.Goyal Infra.,126.50,6.74,301.38,0.00,28.59,50.55,482.99,62.71,21.74
79.,RPP Infra Proj.,60.69,32.39,300.94,0.82,-13.13,-232.90,451.62,30.57,4.94
80.,Chavda Infra Ltd,90.00,17.29,293.90,0.00,7.34,-31.72,167.61,49.76,13.47
81.,Savy Infra,141.00,8.96,293.40,0.00,18.29,,215.70,,61.88
82.,Univastu India,79.48,12.27,286.02,0.00,10.34,264.41,109.44,174.22,29.96
83.,A2Z Infra Engg.,14.77,18.93,262.20,0.00,-0.63,521.74,108.97,28.87,13.78
84.,SAB Industries,163.00,,247.92,0.00,-10.67,5.24,12.64,-8.14,0.84
85.,Globe Civil,39.80,10.20,237.68,0.00,5.74,-8.31,130.44,31.62,16.09
86.,Suyog Gurbaxani,91.00,38.03,226.25,0.00,-0.42,-104.85,22.60,-25.17,9.65
87.,Madhav Infra,8.33,8.19,224.56,0.00,11.50,-4.85,254.06,-17.60,15.63
88.,Pratham EPC,120.25,35.55,219.01,0.00,1.02,-80.50,72.25,26.91,10.41
89.,GRE Renew,152.00,17.98,217.18,0.00,8.14,140.12,74.38,78.63,34.81
90.,Current Infra.,111.50,15.20,213.50,0.00,10.16,84.73,115.90,153.61,26.98
91.,HVAX Technolog.,699.00,13.57,194.10,0.00,9.38,29.92,99.57,17.61,19.66
92.,AVP Infracon,72.45,4.30,180.97,0.00,18.95,-6.83,227.64,28.93,22.91
93.,Niraj Cement,28.51,7.88,170.19,0.00,5.23,-30.64,134.63,-19.19,11.05
94.,Desco Infra.,220.80,10.35,169.49,0.00,10.21,75.73,76.57,108.01,30.15
95.,Sadbhav Engg.,9.57,15.63,164.19,0.00,122.30,62.11,270.94,-6.50,13.44
96.,Bharat Road,19.43,,163.11,0.00,-110.19,-1227.16,48.90,3.47,-6.48
97.,Safety Controls,80.00,11.00,158.62,0.00,6.89,18.38,73.20,27.46,29.46
98.,Winsol Engineers,125.00,10.06,144.19,0.00,7.36,43.75,70.37,2.31,24.61
99.,Karbonsteel Eng.,100.85,13.57,142.62,0.00,3.47,-60.21,161.17,-3.55,19.29
100.,Refex Renewables,308.75,,138.87,0.00,-10.09,-111.02,19.35,-3.59,3.19
101.,Udayshivakumar,24.84,,137.51,0.00,-4.79,-419.33,47.41,5.92,-0.92
102.,HEC Infra Proj.,121.93,10.49,132.15,0.00,6.10,7.58,50.73,9.10,21.43
103.,Tarmat,51.77,20.79,129.76,0.00,2.96,419.30,42.46,12.36,3.57
104.,Aesthetik Engi.,75.00,18.11,129.15,0.00,3.62,-26.72,80.50,99.11,17.64
105.,BCPL Railway,76.46,19.86,127.87,1.31,2.66,-53.33,57.92,-25.47,9.30
106.,Oval Projects,60.00,9.08,124.62,0.00,7.67,,91.13,,19.91
107.,Rudrabhish. Ent.,66.89,,121.22,0.00,-13.38,-872.83,20.88,-43.08,-4.66
108.,Modulex Const.,17.02,,120.96,0.00,-2.81,-51.98,0.00,,-3.96
109.,Maruti Infra.,12.41,97.76,116.34,0.00,0.42,-76.67,14.30,-36.56,6.88
110.,Semac Construct,370.90,16.13,115.62,0.00,4.53,392.71,74.87,2.14,10.00
111.,Mayasheel Vent.,51.95,7.13,114.55,0.00,3.28,18.35,125.87,10.65,28.54
