S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,BEML Ltd,1742.80,102.68,14515.61,0.61,179.81,-37.47,1794.17,8.57,7.71
2.,Action Const.Eq.,900.30,25.83,10721.06,0.22,110.91,-6.45,1029.49,7.13,31.70
3.,Ajax Engineering,601.75,30.27,6884.43,0.00,94.96,4.41,757.66,0.25,23.86
4.,TIL,176.33,,1453.73,0.00,-9.97,-144.98,108.84,7.21,2.60
5.,Brady & Morris,793.30,32.04,178.49,0.00,1.37,107.58,17.46,-34.58,14.38
