S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
158.,Nouveau Global,0.47,,8.72,0.00,-0.12,-9.09,0.00,,-2.28
159.,Dhyaani Trade,4.99,121.29,8.49,0.00,-0.13,7.14,4.80,226.53,0.45
160.,Risa Internatio.,0.51,,8.13,0.00,-0.47,94.59,0.00,,-20.81
161.,VK Global,19.00,61.92,8.05,0.00,0.17,185.00,0.46,666.67,3.98
162.,Priya,26.35,,7.91,0.00,-0.90,1.10,0.00,,
163.,Devine Impex,8.30,263.67,7.91,0.00,-0.09,,0.75,-19.35,0.29
164.,Swagtam Trading,66.01,71.45,7.86,0.00,0.05,162.50,1.32,20.00,2.14
165.,Parker Agrochem,16.30,9.06,7.79,0.00,0.33,120.00,1.36,-88.03,23.07
166.,IGC Industries,2.23,,7.74,0.00,-2.64,-13300.00,0.00,,-7.90
167.,Hemo Organic,22.27,,7.72,0.00,-0.51,-237.84,0.93,-61.41,-23.81
168.,Nyssa Corp.,2.51,,7.53,0.00,-12.82,-326.74,0.00,100.00,-45.80
169.,Evoq Remedies,2.98,,7.42,0.00,-0.29,-116.96,0.00,-100.00,-0.56
170.,Enterprise Intl.,23.55,,7.03,0.00,0.04,200.00,0.00,-100.00,-0.15
171.,Worldwide Alumi.,21.25,53.69,6.98,0.00,0.04,233.33,18.38,-37.38,2.89
172.,Mystic Electron.,3.52,24.86,6.96,0.00,0.31,-63.95,0.00,,0.87
173.,M Lakhamsi Ind,11.07,9.17,6.60,0.90,0.28,-9.68,39.72,29.85,7.90
174.,Flora Corporatio,7.45,21.00,6.51,0.00,4.20,-61.75,26.15,-47.30,6.22
175.,Siddhes. Garment,19.38,320.50,6.41,0.00,0.03,50.00,0.00,,0.09
176.,Triveni Enterpri,1.10,45.00,6.30,0.00,0.05,155.56,0.00,-100.00,1.77
177.,Grandma Trading,0.47,,6.14,0.00,0.07,187.50,0.38,660.00,-29.79
178.,Oswal Yarns,15.00,,6.02,0.00,-0.04,20.00,0.24,-59.32,-3.42
179.,Aravali Sec,3.90,,5.91,0.00,-0.04,55.56,0.00,,4.49
180.,A F Enterprises,1.76,,5.89,0.00,-0.14,6.67,5.64,370.00,-2.24
181.,Ambitious Plasto,9.70,37.60,5.64,0.00,0.02,-33.33,4.30,-20.52,67.92
182.,Mukta Agricultur,2.60,20.89,5.64,0.00,0.29,141.67,0.00,,1.21
183.,Saianand Commer.,0.24,25.95,5.45,0.00,-0.93,-69.09,-0.71,-261.36,0.80
