S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
115.,Cenlub Industrie,260.80,15.34,121.61,0.00,3.37,27.65,23.09,11.65,13.57
116.,Rexnord Electr.,90.04,21.91,119.39,0.00,4.77,256.62,33.92,7.55,8.34
117.,Rishi Laser,118.40,28.99,118.28,0.00,-0.26,-106.56,40.76,7.92,9.59
118.,Intl. Combustion,492.70,,117.76,0.81,1.08,-76.58,86.00,-0.96,0.48
119.,Somi Conv.Belt.,99.91,23.40,117.69,0.00,0.59,-34.44,17.29,-28.82,9.46
120.,Taylormade Renew,94.89,64.64,117.64,0.00,3.38,-47.10,21.35,7.77,3.39
121.,Ducon Tech,3.37,9.97,109.50,0.00,1.85,-48.75,100.86,-15.49,9.33
122.,Galaxy Agrico,65.00,,106.53,0.00,-1.17,-5400.00,0.00,-100.00,-3.50
123.,Emkay Taps & Cut,98.90,13.01,105.54,0.00,5.78,170.15,0.46,-98.88,3.48
124.,Purple Wave Info,110.00,7.57,101.71,0.00,,,,,
125.,Rapicut Carbides,188.65,49.18,101.31,0.00,0.65,96.97,49.31,370.52,11.29
126.,Meera Industries,44.94,127.97,95.98,1.11,-0.64,-277.78,8.81,12.80,4.69
127.,ITL Industries,285.10,10.12,91.35,0.35,0.58,-74.52,61.93,12.25,14.01
128.,Gabion Technol.,66.00,11.09,89.60,0.00,5.52,60.00,73.29,37.17,19.85
129.,Shri Balaji,108.00,10.30,88.13,0.00,5.19,20.70,55.46,25.93,17.87
130.,BEW Engg,65.40,22.62,85.50,0.00,-2.44,-139.80,98.44,18.23,4.43
131.,EMA India,840.70,,84.91,0.00,-0.48,-118.18,0.00,,-43.40
132.,T & I Global,167.05,12.16,84.66,0.00,0.05,102.16,41.72,55.67,10.54
133.,Atam Valves,70.52,33.40,80.84,1.21,0.86,-59.62,13.10,-10.94,8.53
134.,Highness Microelectronics,156.35,19.69,80.73,0.00,3.18,245.65,8.77,19.32,27.39
135.,Lippi Systems,114.46,21.25,80.12,0.00,-0.52,-225.00,0.00,,20.80
136.,M E T S,138.55,10.25,76.34,0.00,2.26,169.05,11.70,49.04,23.47
137.,Shantai Indust.,99.00,,74.25,0.00,-0.41,-612.50,1.56,-78.42,-15.13
138.,Adtech Systems,61.47,21.41,73.23,1.63,0.49,-43.68,15.96,33.56,9.31
139.,Vruddhi Engineer,230.00,18.84,58.04,0.00,2.02,83.64,29.60,64.72,29.89
140.,Cranex,78.95,21.52,51.87,0.00,1.18,22.92,21.91,18.69,10.36
141.,Srigee DLM,86.76,7.54,51.83,0.00,5.53,104.81,51.42,46.25,22.53
142.,Manugraph India,16.57,12.20,50.40,0.00,-1.23,-131.91,25.09,-10.17,10.62
143.,Misquita Engg.,104.85,213.70,49.15,0.00,0.08,300.00,9.15,41.42,3.07
144.,Envair Electrody,105.70,445.82,49.04,0.00,-0.11,52.17,0.00,,1.47
145.,Auri Grow India,0.33,,48.72,0.00,-1.30,-140.12,0.00,-100.00,-0.37
146.,Presstonic Engi.,31.55,18.70,48.63,0.00,2.27,-57.09,20.33,13.20,9.80
147.,Sona Machinery,34.30,,47.07,0.00,-4.37,-470.34,41.11,-25.38,-5.90
148.,Austin Engg Co,134.45,9.67,46.79,0.00,1.20,34.83,30.79,4.13,10.44
149.,Solitaire Mach.,100.25,33.22,45.51,1.50,0.68,-4.23,8.39,19.18,8.26
150.,Shining Tools,75.87,11.04,42.93,0.00,2.05,54.14,10.29,9.58,22.39
151.,Rasi Electrodes,13.19,11.66,41.06,0.00,0.76,13.43,18.56,-8.26,12.86
152.,Arigato Universe,62.40,16.76,38.04,0.00,1.17,1270.00,8.82,25.64,20.40
153.,Faalcon Concepts,38.00,11.72,37.03,0.00,2.11,,19.50,,
154.,Trans India,4.42,16.27,31.40,0.00,1.72,537.04,25.58,144.78,6.17
155.,Hawa Engineers,87.50,11.65,30.86,0.00,0.57,7.55,26.13,-18.39,16.16
156.,G G Dandekar,64.70,75.15,30.81,0.00,0.37,161.67,0.82,-24.07,-0.61
157.,Polymechplast Ma,54.89,10.68,30.75,1.82,2.53,1388.24,21.75,13.40,13.33
158.,SM Auto Stamping,22.30,9.11,30.52,0.00,2.56,-10.18,37.19,4.79,15.88
159.,Miven Mach. Tool,99.80,,29.97,0.00,0.03,118.75,0.17,,
160.,Harish Textile,64.87,3.91,21.64,0.00,1.85,21.71,36.36,11.16,26.48
161.,Iykot Hitech,19.16,,19.88,0.00,0.03,111.11,0.62,-36.08,-32.31
162.,Sterling Powerg.,37.34,19.85,19.65,0.00,1.62,678.57,17.06,2032.50,45.44
163.,Lynx Machinery,186.65,,19.14,0.00,-0.65,-80.56,0.00,,-4.45
164.,Benara Bearings,10.45,,18.50,0.00,-9.81,-74.56,1.42,-75.89,-35.60
165.,Thakral Services,15.75,,18.48,0.00,0.12,,0.33,266.67,
166.,Veejay Lak. Eng.,36.00,,18.25,0.00,-0.35,75.35,24.45,36.59,-6.64
167.,Boss Packaging,37.55,10.06,16.70,0.00,0.81,-12.90,10.04,1.62,15.72
168.,Quality RO Indu.,64.56,,16.46,0.00,-0.70,-142.94,6.99,-13.70,0.44
169.,Containe Tech.,22.77,15.62,15.93,0.00,0.73,78.05,11.76,35.80,8.23
170.,Arrowhead Sepera,70.00,77.06,13.10,0.00,-0.03,90.00,14.32,20.13,3.45
171.,Ishan Internat.,0.60,32.42,12.97,0.00,0.31,263.16,13.50,-68.39,3.43
172.,Shivagrico Impl.,25.00,32.13,12.53,0.00,0.14,-39.13,12.10,-2.81,6.90
173.,Rajasthan Cylind,31.97,,10.75,0.00,-0.14,-75.00,0.00,,-9.07
174.,Pan Electronics,26.75,,10.70,0.00,-0.78,-239.13,0.53,-78.54,-17.10
175.,Premier,3.04,,9.23,0.00,-1.76,24.46,0.00,,
176.,Mipco Seaml Ring,22.87,91.11,8.20,0.00,0.12,500.00,3.17,,37.04
177.,Lexoraa Ind,17.51,344.00,6.88,0.00,0.15,600.00,10.27,302.75,
178.,Raasi Refractor,14.43,56.67,6.80,0.00,-2.08,-193.36,10.54,-12.82,10.53
179.,Hittco Tools,10.25,,6.77,0.00,0.12,-75.00,2.47,-5.73,-5.86
180.,Incon Engineers,15.00,,6.49,0.00,-0.11,-22.22,0.07,,-90.67
181.,TMT (I),7.67,,3.80,0.00,0.07,129.17,0.05,,-22.22
