S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
65.,Canarys Automa.,20.00,8.48,117.49,0.00,5.74,89.46,96.94,88.23,22.55
66.,GVP Infotech,6.50,,112.00,2.31,-2.02,4.27,0.43,-71.71,-70.43
67.,CG-VAK Software,191.50,8.71,96.71,0.52,-0.02,-35.66,19.01,-3.26,20.05
68.,Athena Global,66.65,,93.72,0.00,-36.11,45.20,3.40,17.65,-4.76
69.,Delaplex,99.90,7.09,91.01,0.00,5.71,-3.10,31.72,0.38,20.14
70.,R S Software (I),32.72,,84.52,0.76,-10.54,-355.10,5.95,-31.45,-52.44
71.,Cura Tech.,83.45,,82.62,0.00,-1.48,-492.00,0.45,,-7.74
72.,Globalspace Tech,23.50,28.34,80.77,0.00,2.45,1733.33,16.04,83.31,4.55
73.,Naapbooks,74.00,9.66,80.17,0.00,5.01,54.15,7.83,-6.79,27.25
74.,Covidh Technolog,94.17,304.58,79.19,0.00,0.55,139.13,1.16,,5.95
75.,Edvenswa Enter,26.50,9.31,77.42,0.00,0.42,-89.18,32.37,0.90,4.36
76.,Accel,13.00,11.36,75.63,2.31,3.25,477.05,42.23,-8.73,7.02
77.,Identixweb,69.50,13.56,72.57,0.00,2.51,60.47,7.26,65.75,26.63
78.,Paramatrix Tech.,62.00,27.34,71.35,0.00,-0.38,-109.68,14.77,0.14,4.18
79.,Orchasp Ltd,2.01,66.31,69.63,0.00,0.11,-96.36,1.61,-77.03,0.84
80.,Cambridge Tech.,33.54,137.17,65.84,0.00,3.84,161.64,39.88,-21.08,6.06
81.,Aris Interna.,361.15,,54.17,0.00,-0.35,-600.00,0.00,-100.00,-39.19
82.,Austere Sys.,50.00,10.39,52.39,0.40,2.87,13.89,11.95,4.09,26.47
83.,S A Tech Soft.,40.00,24.07,52.23,0.00,2.81,-3.10,62.57,28.98,8.81
84.,Sofcom Systems,20.94,92.15,50.68,0.00,0.17,-71.19,0.40,-61.54,0.84
85.,California Soft.,20.90,4.64,49.35,0.00,9.20,2966.67,14.03,605.03,42.02
86.,SagarSoft (India,69.00,,44.11,2.90,-9.04,-982.43,37.37,7.48,-16.06
87.,AccelerateBS Ind,120.05,47.99,41.27,0.83,-0.04,-106.67,3.07,-13.03,18.17
88.,Logiciel Soluti.,43.45,13.81,32.45,0.00,-1.21,,8.01,,8.48
