S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
70.,S V Global Mill,140.15,,253.43,0.00,-15.68,-2202.44,0.64,-63.01,-30.12
71.,Ravinder Heights,40.28,5.05,247.02,0.00,-2.94,-223.08,0.01,-92.86,21.99
72.,Veer Global Inf.,143.00,174.65,232.28,0.00,0.58,23.40,2.09,-49.52,9.47
73.,Generic Engineer,38.79,17.24,221.05,0.00,2.46,35.16,80.59,-13.61,7.55
74.,Rainbow Foundat.,41.93,27.34,208.05,0.00,3.91,29.04,43.26,31.33,7.81
75.,Samor Reality,91.25,,206.23,0.00,-6.57,-1328.26,0.00,,-2.81
76.,Coromandel Engg.,58.61,1202.65,204.45,0.00,0.82,-70.61,14.89,110.91,10.40
77.,Sumit Woods,41.52,32.79,198.71,0.00,1.31,-74.10,28.35,-13.88,6.55
78.,Lancor Holdings,25.16,4.55,185.05,0.79,43.05,143333.33,17.86,-65.39,20.52
79.,Supreme Holdings,46.63,462.08,180.21,0.00,-0.09,95.27,2.25,1223.53,0.11
80.,HB Estate Devel.,76.00,14.91,174.50,0.00,3.55,-22.49,32.97,-0.78,7.53
81.,Alpine Housing,98.34,28.16,170.34,0.00,2.62,10.83,20.94,35.62,9.18
82.,Parsvnath Devl.,3.65,,158.84,0.00,-149.47,-54.84,61.04,4.81,-0.98
83.,Prajay Engineers,21.59,,151.00,0.00,-8.06,42.55,7.09,-54.43,-2.62
84.,AMJ Land Holdin.,36.79,10.20,150.84,0.54,5.42,-50.29,15.36,-39.88,10.06
85.,Vipul Ltd,9.58,,135.04,0.00,1.21,-67.56,9.19,-18.38,-0.44
86.,Raja Bahadur Int,5003.00,95.48,125.08,0.00,0.78,-21.21,7.31,2.96,7.12
87.,Shri Krishna,42.70,26.22,119.56,0.00,1.14,-54.22,6.16,-40.54,6.70
88.,Mega Nirman,45.85,335.97,117.59,0.00,0.26,,3.36,83.61,1.92
89.,V R Infraspace,131.90,29.88,117.13,0.00,4.27,151.82,55.67,200.76,19.20
90.,Garnet Construct,80.66,2.84,112.12,0.00,4.72,216.78,10.40,1486.67,41.03
91.,Thakkers Develp.,121.00,21.31,108.90,0.00,-2.10,-154.97,4.78,-22.65,4.55
92.,Art Nirman Ltd,42.83,205.56,106.89,0.00,0.09,-88.31,22.48,152.02,5.85
93.,Shantidoot Infra,590.00,73.67,106.08,0.00,0.65,-27.78,17.53,247.13,18.15
94.,Bhudevi Infra,217.95,833.50,100.02,0.00,1.55,381.82,2.88,388.14,1.12
95.,H D I L,1.95,,92.43,0.00,-2.47,-2.49,0.41,-2.38,-0.11
96.,Virya Resources,615.95,,92.39,0.00,-0.08,-157.14,0.00,,-4.64
97.,Radhe Develop.,1.64,27.78,90.02,0.00,0.11,-95.13,2.39,-42.96,4.32
98.,Prerna Infra.,24.84,27.70,89.74,0.00,1.39,1350.00,0.14,-96.78,3.84
99.,Shervani Indl Sy,306.80,,78.94,0.98,-0.83,-141.29,1.49,-76.79,1.35
100.,Dharan Infra-EPC,0.15,,78.43,0.00,-4.19,-874.42,3.50,-43.55,-3.61
101.,Vivid Mercantile,7.52,6.99,75.39,0.00,1.44,1957.14,26.25,1041.30,23.13
102.,Shristi Infra,33.49,,74.35,0.00,-9.15,-343.35,15.59,-62.30,-0.56
103.,Trescon,9.41,,68.21,0.00,-2.00,-2250.00,13.18,40.96,0.94
104.,Ansal Buildwell,89.77,81.79,66.25,1.11,-1.51,-133.33,13.12,-13.80,4.40
105.,Skyline Millars,16.37,,65.85,0.00,-0.46,-270.37,0.00,-100.00,-4.46
106.,Grovy India,44.00,20.23,58.68,0.23,0.89,345.00,6.99,105.59,10.17
107.,Prime Property,33.90,2.33,57.53,0.00,22.64,2215.89,75.42,,35.02
