S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,ICICI AMC,3249.00,48.69,160584.59,0.84,763.42,10.37,1517.01,19.53,115.10
2.,HDFC AMC,2495.90,37.42,106987.57,2.16,623.29,-2.42,1050.48,16.56,42.88
3.,Nippon Life Ind.,1113.10,46.47,71069.54,1.93,384.72,28.84,738.73,30.39,43.80
4.,Aditya AMC,1048.80,31.04,30328.68,2.29,187.11,-17.96,458.23,6.85,32.24
5.,UTI AMC,930.05,25.46,11953.30,2.80,-51.44,-176.38,390.28,3.82,15.78
6.,Canara Robeco,249.67,24.43,4978.85,1.60,41.36,-0.89,103.63,2.81,40.11
7.,Shriram AMC,297.85,,505.77,0.00,-7.94,-53.28,2.06,85.59,-18.75
8.,IL&FS Inv.Manag.,8.20,66.71,257.51,6.10,3.96,-81.92,35.21,364.51,4.07
